"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",90.0,88.9
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",63.0,74.8
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",15.2,*
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",*,*
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",69.7,86.9
"East Haven School District","=""0440011""","Pathways","=""0449011""",*,*
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",81.6,94.4
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",63.2,90.3
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",79.5,92.6
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",78.8,85.1
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",71.4,84.2
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",83.3,94.6
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",80.7,96.4
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",77.5,93.8
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",86.6,92.2
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",76.4,86.2
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",76.3,95.0
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",63.2,83.5
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",64.7,85.0
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",86.0,94.0
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",74.1,85.8
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",53.5,75.4
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",81.0,*
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",81.1,86.7
"Hartford School District","=""0640011""","Hartford Public High School","=""0646211""",44.7,75.3
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",70.0,79.6
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",78.9,85.0
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",83.6,87.5
"Hartford School District","=""0640011""","Weaver High School","=""0646311""",44.6,83.2
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",50.0,87.1
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",71.5,93.2
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",68.7,86.4
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",78.5,92.9
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",84.8,97.8
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",71.0,84.4
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",63.7,77.9
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",62.2,81.8
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",70.2,81.9
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",72.0,92.0
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",85.1,91.8
"Milford School District","=""0840011""","The Academy","=""0846411""",23.5,*
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",83.5,93.5
"Montville School District","=""0860011""","Montville High School","=""0866111""",71.6,79.1
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",63.8,80.8
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",56.3,81.0
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",85.0,95.8
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",79.0,91.9
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",64.4,83.0
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",72.1,75.5
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",77.4,90.8
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",78.6,63.6
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",56.7,71.1
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",65.9,81.5
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",59.1,*
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0936511""",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","=""0936911""",21.6,*
"New Haven School District","=""0930011""","Sound School","=""0936711""",73.8,83.3
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",55.3,73.6
"Newington School District","=""0940011""","Newington High School","=""0946111""",75.7,89.9
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""",*,*
"New London School District","=""0950011""","New London High School","=""0956111""",41.2,68.5
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",75.2,93.3
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",80.4,94.3
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",79.8,90.8
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",81.4,91.0
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",85.5,88.7
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",77.8,85.3
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",75.7,90.4
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",*,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",*,*
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",77.6,93.3
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",53.4,77.9
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",71.6,88.8
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",50.0,80.3
"Portland School District","=""1130011""","Portland High School","=""1136111""",81.5,92.4
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",64.2,77.0
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",86.2,96.4
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",79.8,90.8
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",72.1,88.3
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",78.9,89.9
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",83.7,92.8
"Somers School District","=""1290011""","Somers High School","=""1296111""",91.2,96.5
"Southington School District","=""1310011""","Southington High School","=""1316211""",75.6,90.6
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",80.7,92.8
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",68.4,78.5
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",75.3,91.7
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",80.5,91.9
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",65.7,87.0
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",70.3,88.3
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",77.3,91.4
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",67.4,88.2
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",80.7,90.3
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",64.9,88.9
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",77.3,80.9
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",82.6,96.1
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",63.1,89.0
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",83.6,91.4
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",75.3,88.5
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",82.0,91.2
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",73.8,90.4
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",56.2,82.2
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",55.8,79.3
"Waterbury School District","=""1510011""","State Street School","=""1519011""",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",70.8,89.3
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",46.6,74.5
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",76.7,89.5
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",70.4,89.5
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",69.3,86.9
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",78.5,93.1
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",82.9,95.9
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",65.3,82.3
"Weston School District","=""1570011""","Weston High School","=""1576111""",89.0,98.1
"Westport School District","=""1580011""","Staples High School","=""1586111""",86.6,95.5
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",80.5,92.1
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",89.4,96.3
"Winchester School District","=""1620011""","Joy D. Rice School","=""1626111""",*,*
"Windham School District","=""1630011""","Eastern Regional Academy/Windham","=""1639011""",*,*
"Windham School District","=""1630011""","Windham High School","=""1636111""",63.7,80.7
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",77.5,85.9
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",60.3,83.5
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",67.6,86.1
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",66.1,95.2
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",70.1,93.6
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",87.0,95.6
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",69.3,85.2
"Regional School District 07","=""2070012""","AIM","=""2079112""",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",83.5,91.2
"Regional School District 07","=""2070012""","STEP","=""2079312""",*,*
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",76.8,89.5
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",87.7,95.3
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",79.3,89.6
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",51.4,*
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",84.0,83.3
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",84.1,87.7
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",77.2,93.5
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",86.4,94.5
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",76.1,92.0
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",79.4,91.4
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",84.3,94.4
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",72.9,91.4
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",63.3,*
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",76.6,93.2
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""",*,*
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",*,*
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",*,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",68.2,*
"Explorations District","=""2720013""","Explorations","=""2726113""",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",22.9,*
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""",*,*
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",*,*
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",33.1,60.0
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",49.0,69.3
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",37.8,64.9
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",33.0,70.0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",39.0,79.2
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",27.1,75.0
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",33.8,75.0
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",20.6,77.8
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",29.4,86.5
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",38.4,83.3
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",38.3,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",16.3,*
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",39.6,63.9
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",29.0,83.3
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",31.4,71.1
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",41.4,87.7
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",48.2,90.6
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",73.7,86.8
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",78.4,88.4
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",75.8,88.5

