"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Eligible for Free or Reduced-Price Meals",60.0,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Eligible for Free or Reduced-Price Meals",52.1,81.1
"East Hartford School District","=""0430011""","Stevens Alternate High school","Eligible for Free or Reduced-Price Meals",12.5,*
"East Hartford School District","=""0430011""","Woodland School","Eligible for Free or Reduced-Price Meals",*,*
"East Haven School District","=""0440011""","East Haven High School","Eligible for Free or Reduced-Price Meals",48.5,81.3
"East Haven School District","=""0440011""","Pathways","Eligible for Free or Reduced-Price Meals",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Eligible for Free or Reduced-Price Meals",*,*
"East Windsor School District","=""0470011""","East Windsor High School","Eligible for Free or Reduced-Price Meals",*,*
"Ellington School District","=""0480011""","Ellington High School","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Enfield High School","Eligible for Free or Reduced-Price Meals",64.4,79.3
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Eligible for Free or Reduced-Price Meals",63.0,75.9
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Eligible for Free or Reduced-Price Meals",63.6,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","Eligible for Free or Reduced-Price Meals",*,*
"Farmington School District","=""0520011""","Farmington High School","Eligible for Free or Reduced-Price Meals",*,*
"Glastonbury School District","=""0540011""","Glastonbury High School","Eligible for Free or Reduced-Price Meals",66.7,84.6
"Granby School District","=""0560011""","Granby Memorial High School","Eligible for Free or Reduced-Price Meals",*,*
"Greenwich School District","=""0570011""","Greenwich High School","Eligible for Free or Reduced-Price Meals",51.9,85.0
"Griswold School District","=""0580011""","Griswold High School","Eligible for Free or Reduced-Price Meals",34.2,*
"Groton School District","=""0590011""","Robert E. Fitch High School","Eligible for Free or Reduced-Price Meals",64.1,73.2
"Guilford School District","=""0600011""","Guilford High School","Eligible for Free or Reduced-Price Meals",*,*
"Hamden School District","=""0620011""","Hamden High School","Eligible for Free or Reduced-Price Meals",52.8,72.0
"Hartford School District","=""0640011""","Bulkeley High School","Eligible for Free or Reduced-Price Meals",*,*
"Hartford School District","=""0640011""","Bulkeley High School Lower School","Eligible for Free or Reduced-Price Meals",59.0,71.9
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Eligible for Free or Reduced-Price Meals",80.0,*
"Hartford School District","=""0640011""","Classical Magnet School","Eligible for Free or Reduced-Price Meals",82.0,78.0
"Hartford School District","=""0640011""","Culinary Arts Academy","Eligible for Free or Reduced-Price Meals",25.0,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Eligible for Free or Reduced-Price Meals",*,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Eligible for Free or Reduced-Price Meals",*,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Eligible for Free or Reduced-Price Meals",*,*
"Hartford School District","=""0640011""","Hartford Public High School","Eligible for Free or Reduced-Price Meals",59.5,65.5
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","Eligible for Free or Reduced-Price Meals",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Eligible for Free or Reduced-Price Meals",73.7,78.6
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Eligible for Free or Reduced-Price Meals",77.4,86.2
"Hartford School District","=""0640011""","University High School of Science and Engineering","Eligible for Free or Reduced-Price Meals",76.5,88.5
"Hartford School District","=""0640011""","Weaver High School","Eligible for Free or Reduced-Price Meals",48.1,72.7
"Killingly School District","=""0690011""","Killingly High School","Eligible for Free or Reduced-Price Meals",51.4,68.4
"Lebanon School District","=""0710011""","Lyman Memorial High School","Eligible for Free or Reduced-Price Meals",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Eligible for Free or Reduced-Price Meals",50.0,*
"Litchfield School District","=""0740011""","Litchfield High School","Eligible for Free or Reduced-Price Meals",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Eligible for Free or Reduced-Price Meals",*,*
"Manchester School District","=""0770011""","Manchester High School","Eligible for Free or Reduced-Price Meals",55.3,81.9
"Manchester School District","=""0770011""","Manchester Regional Academy","Eligible for Free or Reduced-Price Meals",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Eligible for Free or Reduced-Price Meals",48.6,68.1
"Meriden School District","=""0800011""","Orville H. Platt High School","Eligible for Free or Reduced-Price Meals",41.2,71.4
"Middletown School District","=""0830011""","Middletown High School","Eligible for Free or Reduced-Price Meals",57.3,71.2
"Milford School District","=""0840011""","Jonathan Law High School","Eligible for Free or Reduced-Price Meals",55.4,78.0
"Milford School District","=""0840011""","Joseph A. Foran High School","Eligible for Free or Reduced-Price Meals",59.5,88.0
"Monroe School District","=""0850011""","Masuk High School","Eligible for Free or Reduced-Price Meals",63.0,*
"Montville School District","=""0860011""","Montville High School","Eligible for Free or Reduced-Price Meals",59.5,86.4
"Montville School District","=""0860011""","Palmer Academy","Eligible for Free or Reduced-Price Meals",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","Eligible for Free or Reduced-Price Meals",46.9,76.3
"New Britain School District","=""0890011""","New Britain High School","Eligible for Free or Reduced-Price Meals",52.4,77.0
"New Fairfield School District","=""0910011""","New Fairfield High School","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","Cooperative High School","Eligible for Free or Reduced-Price Meals",63.6,77.1
"New Haven School District","=""0930011""","High School In The Community","Eligible for Free or Reduced-Price Meals",62.2,73.9
"New Haven School District","=""0930011""","Hill Regional Career High School","Eligible for Free or Reduced-Price Meals",78.3,87.5
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","Eligible for Free or Reduced-Price Meals",72.7,79.2
"New Haven School District","=""0930011""","James Hillhouse High School","Eligible for Free or Reduced-Price Meals",63.5,67.5
"New Haven School District","=""0930011""","Metropolitan Business Academy","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","New Haven Academy","Eligible for Free or Reduced-Price Meals",66.7,*
"New Haven School District","=""0930011""","Polly T. McCabe Center","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","Eligible for Free or Reduced-Price Meals",38.2,*
"New Haven School District","=""0930011""","Sound School","Eligible for Free or Reduced-Price Meals",53.8,81.0
"New Haven School District","=""0930011""","Wilbur Cross High School","Eligible for Free or Reduced-Price Meals",45.2,69.5
"Newington School District","=""0940011""","Newington High School","Eligible for Free or Reduced-Price Meals",46.7,76.2
"New London School District","=""0950011""","New London High School","Eligible for Free or Reduced-Price Meals",41.1,72.7
"New Milford School District","=""0960011""","New Milford High School","Eligible for Free or Reduced-Price Meals",67.9,*
"Newtown School District","=""0970011""","Newtown High School","Eligible for Free or Reduced-Price Meals",*,*
"North Branford School District","=""0990011""","North Branford High School","Eligible for Free or Reduced-Price Meals",*,*
"North Haven School District","=""1010011""","North Haven High School","Eligible for Free or Reduced-Price Meals",64.5,70.0
"North Stonington School District","=""1020011""","Wheeler High School","Eligible for Free or Reduced-Price Meals",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","Eligible for Free or Reduced-Price Meals",64.7,81.4
"Norwalk School District","=""1030011""","Norwalk High School","Eligible for Free or Reduced-Price Meals",63.2,72.7
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","Eligible for Free or Reduced-Price Meals",*,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","Eligible for Free or Reduced-Price Meals",*,*
"Norwich School District","=""1040011""","Thames River Academy","Eligible for Free or Reduced-Price Meals",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","Eligible for Free or Reduced-Price Meals",*,*
"Plainfield School District","=""1090011""","Plainfield High School","Eligible for Free or Reduced-Price Meals",44.0,59.1
"Plainville School District","=""1100011""","Plainville High School","Eligible for Free or Reduced-Price Meals",48.1,*
"Plymouth School District","=""1110011""","Terryville High School","Eligible for Free or Reduced-Price Meals",*,*
"Portland School District","=""1130011""","Portland High School","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Putnam High School","Eligible for Free or Reduced-Price Meals",63.6,81.0
"Ridgefield School District","=""1180011""","Ridgefield High School","Eligible for Free or Reduced-Price Meals",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","Eligible for Free or Reduced-Price Meals",*,*
"Seymour School District","=""1240011""","Seymour High School","Eligible for Free or Reduced-Price Meals",62.5,85.0
"Shelton School District","=""1260011""","Shelton High School","Eligible for Free or Reduced-Price Meals",62.2,82.6
"Simsbury School District","=""1280011""","Simsbury High School","Eligible for Free or Reduced-Price Meals",47.8,*
"Somers School District","=""1290011""","Somers High School","Eligible for Free or Reduced-Price Meals",*,*
"Southington School District","=""1310011""","Southington High School","Eligible for Free or Reduced-Price Meals",63.2,62.5
"South Windsor School District","=""1320011""","South Windsor High School","Eligible for Free or Reduced-Price Meals",43.5,*
"Stafford School District","=""1340011""","Stafford High School","Eligible for Free or Reduced-Price Meals",*,*
"Stamford School District","=""1350011""","Stamford High School","Eligible for Free or Reduced-Price Meals",54.4,85.1
"Stamford School District","=""1350011""","The Academy of Information Technology","Eligible for Free or Reduced-Price Meals",53.6,*
"Stamford School District","=""1350011""","Westhill High School","Eligible for Free or Reduced-Price Meals",60.8,83.7
"Stonington School District","=""1370011""","Stonington High School","Eligible for Free or Reduced-Price Meals",45.0,*
"Stratford School District","=""1380011""","Bunnell High School","Eligible for Free or Reduced-Price Meals",73.1,84.2
"Stratford School District","=""1380011""","Stratford High School","Eligible for Free or Reduced-Price Meals",57.0,73.6
"Suffield School District","=""1390011""","Suffield High School","Eligible for Free or Reduced-Price Meals",*,*
"Thomaston School District","=""1400011""","Thomaston High School","Eligible for Free or Reduced-Price Meals",*,*
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","Eligible for Free or Reduced-Price Meals",*,*
"Tolland School District","=""1420011""","Tolland High School","Eligible for Free or Reduced-Price Meals",*,*
"Torrington School District","=""1430011""","Torrington High School","Eligible for Free or Reduced-Price Meals",44.9,85.7
"Trumbull School District","=""1440011""","Trumbull High School","Eligible for Free or Reduced-Price Meals",73.1,*
"Vernon School District","=""1460011""","Rockville High School","Eligible for Free or Reduced-Price Meals",64.6,71.0
"Wallingford School District","=""1480011""","Lyman Hall High School","Eligible for Free or Reduced-Price Meals",28.6,*
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","Crosby High School","Eligible for Free or Reduced-Price Meals",57.5,79.4
"Waterbury School District","=""1510011""","Enlightenment School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","Eligible for Free or Reduced-Price Meals",44.6,80.5
"Waterbury School District","=""1510011""","State Street School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","Eligible for Free or Reduced-Price Meals",74.5,90.2
"Waterbury School District","=""1510011""","Wilby High School","Eligible for Free or Reduced-Price Meals",37.6,67.6
"Waterford School District","=""1520011""","Waterford High School","Eligible for Free or Reduced-Price Meals",*,*
"Watertown School District","=""1530011""","Watertown High School","Eligible for Free or Reduced-Price Meals",51.9,*
"Westbrook School District","=""1540011""","Westbrook High School","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Conard High School","Eligible for Free or Reduced-Price Meals",59.1,84.6
"West Hartford School District","=""1550011""","Hall High School","Eligible for Free or Reduced-Price Meals",74.6,81.1
"West Haven School District","=""1560011""","West Haven High School","Eligible for Free or Reduced-Price Meals",54.7,85.1
"Weston School District","=""1570011""","Weston High School","Eligible for Free or Reduced-Price Meals",*,*
"Westport School District","=""1580011""","Staples High School","Eligible for Free or Reduced-Price Meals",*,*
"Wethersfield School District","=""1590011""","Wethersfield High School","Eligible for Free or Reduced-Price Meals",62.5,90.0
"Wilton School District","=""1610011""","Wilton High School","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Eastern Regional Academy/Windham","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Windham High School","Eligible for Free or Reduced-Price Meals",58.0,66.7
"Windsor School District","=""1640011""","Windsor High School","Eligible for Free or Reduced-Price Meals",60.0,84.1
"Windsor Locks School District","=""1650011""","Windsor Locks High School","Eligible for Free or Reduced-Price Meals",53.8,90.5
"Wolcott School District","=""1660011""","Wolcott High School","Eligible for Free or Reduced-Price Meals",55.0,81.8
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","Eligible for Free or Reduced-Price Meals",52.2,*
"Regional School District 04","=""2040012""","Valley Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 05","=""2050012""","Amity Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 06","=""2060012""","Wamogo Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","AIM","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","STEP","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 08","=""2080012""","RHAM High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 10","=""2100012""","Lewis S. Mills High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 11","=""2110012""","Parish Hill High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 12","=""2120012""","Shepaug Valley High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 13","=""2130012""","Coginchaug Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 14","=""2140012""","Nonnewaug High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 15","=""2150012""","Pomperaug Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 16","=""2160012""","Woodland Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","Eligible for Free or Reduced-Price Meals",54.5,*
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","Eligible for Free or Reduced-Price Meals",72.4,76.2
"Capitol Region Education Council","=""2410014""","River Street School","Eligible for Free or Reduced-Price Meals",*,*
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","Eligible for Free or Reduced-Price Meals",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","Eligible for Free or Reduced-Price Meals",65.0,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","Eligible for Free or Reduced-Price Meals",86.4,*
"Explorations District","=""2720013""","Explorations","Eligible for Free or Reduced-Price Meals",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","Eligible for Free or Reduced-Price Meals",28.9,*
"Unified School District #1","=""3360015""","Hartford Correctional Center","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","New Haven Correctional Center","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","York Correctional Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","Children's Place School","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","High Meadows","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","Eligible for Free or Reduced-Price Meals",45.6,80.5
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","Eligible for Free or Reduced-Price Meals",56.3,81.7
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","Eligible for Free or Reduced-Price Meals",45.8,59.3
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","Eligible for Free or Reduced-Price Meals",44.1,56.1
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","Eligible for Free or Reduced-Price Meals",37.7,65.2
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","Eligible for Free or Reduced-Price Meals",42.9,55.6
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","Eligible for Free or Reduced-Price Meals",31.3,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","Eligible for Free or Reduced-Price Meals",24.1,*
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","Eligible for Free or Reduced-Price Meals",47.2,*
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","Eligible for Free or Reduced-Price Meals",23.1,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","Eligible for Free or Reduced-Price Meals",30.8,*
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","Eligible for Free or Reduced-Price Meals",45.5,*
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","Eligible for Free or Reduced-Price Meals",40.4,69.6
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","Eligible for Free or Reduced-Price Meals",32.1,*
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Eligible for Free or Reduced-Price Meals",46.4,64.1
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","Eligible for Free or Reduced-Price Meals",37.9,*
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Eligible for Free or Reduced-Price Meals",57.7,83.1
"The Gilbert School District","=""9020022""","The Gilbert School","Eligible for Free or Reduced-Price Meals",68.2,*
"Woodstock Academy District","=""9030022""","Woodstock Academy","Eligible for Free or Reduced-Price Meals",*,*

