"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","Eligible for Free or Reduced-Price Meals",*,*
"Learn","=""2450014""","Connecticut River Academy","Eligible for Free or Reduced-Price Meals",67.2,82.2
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","Eligible for Free or Reduced-Price Meals",*,*
"Learn","=""2450014""","Three Rivers Middle College Magnet School","Eligible for Free or Reduced-Price Meals",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","Eligible for Free or Reduced-Price Meals",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","Eligible for Free or Reduced-Price Meals",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","Eligible for Free or Reduced-Price Meals",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","Eligible for Free or Reduced-Price Meals",56.5,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","Eligible for Free or Reduced-Price Meals",87.5,82.1
"Explorations District","=""2720013""","Explorations","Eligible for Free or Reduced-Price Meals",*,*
"Amistad Academy District","=""2790013""","Amistad Academy","Eligible for Free or Reduced-Price Meals",69.6,*
"Stamford Academy District","=""2820013""","Stamford Academy","Eligible for Free or Reduced-Price Meals",24.0,*
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","Garner Correctional Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","Eligible for Free or Reduced-Price Meals",60.2,62.1
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","Eligible for Free or Reduced-Price Meals",55.7,86.0
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","Eligible for Free or Reduced-Price Meals",50.8,57.4
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","Eligible for Free or Reduced-Price Meals",32.0,69.7
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","Eligible for Free or Reduced-Price Meals",46.6,70.7
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","Eligible for Free or Reduced-Price Meals",51.4,77.8
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","Eligible for Free or Reduced-Price Meals",50.5,67.4
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","Eligible for Free or Reduced-Price Meals",24.6,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","Eligible for Free or Reduced-Price Meals",56.0,80.9
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","Eligible for Free or Reduced-Price Meals",46.9,66.7
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","Eligible for Free or Reduced-Price Meals",40.0,71.9
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","Eligible for Free or Reduced-Price Meals",35.6,61.9
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","Eligible for Free or Reduced-Price Meals",54.5,85.1
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","Eligible for Free or Reduced-Price Meals",35.0,76.2
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Eligible for Free or Reduced-Price Meals",60.2,79.4
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","Eligible for Free or Reduced-Price Meals",43.9,72.0
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Eligible for Free or Reduced-Price Meals",61.3,80.0
"The Gilbert School District","=""9020022""","The Gilbert School","Eligible for Free or Reduced-Price Meals",51.3,70.0
"Woodstock Academy District","=""9030022""","Woodstock Academy","Eligible for Free or Reduced-Price Meals",65.8,92.0

