"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Monroe School District","=""0850011""","Masuk High School","Eligible for Free or Reduced-Price Meals",75.9,77.3
"Montville School District","=""0860011""","Montville High School","Eligible for Free or Reduced-Price Meals",65.0,61.5
"Montville School District","=""0860011""","Palmer Academy","Eligible for Free or Reduced-Price Meals",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","Eligible for Free or Reduced-Price Meals",41.7,75.0
"New Britain School District","=""0890011""","Academic Extension Center","Eligible for Free or Reduced-Price Meals",*,*
"New Britain School District","=""0890011""","New Britain High School","Eligible for Free or Reduced-Price Meals",47.7,73.5
"New Britain School District","=""0890011""","New Britain Transition Center","Eligible for Free or Reduced-Price Meals",*,*
"New Fairfield School District","=""0910011""","New Fairfield High School","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","Cooperative High School","Eligible for Free or Reduced-Price Meals",50.0,72.7
"New Haven School District","=""0930011""","High School In The Community","Eligible for Free or Reduced-Price Meals",57.9,60.6
"New Haven School District","=""0930011""","Hill Regional Career High School","Eligible for Free or Reduced-Price Meals",72.9,83.7
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","Eligible for Free or Reduced-Price Meals",65.5,*
"New Haven School District","=""0930011""","James Hillhouse High School","Eligible for Free or Reduced-Price Meals",59.7,66.3
"New Haven School District","=""0930011""","Metropolitan Business Academy","Eligible for Free or Reduced-Price Meals",64.3,*
"New Haven School District","=""0930011""","New Haven Academy","Eligible for Free or Reduced-Price Meals",64.3,*
"New Haven School District","=""0930011""","Polly T. McCabe Center","Eligible for Free or Reduced-Price Meals",-200.0,-200.0
"New Haven School District","=""0930011""","Riverside Education Academy","Eligible for Free or Reduced-Price Meals",15.4,*
"New Haven School District","=""0930011""","Sound School","Eligible for Free or Reduced-Price Meals",58.3,78.6
"New Haven School District","=""0930011""","Wilbur Cross High School","Eligible for Free or Reduced-Price Meals",54.6,68.6
"Newington School District","=""0940011""","Newington High School","Eligible for Free or Reduced-Price Meals",68.1,85.1
"New London School District","=""0950011""","New London Clinical Day Program","Eligible for Free or Reduced-Price Meals",*,*
"New London School District","=""0950011""","New London High School","Eligible for Free or Reduced-Price Meals",52.6,67.5
"New Milford School District","=""0960011""","New Milford High School","Eligible for Free or Reduced-Price Meals",52.2,70.8
"Newtown School District","=""0970011""","Newtown High School","Eligible for Free or Reduced-Price Meals",*,*
"North Branford School District","=""0990011""","North Branford High School","Eligible for Free or Reduced-Price Meals",*,*
"North Haven School District","=""1010011""","North Haven High School","Eligible for Free or Reduced-Price Meals",46.5,90.0
"North Stonington School District","=""1020011""","Wheeler High School","Eligible for Free or Reduced-Price Meals",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","Eligible for Free or Reduced-Price Meals",63.8,81.1
"Norwalk School District","=""1030011""","Norwalk High School","Eligible for Free or Reduced-Price Meals",62.6,87.1
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","Eligible for Free or Reduced-Price Meals",54.2,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","Eligible for Free or Reduced-Price Meals",*,*
"Norwich School District","=""1040011""","Thames River Academy","Eligible for Free or Reduced-Price Meals",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","Eligible for Free or Reduced-Price Meals",*,*
"Oxford School District","=""1080011""","Oxford High School","Eligible for Free or Reduced-Price Meals",*,*
"Plainfield School District","=""1090011""","Plainfield High School","Eligible for Free or Reduced-Price Meals",62.3,72.1
"Plainville School District","=""1100011""","Plainville High School","Eligible for Free or Reduced-Price Meals",58.3,81.0
"Plymouth School District","=""1110011""","Terryville High School","Eligible for Free or Reduced-Price Meals",34.5,*
"Portland School District","=""1130011""","Portland High School","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Helping Hands","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Putnam High School","Eligible for Free or Reduced-Price Meals",61.8,47.6
"Ridgefield School District","=""1180011""","Ridgefield High School","Eligible for Free or Reduced-Price Meals",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","Eligible for Free or Reduced-Price Meals",64.5,70.0
"Seymour School District","=""1240011""","Seymour High School","Eligible for Free or Reduced-Price Meals",56.1,73.9
"Shelton School District","=""1260011""","Shelton High School","Eligible for Free or Reduced-Price Meals",48.3,86.2
"Simsbury School District","=""1280011""","Simsbury High School","Eligible for Free or Reduced-Price Meals",63.6,*
"Somers School District","=""1290011""","Somers High School","Eligible for Free or Reduced-Price Meals",*,*
"Southington School District","=""1310011""","Southington High School","Eligible for Free or Reduced-Price Meals",48.8,81.0
"South Windsor School District","=""1320011""","South Windsor High School","Eligible for Free or Reduced-Price Meals",71.4,*
"Stafford School District","=""1340011""","Stafford High School","Eligible for Free or Reduced-Price Meals",57.1,*
"Stamford School District","=""1350011""","Stamford High School","Eligible for Free or Reduced-Price Meals",70.6,85.0
"Stamford School District","=""1350011""","The Academy of Information Technology","Eligible for Free or Reduced-Price Meals",66.7,83.3
"Stamford School District","=""1350011""","Westhill High School","Eligible for Free or Reduced-Price Meals",54.6,83.2
"Stonington School District","=""1370011""","Stonington High School","Eligible for Free or Reduced-Price Meals",39.1,*
"Stratford School District","=""1380011""","Bunnell High School","Eligible for Free or Reduced-Price Meals",58.8,80.9
"Stratford School District","=""1380011""","Stratford High School","Eligible for Free or Reduced-Price Meals",56.5,78.7
"Stratford School District","=""1380011""","Strive-Stratford","Eligible for Free or Reduced-Price Meals",*,*
"Suffield School District","=""1390011""","Suffield High School","Eligible for Free or Reduced-Price Meals",*,*
"Thomaston School District","=""1400011""","Thomaston High School","Eligible for Free or Reduced-Price Meals",*,*
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","Eligible for Free or Reduced-Price Meals",47.6,*
"Tolland School District","=""1420011""","Tolland High School","Eligible for Free or Reduced-Price Meals",50.0,*
"Torrington School District","=""1430011""","Torrington High School","Eligible for Free or Reduced-Price Meals",40.5,84.4
"Trumbull School District","=""1440011""","Trumbull High School","Eligible for Free or Reduced-Price Meals",63.9,91.3
"Vernon School District","=""1460011""","Next Step Program (AACBP)","Eligible for Free or Reduced-Price Meals",*,*
"Vernon School District","=""1460011""","Rockville High School","Eligible for Free or Reduced-Price Meals",56.6,72.1
"Wallingford School District","=""1480011""","Lyman Hall High School","Eligible for Free or Reduced-Price Meals",32.3,*
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","Eligible for Free or Reduced-Price Meals",77.3,*
"Waterbury School District","=""1510011""","Crosby High School","Eligible for Free or Reduced-Price Meals",49.5,80.8
"Waterbury School District","=""1510011""","Enlightenment School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","Eligible for Free or Reduced-Price Meals",53.6,77.6
"Waterbury School District","=""1510011""","State Street School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","Eligible for Free or Reduced-Price Meals",66.7,76.3
"Waterbury School District","=""1510011""","Wilby High School","Eligible for Free or Reduced-Price Meals",46.9,73.7
"Waterford School District","=""1520011""","Waterford High School","Eligible for Free or Reduced-Price Meals",58.3,*
"Watertown School District","=""1530011""","Watertown High School","Eligible for Free or Reduced-Price Meals",51.9,70.4
"Westbrook School District","=""1540011""","Westbrook High School","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Conard High School","Eligible for Free or Reduced-Price Meals",69.5,80.3
"West Hartford School District","=""1550011""","Hall High School","Eligible for Free or Reduced-Price Meals",70.5,83.7
"West Haven School District","=""1560011""","West Haven High School","Eligible for Free or Reduced-Price Meals",65.0,75.5
"Weston School District","=""1570011""","Weston High School","Eligible for Free or Reduced-Price Meals",*,*
"Westport School District","=""1580011""","Staples High School","Eligible for Free or Reduced-Price Meals",*,*
"Wethersfield School District","=""1590011""","Wethersfield High School","Eligible for Free or Reduced-Price Meals",62.3,84.8
"Wilton School District","=""1610011""","Wilton High School","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Eastern Regional Academy/Windham","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Windham High School","Eligible for Free or Reduced-Price Meals",49.5,60.8
"Windsor School District","=""1640011""","Windsor High School","Eligible for Free or Reduced-Price Meals",59.7,81.1
"Windsor Locks School District","=""1650011""","Windsor Locks High School","Eligible for Free or Reduced-Price Meals",58.5,83.3
"Wolcott School District","=""1660011""","Wolcott High School","Eligible for Free or Reduced-Price Meals",58.8,80.0
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 04","=""2040012""","Valley Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 05","=""2050012""","Amity Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 06","=""2060012""","Wamogo Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","AIM","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","STEP","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 08","=""2080012""","RHAM High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 10","=""2100012""","Lewis S. Mills High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 11","=""2110012""","Parish Hill High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 12","=""2120012""","Shepaug Valley High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 13","=""2130012""","Coginchaug Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 14","=""2140012""","Nonnewaug High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 15","=""2150012""","Pomperaug Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 16","=""2160012""","Woodland Regional High School","Eligible for Free or Reduced-Price Meals",55.2,*
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","Eligible for Free or Reduced-Price Meals",48.8,85.0
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","Eligible for Free or Reduced-Price Meals",67.5,70.4
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","Eligible for Free or Reduced-Price Meals",74.3,88.5
"Capitol Region Education Council","=""2410014""","River Street School","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Soundbridge","Eligible for Free or Reduced-Price Meals",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","Eligible for Free or Reduced-Price Meals",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","Eligible for Free or Reduced-Price Meals",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","Eligible for Free or Reduced-Price Meals",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","Eligible for Free or Reduced-Price Meals",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","Eligible for Free or Reduced-Price Meals",68.0,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","Eligible for Free or Reduced-Price Meals",44.8,*
"Explorations District","=""2720013""","Explorations","Eligible for Free or Reduced-Price Meals",*,*
"Amistad Academy District","=""2790013""","Amistad Academy","Eligible for Free or Reduced-Price Meals",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","Eligible for Free or Reduced-Price Meals",34.8,*
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","New Haven Correctional Center","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","York Correctional Institution","Eligible for Free or Reduced-Price Meals",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","Children's Place School","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","Eligible for Free or Reduced-Price Meals",55.4,70.1
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","Eligible for Free or Reduced-Price Meals",48.5,76.8
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","Eligible for Free or Reduced-Price Meals",43.9,56.0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","Eligible for Free or Reduced-Price Meals",38.8,80.6
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","Eligible for Free or Reduced-Price Meals",48.1,70.3
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","Eligible for Free or Reduced-Price Meals",35.5,*
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","Eligible for Free or Reduced-Price Meals",50.0,79.4
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","Eligible for Free or Reduced-Price Meals",19.1,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","Eligible for Free or Reduced-Price Meals",40.3,92.0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","Eligible for Free or Reduced-Price Meals",33.3,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","Eligible for Free or Reduced-Price Meals",40.9,*
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","Eligible for Free or Reduced-Price Meals",29.5,*
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","Eligible for Free or Reduced-Price Meals",45.4,81.8
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","Eligible for Free or Reduced-Price Meals",24.2,*
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Eligible for Free or Reduced-Price Meals",45.7,73.8
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","Eligible for Free or Reduced-Price Meals",56.0,67.9
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Eligible for Free or Reduced-Price Meals",62.7,80.2
"The Gilbert School District","=""9020022""","The Gilbert School","Eligible for Free or Reduced-Price Meals",81.8,66.7
"Woodstock Academy District","=""9030022""","Woodstock Academy","Eligible for Free or Reduced-Price Meals",73.9,*

