"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",84.1,92.0
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",68.2,88.5
"Hamden School District","=""0620011""","Hamden Transition Academy","=""0629011""",*,*
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",40.3,74.2
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",*,*
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",75.0,77.8
"Hartford School District","=""0640011""","Hartford Public High School","=""0646211""",49.3,68.1
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0646811""",*,*
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0649111""",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",61.5,79.2
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",81.7,88.1
"Hartford School District","=""0640011""","Weaver High School","=""0646311""",48.4,76.1
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",63.6,82.1
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",64.5,89.9
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",67.7,89.3
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",73.3,90.9
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",84.0,97.7
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",67.7,84.8
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",38.5,85.5
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",38.7,84.2
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",74.1,88.4
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",69.9,88.0
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",69.3,93.5
"Milford School District","=""0840011""","The Academy","=""0846411""",*,*
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",82.7,92.2
"Montville School District","=""0860011""","Montville High School","=""0866111""",66.3,78.7
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",63.4,90.7
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",57.2,81.4
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",81.8,96.1
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",79.5,94.0
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",56.8,78.6
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",57.4,70.4
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",74.5,88.9
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",54.8,*
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",48.8,72.8
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",48.3,*
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",84.8,78.6
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0936511""",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","=""0936911""",25.6,*
"New Haven School District","=""0930011""","Sound School","=""0936711""",47.4,92.6
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",42.9,72.1
"Newington School District","=""0940011""","Newington High School","=""0946111""",79.3,90.4
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""",*,*
"New London School District","=""0950011""","New London High School","=""0956111""",44.5,75.4
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",71.9,90.0
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",76.6,92.4
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",78.8,93.3
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",81.1,93.3
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",60.0,90.9
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",69.4,90.4
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",43.1,89.8
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",*,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",*,*
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",68.0,97.0
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",*,*
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",54.6,78.7
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",34.9,82.0
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",68.6,88.3
"Portland School District","=""1130011""","Portland High School","=""1136111""",79.5,94.3
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",75.3,76.6
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",85.6,96.5
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",83.5,92.0
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",71.8,88.5
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",76.3,94.1
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",82.7,93.6
"Somers School District","=""1290011""","Somers High School","=""1296111""",86.2,93.8
"Southington School District","=""1310011""","Southington High School","=""1316211""",78.8,90.6
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",81.2,91.4
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",75.4,84.8
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",69.0,88.7
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",63.1,87.8
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",65.3,90.1
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",67.6,84.0
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",73.3,90.9
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",67.7,82.3
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",80.8,93.2
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",75.0,87.3
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",57.7,84.4
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",74.2,89.0
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",65.1,90.5
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",78.7,93.2
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",38.5,90.0
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",70.0,85.2
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",73.8,91.8
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",51.5,79.7
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",51.3,73.7
"Waterbury School District","=""1510011""","State Street School","=""1519011""",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",64.7,87.9
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",47.8,84.7
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",74.2,85.1
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",73.3,93.5
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",81.3,96.2
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",77.4,89.9
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",80.8,93.7
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",59.3,84.5
"Weston School District","=""1570011""","Weston High School","=""1576111""",81.5,97.1
"Westport School District","=""1580011""","Staples High School","=""1586111""",85.1,95.6
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",80.7,92.2
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",87.3,95.8
"Winchester School District","=""1620011""","Joy D. Rice School","=""1626111""",*,*
"Windham School District","=""1630011""","Windham High School","=""1636111""",59.8,82.3
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",77.8,87.4
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",66.4,81.1
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",72.0,86.8
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",57.0,88.3
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",81.5,90.1
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",80.7,96.4
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",68.3,87.5
"Regional School District 07","=""2070012""","AIM","=""2079112""",*,*
"Regional School District 07","=""2070012""","Links","=""2079212""",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",82.6,91.3
"Regional School District 07","=""2070012""","STEP","=""2079312""",*,*
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",39.2,92.3
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",81.7,95.7
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",78.3,94.2
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",65.4,76.5
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",76.6,90.3
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",80.7,92.7
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",73.0,91.5
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",82.2,93.2
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",78.8,94.5
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",77.5,91.8
"Regional School District 18","=""2180012""","Center School","=""2180312""",*,*
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""",*,*
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",84.4,97.8
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",67.8,89.6
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""",*,*
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",*,*
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",*,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",66.7,85.0
"Explorations District","=""2720013""","Explorations","=""2726113""",62.5,*
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",32.0,*
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",*,*
"Unified School District #2","=""3470015""","High Meadows","=""3476515""",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",43.0,57.7
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",35.9,78.3
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",19.6,54.5
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",28.4,80.0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",36.6,56.1
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",29.0,61.3
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",38.4,76.8
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",29.7,66.7
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",21.0,76.0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",42.2,74.1
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",28.3,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",17.4,*
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",33.3,87.0
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",35.4,73.4
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",27.7,68.4
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",34.4,80.6
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",41.7,72.9
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",71.0,83.1
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",69.5,90.2
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",75.5,88.7

