"Incident Counts, 2010-11"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",0,0,0,0,"*","*",0,0,0,6
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",0,"*","*",0,7,"*",0,0,0,6
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,"*","*",0,6,"*",0,"*","*",15
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",0,0,"*",0,"*",0,0,0,0,"*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,11,19,7,11,10,7,"*",67,286
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",0,"*",20,9,19,14,"*","*","*",63
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",0,0,"*",0,"*","*",0,0,0,0
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",0,0,0,0,"*","*",0,0,0,0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",28,"*",48,19,9,"*","*",343
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","*",7,72,8,83,89,11,8,0,103
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*","*",55,16,70,145,23,"*",20,809
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",0,8,22,"*",76,55,"*",0,0,29
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,0,8,0,12,15,0,0,0,"*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","*",7,52,"*",122,87,"*","*","*",165
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,0,"*",0,0,"*",0,0,0,6
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",0,"*",10,"*",27,29,"*",6,0,6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",10,"*",83,21,105,183,12,"*",21,2159
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",8,23,180,10,96,145,15,6,0,73
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*","*","*","*",12,17,"*","*",0,12
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",0,"*",28,6,17,22,7,"*",0,28
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",0,"*",21,"*",163,207,"*",0,0,164
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",12,6,37,"*",45,92,12,"*",0,168
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",0,0,"*",0,0,0,0,0,0,0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",10,9,76,12,219,185,16,10,"*",252
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",0,"*","*",8,6,6,"*","*",0,"*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","*","*",49,"*",76,86,"*",0,0,116
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","*",0,"*","*",6,"*",0,0,0,"*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","*",0,"*",0,"*",7,0,"*",0,12
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",10,17,121,30,81,210,18,12,33,982
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,"*","*","*",0,20,0,0,0,13
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","*","*",23,"*",41,45,"*",0,0,74
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","*","*",16,"*",16,59,"*","*","*",274
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",0,0,"*",0,"*",12,"*",0,0,11
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*",12,47,"*",129,155,7,"*",0,133
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","*","*",12,"*",7,24,"*",0,0,12
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",0,"*",7,0,9,19,0,"*",0,21
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,0,"*",0,0,7,0,0,0,7
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,0,7,0,0,0,0,0,0,"*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""",14,10,80,"*",177,257,23,6,"*",283
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",6,8,83,"*",106,145,"*",12,0,661
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","*","*",19,"*",23,50,"*","*",0,52
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","*",0,10,"*",12,29,"*","*",0,33
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,0,0,0,0,0,0,0,0,"*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",0,"*",21,"*",17,36,"*","*",13,349
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",0,"*",20,"*",12,32,"*","*",35,400
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","*","*",34,"*",42,27,"*","*",0,278
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","*","*","*",0,"*",7,0,0,0,15
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","*",0,7,"*","*",7,"*",0,0,17
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",0,"*",0,0,7,"*",0,"*",0,14
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",0,0,0,0,"*","*",0,0,0,"*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",0,"*","*",0,"*",6,0,0,0,"*"
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",0,"*",11,0,"*",8,0,0,0,8
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","*",0,9,"*",7,21,"*","*",0,48
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",6,0,"*",0,"*","*",0,0,0,12
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",0,"*","*",6,"*",11,"*","*","*",31
"Bristol School District","=""0170011""","South Side School","=""0171111""",0,0,0,0,6,0,0,0,0,49
"Bristol School District","=""0170011""","Stafford School","=""0171211""",0,0,"*","*","*","*",0,0,0,"*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",0,"*","*","*",7,6,0,"*",17,44
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",0,0,"*","*",0,8,0,0,0,14
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",0,"*",7,"*",37,"*","*","*",0,12
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",9,"*",16,"*",49,8,"*",0,"*",35
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",0,"*",0,0,0,0,0,0,0,0
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","*",0,"*",0,8,0,0,"*",0,17
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,0,"*",0,"*",0,0,0,"*",6
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,0,"*",0,0,0,0,0,0,9
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,"*","*",0,"*",0,"*",0,0,11
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",0,0,"*",0,0,"*",0,0,0,"*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",0,0,0,0,"*","*",0,0,"*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,0,0,0,0,0,0,"*",0
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",0,0,"*",0,"*",0,0,0,0,0
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",0,"*",14,6,10,14,"*","*",6,470
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",0,0,"*","*","*","*",0,0,0,"*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",0,"*","*",0,8,40,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,"*","*",0,"*","*","*",0,0,"*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",0,"*",14,"*","*",17,0,0,0,33
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","*",7,32,15,209,56,15,"*","*",146
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","*",9,24,16,17,62,"*",0,0,149
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",0,"*",0,"*",0,0,0,0,0,0
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,0,0,0,0,"*",0,0,0,0
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*","*",25,7,"*","*",0,0,27,123
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",0,"*",29,7,"*",24,6,0,0,"*"
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",0,0,0,0,0,0,0,0,0,"*"
"Cheshire School District","=""0250011""","Highland School","=""0250411""",0,"*",0,0,"*","*",0,0,0,"*"
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","*",0,"*","*","*",0,0,0,"*",17
"Cheshire School District","=""0250011""","Norton School","=""0250511""",0,0,"*",0,0,0,0,0,0,0
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",0,0,7,"*",16,20,"*","*",0,"*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",0,0,0,0,0,"*",0,0,0,6
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",0,"*","*",0,"*",14,0,"*","*",19
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",0,0,0,0,0,"*",0,0,0,"*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",0,"*",12,0,14,"*",0,"*",23,175
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",0,"*",8,8,12,6,0,"*",37,159
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",0,0,"*",0,"*",12,0,0,0,"*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",0,0,"*","*","*","*",0,"*",0,"*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","*","*",8,"*","*","*",0,"*",8,31
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",0,0,0,0,"*",0,0,0,0,0
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",0,"*","*",0,"*","*",0,0,0,0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",0,0,6,0,"*",0,0,0,0,12
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*",28,7,71,39,15,6,"*",278
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",0,9,23,"*",26,51,"*","*",13,94
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",0,"*",24,"*",51,"*",0,"*",16,209
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","*",11,23,14,96,40,"*","*",16,614
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","*","*",10,12,37,19,0,7,15,144
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","*","*",19,"*",35,27,"*","*",29,120
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","*","*",17,"*",14,"*","*","*",10,222
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","*","*",11,"*",23,"*","*","*",9,78
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","*","*",12,"*",21,21,12,"*",18,221
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","*","*",20,"*",36,8,7,6,"*",164
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","*","*",23,"*",16,"*","*","*","*",124
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","*","*",23,7,32,8,"*",6,30,200
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",8,12,35,10,18,13,"*",0,29,421
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*","*",63,"*",15,30,"*","*",28,270
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",0,"*",17,0,14,0,"*","*","*",66
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",6,21,27,"*",8,6,"*",0,6,105
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,0,0,0,0,0,0,0,0,"*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","*",0,"*","*",11,10,"*",0,0,9
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*",0,16,"*",35,7,"*",0,"*",43
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",0,0,"*",0,0,0,0,0,0,6
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",0,"*",13,"*",10,"*","*",0,"*",48
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",0,"*",38,"*",16,10,9,"*",22,336
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",0,0,19,0,17,"*","*",0,0,20
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",0,6,20,0,"*",60,6,0,9,375
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*",0,26,9,8,"*",0,0,0,86
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",0,0,0,"*",0,0,0,0,0,0
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",0,"*",0,0,0,0,0,"*",0,"*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,0,"*","*","*","*","*","*",19,43
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",0,0,13,10,33,31,0,10,0,46
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",7,"*",14,26,28,129,"*",7,47,1806
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",0,0,"*",0,0,"*",0,0,0,"*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","*",0,"*",0,"*","*",0,0,0,"*"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",0,0,"*",0,0,"*",0,0,0,"*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",0,"*","*",0,0,13,0,0,0,"*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",0,0,"*","*","*","*","*",0,0,0
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",0,0,"*",0,8,6,0,0,0,25
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",0,0,"*",0,"*",6,0,0,0,"*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,0,"*",0,8,10,0,"*",0,10
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",0,0,"*",0,"*",0,0,0,0,"*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",0,"*",16,11,10,62,"*","*",0,439
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",0,0,0,"*",8,"*",0,0,0,0
"Danbury School District","=""0340011""","South Street School","=""0341011""",0,0,"*",0,0,0,0,0,0,"*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",0,0,8,0,10,"*",0,0,0,13
"Darien School District","=""0350011""","Darien High School","=""0356111""","*","*","*",7,"*",0,7,"*",10,24
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",0,0,0,0,0,0,0,0,0,"*"
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",0,0,"*","*","*",9,0,0,"*","*"
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",0,0,0,0,0,0,0,0,0,"*"
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",0,0,"*",0,8,0,0,0,0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",0,0,"*",0,0,"*",0,0,0,0
"Derby School District","=""0370011""","Derby High School","=""0376111""",0,"*",21,"*",12,27,0,"*",0,416
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",0,0,0,0,"*","*","*","*",0,"*"
"Derby School District","=""0370011""","Irving School","=""0370411""","*","*",9,0,0,7,0,"*",0,"*"
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",0,0,0,0,0,"*",0,0,0,0
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",0,0,"*",0,8,7,"*","*","*",14
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*",0,"*",0,"*","*",0,"*",0,"*"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",0,0,0,0,0,"*",0,0,0,0
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",0,0,"*",0,0,0,0,0,0,0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",0,0,"*","*",0,"*",0,0,"*",22
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",0,"*","*",0,8,0,0,"*","*",15
"East Hampton School District","=""0420011""","Center School","=""0420311""",0,0,"*",0,"*",0,0,"*",0,0
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*",0,7,"*","*",15,"*","*","*",100
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","*",0,"*",0,"*",8,0,"*","*",8
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",0,0,15,0,7,8,0,"*",0,38
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",0,0,0,0,0,"*","*",0,0,21
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",0,"*",22,"*",52,6,0,0,0,15
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",0,"*",15,7,42,"*","*","*",0,59
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","*","*","*","*",27,"*","*",0,0,14
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",0,"*",84,16,229,18,"*","*",17,2413
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",11,17,133,17,182,99,17,"*","*",1065
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",0,"*",14,0,7,64,0,0,0,16
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",0,0,"*","*",0,"*",0,0,0,37
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",0,0,14,9,35,20,"*",0,"*",43
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",0,6,37,20,178,13,"*","*",0,45
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",0,"*",19,6,62,0,0,0,0,36
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",0,9,25,"*",45,40,"*",6,25,159
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",0,"*",9,11,95,"*",8,"*",0,160
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",0,"*",0,0,0,0,0,0,0,0
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",0,"*","*","*","*","*","*",0,0,"*"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",0,0,"*",0,0,0,0,"*",0,"*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","*",7,48,6,14,42,"*","*",19,488
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",0,"*",0,0,0,0,0,0,0,0
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",8,17,34,"*",47,23,19,"*","*",271
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",0,0,0,0,0,0,0,"*",0,0
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",0,"*",7,"*",7,15,13,0,14,63
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*","*",10,"*",7,25,"*",0,0,18
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",0,0,0,0,"*",0,0,0,0,"*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",0,0,8,0,6,11,"*","*",0,7
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",0,0,12,"*","*",15,"*","*",33,142
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",0,"*",14,"*","*",23,"*",0,"*",112
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",0,"*",21,0,10,15,11,0,0,14
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",0,"*","*",0,"*",0,"*",0,0,"*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",0,0,"*",0,"*",0,0,0,0,"*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",0,"*","*",0,"*","*",0,0,0,0
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",0,0,"*",0,"*",6,"*",0,0,0
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",0,0,"*",0,"*",16,0,"*",0,"*"
"Ellington School District","=""0480011""","Center School","=""0480111""",0,0,"*",0,"*","*",0,0,0,8
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",0,0,"*",0,0,0,0,0,0,"*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",0,0,12,"*",12,"*","*","*",31,205
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",0,0,"*","*","*","*","*",0,"*",11
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",0,0,13,0,17,"*",0,0,0,11
"Ellington School District","=""0480011""","Windermere School","=""0480611""","*","*","*",0,"*","*",0,"*",0,8
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","*",8,20,"*",36,45,"*",9,"*",371
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",0,0,"*","*",0,8,0,"*",0,15
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","*",0,"*","*",28,17,"*",0,12,274
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",0,"*","*","*",6,"*",0,0,0,28
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","*","*",24,7,17,25,"*",0,23,329
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",0,0,0,"*",10,"*",0,0,0,12
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",0,0,0,0,"*","*",0,"*",0,"*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",0,0,"*",0,"*","*",0,0,0,7
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",0,"*","*","*",17,38,0,0,"*",146
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",0,0,0,0,0,"*",0,0,0,"*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",0,0,"*",0,0,"*",0,"*",0,0
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",0,"*",7,"*","*",17,"*",0,0,8
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",0,0,0,0,"*",0,0,0,0,0
"Explorations District","=""2720013""","Explorations","=""2726113""",0,0,0,0,0,0,0,0,"*",58
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",0,0,"*",0,0,0,0,0,0,0
