"Incident Counts, 2011-12"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,0,"*",0,0,"*",0,0,0,0
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",0,"*",25,"*",11,37,6,"*","*",245
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",0,0,0,0,0,0,0,0,0,"*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",0,"*","*",0,0,0,0,"*",0,0
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,0,"*",0,0,7,0,0,0,"*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",10,0,29,6,6,6,"*","*",18,167
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",0,"*",33,"*","*",12,7,"*","*","*"
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",0,"*",0,0,"*",0,0,"*",0,0
"Cheshire School District","=""0250011""","Highland School","=""0250411""","*",0,"*",0,0,"*",0,"*",0,"*"
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",0,0,0,0,"*",0,0,0,"*",6
"Cheshire School District","=""0250011""","Norton School","=""0250511""",0,0,"*",0,0,0,0,"*",0,0
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",0,0,9,"*",24,10,0,"*",0,0
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",0,0,"*",0,0,0,0,0,0,"*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",0,7,"*",0,6,"*",0,"*","*",25
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",0,0,0,0,0,"*",0,"*",0,11
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",0,0,10,"*",9,"*",0,"*",41,203
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",0,"*",11,"*",0,"*","*",0,34,132
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",0,0,6,0,"*","*",0,0,0,"*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",0,0,"*","*",7,6,0,0,0,12
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",0,0,"*","*",10,"*",0,"*",0,34
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",0,"*",8,"*","*","*","*","*",0,"*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",0,"*","*","*",0,"*",0,"*","*",14
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*",21,"*",45,26,"*",0,14,200
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",0,31,32,"*",16,18,"*",0,6,351
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",0,"*",27,6,24,10,6,7,16,302
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","*",7,13,"*",45,41,13,"*",11,280
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","*","*",14,6,17,20,11,"*",13,235
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","*","*",19,"*",33,17,"*","*",36,354
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","*","*",18,"*",12,0,"*","*",7,180
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",0,"*",6,"*",19,8,"*","*",17,65
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","*",14,22,9,21,13,9,0,10,260
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","*","*",35,14,51,"*",7,7,18,432
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","*",7,25,10,17,11,11,6,25,119
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","*",6,13,8,16,18,7,9,20,248
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","*",8,41,17,22,7,"*","*",20,280
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",0,"*",50,0,31,10,"*",7,50,278
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","*","*",14,"*",17,"*",0,"*","*",69
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","*",9,18,"*",9,8,"*",8,18,139
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",0,0,6,0,6,7,0,0,0,10
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,"*",14,"*",48,"*",9,"*",0,11
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",0,"*",6,0,"*",8,0,"*",0,46
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",0,"*",22,0,8,7,9,"*",37,142
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",0,6,7,"*",7,"*","*",0,"*",22
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",0,"*",30,"*",6,35,6,"*",14,180
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*",6,19,6,20,6,6,"*","*",87
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",0,0,0,"*",0,0,0,0,0,"*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",0,0,0,0,"*","*",0,0,0,0
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,"*",10,"*","*","*","*",0,"*",32
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",0,0,11,"*",14,26,"*",6,"*",30
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","*",0,30,27,26,93,9,"*",35,1809
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",0,0,"*","*","*","*",0,0,0,7
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","*",0,0,0,0,"*",0,0,0,0
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",0,0,"*","*",0,7,0,0,0,"*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",0,0,"*",0,0,0,0,0,0,10
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",0,0,"*",0,0,"*",0,"*",0,"*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",0,0,0,0,"*","*",0,0,0,"*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",0,"*","*",0,0,10,0,0,0,"*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,"*",0,"*","*",0,0,"*",0,"*"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",0,0,"*","*","*",0,0,"*",0,"*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",0,"*",31,8,12,43,7,0,0,424
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","*",0,"*",0,"*","*",0,0,0,"*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",0,0,0,0,0,"*",0,0,0,"*"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",0,0,0,0,0,0,0,"*",0,"*"
"Darien School District","=""0350011""","Darien High School","=""0356111""",0,0,"*",7,"*","*","*",0,8,30
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",0,0,0,0,0,"*",0,0,0,0
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",0,0,"*",0,"*","*",0,0,0,"*"
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,0,0,0,0,0,0,0,"*",0
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",0,0,0,0,"*","*",0,0,0,"*"
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",0,0,"*",0,0,0,0,0,0,0
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",0,0,0,"*","*",7,0,0,0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",0,0,"*","*","*","*",0,"*",0,10
"Derby School District","=""0370011""","Derby High School","=""0376111""","*",0,"*","*",9,18,0,"*","*",152
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",0,0,11,0,23,27,0,"*","*",6
"Derby School District","=""0370011""","Irving School","=""0370411""",0,"*","*","*","*",18,0,"*",0,7
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",0,0,0,0,0,"*",0,"*",0,"*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",0,0,"*","*","*","*",0,0,0,16
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",0,"*",0,0,0,"*",0,0,0,"*"
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",0,0,0,0,0,0,0,0,0,"*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",0,0,6,"*",0,"*","*","*","*",23
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",0,0,0,"*","*","*",0,0,"*",16
"East Hampton School District","=""0420011""","Center School","=""0420311""",0,0,0,0,"*","*",0,"*",0,"*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*",16,"*","*",11,0,0,"*",68
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",0,0,"*","*","*",7,"*",0,0,"*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",0,0,15,0,13,"*",0,0,0,20
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",0,0,"*",0,0,"*",0,0,0,17
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",0,6,14,6,38,"*","*",0,0,28
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",0,"*",22,"*",60,"*","*",0,0,29
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",0,0,10,9,28,"*",0,0,0,20
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",0,"*",79,8,254,42,6,13,16,2062
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","*",69,104,10,235,65,21,"*","*",953
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",0,0,6,"*",21,7,"*",0,0,15
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",0,0,"*","*",11,0,"*","*",0,25
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",0,"*",14,14,47,8,"*","*",0,74
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",0,"*",37,17,152,11,18,"*",0,107
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",0,0,"*",0,32,0,0,0,0,25
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",0,10,18,"*",30,54,"*","*",12,96
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",0,"*",16,16,93,"*","*","*",0,264
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",0,0,"*",0,"*","*",0,"*",0,9
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",0,0,0,0,0,"*",0,0,0,0
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",0,0,"*",0,"*","*",0,0,0,"*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","*",8,30,9,17,28,"*",0,31,438
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",0,0,0,0,0,"*",0,0,0,0
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","*",11,53,"*",25,47,7,0,0,149
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",0,0,0,0,"*",0,0,"*",0,0
"East Haven School District","=""0440011""","Pathways","=""0449011""","*",0,"*",0,0,7,"*",0,0,0
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",0,"*",11,"*","*",7,"*",0,18,62
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",0,6,17,"*","*",22,"*","*",0,38
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",0,0,6,0,"*",9,0,0,0,11
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",0,0,10,"*",9,13,0,"*",6,215
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",0,"*",8,"*","*","*",0,"*",0,114
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",0,"*",0,0,0,0,0,0,0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",0,0,"*",0,0,0,0,0,"*",0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",0,0,0,0,"*","*","*",0,"*",8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",0,0,"*",0,0,"*",0,0,"*",9
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",0,0,"*",0,"*",0,0,"*",0,"*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",0,0,"*",0,"*","*",0,0,0,0
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",0,0,"*",0,"*",0,0,"*",0,0
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",0,0,"*",0,"*",49,"*",0,0,0
"Ellington School District","=""0480011""","Center School","=""0480111""",0,0,0,0,0,"*",0,0,0,10
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",0,0,"*",0,"*",0,0,0,0,0
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",0,"*",23,"*",14,11,"*","*",25,155
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",0,"*","*","*",0,"*",0,0,"*",10
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",0,"*",13,0,8,"*","*",0,0,8
"Ellington School District","=""0480011""","Windermere School","=""0480611""",0,0,"*","*","*",0,0,"*",0,"*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","*",0,21,9,42,"*","*","*","*",460
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",0,"*","*","*","*","*",0,"*",0,14
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",0,0,0,6,"*",0,0,"*",0,43
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",0,0,"*","*",24,11,"*",0,7,262
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",0,0,0,0,"*",0,0,0,0,"*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",0,"*",23,"*",15,20,"*","*",23,406
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",0,0,"*",0,0,0,0,0,0,"*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",0,0,"*",0,0,0,0,0,0,0
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",0,"*",15,8,53,56,"*",11,"*",189
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",0,0,"*",0,"*",0,0,0,0,"*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",0,0,"*","*","*","*",0,"*",0,15
"Explorations District","=""1480011""","Lyman Hall High School","=""1486111""",0,0,0,0,0,0,0,0,0,"*"
