"Incident Counts, 2015-16"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",0,0,17,"*",19,28,0,"*",0,29
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,0,0,0,39,11,0,0,0,34
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",0,0,0,"*","*",0,0,0,0,0
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,0,"*",0,17,"*",0,0,0,6
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",0,0,0,0,"*",0,0,0,0,"*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",0,"*","*","*","*","*",0,0,"*",10
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,"*","*","*","*","*",0,0,"*",27
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","*",0,"*",0,46,"*",0,0,0,9
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",0,0,"*",0,0,"*",0,0,0,"*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,"*","*","*",13,"*","*",0,15,146
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",0,0,"*","*",9,"*",0,0,"*",41
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*","*",12,7,23,8,7,"*",0,31
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",0,0,0,0,"*","*",0,0,0,"*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",0,0,0,0,"*","*",0,0,0,"*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",18,9,148,68,"*",8,8,584
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",0,"*","*","*",14,8,0,0,"*",289
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","*","*",20,"*",27,112,"*",8,"*",27
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*",0,20,10,74,135,"*",7,"*",788
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",0,"*","*",7,35,32,"*",0,0,34
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","*","*",10,"*",17,40,"*",0,"*",164
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,"*",10,0,6,68,"*","*",0,13
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",0,0,11,"*",57,67,"*","*",0,54
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,0,"*",0,0,"*","*","*",0,7
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",8,0,15,6,37,15,6,"*","*",300
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",0,0,19,"*",35,76,9,"*","*",16
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",7,"*",24,7,100,50,9,13,22,1063
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*","*",43,"*",140,105,8,"*","*",198
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*","*",14,7,71,112,"*",0,0,14
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","*","*",26,"*",91,164,6,"*","*",65
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","*","*",13,"*",297,70,9,0,0,260
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","*",8,17,"*",115,190,"*","*","*",89
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",0,"*",14,"*",59,169,10,0,0,20
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",0,"*","*","*",27,108,6,"*",0,0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",0,0,6,"*",34,50,"*","*","*",61
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",0,0,"*",0,6,"*",0,0,0,"*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",0,"*",8,"*",57,58,"*","*",0,"*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",11,8,26,13,48,142,6,8,"*",469
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","*","*","*",10,22,36,"*",0,0,24
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","*","*",8,"*",24,39,"*","*",0,42
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",0,0,6,"*",21,22,0,"*","*",234
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",0,0,0,0,"*","*",0,0,0,"*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","*","*",39,21,111,198,"*","*",0,210
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*","*",28,"*",26,175,"*",10,"*",47
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",0,0,"*",6,87,63,"*",0,0,30
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,"*","*","*","*","*","*",0,0,6
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","*",0,0,"*",8,30,"*",0,"*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","*",9,48,15,154,221,19,"*","*",143
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",7,"*",51,10,116,259,16,7,"*",216
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",0,0,0,0,0,"*","*",0,0,0
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",0,"*",30,"*",78,91,"*","*","*",105
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","*",0,"*",0,"*",19,0,"*","*",17
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,0,"*",0,"*","*",0,0,0,0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",0,0,9,9,13,29,"*","*",6,136
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","*","*",33,"*",6,21,"*","*",18,335
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","*",0,"*","*",0,0,0,0,0,12
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",0,0,"*",0,"*","*",0,0,0,12
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",0,7,17,8,40,46,"*",0,"*",115
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","*",0,"*",0,0,"*",0,"*",0,"*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","*","*",6,"*",23,27,"*",0,0,"*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",0,0,"*","*","*",18,0,"*",0,23
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""",0,0,0,0,0,"*",0,0,0,0
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",0,"*",13,"*","*",27,0,"*",0,31
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",0,0,"*",0,"*","*",0,0,0,"*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",0,"*","*",0,17,14,0,"*",0,"*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",0,0,0,"*","*","*",0,0,0,6
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""",0,0,0,0,"*",11,0,0,0,"*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",0,0,"*",0,0,0,0,0,0,13
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","*",0,6,"*","*",7,0,0,"*",35
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""",0,0,0,0,"*","*",0,0,0,0
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",0,0,0,0,"*","*",0,0,0,"*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",0,"*",8,"*","*",10,0,"*","*",25
"Bristol School District","=""0170011""","Stafford School","=""0171211""","*",0,13,"*","*",37,0,"*",0,24
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","*","*",34,10,19,60,"*","*",0,52
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*","*",6,"*","*","*",0,"*",22,29
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",0,0,0,0,0,"*",0,0,0,0
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",0,"*","*","*",7,13,0,0,"*",13
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*",0,14,0,59,"*","*","*",0,33
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*",14,17,"*",9,"*","*",0,"*",38
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",0,0,"*",0,0,"*",0,0,0,0
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",0,0,0,0,0,0,0,0,0,"*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",0,0,"*",0,"*",6,0,0,0,"*"
"Canton School District","=""0230011""","Canton Academy","=""0230411""",0,0,0,0,0,"*",0,0,0,0
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,0,"*",0,"*","*",0,0,"*",7
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,0,"*","*","*",11,0,"*",0,"*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,0,"*","*",0,6,"*","*","*",12
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","*",0,"*","*",26,9,"*","*",0,50
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",0,"*",20,21,29,43,"*","*",8,195
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",0,0,"*",0,6,"*",0,0,0,"*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","*",0,"*",0,0,"*","*",0,0,129
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,0,6,0,8,"*",0,"*",0,32
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",0,0,0,0,0,"*",0,0,0,"*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",0,"*",27,"*",22,17,"*",0,"*",361
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","*",0,9,9,80,31,"*","*","*",255
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",0,0,0,0,0,"*",0,0,0,0
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",0,0,0,0,"*",0,0,0,0,"*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","*",10,32,10,49,46,10,"*","*",233
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",0,0,0,0,9,7,0,0,0,"*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",0,"*",8,"*",12,7,0,"*",15,148
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","*","*",6,7,48,22,"*","*","*",56
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",0,0,0,0,"*",0,0,0,0,0
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",0,0,"*",0,0,0,0,0,0,0
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,0,"*",0,0,"*","*",0,0,"*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*",0,"*",15,8,13,"*","*",44,127
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",0,"*",11,"*",9,18,"*","*","*",8
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",0,0,"*",0,"*",12,0,0,0,0
"Cheshire School District","=""0250011""","Highland School","=""0250411""",0,0,6,0,"*","*",0,0,"*",7
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",0,0,0,"*",0,0,0,0,"*",18
"Cheshire School District","=""0250011""","Norton School","=""0250511""",0,0,"*",0,"*","*",0,"*",0,"*"
"Clinton School District","=""""","Pathways","=""0440221""",0,0,0,0,0,0,0,0,0,"*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",0,0,"*",0,0,"*",0,0,0,"*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",0,"*","*",0,"*","*",0,0,0,8
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",0,0,0,"*",0,0,0,0,0,11
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",0,"*","*",0,"*","*","*","*",6,68
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",0,0,9,0,"*",12,0,"*",15,54
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",0,0,0,0,0,0,0,0,0,"*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","*",0,"*",0,"*","*",0,0,0,11
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",0,0,"*","*","*","*",0,"*",0,28
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",0,0,0,0,0,0,0,0,0,"*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",0,0,0,0,"*","*",0,0,0,7
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","*","*","*",0,"*","*",0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",7,0,13,"*",29,78,"*",0,7,136
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","*","*",11,"*",13,13,"*","*","*",65
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",0,"*",15,6,19,21,8,"*",12,143
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","*","*",16,11,40,29,0,"*","*",114
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",0,0,10,"*",11,13,"*","*","*",91
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","*",0,8,0,16,8,0,"*",7,74
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","*",0,8,"*",8,"*","*","*","*",67
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",0,"*","*","*",13,"*","*","*",12,28
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","*",0,14,"*",10,8,0,"*",29,86
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","*",19,29,"*",30,15,"*","*",6,110
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""","*",0,13,"*","*",7,0,0,13,60
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",0,"*",10,"*",8,12,"*",6,14,101
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","*",0,6,"*",8,6,0,"*",6,79
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",7,"*",19,"*",28,15,0,"*",6,119
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*","*",15,"*",17,33,"*","*",9,50
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",0,"*",8,"*",13,8,"*",0,"*",86
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",0,0,7,"*",8,"*","*",0,6,87
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,0,0,0,"*","*",0,0,0,0
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",0,0,0,0,"*","*",0,0,0,"*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,0,12,0,27,6,"*","*","*",24
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",0,0,"*",0,"*",7,0,0,0,0
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",0,"*","*",0,6,"*",0,0,0,10
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",0,0,0,0,0,"*",0,"*","*",0
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",0,0,"*",0,9,10,0,0,"*",10
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","*",0,"*","*","*","*","*",0,0,"*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",0,0,10,"*",6,23,"*","*",9,87
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",0,"*",6,"*","*",18,0,"*",0,43
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","*",0,"*","*","*",11,0,0,0,8
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",0,0,9,"*",0,"*",0,0,0,9
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,"*","*","*",0,10,0,"*",13,29
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",0,"*",10,"*",10,25,"*","*",0,43
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","*",0,23,"*",22,53,7,"*",34,1321
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",0,0,0,0,0,"*",0,0,0,0
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",0,0,"*",0,0,"*","*",0,0,"*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,"*",0,"*",0,"*",0,0,0,"*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",0,"*",31,"*",8,43,"*","*","*",169
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",0,0,"*",0,"*",0,0,0,0,0
"Danbury School District","=""0340011""","South Street School","=""0341011""",0,0,0,0,0,"*",0,0,0,"*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",0,0,"*",0,0,"*",0,0,0,"*"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",0,"*",19,0,"*",25,"*","*","*",30
"Darien School District","=""0350011""","Darien High School","=""0356111""",0,"*","*","*","*",0,0,"*",17,16
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",0,0,0,0,0,0,0,"*",0,0
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,0,0,0,"*","*",0,0,0,"*"
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",0,0,"*",0,"*","*",0,0,0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",0,"*","*","*","*",10,0,0,0,"*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",0,"*",6,"*","*",11,0,"*","*",80
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","*",0,17,"*",16,57,"*",0,0,54
"Derby School District","=""0370011""","Irving School","=""0370411""","*",0,"*",0,"*",21,0,0,0,"*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",0,0,17,"*","*","*",0,0,"*",43
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",0,0,"*","*",8,0,0,0,0,6
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",0,0,"*",0,"*","*",0,0,0,"*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","*",0,"*",0,"*",0,0,"*","*",7
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",0,"*","*",0,0,0,0,0,0,6
"East Hampton School District","=""0420011""","Center School","=""0420311""",0,0,0,0,0,"*",0,0,0,"*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*",8,"*","*",12,"*",0,"*",37
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",0,0,8,0,"*",12,"*",0,"*",13
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,0,"*",0,0,0,0,0,0,0
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",0,0,12,0,"*",0,13,0,0,21
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",0,0,0,"*",9,"*",0,"*",0,17
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",0,"*",39,"*",133,8,28,0,0,"*"
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","*",0,19,"*",54,7,"*",0,0,13
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","*","*",27,11,153,"*",8,"*","*",7
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","*","*",63,17,216,27,"*","*",32,1420
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","*",10,63,14,204,34,9,"*","*",334
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",0,0,"*",0,28,"*","*",0,0,0
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",0,"*",0,"*",0,22,0,0,0,"*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",0,0,"*","*",6,"*",0,0,0,"*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",0,0,7,23,18,0,8,0,0,24
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",0,0,"*",0,15,"*",0,0,0,7
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",0,0,24,0,31,7,"*","*","*",30
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",0,0,"*","*",26,"*","*",0,0,12
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",0,0,"*",0,0,"*",0,0,0,29
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",0,0,"*",0,0,0,"*",0,0,0
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",0,"*",29,"*",0,27,8,0,8,255
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",9,"*",36,"*",36,34,17,"*","*",122
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",0,0,0,0,"*",0,0,0,"*",10
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",0,0,"*","*","*",8,"*","*",18,44
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",0,"*",10,"*","*",35,"*",0,"*",22
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",0,0,0,0,"*",0,0,0,0,0
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",0,"*",7,"*",0,16,"*","*",0,13
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",0,"*",9,0,27,"*",0,"*","*",44
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",0,"*",9,"*","*",42,"*","*",0,59
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",0,0,"*",0,"*","*",0,0,"*",0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",0,0,"*",0,"*",28,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",0,0,"*",0,0,6,0,0,0,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",0,0,"*","*","*",8,0,0,8,23
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",0,0,"*",0,0,"*",0,"*",0,"*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",0,0,"*",0,"*","*","*",0,0,"*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",0,0,0,0,"*",0,0,0,0,"*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","*",0,7,0,9,13,"*",0,"*",19
