"Incident Counts, 2014-15"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,0,"*","*","*",17,0,"*",0,7
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,"*","*",7,27,6,0,"*","*",30
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",0,"*",9,0,15,15,"*","*","*",45
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,0,0,0,14,"*","*",0,0,9
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,0,0,0,6,0,0,0,0,"*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",0,0,0,0,"*",0,0,0,0,0
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",0,"*",7,"*",9,8,"*","*",0,6
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*","*","*",0,"*",6,"*",0,8,36
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",0,0,"*",0,30,23,"*",0,0,22
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",0,"*",0,0,0,"*",0,0,0,"*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,0,8,"*",13,"*","*","*",25,170
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",0,"*","*","*","*","*","*","*",7,78
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*","*",12,"*",21,6,0,0,0,38
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","*",0,0,0,0,0,0,0,0,0
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",0,0,0,0,"*",17,0,0,0,"*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",12,19,231,180,"*","*","*",1220
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",0,0,"*",0,12,7,0,0,"*",293
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",0,"*",15,10,72,69,6,"*","*",94
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",7,"*",29,16,87,114,11,7,26,773
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","*",0,17,"*",39,32,"*","*",0,16
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",0,0,0,0,0,"*","*",0,0,6
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,0,"*",0,15,"*","*",0,0,0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","*",0,"*","*",10,20,6,"*",0,52
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,0,"*",0,0,"*",0,0,0,"*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",0,0,10,0,42,47,0,"*","*",103
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",0,"*",42,0,42,100,"*",0,0,33
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",14,7,30,14,105,94,7,9,23,1300
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*","*",36,9,78,100,"*","*","*",93
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",0,"*",6,"*",10,26,"*","*",0,8
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",0,0,13,6,55,219,"*","*","*",50
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","*",0,21,"*",334,49,"*","*",0,351
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","*","*",6,"*",25,73,0,"*","*",103
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",0,28,79,6,123,213,12,"*","*",78
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",0,10,11,6,26,80,"*","*",0,37
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",0,"*",16,6,54,61,"*","*",0,164
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",0,"*",9,"*",27,49,"*",0,0,6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","*","*",34,8,123,144,"*","*",19,478
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,"*","*","*",19,23,"*","*",0,21
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","*","*",6,"*",20,38,7,0,0,78
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","*","*",9,"*",20,39,0,"*","*",373
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",0,0,"*",0,"*","*",0,0,0,"*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","*","*",15,"*",49,88,"*","*",0,205
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*",8,27,"*",65,158,6,"*",7,83
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","*",0,18,"*",92,51,0,0,0,29
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,0,"*","*","*","*",0,0,"*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","*","*","*","*","*",30,0,"*",0,15
"Bridgeport School District","=""0150011""","Read School","=""0152511""","*",7,40,20,121,156,11,"*",0,180
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","*","*",13,6,43,127,11,"*",7,142
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","*","*",23,"*",39,105,9,"*","*",109
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","*",0,"*",0,"*","*",0,"*",0,"*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*",18,"*",11,25,"*",9,17,222
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",0,"*",32,"*",6,23,"*","*",30,306
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",0,0,0,0,"*",0,0,0,"*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",0,0,"*",0,"*","*",0,0,0,"*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","*",10,21,"*",29,30,"*",0,12,93
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",0,0,14,"*",23,12,0,0,0,7
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","*","*","*","*",11,14,0,0,0,24
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",0,0,"*",0,0,"*",0,0,0,6
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","*","*",8,8,"*",41,6,"*","*",74
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",0,0,0,0,0,"*",0,0,0,"*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",0,"*",7,"*","*",7,0,"*",0,10
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",0,"*",0,0,"*","*",0,0,0,7
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""",0,0,0,"*","*","*",0,0,0,"*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",0,0,"*",0,0,"*",0,0,0,6
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",0,"*","*","*","*",6,"*",0,0,27
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""",0,0,0,0,0,"*",0,0,0,0
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",0,0,0,0,"*",6,0,0,0,7
"Bristol School District","=""0170011""","South Side School","=""0171111""","*","*",10,"*",16,"*","*",0,0,28
"Bristol School District","=""0170011""","Stafford School","=""0171211""",0,0,"*",0,"*",12,"*",0,0,10
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","*","*",37,"*",13,52,0,"*",0,87
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",0,"*","*","*","*","*",0,0,35,22
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",0,"*",12,0,"*",13,0,0,0,34
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",0,0,0,0,7,0,0,0,0,"*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",0,7,10,"*",21,"*","*",0,"*",56
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",0,"*","*",0,0,0,0,0,0,0
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",0,0,7,"*","*","*",0,0,0,8
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,0,"*",0,"*","*","*",0,"*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,0,0,0,0,"*",0,0,0,"*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,0,"*","*","*",0,0,0,0,6
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",0,0,0,0,0,"*",0,0,0,0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",0,"*",8,8,21,64,"*","*","*",268
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",0,0,0,0,0,19,"*",0,0,0
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",0,0,0,0,0,0,0,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","*","*",6,6,"*",18,"*",0,12,267
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,0,"*","*",12,22,0,"*","*",83
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",0,0,0,0,0,0,0,0,0,"*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",6,"*","*",72,"*","*","*",6
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,0,0,0,"*",0,0,"*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",0,0,10,8,6,31,"*",0,0,149
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","*","*","*","*","*",22,"*","*",0,11
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",0,"*",16,"*",25,51,0,"*","*",96
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",0,"*","*",0,0,9,0,0,0,"*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",0,"*","*",11,0,24,"*","*",8,105
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",0,"*",21,7,8,63,"*",8,"*",108
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",0,0,0,0,0,"*",0,0,0,0
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,0,"*",0,0,"*",0,0,0,0
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*",6,23,6,9,15,0,"*",89,88
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","*","*",16,"*","*",9,"*",0,9,12
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",0,0,"*",0,0,6,0,0,0,0
"Cheshire School District","=""0250011""","Highland School","=""0250411""",0,0,"*",0,"*","*",0,0,0,"*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""",0,0,0,0,0,0,0,"*",0,0
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",0,0,"*",0,"*",0,0,0,0,"*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",0,0,"*",0,0,"*",0,0,0,0
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",0,0,"*","*","*",0,0,0,"*",8
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",0,0,"*",0,0,"*",0,0,0,"*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",0,"*",6,"*",11,"*",0,0,14,130
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",0,0,17,"*","*",10,"*","*",24,107
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",0,0,0,0,0,"*","*",0,0,"*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",0,0,"*",0,"*",10,0,0,0,"*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",0,0,"*","*","*",7,"*",7,"*",34
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",0,0,0,"*","*",0,0,0,0,"*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",0,"*","*","*",14,10,0,"*",0,17
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",0,0,"*",0,"*","*",0,0,"*",9
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",9,"*",11,"*",50,45,0,"*",9,88
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",0,9,6,0,"*","*","*",0,0,45
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","*","*",17,8,19,25,"*","*",18,145
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","*",7,34,13,37,31,"*",6,"*",125
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",0,"*",16,"*",12,"*","*",0,12,116
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","*","*",9,"*",13,14,"*","*",32,117
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","*","*",8,0,8,"*",0,"*",10,112
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",0,0,12,0,8,"*","*",0,25,54
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","*","*",14,6,"*","*",6,"*",21,106
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","*",13,37,"*",48,14,"*","*",18,120
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",0,0,7,0,"*",12,0,"*",0,43
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",0,"*",13,"*",22,"*","*","*",16,92
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","*","*",6,0,10,10,0,"*",22,99
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",0,"*",20,"*",33,22,"*","*",16,88
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*",6,24,6,22,31,"*",7,25,83
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",0,"*",13,"*",16,"*","*",0,"*",96
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",0,"*",15,"*",11,10,7,"*",11,102
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",0,0,0,"*","*",9,"*",0,0,"*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*",0,"*","*",27,"*",0,"*","*",25
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",0,0,"*",0,0,0,0,0,0,"*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",0,0,"*",0,"*","*","*",0,"*",31
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",0,0,"*",0,0,"*",0,0,0,"*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",0,0,0,0,"*",0,0,0,0,"*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",0,0,"*","*","*","*",0,0,"*",19
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",0,"*","*","*",6,"*",0,"*",0,14
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",0,"*",9,0,"*",7,"*","*",10,70
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",0,0,11,"*","*",11,6,0,"*",67
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",0,"*",6,0,"*",9,0,0,0,"*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",0,"*",15,"*","*",6,0,"*",0,30
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,0,0,0,"*","*","*","*",18,31
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","*","*",16,"*",12,26,"*","*","*",39
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","*","*",30,17,20,79,"*","*",42,2161
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",0,0,0,0,0,0,0,"*",0,0
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",0,0,0,0,0,"*",0,0,0,0
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",0,0,6,0,"*","*",0,0,0,0
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",0,"*",9,0,0,"*",0,"*",0,"*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",0,0,8,0,"*",6,0,0,0,9
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,0,0,0,0,"*",0,0,0,"*"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",0,0,0,0,0,"*",0,0,0,"*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","*","*",44,"*",11,49,"*","*","*",128
"Danbury School District","=""0340011""","South Street School","=""0341011""",0,0,"*",0,"*","*",0,0,0,"*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",0,0,"*",0,"*","*",0,0,0,0
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""","*","*",12,"*",18,13,"*",0,0,25
"Darien School District","=""0350011""","Darien High School","=""0356111""",0,0,7,"*","*",0,0,"*",21,13
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",0,0,0,0,0,0,0,0,0,"*"
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",0,0,0,0,"*",0,0,0,"*","*"
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,0,0,0,"*","*",0,0,0,0
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",0,0,"*",0,"*","*",0,0,0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",0,0,"*",0,"*",6,0,"*",0,"*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","*",0,"*","*","*",17,"*","*",8,117
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","*",0,12,0,27,31,0,"*",0,190
"Derby School District","=""0370011""","Irving School","=""0370411""",0,0,8,0,30,18,0,0,0,15
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",0,"*",10,0,"*","*",0,"*","*",24
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",0,0,"*",0,"*","*",0,0,0,"*"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",0,0,0,"*",0,0,0,0,0,0
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",0,0,"*",0,0,"*",0,0,0,"*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",0,"*",0,0,0,0,0,0,"*",0
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","*","*","*","*",6,"*","*",0,0,6
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*",8,"*","*","*","*",0,7,21
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","*","*","*","*","*",8,0,"*","*",6
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",0,0,0,0,0,"*",0,0,0,"*"
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,0,0,0,0,0,0,0,"*",0
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",0,"*","*","*",10,0,9,0,0,16
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",0,0,"*",0,"*","*",0,0,0,14
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","*","*",16,14,75,10,13,0,0,18
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","*",0,7,"*",68,"*","*","*",0,47
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",0,12,19,14,118,8,"*","*",0,15
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","*","*",46,12,322,"*","*",7,13,2182
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","*",60,88,13,219,30,9,"*","*",544
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","*",10,"*","*","*",10,"*",0,0,9
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",0,0,0,"*",6,0,0,0,0,18
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",0,0,8,"*",20,0,"*",0,0,6
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",0,82,19,7,28,"*","*",0,0,25
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",0,"*",8,0,25,"*",0,"*",0,"*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",0,11,36,"*",20,"*","*","*","*",15
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",0,0,0,0,17,"*","*","*",0,11
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",0,0,"*",0,"*","*",0,0,"*",24
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",0,0,0,0,0,0,0,"*",0,0
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",0,6,18,"*","*",12,7,"*",20,129
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",9,11,18,"*",12,16,"*",0,"*",90
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",0,0,0,0,0,"*",0,0,"*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",0,"*","*","*","*","*","*",0,"*",33
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*",8,12,0,12,29,"*",0,"*",73
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",0,0,"*",0,"*",7,0,0,0,"*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",0,0,6,0,0,14,"*",0,0,"*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",0,0,"*",0,"*","*",0,"*","*",42
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",0,"*",7,"*","*",35,"*","*",0,26
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",0,0,0,0,0,0,0,"*",0,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",0,0,"*",0,"*",6,"*","*","*",6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",0,"*","*","*","*",9,0,"*",14,63
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",0,"*","*",0,0,"*",0,0,0,0
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",0,0,0,"*",0,"*",0,0,0,"*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",0,0,"*",0,"*",0,0,"*",0,"*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",0,"*",13,"*",9,11,0,0,"*",13
"Ellington School District","=""0480011""","Center School","=""0480111""",0,0,0,0,"*",0,0,"*",0,27
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",0,0,0,0,"*","*",0,0,0,"*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","*",0,"*",6,17,"*","*",0,"*",94
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",0,0,0,0,"*","*",0,0,0,18
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",0,"*",0,0,9,0,0,"*",0,"*"
