"Percentage of Revenue by Source (Excluding School Construction), 2014-15"
"All Districts"

"","_","_","_","_"
="Integrated Day Charter School District",0.0,86.9,2.9,10.2
="Interdistrict School for Arts and Comm District",0.0,77.6,2.3,20.1
="Jumoke Academy District",0.0,93.4,3.8,2.7
="Kent School District",94.5,2.5,2.3,0.7
="Killingly School District",49.7,41.6,2.6,6.1
="Lebanon School District",61.9,33.8,1.4,2.9
="Ledyard School District",57.1,37.5,1.9,3.4
="Lisbon School District",55.1,41.6,2.7,0.6
="Litchfield School District",88.9,9.2,1.9,0.1
="Madison School District",93.0,5.0,1.5,0.6
="Manchester School District",63.2,31.1,4.0,1.6
="Mansfield School District",65.3,32.7,1.9,0.1
="Marlborough School District",73.5,23.8,2.5,0.1
="Meriden School District",40.9,52.6,5.2,1.2
="Middletown School District",66.4,28.5,3.6,1.6
="Milford School District",86.1,11.5,2.2,0.2
="Monroe School District",83.9,14.1,1.5,0.4
="Montville School District",61.4,34.9,2.6,1.2
="Naugatuck School District",50.6,46.2,3.1,0.1
="New Britain School District",30.4,62.6,6.5,0.5
="New Canaan School District",95.9,2.6,1.1,0.4
="New Fairfield School District",83.7,12.1,1.3,2.8
="New Hartford School District",76.8,21.5,1.6,0.1
="New Haven School District",24.6,61.0,12.8,1.6
="New London School District",30.4,58.8,6.8,3.9
="New Milford School District",74.1,21.2,1.8,2.9
="Newington School District",77.0,20.8,1.6,0.6
="Newtown School District",85.8,7.9,5.6,0.7
="Norfolk School District",89.2,8.7,2.0,0.1
="North Branford School District",69.3,28.5,2.2,0.0
="North Canaan School District",70.4,26.0,3.5,0.1
="North Haven School District",88.3,10.2,1.5,0.0
="North Stonington School District",74.6,23.1,2.0,0.3
="Norwalk School District",84.1,11.4,2.6,1.9
="Norwich School District",43.4,51.9,4.0,0.7
="Odyssey Community School District",0.0,96.7,1.9,1.4
="Old Saybrook School District",91.8,5.1,1.7,1.4
="Orange School District",93.6,4.6,1.8,0.0
="Oxford School District",79.9,18.4,1.7,0.0
="Park City Prep Charter School District",0.0,88.2,4.7,7.1
="Path Academy District",0.0,73.8,7.5,18.7
="Plainfield School District",45.7,46.5,2.7,5.1
="Plainville School District",61.7,34.7,2.3,1.2
="Plymouth School District",53.7,43.3,2.7,0.2
="Pomfret School District",62.2,35.0,2.4,0.5
="Portland School District",73.6,24.1,1.9,0.3
="Preston School District",65.3,31.6,2.5,0.6
="Putnam School District",43.4,52.3,3.4,0.9
="Redding School District",93.0,4.7,1.3,1.0
="Regional School District 01",80.6,16.5,2.0,0.9
="Regional School District 04",87.3,11.1,1.6,0.0
="Regional School District 05",89.8,8.5,1.4,0.3
="Regional School District 06",83.1,9.1,1.4,6.4
="Regional School District 07",74.3,19.9,1.3,4.4
="Regional School District 08",70.9,27.2,1.4,0.4
="Regional School District 09",93.0,5.9,1.0,0.0
="Regional School District 10",73.1,24.7,1.7,0.5
="Regional School District 11",63.4,32.5,1.8,2.3
="Regional School District 12",94.4,2.7,1.9,1.0
="Regional School District 13",78.9,19.4,1.4,0.4
="Regional School District 14",80.4,12.2,1.7,5.7
="Regional School District 15",89.7,8.3,1.7,0.2
="Regional School District 16",65.6,28.8,1.7,4.0
="Regional School District 17",85.4,12.9,1.6,0.0
="Regional School District 18",95.2,3.4,1.3,0.2
="Regional School District 19",52.9,30.8,1.7,14.6
="Ridgefield School District",93.5,4.8,1.4,0.3
="Rocky Hill School District",87.3,10.7,1.8,0.1
="Salem School District",66.8,31.6,1.4,0.2
="Salisbury School District",95.0,2.3,2.4,0.3
="Scotland School District",57.6,36.4,2.1,3.9
="Seymour School District",64.4,32.9,2.7,0.0
="Sharon School District",95.8,2.1,2.0,0.1
="Shelton School District",89.0,9.0,1.5,0.4
="Sherman School District",92.9,4.8,1.6,0.7
="Side By Side Charter School District",0.0,88.0,1.9,10.1
="Simsbury School District",86.9,11.4,1.5,0.1
="Somers School District",68.0,30.2,1.7,0.1
="South Windsor School District",76.8,20.7,1.9,0.6
="Southington School District",70.9,25.5,2.5,1.1
="Sprague School District",50.9,45.8,3.0,0.4
="Stafford School District",57.8,39.3,2.5,0.4
="Stamford Academy District",0.0,52.1,3.5,44.4
="Stamford School District",85.7,10.9,2.8,0.6
="Sterling School District",51.4,45.2,2.8,0.5
="Stonington School District",90.1,7.8,2.0,0.1
="Stratford School District",74.0,23.1,2.7,0.2
="Suffield School District",72.2,23.2,1.9,2.8
="The Bridge Academy District",0.0,86.1,7.0,6.9
="Thomaston School District",56.0,41.1,2.6,0.3
="Thompson School District",46.9,49.2,3.1,0.8
="Tolland School District",66.8,31.4,1.4,0.4
="Torrington School District",59.9,36.3,3.1,0.8
="Trailblazers Academy District",0.0,32.0,3.3,64.7
="Trumbull School District",91.1,5.1,2.0,1.7
="Union School District",83.8,14.5,1.7,0.0
="Vernon School District",58.2,38.2,2.9,0.8
="Voluntown School District",57.1,41.1,1.9,0.0
="Wallingford School District",71.9,24.8,1.8,1.5
="Waterbury School District",36.2,56.9,6.0,0.9
="Waterford School District",92.9,4.9,1.7,0.5
="Watertown School District",65.2,31.6,2.7,0.5
="West Hartford School District",82.1,15.3,2.1,0.5
="West Haven School District",44.5,50.3,4.3,0.9
="Westbrook School District",95.3,2.9,1.4,0.3
="Weston School District",94.9,4.2,0.6,0.3
="Westport School District",96.2,2.3,1.3,0.2
="Wethersfield School District",79.6,18.2,1.7,0.5
="Willington School District",67.4,30.3,2.3,0.0
="Wilton School District",94.9,3.6,1.2,0.3
="Windham School District",34.2,56.3,8.0,1.5
="Windsor Locks School District",75.8,21.1,2.4,0.8
="Windsor School District",76.0,21.2,2.1,0.7
="Wolcott School District",54.3,42.9,2.3,0.5
="Woodbridge School District",94.1,3.7,2.1,0.1
="Woodstock School District",63.7,32.9,2.8,0.6


"Percentage of Revenue by Source (Including School Construction), 2014-15"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,83.2,8.0,8.8
="Amistad Academy District",0.0,87.8,10.5,1.6
="Andover School District",66.1,30.8,3.0,0.1
="Ansonia School District",40.6,54.8,3.9,0.7
="Ashford School District",58.4,38.8,2.8,0.0
="Avon School District",90.0,7.2,1.4,1.4
="Barkhamsted School District",75.1,21.9,2.7,0.3
="Berlin School District",64.4,33.8,1.6,0.1
="Bethany School District",82.2,14.7,3.1,0.1
="Bethel School District",79.7,18.5,1.8,0.1
="Bloomfield School District",72.7,23.3,3.0,1.0
="Bolton School District",66.1,27.2,1.3,5.4
="Booker T. Washington Academy District",0.0,63.0,0.0,37.0
="Bozrah School District",73.7,24.2,2.2,0.0
="Branford School District",92.9,5.1,2.0,0.0
="Brass City Charter School District",0.0,76.7,7.3,16.0
="Bridgeport Achievement First District",8.4,62.1,6.5,23.1
="Bridgeport School District",21.2,70.6,6.7,1.4
="Bristol School District",54.3,41.4,3.5,0.8
="Brookfield School District",92.6,6.0,1.4,0.0
="Brooklyn School District",53.3,44.2,2.3,0.2
="Canaan School District",90.3,7.8,1.8,0.1
="Canterbury School District",55.4,42.4,2.1,0.0
="Canton School District",79.2,18.1,1.4,1.2
="Chaplin School District",60.2,36.2,2.3,1.3
="Cheshire School District",81.4,16.0,1.8,0.8
="Chester School District",89.2,8.1,2.7,0.0
="Clinton School District",64.5,33.8,1.8,0.0
="Colchester School District",62.2,35.0,1.7,1.1
="Colebrook School District",83.4,13.6,2.8,0.2
="Columbia School District",75.0,23.1,1.6,0.3
="Common Ground High School District",0.0,83.4,3.7,12.9
="Cornwall School District",95.3,1.8,2.7,0.2
="Coventry School District",64.3,33.8,1.7,0.2
="Cromwell School District",78.8,18.8,2.1,0.3
="Danbury School District",59.4,36.5,3.2,1.0
="Darien School District",94.1,4.6,1.2,0.0
="Deep River School District",78.9,18.1,3.0,0.0
="Derby School District",49.5,46.7,3.8,0.0
="East Granby School District",85.1,13.4,1.3,0.1
="East Haddam School District",75.1,20.5,1.4,3.0
="East Hampton School District",57.6,41.6,0.7,0.1
="East Hartford School District",36.8,51.0,6.1,6.1
="East Haven School District",53.2,40.9,2.5,3.4
="East Lyme School District",75.0,16.7,1.7,6.6
="East Windsor School District",66.2,30.5,1.8,1.4
="Eastford School District",64.1,32.7,1.7,1.6
="Easton School District",89.0,8.8,1.3,0.8
="Ellington School District",58.4,39.7,1.6,0.3
="Elm City College Preparatory School District",8.4,58.4,3.5,29.7
="Elm City Montessori School District",0.0,17.9,1.4,80.7
="Enfield School District",42.4,54.5,2.8,0.2
="Essex School District",94.3,3.8,1.9,0.0
="Explorations District",4.0,69.3,2.0,24.6
="Fairfield School District",94.1,4.5,1.3,0.1
="Farmington School District",90.5,5.8,2.0,1.7
="Franklin School District",71.4,26.3,2.0,0.3
="Glastonbury School District",89.9,8.2,1.5,0.5
="Granby School District",75.4,20.2,1.5,2.9
="Great Oaks Charter School District",0.0,70.8,21.5,7.8
="Greenwich School District",93.3,4.5,1.6,0.6
="Griswold School District",47.8,44.7,2.2,5.3
="Groton School District",63.5,34.2,2.2,0.0
="Guilford School District",73.8,24.6,1.2,0.3
="Hamden School District",71.9,25.8,2.1,0.2
="Hampton School District",60.1,36.3,2.3,1.3
="Hartland School District",68.6,29.4,1.7,0.4
="Hebron School District",70.5,28.2,1.0,0.3
="Highville Charter School District",0.0,41.9,3.2,54.9
="Integrated Day Charter School District",0.0,86.6,2.9,10.5
="Interdistrict School for Arts and Comm District",0.0,69.4,1.8,28.8
="Jumoke Academy District",0.0,86.8,3.6,9.6
="Kent School District",95.0,2.3,2.1,0.6
="Killingly School District",46.4,45.3,2.5,5.9
="Lebanon School District",63.5,32.3,1.4,2.8
="Ledyard School District",57.9,36.8,1.9,3.4
="Lisbon School District",56.0,40.8,2.6,0.6
="Litchfield School District",88.8,9.4,1.7,0.1
="Madison School District",93.4,4.7,1.4,0.5
="Manchester School District",63.8,30.7,3.9,1.5
="Mansfield School District",65.5,32.5,1.9,0.1
="Marlborough School District",75.9,21.7,2.3,0.1
="Meriden School District",21.8,73.4,3.9,0.9
="Middletown School District",68.2,26.9,3.4,1.5
="Milford School District",86.5,11.2,2.1,0.2
="Monroe School District",84.1,14.0,1.4,0.4
="Montville School District",62.4,33.9,2.5,1.1
="Naugatuck School District",13.4,83.5,3.1,0.1
="New Britain School District",30.7,62.2,6.7,0.5
="New Canaan School District",96.0,2.7,1.0,0.4
="New Fairfield School District",84.6,11.5,1.3,2.6
="New Hartford School District",77.2,21.2,1.6,0.1
="New Haven School District",28.5,59.1,11.1,1.4
="New London School District",30.6,59.3,6.5,3.6
="New Milford School District",73.8,21.8,1.7,2.8
="Newington School District",76.4,21.5,1.6,0.6
="Newtown School District",87.7,7.1,4.6,0.6
="Norfolk School District",89.2,8.7,2.0,0.1
="North Branford School District",71.5,26.6,2.0,0.0
="North Canaan School District",70.9,25.5,3.4,0.1
="North Haven School District",88.7,9.7,1.5,0.0
="North Stonington School District",72.8,25.0,2.0,0.3
="Norwalk School District",84.8,11.0,2.4,1.8
="Norwich School District",44.4,51.0,3.9,0.7
="Odyssey Community School District",0.0,86.1,1.3,12.6
="Old Saybrook School District",92.2,4.9,1.6,1.3
="Orange School District",91.5,6.8,1.7,0.0
="Oxford School District",81.4,17.1,1.6,0.0
="Park City Prep Charter School District",0.0,93.2,4.0,2.7
="Path Academy District",0.0,73.8,7.5,18.7
="Plainfield School District",46.9,45.5,2.6,5.0
="Plainville School District",64.8,31.9,2.2,1.1
="Plymouth School District",56.3,41.0,2.6,0.2
="Pomfret School District",62.3,34.9,2.4,0.5
="Portland School District",75.2,22.7,1.8,0.3
="Preston School District",66.4,30.6,2.4,0.6
="Putnam School District",43.5,53.6,2.3,0.6
="Redding School District",93.7,4.2,1.2,0.9
="Regional School District 01",81.7,15.6,1.9,0.9
="Regional School District 04",88.6,10.0,1.5,0.0
="Regional School District 05",90.9,7.6,1.3,0.2
="Regional School District 06",83.6,8.9,1.4,6.2
="Regional School District 07",75.5,19.0,1.3,4.2
="Regional School District 08",73.5,24.8,1.3,0.4
="Regional School District 09",93.7,5.3,0.9,0.0
="Regional School District 10",74.2,23.7,1.6,0.4
="Regional School District 11",63.4,32.5,1.8,2.3
="Regional School District 12",94.6,2.7,1.8,0.9
="Regional School District 13",79.5,18.8,1.3,0.3
="Regional School District 14",80.1,12.7,1.7,5.6
="Regional School District 15",89.6,8.5,1.6,0.2
="Regional School District 16",47.0,49.2,1.1,2.6
="Regional School District 17",86.2,12.2,1.5,0.0
="Regional School District 18",95.3,3.4,1.1,0.2
="Regional School District 19",51.1,34.2,1.5,13.2
="Ridgefield School District",93.8,4.6,1.3,0.3
="Rocky Hill School District",82.9,15.4,1.6,0.1
="Salem School District",67.3,31.2,1.4,0.2
="Salisbury School District",95.1,2.2,2.4,0.3
="Scotland School District",62.0,32.6,1.9,3.5
="Seymour School District",67.3,30.2,2.4,0.0
="Sharon School District",95.8,2.1,2.0,0.1
="Shelton School District",87.4,10.8,1.4,0.4
="Sherman School District",93.2,4.6,1.5,0.7
="Side By Side Charter School District",0.0,93.6,1.9,4.5
="Simsbury School District",87.5,11.0,1.5,0.1
="Somers School District",69.1,29.1,1.6,0.1
="South Windsor School District",77.3,20.3,1.8,0.6
="Southington School District",60.8,36.3,2.0,0.9
="Sprague School District",51.5,45.2,2.9,0.4
="Stafford School District",59.3,37.9,2.4,0.4
="Stamford Academy District",0.0,52.1,3.5,44.4
="Stamford School District",86.3,10.6,2.6,0.5
="Sterling School District",56.4,40.6,2.6,0.5
="Stonington School District",90.7,7.3,1.9,0.1
="Stratford School District",72.1,25.1,2.5,0.2
="Suffield School District",73.1,22.4,1.8,2.6
="The Bridge Academy District",0.0,82.8,6.6,10.6
="Thomaston School District",49.0,48.3,2.4,0.3
="Thompson School District",49.7,46.7,2.9,0.7
="Tolland School District",68.4,29.9,1.3,0.4
="Torrington School District",60.0,36.3,3.0,0.7
="Trailblazers Academy District",0.0,32.0,3.3,64.7
="Trumbull School District",91.3,5.2,1.9,1.6
="Union School District",82.2,16.3,1.4,0.0
="Vernon School District",59.9,36.6,2.7,0.7
="Voluntown School District",57.1,41.1,1.9,0.0
="Wallingford School District",72.7,24.1,1.8,1.4
="Waterbury School District",35.0,58.5,5.6,0.9
="Waterford School District",93.2,5.0,1.5,0.4
="Watertown School District",67.5,29.7,2.4,0.4
="West Hartford School District",79.5,18.0,2.0,0.4
="West Haven School District",45.7,49.4,4.1,0.9
="Westbrook School District",95.7,2.7,1.3,0.3
="Weston School District",95.0,4.2,0.5,0.3
="Westport School District",96.0,2.6,1.2,0.2
="Wethersfield School District",60.6,37.8,1.3,0.4
="Willington School District",66.7,30.9,2.3,0.0
="Wilton School District",95.0,3.6,1.1,0.3
="Windham School District",26.9,64.0,7.6,1.4
="Windsor Locks School District",75.1,21.9,2.3,0.8
="Windsor School District",76.4,20.8,2.1,0.7
="Wolcott School District",55.0,42.4,2.1,0.5
="Woodbridge School District",93.7,4.1,2.0,0.1
="Woodstock School District",64.0,32.6,2.8,0.6

