"Percentage of Revenue by Source (Including School Construction), 2014-15"
"All Districts"

"","_","_","_","_"
="Integrated Day Charter School District",0.0,86.6,2.9,10.5
="Interdistrict School for Arts and Comm District",0.0,69.4,1.8,28.8
="Jumoke Academy District",0.0,86.8,3.6,9.6
="Kent School District",95.0,2.3,2.1,0.6
="Killingly School District",46.4,45.3,2.5,5.9
="Lebanon School District",63.5,32.3,1.4,2.8
="Ledyard School District",57.9,36.8,1.9,3.4
="Lisbon School District",56.0,40.8,2.6,0.6
="Litchfield School District",88.8,9.4,1.7,0.1
="Madison School District",93.4,4.7,1.4,0.5
="Manchester School District",63.8,30.7,3.9,1.5
="Mansfield School District",65.5,32.5,1.9,0.1
="Marlborough School District",75.9,21.7,2.3,0.1
="Meriden School District",21.8,73.4,3.9,0.9
="Middletown School District",68.2,26.9,3.4,1.5
="Milford School District",86.5,11.2,2.1,0.2
="Monroe School District",84.1,14.0,1.4,0.4
="Montville School District",62.4,33.9,2.5,1.1
="Naugatuck School District",13.4,83.5,3.1,0.1
="New Britain School District",30.7,62.2,6.7,0.5
="New Canaan School District",96.0,2.7,1.0,0.4
="New Fairfield School District",84.6,11.5,1.3,2.6
="New Hartford School District",77.2,21.2,1.6,0.1
="New Haven School District",28.5,59.1,11.1,1.4
="New London School District",30.6,59.3,6.5,3.6
="New Milford School District",73.8,21.8,1.7,2.8
="Newington School District",76.4,21.5,1.6,0.6
="Newtown School District",87.7,7.1,4.6,0.6
="Norfolk School District",89.2,8.7,2.0,0.1
="North Branford School District",71.5,26.6,2.0,0.0
="North Canaan School District",70.9,25.5,3.4,0.1
="North Haven School District",88.7,9.7,1.5,0.0
="North Stonington School District",72.8,25.0,2.0,0.3
="Norwalk School District",84.8,11.0,2.4,1.8
="Norwich School District",44.4,51.0,3.9,0.7
="Odyssey Community School District",0.0,86.1,1.3,12.6
="Old Saybrook School District",92.2,4.9,1.6,1.3
="Orange School District",91.5,6.8,1.7,0.0
="Oxford School District",81.4,17.1,1.6,0.0
="Park City Prep Charter School District",0.0,93.2,4.0,2.7
="Path Academy District",0.0,73.8,7.5,18.7
="Plainfield School District",46.9,45.5,2.6,5.0
="Plainville School District",64.8,31.9,2.2,1.1
="Plymouth School District",56.3,41.0,2.6,0.2
="Pomfret School District",62.3,34.9,2.4,0.5
="Portland School District",75.2,22.7,1.8,0.3
="Preston School District",66.4,30.6,2.4,0.6
="Putnam School District",43.5,53.6,2.3,0.6
="Redding School District",93.7,4.2,1.2,0.9
="Regional School District 01",81.7,15.6,1.9,0.9
="Regional School District 04",88.6,10.0,1.5,0.0
="Regional School District 05",90.9,7.6,1.3,0.2
="Regional School District 06",83.6,8.9,1.4,6.2
="Regional School District 07",75.5,19.0,1.3,4.2
="Regional School District 08",73.5,24.8,1.3,0.4
="Regional School District 09",93.7,5.3,0.9,0.0
="Regional School District 10",74.2,23.7,1.6,0.4
="Regional School District 11",63.4,32.5,1.8,2.3
="Regional School District 12",94.6,2.7,1.8,0.9
="Regional School District 13",79.5,18.8,1.3,0.3
="Regional School District 14",80.1,12.7,1.7,5.6
="Regional School District 15",89.6,8.5,1.6,0.2
="Regional School District 16",47.0,49.2,1.1,2.6
="Regional School District 17",86.2,12.2,1.5,0.0
="Regional School District 18",95.3,3.4,1.1,0.2
="Regional School District 19",51.1,34.2,1.5,13.2
="Ridgefield School District",93.8,4.6,1.3,0.3
="Rocky Hill School District",82.9,15.4,1.6,0.1
="Salem School District",67.3,31.2,1.4,0.2
="Salisbury School District",95.1,2.2,2.4,0.3
="Scotland School District",62.0,32.6,1.9,3.5
="Seymour School District",67.3,30.2,2.4,0.0
="Sharon School District",95.8,2.1,2.0,0.1
="Shelton School District",87.4,10.8,1.4,0.4
="Sherman School District",93.2,4.6,1.5,0.7
="Side By Side Charter School District",0.0,93.6,1.9,4.5
="Simsbury School District",87.5,11.0,1.5,0.1
="Somers School District",69.1,29.1,1.6,0.1
="South Windsor School District",77.3,20.3,1.8,0.6
="Southington School District",60.8,36.3,2.0,0.9
="Sprague School District",51.5,45.2,2.9,0.4
="Stafford School District",59.3,37.9,2.4,0.4
="Stamford Academy District",0.0,52.1,3.5,44.4
="Stamford School District",86.3,10.6,2.6,0.5
="Sterling School District",56.4,40.6,2.6,0.5
="Stonington School District",90.7,7.3,1.9,0.1
="Stratford School District",72.1,25.1,2.5,0.2
="Suffield School District",73.1,22.4,1.8,2.6
="The Bridge Academy District",0.0,82.8,6.6,10.6
="Thomaston School District",49.0,48.3,2.4,0.3
="Thompson School District",49.7,46.7,2.9,0.7
="Tolland School District",68.4,29.9,1.3,0.4
="Torrington School District",60.0,36.3,3.0,0.7
="Trailblazers Academy District",0.0,32.0,3.3,64.7
="Trumbull School District",91.3,5.2,1.9,1.6
="Union School District",82.2,16.3,1.4,0.0
="Vernon School District",59.9,36.6,2.7,0.7
="Voluntown School District",57.1,41.1,1.9,0.0
="Wallingford School District",72.7,24.1,1.8,1.4
="Waterbury School District",35.0,58.5,5.6,0.9
="Waterford School District",93.2,5.0,1.5,0.4
="Watertown School District",67.5,29.7,2.4,0.4
="West Hartford School District",79.5,18.0,2.0,0.4
="West Haven School District",45.7,49.4,4.1,0.9
="Westbrook School District",95.7,2.7,1.3,0.3
="Weston School District",95.0,4.2,0.5,0.3
="Westport School District",96.0,2.6,1.2,0.2
="Wethersfield School District",60.6,37.8,1.3,0.4
="Willington School District",66.7,30.9,2.3,0.0
="Wilton School District",95.0,3.6,1.1,0.3
="Windham School District",26.9,64.0,7.6,1.4
="Windsor Locks School District",75.1,21.9,2.3,0.8
="Windsor School District",76.4,20.8,2.1,0.7
="Wolcott School District",55.0,42.4,2.1,0.5
="Woodbridge School District",93.7,4.1,2.0,0.1
="Woodstock School District",64.0,32.6,2.8,0.6

