"Percentage of Revenue by Source (Excluding School Construction), 2009-10"
"All Districts"

"","_","_","_","_"
="East Haven School District",51.2,34.2,8.0,6.6
="East Lyme School District",71.4,16.9,5.4,6.3
="East Windsor School District",63.7,27.9,7.6,0.8
="Eastford School District",62.1,28.9,8.3,0.7
="Easton School District",92.1,3.9,3.2,0.8
="Ellington School District",62.1,29.8,7.5,0.5
="Elm City College Preparatory School District",0.0,77.8,14.1,8.0
="Enfield School District",52.0,35.1,12.4,0.4
="Essex School District",93.3,2.7,4.0,0.0
="Explorations District",0.0,72.2,4.1,23.6
="Fairfield School District",92.6,4.0,3.3,0.1
="Farmington School District",91.6,4.4,2.9,1.1
="Franklin School District",74.0,18.9,6.7,0.4
="Glastonbury School District",87.8,8.1,3.6,0.5
="Granby School District",72.8,19.3,5.2,2.8
="Greenwich School District",94.3,2.7,2.7,0.3
="Griswold School District",46.6,37.2,9.3,6.8
="Groton School District",61.3,30.6,7.9,0.2
="Guilford School District",89.2,7.0,3.7,0.1
="Hamden School District",71.3,21.4,7.3,0.0
="Hampton School District",53.6,33.6,11.9,0.9
="Hartford School District",21.7,58.9,18.8,0.6
="Hartland School District",67.4,26.7,5.5,0.3
="Hebron School District",61.7,27.3,11.0,0.0
="Highville Charter School District",0.4,87.2,10.0,2.4
="Integrated Day Charter School District",0.1,85.3,5.6,9.0
="Interdistrict School for Arts and Comm District",0.0,80.1,4.9,15.0
="Jumoke Academy District",0.0,83.1,9.7,7.2
="Kent School District",93.9,3.5,2.5,0.1
="Killingly School District",46.9,39.3,10.3,3.5
="Lebanon School District",53.8,31.2,6.7,8.3
="Ledyard School District",57.1,33.9,5.5,3.5
="Lisbon School District",51.9,36.6,9.0,2.5
="Litchfield School District",86.8,9.0,4.0,0.2
="Madison School District",91.8,4.8,2.8,0.6
="Manchester School District",61.2,27.3,9.9,1.5
="Mansfield School District",61.1,29.0,9.6,0.3
="Marlborough School District",69.8,21.2,9.0,0.0
="Meriden School District",39.3,46.3,14.2,0.3
="Middletown School District",64.4,26.3,8.5,0.8
="Milford School District",84.8,10.3,4.9,0.1
="Monroe School District",82.9,12.1,4.0,1.0
="Montville School District",60.0,30.8,8.4,0.8
="Naugatuck School District",45.3,41.5,13.0,0.2
="New Beginnings Inc., Family Academy District",0.0,82.6,14.6,2.8
="New Britain School District",24.6,55.1,18.6,1.6
="New Canaan School District",94.5,3.1,2.5,0.0
="New Fairfield School District",83.0,11.6,4.2,1.1
="New Hartford School District",71.8,18.8,9.2,0.3
="New Haven School District",23.8,55.6,18.9,1.7
="New London School District",34.9,48.9,15.1,1.1
="New Milford School District",72.5,20.1,5.2,2.3
="Newington School District",74.8,20.1,5.1,0.1
="Newtown School District",88.4,8.3,3.2,0.2
="Norfolk School District",87.9,6.8,5.1,0.1
="North Branford School District",67.6,25.5,6.8,0.1
="North Canaan School District",66.6,25.3,8.0,0.1
="North Haven School District",87.1,10.0,2.8,0.1
="North Stonington School District",71.7,21.6,6.6,0.1
="Norwalk School District",81.6,13.1,4.6,0.6
="Norwich School District",38.9,47.3,13.0,0.9
="Odyssey Community School District",0.0,90.3,2.5,7.3
="Old Saybrook School District",91.1,4.1,3.6,1.1
="Orange School District",91.8,5.8,2.4,0.0
="Oxford School District",77.6,17.3,5.0,0.0
="Park City Prep Charter School District",5.9,81.0,11.7,1.4
="Plainfield School District",45.2,39.2,10.6,5.0
="Plainville School District",61.2,29.8,8.0,1.1
="Plymouth School District",50.4,40.1,9.4,0.0
="Pomfret School District",59.3,31.9,8.2,0.5
="Portland School District",71.6,21.7,6.6,0.1
="Preston School District",64.9,28.1,6.7,0.3
="Putnam School District",42.8,44.3,12.0,1.0
="Redding School District",92.7,3.6,2.7,0.9
="Regional School District 01",85.2,10.4,3.8,0.5
="Regional School District 04",89.1,8.4,2.5,0.0
="Regional School District 05",91.6,6.0,2.2,0.2
="Regional School District 06",82.6,8.1,3.3,6.0
="Regional School District 07",74.8,17.3,2.3,5.6
="Regional School District 08",74.1,23.9,1.8,0.2
="Regional School District 09",94.0,4.7,1.2,0.0
="Regional School District 10",71.7,22.3,5.7,0.2
="Regional School District 11",67.1,29.3,2.7,0.9
="Regional School District 12",91.5,3.2,3.2,2.1
="Regional School District 13",75.0,19.6,5.0,0.4
="Regional School District 14",78.2,11.0,4.9,6.0
="Regional School District 15",88.6,7.1,3.8,0.5
="Regional School District 16",66.9,26.5,6.5,0.1
="Regional School District 17",84.7,11.0,4.3,0.1
="Regional School District 18",92.8,5.1,2.1,0.0
="Regional School District 19",60.5,31.0,2.1,6.4
="Ridgefield School District",93.9,3.8,2.1,0.2
="Rocky Hill School District",85.7,10.5,3.7,0.1
="Salem School District",64.0,29.6,6.2,0.2
="Salisbury School District",93.6,2.4,3.6,0.4
="Scotland School District",53.0,34.5,11.0,1.5
="Seymour School District",60.9,30.4,8.6,0.1
="Sharon School District",95.3,1.9,2.7,0.1
="Shelton School District",87.6,8.2,4.2,0.0
="Sherman School District",93.4,4.0,2.3,0.3
="Side By Side Charter School District",0.0,89.0,3.7,7.3
="Simsbury School District",86.0,9.6,4.2,0.2
="Somers School District",63.4,29.2,7.2,0.2
="South Windsor School District",74.4,20.3,4.9,0.4
="Southington School District",66.6,22.3,6.6,4.5
="Sprague School District",51.3,38.9,9.8,0.0
="Stafford School District",53.4,36.3,9.7,0.6
="Stamford Academy District",0.0,45.8,4.3,49.9
="Stamford School District",83.7,10.1,4.6,1.7
="Sterling School District",53.4,36.5,9.9,0.2
="Stonington School District",88.2,7.1,4.4,0.2
="Stratford School District",71.6,20.9,7.4,0.1
="Suffield School District",72.2,19.3,5.2,3.3
="The Bridge Academy District",0.0,86.3,11.8,1.9
="Thomaston School District",54.0,36.4,9.4,0.1
="Thompson School District",45.4,44.2,10.1,0.3
="Tolland School District",63.2,29.4,7.4,0.0
="Torrington School District",54.5,34.8,10.2,0.6
="Trailblazers Academy District",2.2,37.6,5.0,55.3
="Trumbull School District",89.7,5.1,3.4,1.9
="Union School District",77.9,14.6,7.3,0.2
="Vernon School District",55.2,34.0,9.7,1.0
="Voluntown School District",53.7,37.3,9.0,0.0
="Wallingford School District",68.3,23.4,6.7,1.7
="Waterbury School District",30.3,51.2,17.7,0.8
="Waterford School District",91.2,5.3,3.3,0.3
="Watertown School District",62.8,28.7,8.2,0.3
="West Hartford School District",81.4,12.7,5.5,0.4
="West Haven School District",42.9,43.5,13.3,0.3
="Westbrook School District",94.2,3.0,2.6,0.1
="Weston School District",94.3,3.2,1.9,0.6
="Westport School District",95.0,2.7,2.1,0.2
="Wethersfield School District",79.6,15.4,5.0,0.1
="Willington School District",61.4,28.1,10.4,0.0
="Wilton School District",94.5,3.5,1.6,0.4
="Winchester School District",54.2,35.4,10.0,0.4
="Windham School District",27.2,50.3,18.7,3.8
="Windsor Locks School District",78.1,15.8,5.7,0.4
="Windsor School District",74.3,19.0,6.3,0.3
="Wolcott School District",52.4,37.8,9.4,0.4
="Woodbridge School District",96.6,3.1,0.2,0.1
="Woodstock School District",59.2,31.2,9.2,0.4

