"Percentage of Revenue by Source (Excluding School Construction), Trend"
"All Districts"

"",,"% of Revenue",,,,
="Brookfield School District",="Local",91.2,91.9,93.1,91.7,92.9
,="State",5.4,5.9,5.2,6.7,5.7
,="Federal",3.3,2.2,1.7,1.5,1.5
,="Tuition & Other",0.0,0.0,0.0,0.1,0.0
="Brooklyn School District",="Local",49.5,50.4,51.9,51.8,53.7
,="State",39.2,45.5,45.5,45.6,43.8
,="Federal",11.4,4.1,2.6,2.5,2.4
,="Tuition & Other",0.0,0.0,0.0,0.1,0.2
="Canaan School District",="Local",89.3,90.5,90.9,91.1,90.9
,="State",5.4,6.8,6.8,6.8,7.1
,="Federal",5.3,2.6,2.3,2.0,1.9
,="Tuition & Other",0.1,0.0,0.0,0.1,0.1
="Canterbury School District",="Local",50.3,51.3,55.0,53.3,55.4
,="State",40.5,45.5,40.7,44.0,42.4
,="Federal",8.9,3.3,4.4,2.7,2.1
,="Tuition & Other",0.3,0.0,0.0,0.0,0.0
="Canton School District",="Local",79.9,79.2,80.4,78.9,78.4
,="State",15.5,17.8,17.9,19.1,18.9
,="Federal",3.9,3.0,1.7,1.3,1.5
,="Tuition & Other",0.7,0.0,0.0,0.7,1.3
="Chaplin School District",="Local",54.4,58.3,59.3,58.9,60.2
,="State",33.9,37.6,37.9,35.7,36.2
,="Federal",10.1,4.1,2.7,3.9,2.3
,="Tuition & Other",1.6,0.0,0.0,1.5,1.3
="Charter School for Young Children on Asylum Hill District",="Local",0.0,N/A,N/A,N/A,N/A
,"State",65.7,N/A,N/A,N/A,N/A
,"Federal",8.1,N/A,N/A,N/A,N/A
,"Tuition & Other",26.2,N/A,N/A,N/A,N/A
"Cheshire School District","Local",79.7,80.3,80.7,80.9,81.1
,="State",14.5,16.7,16.6,16.4,16.3
,="Federal",5.1,2.5,2.2,1.9,1.9
,="Tuition & Other",0.7,0.6,0.5,0.8,0.8
="Chester School District",="Local",86.8,89.1,88.9,89.0,89.2
,="State",7.9,8.0,8.1,8.1,8.1
,="Federal",5.3,2.8,2.3,2.9,2.7
,="Tuition & Other",0.0,0.0,0.7,0.0,0.0
="Clinton School District",="Local",74.8,74.5,75.7,75.7,76.0
,="State",19.7,22.6,22.5,22.3,21.9
,="Federal",5.5,3.0,1.9,2.0,2.1
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="Colchester School District",="Local",56.9,57.5,58.5,59.7,60.8
,="State",34.7,38.5,38.6,37.5,36.3
,="Federal",7.8,3.4,2.1,1.7,1.7
,="Tuition & Other",0.5,0.6,0.7,1.1,1.2
="Colebrook School District",="Local",81.0,83.8,82.7,83.8,83.6
,="State",10.9,13.0,14.2,13.4,13.4
,="Federal",8.1,3.1,2.9,2.7,2.8
,="Tuition & Other",0.0,0.1,0.1,0.1,0.2
="Columbia School District",="Local",73.2,71.3,73.2,76.3,75.6
,="State",21.1,25.7,25.0,21.7,22.5
,="Federal",5.6,3.0,1.9,1.8,1.6
,="Tuition & Other",0.1,0.0,0.0,0.2,0.3
="Common Ground High School District",="Local",2.3,6.3,0.0,0.0,0.0
,="State",63.6,68.2,71.0,73.2,70.3
,="Federal",16.4,7.9,6.5,7.2,7.0
,="Tuition & Other",17.7,17.6,22.5,19.6,22.6
="Cornwall School District",="Local",95.3,96.0,94.7,95.4,95.1
,="State",1.7,2.1,3.1,2.1,1.9
,="Federal",2.8,1.7,1.8,2.3,2.8
,="Tuition & Other",0.2,0.2,0.3,0.2,0.2
="Coventry School District",="Local",58.7,61.7,59.4,61.1,62.6
,="State",33.4,35.7,37.4,36.9,35.4
,="Federal",7.6,2.5,3.0,1.7,1.8
,="Tuition & Other",0.3,0.1,0.2,0.3,0.2
="Cromwell School District",="Local",77.1,76.3,77.4,77.5,77.5
,="State",16.0,19.9,19.9,19.4,19.9
,="Federal",6.8,3.8,2.6,2.3,2.2
,="Tuition & Other",0.0,0.0,0.0,0.8,0.3
="Danbury School District",="Local",67.7,68.8,69.1,70.3,69.9
,="State",23.1,25.4,26.2,24.8,25.8
,="Federal",8.6,5.1,4.2,3.9,3.3
,="Tuition & Other",0.6,0.7,0.6,1.0,1.0
="Darien School District",="Local",92.2,93.4,94.1,94.1,94.0
,="State",5.9,5.4,4.8,4.7,4.6
,="Federal",1.9,1.1,0.9,1.0,1.3
,="Tuition & Other",0.1,0.1,0.1,0.2,0.1
="Deep River School District",="Local",72.5,76.6,78.9,78.4,78.9
,="State",17.8,20.0,18.1,18.0,18.1
,="Federal",9.7,3.4,3.0,3.6,3.0
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="Derby School District",="Local",57.0,56.7,58.1,57.6,61.9
,="State",32.7,37.3,37.6,38.0,34.3
,="Federal",10.3,6.0,4.3,4.4,3.9
,="Tuition & Other",0.1,0.0,0.0,0.0,0.0
="East Granby School District",="Local",85.8,85.2,85.4,84.8,84.5
,="State",10.6,12.7,13.3,14.0,13.9
,="Federal",3.6,2.1,1.3,1.2,1.4
,="Tuition & Other",0.0,0.1,0.0,0.0,0.1
="East Haddam School District",="Local",72.0,72.5,72.6,74.3,73.3
,="State",19.6,21.6,21.9,20.8,22.0
,="Federal",5.1,2.9,2.4,1.6,1.5
,="Tuition & Other",3.2,3.0,3.1,3.3,3.3
="East Hampton School District",="Local",66.0,68.6,70.6,68.9,70.7
,="State",26.7,28.9,27.6,29.3,28.3
,="Federal",7.2,2.4,1.7,1.8,0.9
,="Tuition & Other",0.1,0.1,0.1,0.1,0.1
="East Hartford School District",="Local",36.3,40.2,43.1,38.5,36.9
,="State",44.8,50.1,49.9,49.6,50.9
,="Federal",14.0,9.4,6.6,6.4,6.1
,="Tuition & Other",4.8,0.3,0.4,5.5,6.1
="East Haven School District",="Local",49.1,50.4,51.3,51.9,53.1
,="State",34.2,39.8,42.2,41.6,40.7
,="Federal",9.8,5.5,2.9,2.6,2.7
,="Tuition & Other",6.9,4.3,3.6,3.9,3.6
="East Lyme School District",="Local",72.6,78.3,79.4,73.4,73.6
,="State",17.1,19.4,19.1,18.2,17.7
,="Federal",3.6,2.1,1.3,1.7,1.8
,="Tuition & Other",6.7,0.2,0.2,6.7,6.9
="East Windsor School District",="Local",65.4,65.8,65.5,64.8,66.8
,="State",26.1,30.8,32.1,32.2,29.9
,="Federal",7.8,3.3,2.4,2.2,1.9
,="Tuition & Other",0.7,0.2,0.0,0.8,1.5
="Eastford School District",="Local",63.3,63.0,63.5,64.6,64.1
,="State",28.7,33.4,32.6,32.6,32.7
,="Federal",7.9,2.8,3.2,2.1,1.7
,="Tuition & Other",0.1,0.7,0.6,0.7,1.6
="Easton School District",="Local",92.2,92.2,93.5,92.1,92.6
,="State",4.7,6.0,5.2,5.8,5.0
,="Federal",2.3,1.7,1.3,1.4,1.5
,="Tuition & Other",0.8,0.0,0.0,0.7,0.9
="Ellington School District",="Local",63.4,63.7,65.7,66.6,68.3
,="State",29.5,32.9,32.6,31.2,29.8
,="Federal",6.7,3.5,1.7,1.6,1.6
,="Tuition & Other",0.5,0.0,0.0,0.6,0.3
="Elm City College Preparatory School District",="Local",0.0,13.2,0.0,0.0,21.3
,="State",70.0,65.1,72.1,77.3,69.8
,="Federal",8.3,8.5,9.5,8.4,8.7
,="Tuition & Other",21.7,13.2,18.4,14.3,0.2
="Elm City Montessori School District",="Local",N/A,N/A,N/A,N/A,0.0
,="State",N/A,N/A,N/A,N/A,17.9
,="Federal",N/A,N/A,N/A,N/A,1.4
,="Tuition & Other",N/A,N/A,N/A,N/A,80.7
="Enfield School District",="Local",53.4,53.3,55.2,55.8,56.5
,="State",34.7,40.7,40.5,39.7,39.4
,="Federal",11.5,6.0,4.3,3.8,3.9
,="Tuition & Other",0.4,0.0,0.0,0.7,0.3
="Essex School District",="Local",92.7,94.7,94.2,93.3,93.7
,="State",2.9,3.1,3.3,4.3,4.2
,="Federal",4.4,2.2,2.5,2.4,2.1
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="Explorations District",="Local",0.0,0.0,13.3,7.2,4.0
,="State",66.2,61.1,60.4,67.4,69.3
,="Federal",2.9,2.9,4.6,2.3,2.0
,="Tuition & Other",30.9,36.0,21.6,23.0,24.6
="Fairfield School District",="Local",93.5,94.2,94.0,94.1,93.7
,="State",4.2,4.2,4.1,4.2,4.7
,="Federal",2.2,1.5,1.8,1.7,1.5
,="Tuition & Other",0.1,0.0,0.1,0.1,0.2
="Farmington School District",="Local",91.2,92.8,92.6,91.5,90.3
,="State",4.2,4.7,4.8,5.6,5.8
,="Federal",3.2,1.5,1.6,1.2,2.1
,="Tuition & Other",1.5,1.0,0.9,1.6,1.8
="Franklin School District",="Local",72.1,72.9,73.0,72.3,70.8
,="State",20.9,23.8,25.0,25.4,26.8
,="Federal",6.3,3.2,2.0,2.1,2.0
,="Tuition & Other",0.7,0.0,0.1,0.2,0.3
="Glastonbury School District",="Local",87.8,89.0,89.5,89.3,89.4
,="State",8.1,8.7,8.7,8.4,8.5
,="Federal",3.4,2.2,1.9,1.5,1.6
,="Tuition & Other",0.6,0.1,0.0,0.8,0.5
="Granby School District",="Local",72.1,75.0,75.9,71.6,73.1
,="State",19.5,22.2,22.3,22.8,22.2
,="Federal",5.3,2.8,1.8,1.5,1.6
,="Tuition & Other",3.0,0.0,0.0,4.2,3.2
="Great Oaks Charter School District",="Local",N/A,N/A,N/A,N/A,0.0
,="State",N/A,N/A,N/A,N/A,70.8
,="Federal",N/A,N/A,N/A,N/A,21.5
,="Tuition & Other",N/A,N/A,N/A,N/A,7.8
="Greenwich School District",="Local",94.0,94.9,94.9,94.7,95.3
,="State",2.9,3.1,3.1,3.1,2.5
,="Federal",2.8,2.1,2.0,1.6,1.6
,="Tuition & Other",0.3,0.0,0.0,0.6,0.6
="Griswold School District",="Local",48.0,50.2,51.5,45.7,49.6
,="State",36.4,44.4,45.1,45.3,42.4
,="Federal",9.4,5.2,3.0,2.3,2.3
,="Tuition & Other",6.3,0.2,0.3,6.6,5.6
="Groton School District",="Local",60.2,60.4,62.0,61.3,62.3
,="State",30.8,35.0,35.6,36.2,35.3
,="Federal",8.8,4.6,2.4,2.4,2.3
,="Tuition & Other",0.2,0.1,0.0,0.1,0.0
="Guilford School District",="Local",90.1,90.4,90.2,90.5,90.1
,="State",6.7,7.3,8.0,7.9,7.9
,="Federal",3.1,2.1,1.6,1.5,1.6
,="Tuition & Other",0.1,0.1,0.2,0.2,0.4
="Hamden School District",="Local",71.7,72.8,72.9,71.7,71.7
,="State",20.9,24.1,24.3,25.7,25.9
,="Federal",7.3,2.8,2.7,2.5,2.2
,="Tuition & Other",0.0,0.2,0.1,0.1,0.2
="Hampton School District",="Local",54.9,63.4,62.8,60.4,60.1
,="State",32.6,33.1,35.1,36.4,36.4
,="Federal",11.6,3.1,1.9,2.5,2.3
,="Tuition & Other",1.0,0.4,0.1,0.6,1.3
="Hartford School District",="Local",22.8,21.5,20.5,22.9,N/A
,"State",59.1,67.2,70.0,67.1,N/A
,"Federal",16.8,10.6,7.6,7.1,N/A
,"Tuition & Other",1.3,0.7,1.8,2.9,N/A
"Hartland School District","Local",64.9,67.3,68.1,71.8,68.9
,="State",25.4,30.7,29.9,26.0,29.1
,="Federal",9.5,2.0,2.0,1.9,1.7
,="Tuition & Other",0.2,0.0,0.0,0.3,0.4
="Hebron School District",="Local",62.6,67.1,68.7,69.4,69.8
,="State",26.9,30.1,29.7,28.8,28.8
,="Federal",10.5,2.8,1.6,1.6,1.1
,="Tuition & Other",0.0,0.0,0.0,0.2,0.3
="Highville Charter School District",="Local",0.0,0.0,4.3,0.0,0.0
,="State",87.8,87.9,85.8,88.3,90.4
,="Federal",9.6,9.1,7.8,8.1,8.6
,="Tuition & Other",2.6,3.1,2.1,3.6,1.0
="Integrated Day Charter School District",="Local",0.0,0.3,0.0,0.0,0.0
,="State",95.1,91.5,92.3,92.2,86.9
,="Federal",2.5,2.8,2.6,4.0,2.9
,="Tuition & Other",2.3,5.4,5.1,3.8,10.2
="Interdistrict School for Arts and Comm District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",75.2,70.9,81.1,79.3,77.6
,="Federal",3.3,3.3,3.0,2.1,2.3
,="Tuition & Other",21.5,25.8,16.0,18.6,20.1
="Jumoke Academy District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",84.1,84.5,80.2,93.5,93.4
,="Federal",6.2,5.5,4.3,2.8,3.8
,="Tuition & Other",9.7,10.0,15.5,3.7,2.7
="Kent School District",="Local",88.7,92.2,92.2,91.2,94.5
,="State",6.3,5.4,5.3,5.4,2.5
,="Federal",4.1,2.4,2.5,2.5,2.3
,="Tuition & Other",0.9,0.1,0.0,0.9,0.7
="Killingly School District",="Local",47.8,50.8,53.6,48.9,49.7
,="State",37.9,43.9,43.7,42.7,41.6
,="Federal",10.2,5.0,2.5,2.5,2.6
,="Tuition & Other",4.2,0.3,0.2,5.9,6.1
="Lebanon School District",="Local",56.4,63.2,63.5,60.4,61.9
,="State",29.5,33.8,34.5,34.5,33.8
,="Federal",7.5,3.0,1.9,2.0,1.4
,="Tuition & Other",6.7,0.0,0.0,3.0,2.9
="Ledyard School District",="Local",53.6,56.8,57.9,54.9,57.1
,="State",35.3,39.0,39.9,39.8,37.5
,="Federal",7.3,4.1,1.9,1.6,1.9
,="Tuition & Other",3.8,0.1,0.2,3.7,3.4
="Lisbon School District",="Local",51.9,54.3,56.0,54.3,55.1
,="State",35.8,41.7,42.1,43.4,41.6
,="Federal",8.2,3.9,1.8,1.8,2.7
,="Tuition & Other",4.1,0.1,0.1,0.5,0.6
="Litchfield School District",="Local",87.2,87.0,87.0,88.1,88.9
,="State",8.4,9.9,9.5,9.7,9.2
,="Federal",3.5,2.9,2.3,2.0,1.9
,="Tuition & Other",0.9,0.2,1.2,0.2,0.1
="Madison School District",="Local",92.0,92.5,93.0,92.5,93.0
,="State",4.7,4.8,4.9,5.3,5.0
,="Federal",2.8,2.2,1.7,1.6,1.5
,="Tuition & Other",0.4,0.5,0.4,0.7,0.6
="Manchester School District",="Local",61.3,62.7,64.2,63.7,63.2
,="State",26.4,30.5,31.1,31.0,31.1
,="Federal",10.8,6.5,4.2,3.7,4.0
,="Tuition & Other",1.6,0.3,0.5,1.6,1.6
="Mansfield School District",="Local",60.9,63.7,62.7,63.9,65.3
,="State",29.1,33.5,34.0,34.0,32.7
,="Federal",9.7,2.8,3.3,2.0,1.9
,="Tuition & Other",0.4,0.0,0.0,0.1,0.1
="Marlborough School District",="Local",69.9,72.5,73.4,73.9,73.5
,="State",21.1,24.2,24.1,23.3,23.8
,="Federal",9.1,3.3,2.3,1.9,2.5
,="Tuition & Other",0.0,0.0,0.1,0.9,0.1
="Meriden School District",="Local",39.1,40.0,39.6,42.0,40.9
,="State",46.2,52.5,55.1,52.1,52.6
,="Federal",14.2,7.4,5.0,5.0,5.2
,="Tuition & Other",0.5,0.2,0.2,0.9,1.2
="Middletown School District",="Local",64.4,64.7,66.7,67.7,66.4
,="State",26.5,30.4,29.6,28.4,28.5
,="Federal",8.2,4.6,3.3,2.5,3.6
,="Tuition & Other",0.9,0.4,0.5,1.4,1.6
="Milford School District",="Local",85.1,85.8,86.5,86.0,86.1
,="State",10.2,11.5,11.4,11.6,11.5
,="Federal",4.6,2.6,2.1,2.2,2.2
,="Tuition & Other",0.1,0.1,0.1,0.2,0.2
="Monroe School District",="Local",82.9,84.4,84.9,84.3,83.9
,="State",11.6,13.4,13.5,13.6,14.1
,="Federal",4.5,1.9,1.6,1.7,1.5
,="Tuition & Other",1.0,0.2,0.1,0.3,0.4
="Montville School District",="Local",59.9,60.8,61.8,60.9,61.4
,="State",30.5,35.0,35.9,35.7,34.9
,="Federal",8.4,4.0,2.2,2.3,2.6
,="Tuition & Other",1.1,0.2,0.1,1.1,1.2
="Naugatuck School District",="Local",47.0,46.5,49.1,49.8,50.6
,="State",40.9,46.5,46.6,46.6,46.2
,="Federal",12.1,6.9,4.2,3.6,3.1
,="Tuition & Other",0.1,0.1,0.0,0.0,0.1
="New Beginnings Inc., Family Academy District",="Local",0.0,0.0,0.0,0.0,N/A
,"State",86.4,81.6,83.2,79.9,N/A
,"Federal",10.1,11.3,10.1,7.8,N/A
,"Tuition & Other",3.5,7.1,6.7,12.2,N/A
"New Britain School District","Local",25.2,27.5,27.6,31.1,30.4
,="State",52.8,63.7,62.8,61.3,62.6
,="Federal",21.1,7.7,8.9,6.7,6.5
,="Tuition & Other",1.0,1.1,0.8,0.8,0.5
="New Canaan School District",="Local",95.1,95.9,95.8,95.7,95.9
,="State",2.9,2.9,3.0,3.1,2.6
,="Federal",2.1,1.2,1.2,1.1,1.1
,="Tuition & Other",0.0,0.0,0.0,0.1,0.4
="New Fairfield School District",="Local",83.9,84.9,85.2,83.0,83.7
,="State",10.9,12.4,12.9,12.8,12.1
,="Federal",4.1,2.5,1.7,1.7,1.3
,="Tuition & Other",1.1,0.2,0.2,2.4,2.8
="New Hartford School District",="Local",73.8,74.3,76.1,75.8,76.8
,="State",18.3,22.1,21.6,21.8,21.5
,="Federal",7.8,3.6,2.3,2.0,1.6
,="Tuition & Other",0.1,0.0,0.0,0.4,0.1
="New Haven School District",="Local",24.2,25.6,22.5,24.1,24.6
,="State",54.6,62.9,66.4,64.3,61.0
,="Federal",19.8,11.0,10.3,9.4,12.8
,="Tuition & Other",1.4,0.6,0.9,2.2,1.6
="New London School District",="Local",34.9,34.7,33.5,30.8,30.4
,="State",49.7,55.2,58.9,59.2,58.8
,="Federal",14.4,9.6,7.1,7.3,6.8
,="Tuition & Other",0.9,0.5,0.5,2.7,3.9
="New Milford School District",="Local",72.5,74.8,74.3,73.2,74.1
,="State",18.8,22.2,22.7,21.8,21.2
,="Federal",6.4,3.0,2.4,1.9,1.8
,="Tuition & Other",2.3,0.1,0.6,3.1,2.9
="Newington School District",="Local",75.1,75.4,76.1,76.9,77.0
,="State",18.8,21.6,22.2,21.2,20.8
,="Federal",6.0,3.0,1.7,1.6,1.6
,="Tuition & Other",0.2,0.0,0.0,0.3,0.6
="Newtown School District",="Local",88.7,88.5,88.4,85.6,85.8
,="State",7.8,8.2,8.0,8.2,7.9
,="Federal",3.3,2.2,2.5,5.7,5.6
,="Tuition & Other",0.2,1.1,1.1,0.5,0.7
="Norfolk School District",="Local",87.4,89.3,90.0,89.6,89.2
,="State",6.8,7.7,7.7,8.2,8.7
,="Federal",5.3,2.6,2.2,2.1,2.0
,="Tuition & Other",0.5,0.3,0.2,0.2,0.1
="North Branford School District",="Local",68.6,68.0,68.1,68.7,69.3
,="State",25.0,29.2,29.4,29.3,28.5
,="Federal",6.4,2.8,2.5,2.0,2.2
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="North Canaan School District",="Local",66.2,67.7,68.2,69.3,70.4
,="State",24.2,28.0,28.3,26.6,26.0
,="Federal",9.4,4.2,3.5,3.9,3.5
,="Tuition & Other",0.1,0.1,0.0,0.2,0.1
="North Haven School District",="Local",86.6,87.1,88.0,88.0,88.3
,="State",9.4,10.3,10.3,10.4,10.2
,="Federal",4.0,2.6,1.7,1.6,1.5
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="North Stonington School District",="Local",72.4,72.3,73.7,74.3,74.6
,="State",21.1,24.0,24.4,23.3,23.1
,="Federal",6.4,3.7,2.0,2.2,2.0
,="Tuition & Other",0.1,0.0,0.0,0.2,0.3
="Norwalk School District",="Local",82.1,82.6,82.3,83.4,84.1
,="State",13.2,13.6,14.1,12.4,11.4
,="Federal",4.0,3.2,2.6,2.7,2.6
,="Tuition & Other",0.6,0.6,0.9,1.5,1.9
="Norwich School District",="Local",39.9,41.3,41.3,43.8,43.4
,="State",46.8,52.9,52.7,51.2,51.9
,="Federal",12.7,5.4,5.5,4.4,4.0
,="Tuition & Other",0.6,0.4,0.5,0.7,0.7
="Odyssey Community School District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",88.6,87.9,88.4,89.6,96.7
,="Federal",2.4,1.4,1.2,1.3,1.9
,="Tuition & Other",9.1,10.7,10.5,9.0,1.4
="Old Saybrook School District",="Local",91.5,92.1,92.6,92.1,91.8
,="State",3.9,4.6,4.5,4.4,5.1
,="Federal",3.3,2.0,1.9,1.7,1.7
,="Tuition & Other",1.3,1.3,0.9,1.8,1.4
="Orange School District",="Local",91.8,92.4,93.1,92.4,93.6
,="State",4.9,5.6,5.1,5.6,4.6
,="Federal",3.3,2.0,1.8,1.9,1.8
,="Tuition & Other",0.0,0.0,0.0,0.1,0.0
="Oxford School District",="Local",77.7,79.0,77.7,78.5,79.9
,="State",16.9,19.2,18.4,17.7,18.4
,="Federal",5.4,1.8,2.2,1.6,1.7
,="Tuition & Other",0.0,0.0,1.8,2.1,0.0
="Park City Prep Charter School District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",93.5,94.1,91.3,87.1,88.2
,="Federal",6.5,5.9,5.8,4.5,4.7
,="Tuition & Other",0.0,0.0,2.9,8.4,7.1
="Path Academy District",="Local",N/A,N/A,N/A,N/A,0.0
,="State",N/A,N/A,N/A,N/A,73.8
,="Federal",N/A,N/A,N/A,N/A,7.5
,="Tuition & Other",N/A,N/A,N/A,N/A,18.7
="Plainfield School District",="Local",43.0,46.2,47.3,43.7,45.7
,="State",40.6,49.6,50.0,48.2,46.5
,="Federal",11.7,4.2,2.7,2.8,2.7
,="Tuition & Other",4.7,0.0,0.0,5.3,5.1
="Plainville School District",="Local",62.0,62.8,62.8,62.1,61.7
,="State",29.8,33.5,34.6,34.3,34.7
,="Federal",7.5,3.3,2.2,2.8,2.3
,="Tuition & Other",0.8,0.4,0.5,0.8,1.2
="Plymouth School District",="Local",51.3,50.4,52.5,53.3,53.7
,="State",39.0,44.8,44.7,43.8,43.3
,="Federal",9.6,4.9,2.7,2.8,2.7
,="Tuition & Other",0.0,0.0,0.1,0.1,0.2
="Pomfret School District",="Local",59.9,60.0,61.1,60.9,62.2
,="State",30.9,36.7,36.3,36.0,35.0
,="Federal",8.7,3.2,2.4,2.7,2.4
,="Tuition & Other",0.6,0.1,0.2,0.5,0.5
="Portland School District",="Local",72.5,72.2,73.2,72.8,73.6
,="State",20.8,24.4,24.5,25.7,24.1
,="Federal",6.7,3.3,2.2,1.3,1.9
,="Tuition & Other",0.1,0.0,0.1,0.1,0.3
="Preston School District",="Local",65.4,63.9,65.7,65.7,65.3
,="State",28.1,32.3,32.2,31.6,31.6
,="Federal",5.9,3.7,2.0,2.3,2.5
,="Tuition & Other",0.6,0.0,0.1,0.3,0.6
="Putnam School District",="Local",41.1,40.3,38.5,43.1,43.4
,="State",43.8,52.5,56.4,52.6,52.3
,="Federal",13.2,6.4,4.6,3.4,3.4
,="Tuition & Other",2.0,0.9,0.6,0.9,0.9
="Redding School District",="Local",93.1,94.9,95.5,95.5,93.0
,="State",3.5,3.5,3.2,3.2,4.7
,="Federal",2.4,1.6,1.3,0.3,1.3
,="Tuition & Other",1.0,0.0,0.0,1.0,1.0
="Regional School District 01",="Local",85.3,86.5,86.3,82.9,80.6
,="State",10.1,10.7,11.3,14.0,16.5
,="Federal",4.3,2.8,2.4,2.2,2.0
,="Tuition & Other",0.3,0.0,0.0,0.9,0.9
="Regional School District 04",="Local",87.2,89.7,88.6,87.6,87.3
,="State",10.0,8.7,9.7,10.6,11.1
