"Percentage of Revenue by Source (Including School Construction), 2011-12"
"All Districts"

"","_","_","_","_"
="New Fairfield School District",76.8,21.0,2.1,0.2
="New Hartford School District",75.0,21.5,3.5,0.0
="New Haven School District",26.2,64.3,9.1,0.5
="New London School District",2.2,88.1,9.2,0.5
="New Milford School District",74.6,22.6,2.7,0.1
="Newington School District",74.4,22.6,2.9,0.0
="Newtown School District",86.8,10.1,2.0,1.0
="Norfolk School District",89.3,7.7,2.6,0.3
="North Branford School District",65.3,32.2,2.6,0.0
="North Canaan School District",68.3,27.5,4.2,0.1
="North Haven School District",87.8,9.9,2.3,0.0
="North Stonington School District",70.9,25.6,3.5,0.0
="Norwalk School District",83.9,12.6,3.0,0.6
="Norwich School District",38.6,55.9,5.1,0.4
="Odyssey Community School District",0.0,78.5,1.1,20.4
="Old Saybrook School District",92.5,4.4,1.9,1.3
="Orange School District",92.6,5.4,1.9,0.0
="Oxford School District",80.8,17.5,1.7,0.0
="Park City Prep Charter School District",0.0,94.1,5.9,0.0
="Plainfield School District",48.8,47.2,4.0,0.0
="Plainville School District",64.2,32.6,2.9,0.4
="Plymouth School District",52.3,43.1,4.5,0.0
="Pomfret School District",59.8,36.9,3.2,0.1
="Portland School District",74.2,22.7,3.0,0.0
="Preston School District",65.2,31.2,3.6,0.0
="Putnam School District",40.3,52.5,6.4,0.9
="Redding School District",95.4,3.2,1.4,0.0
="Regional School District 01",86.7,10.6,2.6,0.0
="Regional School District 04",90.5,7.9,1.4,0.1
="Regional School District 05",91.3,7.1,1.6,0.0
="Regional School District 06",89.9,8.0,2.1,0.0
="Regional School District 07",79.8,18.3,1.8,0.2
="Regional School District 08",72.0,25.4,2.6,0.0
="Regional School District 09",94.4,4.3,1.3,0.0
="Regional School District 10",67.9,29.0,3.0,0.2
="Regional School District 11",60.5,35.6,3.7,0.2
="Regional School District 12",95.0,3.4,1.6,0.0
="Regional School District 13",77.0,20.1,2.7,0.2
="Regional School District 14",85.1,12.6,2.2,0.0
="Regional School District 15",89.8,8.3,1.9,0.0
="Regional School District 16",64.4,33.5,2.0,0.0
="Regional School District 17",84.8,12.8,1.6,0.8
="Regional School District 18",71.3,27.5,1.1,0.0
="Regional School District 19",62.5,34.7,2.7,0.0
="Ridgefield School District",94.4,4.0,1.4,0.1
="Rocky Hill School District",86.1,11.8,2.0,0.1
="Salem School District",64.0,32.0,3.8,0.3
="Salisbury School District",94.5,2.3,2.9,0.3
="Scotland School District",61.6,33.3,4.9,0.1
="Seymour School District",45.4,51.8,2.8,0.0
="Sharon School District",95.2,2.2,2.5,0.0
="Shelton School District",89.0,8.3,2.6,0.0
="Sherman School District",93.4,4.9,1.8,0.0
="Side By Side Charter School District",0.1,87.7,2.1,10.1
="Simsbury School District",86.0,11.9,2.0,0.1
="Somers School District",65.3,31.6,3.1,0.0
="South Windsor School District",76.0,21.0,2.7,0.3
="Southington School District",68.7,27.6,3.6,0.1
="Sprague School District",51.5,43.2,5.2,0.1
="Stafford School District",50.7,44.5,4.7,0.0
="Stamford Academy District",0.0,41.7,15.0,43.3
="Stamford School District",85.3,10.7,2.9,1.1
="Sterling School District",58.2,38.6,3.2,0.1
="Stonington School District",89.5,8.1,2.3,0.0
="Stratford School District",73.7,22.9,3.3,0.0
="Suffield School District",69.3,28.2,2.4,0.1
="The Bridge Academy District",0.0,84.0,7.5,8.5
="Thomaston School District",57.5,38.2,4.2,0.0
="Thompson School District",48.7,46.1,5.2,0.1
="Tolland School District",66.8,30.7,2.5,0.0
="Torrington School District",56.7,39.7,3.6,0.0
="Trailblazers Academy District",0.0,37.0,4.4,58.7
="Trumbull School District",90.1,7.5,2.1,0.3
="Union School District",78.9,19.1,2.0,0.0
="Vernon School District",58.0,37.3,4.7,0.0
="Voluntown School District",56.2,41.9,1.9,0.0
="Wallingford School District",72.6,24.0,3.2,0.2
="Waterbury School District",30.0,61.7,8.1,0.2
="Waterford School District",92.2,6.5,1.3,0.0
="Watertown School District",65.1,30.4,4.2,0.3
="West Hartford School District",83.1,14.2,2.7,0.0
="West Haven School District",41.7,53.1,5.0,0.2
="Westbrook School District",93.2,5.3,1.4,0.1
="Weston School District",95.8,2.8,1.1,0.3
="Westport School District",95.5,3.2,1.4,0.0
="Wethersfield School District",80.9,16.3,2.7,0.2
="Willington School District",65.1,30.2,4.3,0.4
="Wilton School District",94.9,3.6,1.5,0.0
="Winchester School District",54.1,42.5,3.3,0.1
="Windham School District",17.4,69.4,12.4,0.8
="Windsor Locks School District",77.8,19.0,3.2,0.0
="Windsor School District",75.4,20.6,3.9,0.0
="Wolcott School District",52.9,42.6,4.4,0.1
="Woodbridge School District",93.4,4.2,2.4,0.0
="Woodstock School District",60.5,34.6,4.5,0.4

