"Percentage of Revenue by Source (Excluding School Construction), 2007-08"
"All Districts"

"","_","_","_","_"
="Vernon School District",55.6,40.0,3.1,1.3
="Voluntown School District",54.1,43.8,2.1,0.0
="Wallingford School District",68.6,27.7,2.2,1.6
="Waterbury School District",37.4,55.2,6.5,0.9
="Waterford School District",91.0,6.5,2.3,0.2
="Watertown School District",61.9,35.6,2.2,0.3
="West Hartford School District",83.1,14.5,2.2,0.2
="West Haven School District",41.7,53.4,4.5,0.3
="Westbrook School District",93.6,4.7,1.7,0.0
="Weston School District",94.9,3.8,1.1,0.2
="Westport School District",95.0,3.3,1.3,0.4
="Wethersfield School District",79.3,18.5,2.1,0.1
="Willington School District",62.9,34.1,3.0,0.0
="Wilton School District",93.5,5.0,1.2,0.4
="Winchester School District",56.3,40.6,2.8,0.3
="Windham School District",30.2,53.9,11.1,4.8
="Windsor Locks School District",79.0,18.5,2.0,0.5
="Windsor School District",75.5,21.8,2.2,0.5
="Wolcott School District",52.8,44.7,2.0,0.4
="Woodbridge School District",93.1,4.8,2.0,0.1
="Woodstock School District",61.2,35.4,3.0,0.4

