"Percentage of Revenue by Source (Including School Construction), Trend"
"All Districts"

"",,"% of Revenue",,,,
,="State",5.4,5.9,5.2,7.2,6.0
,="Federal",3.1,2.1,1.6,1.4,1.4
,="Tuition & Other",0.0,0.0,0.0,0.1,0.0
="Brooklyn School District",="Local",46.9,49.9,49.3,46.6,53.3
,="State",42.3,46.2,48.2,51.0,44.2
,="Federal",10.8,3.9,2.5,2.4,2.3
,="Tuition & Other",0.0,0.0,0.0,0.1,0.2
="Canaan School District",="Local",88.6,89.8,90.2,90.5,90.3
,="State",6.3,7.7,7.6,7.5,7.8
,="Federal",5.0,2.5,2.2,1.9,1.8
,="Tuition & Other",0.1,0.0,0.0,0.1,0.1
="Canterbury School District",="Local",50.2,51.3,50.5,53.3,55.4
,="State",40.6,45.5,45.1,44.0,42.4
,="Federal",8.9,3.3,4.4,2.7,2.1
,="Tuition & Other",0.3,0.0,0.0,0.0,0.0
="Canton School District",="Local",80.4,79.8,80.9,79.2,79.2
,="State",15.3,17.4,17.5,18.9,18.1
,="Federal",3.7,2.8,1.6,1.3,1.4
,="Tuition & Other",0.6,0.0,0.0,0.7,1.2
="Chaplin School District",="Local",52.1,58.3,59.3,58.9,60.2
,="State",37.0,37.6,37.9,35.7,36.2
,="Federal",9.4,4.1,2.7,3.9,2.3
,="Tuition & Other",1.5,0.0,0.0,1.5,1.3
="Charter School for Young Children on Asylum Hill District",="Local",0.0,N/A,N/A,N/A,N/A
,"State",65.7,N/A,N/A,N/A,N/A
,"Federal",8.1,N/A,N/A,N/A,N/A
,"Tuition & Other",26.2,N/A,N/A,N/A,N/A
"Cheshire School District","Local",79.7,80.1,80.4,81.1,81.4
,="State",14.7,16.8,17.0,16.3,16.0
,="Federal",4.9,2.6,2.1,1.8,1.8
,="Tuition & Other",0.7,0.5,0.5,0.8,0.8
="Chester School District",="Local",87.1,89.1,88.9,89.0,89.2
,="State",7.6,8.0,8.1,8.1,8.1
,="Federal",5.3,2.8,2.3,2.9,2.7
,="Tuition & Other",0.0,0.0,0.7,0.0,0.0
="Clinton School District",="Local",74.8,74.8,76.0,76.1,64.5
,="State",19.8,22.2,22.1,22.0,33.8
,="Federal",5.4,2.9,1.8,1.9,1.8
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="Colchester School District",="Local",54.7,59.4,59.4,61.2,62.2
,="State",37.6,36.9,37.9,36.1,35.0
,="Federal",7.2,3.2,2.0,1.7,1.7
,="Tuition & Other",0.5,0.5,0.7,1.0,1.1
="Colebrook School District",="Local",80.3,83.8,82.8,81.6,83.4
,="State",11.9,13.0,14.2,15.9,13.6
,="Federal",7.9,3.1,2.9,2.4,2.8
,="Tuition & Other",0.0,0.1,0.1,0.1,0.2
="Columbia School District",="Local",72.0,70.2,72.5,75.6,75.0
,="State",22.6,26.9,25.7,22.4,23.1
,="Federal",5.3,2.9,1.8,1.8,1.6
,="Tuition & Other",0.1,0.0,0.0,0.2,0.3
="Common Ground High School District",="Local",2.3,5.6,0.0,0.0,0.0
,="State",64.7,71.7,77.0,66.9,83.4
,="Federal",15.9,7.0,5.1,5.3,3.7
,="Tuition & Other",17.1,15.7,17.9,27.8,12.9
="Cornwall School District",="Local",94.0,96.3,95.0,95.7,95.3
,="State",3.1,1.9,2.9,2.0,1.8
,="Federal",2.7,1.6,1.7,2.2,2.7
,="Tuition & Other",0.2,0.2,0.3,0.2,0.2
="Coventry School District",="Local",60.1,58.3,61.1,62.7,64.3
,="State",32.4,39.3,35.8,35.4,33.8
,="Federal",7.2,2.4,2.9,1.6,1.7
,="Tuition & Other",0.3,0.1,0.2,0.3,0.2
="Cromwell School District",="Local",74.5,78.0,78.8,77.5,78.8
,="State",19.6,18.4,18.6,19.6,18.8
,="Federal",5.9,3.5,2.5,2.2,2.1
,="Tuition & Other",0.0,0.0,0.0,0.8,0.3
="Danbury School District",="Local",68.0,69.1,69.5,70.7,59.4
,="State",23.0,25.3,25.9,24.5,36.5
,="Federal",8.4,4.9,4.1,3.9,3.2
,="Tuition & Other",0.6,0.6,0.5,1.0,1.0
="Darien School District",="Local",92.5,93.6,94.4,94.3,94.1
,="State",5.7,5.3,4.6,4.6,4.6
,="Federal",1.7,1.0,0.8,0.9,1.2
,="Tuition & Other",0.1,0.1,0.1,0.2,0.0
="Deep River School District",="Local",72.5,76.6,78.9,78.4,78.9
,="State",17.8,20.0,18.1,18.0,18.1
,="Federal",9.7,3.4,3.0,3.6,3.0
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="Derby School District",="Local",57.6,57.8,59.4,58.6,49.5
,="State",32.3,36.3,36.4,37.1,46.7
,="Federal",9.9,5.9,4.2,4.3,3.8
,="Tuition & Other",0.1,0.0,0.0,0.0,0.0
="East Granby School District",="Local",86.3,87.3,68.5,80.6,85.1
,="State",10.2,10.9,30.5,18.2,13.4
,="Federal",3.5,1.8,1.0,1.2,1.3
,="Tuition & Other",0.0,0.1,0.0,0.0,0.1
="East Haddam School District",="Local",73.0,73.7,73.5,72.3,75.1
,="State",19.5,20.9,21.5,23.1,20.5
,="Federal",4.7,2.7,2.2,1.5,1.4
,="Tuition & Other",2.9,2.7,2.8,3.1,3.0
="East Hampton School District",="Local",65.9,67.6,65.9,68.9,57.6
,="State",27.1,30.0,32.4,29.3,41.6
,="Federal",7.0,2.4,1.7,1.7,0.7
,="Tuition & Other",0.1,0.1,0.1,0.1,0.1
="East Hartford School District",="Local",35.6,40.5,42.6,38.6,36.8
,="State",45.2,49.7,50.5,49.5,51.0
,="Federal",14.5,9.5,6.5,6.4,6.1
,="Tuition & Other",4.8,0.3,0.4,5.5,6.1
="East Haven School District",="Local",48.2,50.5,51.4,52.0,53.2
,="State",36.7,40.4,42.7,41.9,40.9
,="Federal",8.9,5.1,2.7,2.4,2.5
,="Tuition & Other",6.3,3.9,3.3,3.7,3.4
="East Lyme School District",="Local",73.8,79.6,80.5,74.9,75.0
,="State",15.9,18.2,18.0,17.2,16.7
,="Federal",4.0,2.0,1.3,1.6,1.7
,="Tuition & Other",6.3,0.1,0.2,6.3,6.6
="East Windsor School District",="Local",65.4,65.8,64.7,63.7,66.2
,="State",26.3,30.9,32.8,33.3,30.5
,="Federal",7.6,3.2,2.4,2.2,1.8
,="Tuition & Other",0.7,0.2,0.0,0.8,1.4
="Eastford School District",="Local",63.3,63.2,66.8,60.2,64.1
,="State",28.7,33.2,29.7,37.0,32.7
,="Federal",7.9,2.8,2.9,2.1,1.7
,="Tuition & Other",0.1,0.7,0.6,0.7,1.6
="Easton School District",="Local",91.9,93.1,94.3,91.8,89.0
,="State",5.5,5.3,4.5,6.3,8.8
,="Federal",2.0,1.5,1.2,1.3,1.3
,="Tuition & Other",0.7,0.0,0.0,0.6,0.8
="Ellington School District",="Local",64.8,55.7,66.9,65.7,58.4
,="State",28.4,41.0,31.5,32.3,39.7
,="Federal",6.3,3.3,1.6,1.5,1.6
,="Tuition & Other",0.5,0.0,0.0,0.5,0.3
="Elm City College Preparatory School District",="Local",0.0,10.5,0.0,0.0,8.4
,="State",70.9,59.7,75.5,64.8,58.4
,="Federal",8.4,6.8,7.9,3.1,3.5
,="Tuition & Other",20.7,23.0,16.6,32.1,29.7
="Elm City Montessori School District",="Local",N/A,N/A,N/A,N/A,0.0
,="State",N/A,N/A,N/A,N/A,17.9
,="Federal",N/A,N/A,N/A,N/A,1.4
,="Tuition & Other",N/A,N/A,N/A,N/A,80.7
="Enfield School District",="Local",54.1,54.3,55.6,55.9,42.4
,="State",34.2,39.8,40.1,39.8,54.5
,="Federal",11.3,5.9,4.2,3.7,2.8
,="Tuition & Other",0.4,0.0,0.0,0.6,0.2
="Essex School District",="Local",93.5,95.3,92.2,93.9,94.3
,="State",2.6,2.8,5.5,3.9,3.8
,="Federal",3.9,1.9,2.2,2.2,1.9
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="Explorations District",="Local",0.0,0.0,13.3,7.2,4.0
,="State",65.6,60.1,60.3,67.4,69.3
,="Federal",2.9,2.8,4.6,2.3,2.0
,="Tuition & Other",31.5,37.1,21.8,23.0,24.6
="Fairfield School District",="Local",92.9,93.0,93.6,93.9,94.1
,="State",5.0,5.6,4.8,4.6,4.5
,="Federal",1.9,1.4,1.6,1.5,1.3
,="Tuition & Other",0.1,0.0,0.1,0.1,0.1
="Farmington School District",="Local",90.8,92.5,92.7,91.6,90.5
,="State",4.8,5.1,4.9,5.7,5.8
,="Federal",3.0,1.5,1.5,1.2,2.0
,="Tuition & Other",1.4,0.9,0.9,1.6,1.7
="Franklin School District",="Local",69.9,67.7,71.2,72.4,71.4
,="State",23.0,29.0,26.7,25.3,26.3
,="Federal",6.3,3.2,2.0,2.1,2.0
,="Tuition & Other",0.7,0.0,0.1,0.2,0.3
="Glastonbury School District",="Local",85.3,69.3,86.7,87.3,89.9
,="State",11.0,28.5,11.5,10.5,8.2
,="Federal",3.1,2.1,1.7,1.4,1.5
,="Tuition & Other",0.6,0.1,0.0,0.7,0.5
="Granby School District",="Local",74.8,77.2,77.2,73.1,75.4
,="State",17.9,20.3,21.2,21.7,20.2
,="Federal",4.7,2.5,1.6,1.4,1.5
,="Tuition & Other",2.7,0.0,0.0,3.9,2.9
="Great Oaks Charter School District",="Local",N/A,N/A,N/A,N/A,0.0
,="State",N/A,N/A,N/A,N/A,70.8
,="Federal",N/A,N/A,N/A,N/A,21.5
,="Tuition & Other",N/A,N/A,N/A,N/A,7.8
="Greenwich School District",="Local",93.7,94.9,95.1,94.8,93.3
,="State",3.3,3.0,3.0,3.0,4.5
,="Federal",2.7,2.0,1.9,1.6,1.6
,="Tuition & Other",0.3,0.0,0.0,0.5,0.6
="Griswold School District",="Local",36.1,48.5,54.7,48.7,47.8
,="State",53.5,46.9,42.2,42.9,44.7
,="Federal",6.3,4.4,2.8,2.2,2.2
,="Tuition & Other",4.2,0.2,0.3,6.2,5.3
="Groton School District",="Local",60.2,59.6,63.4,61.8,63.5
,="State",31.2,36.0,34.3,35.8,34.2
,="Federal",8.4,4.4,2.3,2.3,2.2
,="Tuition & Other",0.2,0.0,0.0,0.1,0.0
="Guilford School District",="Local",90.0,88.3,90.5,81.6,73.8
,="State",6.9,9.5,7.7,16.9,24.6
,="Federal",2.9,2.0,1.6,1.3,1.2
,="Tuition & Other",0.1,0.1,0.2,0.1,0.3
="Hamden School District",="Local",71.7,73.0,72.9,72.0,71.9
,="State",21.5,24.2,24.5,25.5,25.8
,="Federal",6.8,2.6,2.5,2.4,2.1
,="Tuition & Other",0.0,0.2,0.1,0.1,0.2
="Hampton School District",="Local",54.9,55.2,63.7,62.5,60.1
,="State",32.6,41.3,34.3,34.6,36.3
,="Federal",11.6,3.1,1.9,2.3,2.3
,="Tuition & Other",1.0,0.4,0.1,0.6,1.3
="Hartford School District",="Local",19.8,22.1,19.9,23.3,N/A
,"State",63.5,67.6,72.1,67.3,N/A
,"Federal",15.5,9.6,6.4,6.6,N/A
,"Tuition & Other",1.2,0.7,1.5,2.7,N/A
"Hartland School District","Local",64.6,67.3,68.1,69.8,68.6
,="State",25.9,30.7,29.9,28.1,29.4
,="Federal",9.3,2.0,2.0,1.7,1.7
,="Tuition & Other",0.2,0.0,0.0,0.3,0.4
="Hebron School District",="Local",64.0,68.2,69.6,70.4,70.5
,="State",25.9,29.2,28.9,27.9,28.2
,="Federal",10.1,2.6,1.5,1.5,1.0
,="Tuition & Other",0.0,0.0,0.0,0.2,0.3
="Highville Charter School District",="Local",0.0,0.0,4.3,0.0,0.0
,="State",87.8,87.9,85.8,88.3,41.9
,="Federal",9.6,9.1,7.8,8.1,3.2
,="Tuition & Other",2.6,3.1,2.1,3.6,54.9
="Integrated Day Charter School District",="Local",0.0,0.3,0.0,0.0,0.0
,="State",87.6,88.4,87.9,92.6,86.6
,="Federal",2.3,2.5,2.5,3.8,2.9
,="Tuition & Other",10.0,8.8,9.6,3.6,10.5
="Interdistrict School for Arts and Comm District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",72.9,75.3,44.8,80.0,69.4
,="Federal",3.2,2.6,1.7,1.4,1.8
,="Tuition & Other",23.9,22.2,53.6,18.6,28.8
="Jumoke Academy District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",82.2,84.5,71.0,87.9,86.8
,="Federal",6.1,4.6,3.8,2.6,3.6
,="Tuition & Other",11.7,10.9,25.2,9.4,9.6
="Kent School District",="Local",90.0,93.0,93.0,92.0,95.0
,="State",5.6,4.8,4.8,4.9,2.3
,="Federal",3.6,2.2,2.2,2.3,2.1
,="Tuition & Other",0.8,0.0,0.0,0.8,0.6
="Killingly School District",="Local",48.6,52.8,55.7,51.1,46.4
,="State",37.7,42.1,41.7,40.9,45.3
,="Federal",9.8,4.8,2.4,2.4,2.5
,="Tuition & Other",4.0,0.3,0.2,5.6,5.9
="Lebanon School District",="Local",57.6,62.4,64.3,61.2,63.5
,="State",28.9,34.7,33.8,33.9,32.3
,="Federal",7.1,2.9,1.9,2.0,1.4
,="Tuition & Other",6.4,0.0,0.0,3.0,2.8
="Ledyard School District",="Local",54.0,57.4,58.8,54.9,57.9
,="State",35.0,38.5,39.1,40.0,36.8
,="Federal",7.2,4.0,1.9,1.5,1.9
,="Tuition & Other",3.8,0.1,0.2,3.6,3.4
="Lisbon School District",="Local",52.2,55.0,56.7,55.2,56.0
,="State",35.8,41.1,41.4,42.6,40.8
,="Federal",8.0,3.8,1.8,1.8,2.6
,="Tuition & Other",4.0,0.1,0.1,0.5,0.6
="Litchfield School District",="Local",88.3,88.3,88.1,89.0,88.8
,="State",7.6,8.9,8.7,8.9,9.4
,="Federal",3.2,2.6,2.1,1.9,1.7
,="Tuition & Other",0.8,0.2,1.1,0.2,0.1
="Madison School District",="Local",92.4,92.9,93.3,92.9,93.4
,="State",4.6,4.6,4.7,5.1,4.7
,="Federal",2.7,2.1,1.6,1.5,1.4
,="Tuition & Other",0.4,0.4,0.4,0.6,0.5
="Manchester School District",="Local",62.4,66.5,60.2,65.1,63.8
,="State",25.8,27.6,35.2,29.8,30.7
,="Federal",10.3,5.7,4.1,3.6,3.9
,="Tuition & Other",1.5,0.2,0.5,1.5,1.5
="Mansfield School District",="Local",61.1,63.9,62.9,61.5,65.5
,="State",28.9,33.3,33.8,36.4,32.5
,="Federal",9.6,2.8,3.3,2.0,1.9
,="Tuition & Other",0.4,0.0,0.0,0.1,0.1
="Marlborough School District",="Local",73.0,73.5,75.2,76.3,75.9
,="State",18.9,23.3,22.5,21.1,21.7
,="Federal",8.1,3.2,2.2,1.7,2.3
,="Tuition & Other",0.0,0.0,0.1,0.9,0.1
="Meriden School District",="Local",38.2,42.2,37.1,36.6,21.8
,="State",47.3,50.8,58.0,59.0,73.4
,="Federal",14.0,6.9,4.8,3.8,3.9
,="Tuition & Other",0.5,0.2,0.2,0.7,0.9
="Middletown School District",="Local",67.5,67.2,68.8,69.6,68.2
,="State",24.2,28.2,27.6,26.7,26.9
,="Federal",7.5,4.2,3.1,2.4,3.4
,="Tuition & Other",0.8,0.4,0.4,1.3,1.5
="Milford School District",="Local",85.4,82.6,85.6,86.6,86.5
,="State",10.2,14.9,12.4,11.2,11.2
,="Federal",4.3,2.5,1.9,2.0,2.1
,="Tuition & Other",0.1,0.1,0.0,0.2,0.2
="Monroe School District",="Local",82.9,84.4,84.9,84.4,84.1
,="State",11.9,13.6,13.6,13.7,14.0
,="Federal",4.3,1.8,1.5,1.6,1.4
,="Tuition & Other",0.9,0.2,0.1,0.3,0.4
="Montville School District",="Local",55.5,62.4,62.2,61.9,62.4
,="State",35.7,33.6,35.6,34.7,33.9
,="Federal",7.8,3.8,2.1,2.3,2.5
,="Tuition & Other",1.1,0.2,0.1,1.1,1.1
="Naugatuck School District",="Local",45.6,46.6,49.2,30.9,13.4
,="State",42.4,46.4,46.6,65.5,83.5
,="Federal",12.0,6.8,4.2,3.6,3.1
,="Tuition & Other",0.1,0.1,0.0,0.0,0.1
="New Beginnings Inc., Family Academy District",="Local",0.0,0.0,0.0,0.0,N/A
,"State",86.4,81.6,83.2,78.6,N/A
,"Federal",10.1,11.3,10.1,7.7,N/A
,"Tuition & Other",3.5,7.1,6.7,13.7,N/A
"New Britain School District","Local",26.2,28.4,28.8,30.7,30.7
,="State",52.9,63.1,62.1,62.0,62.2
,="Federal",19.9,7.4,8.3,6.6,6.7
,="Tuition & Other",0.9,1.0,0.7,0.8,0.5
="New Canaan School District",="Local",94.7,95.9,95.8,95.7,96.0
,="State",3.3,3.0,3.1,3.2,2.7
,="Federal",2.1,1.1,1.1,1.0,1.0
,="Tuition & Other",0.0,0.0,0.0,0.1,0.4
="New Fairfield School District",="Local",83.5,76.8,80.8,83.6,84.6
,="State",11.6,21.0,17.5,12.6,11.5
,="Federal",3.8,2.1,1.5,1.6,1.3
,="Tuition & Other",1.1,0.2,0.2,2.2,2.6
="New Hartford School District",="Local",73.9,75.0,76.8,76.5,77.2
,="State",18.4,21.5,21.0,21.2,21.2
,="Federal",7.5,3.5,2.2,1.9,1.6
,="Tuition & Other",0.1,0.0,0.0,0.4,0.1
="New Haven School District",="Local",24.6,26.2,27.2,27.9,28.5
,="State",58.1,64.3,63.3,62.0,59.1
,="Federal",16.1,9.1,8.8,8.2,11.1
,="Tuition & Other",1.2,0.5,0.7,1.9,1.4
="New London School District",="Local",13.5,2.2,28.0,30.8,30.6
,="State",71.9,88.1,66.1,60.5,59.3
,="Federal",13.7,9.2,5.5,6.4,6.5
,="Tuition & Other",0.8,0.5,0.4,2.3,3.6
="New Milford School District",="Local",72.1,74.6,74.2,72.9,73.8
,="State",19.7,22.6,23.0,22.4,21.8
,="Federal",6.0,2.7,2.2,1.8,1.7
,="Tuition & Other",2.2,0.1,0.5,2.9,2.8
="Newington School District",="Local",75.6,74.4,76.5,77.6,76.4
,="State",18.5,22.6,21.9,20.5,21.5
,="Federal",5.8,2.9,1.6,1.5,1.6
,="Tuition & Other",0.1,0.0,0.0,0.3,0.6
="Newtown School District",="Local",79.6,86.8,88.4,86.1,87.7
,="State",17.4,10.1,8.3,8.4,7.1
,="Federal",2.8,2.0,2.3,5.1,4.6
,="Tuition & Other",0.2,1.0,1.0,0.4,0.6
="Norfolk School District",="Local",87.4,89.3,90.0,89.6,89.2
,="State",6.8,7.7,7.7,8.2,8.7
,="Federal",5.3,2.6,2.2,2.1,2.0
,="Tuition & Other",0.5,0.3,0.2,0.2,0.1
="North Branford School District",="Local",69.5,65.3,59.5,61.1,71.5
,="State",24.6,32.2,38.2,37.1,26.6
,="Federal",5.9,2.6,2.3,1.8,2.0
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="North Canaan School District",="Local",66.6,68.3,68.8,69.9,70.9
,="State",24.2,27.5,27.7,26.1,25.5
,="Federal",9.1,4.2,3.4,3.8,3.4
,="Tuition & Other",0.1,0.1,0.0,0.2,0.1
="North Haven School District",="Local",87.1,87.8,88.5,88.4,88.7
,="State",9.3,9.9,9.9,9.9,9.7
,="Federal",3.6,2.3,1.6,1.7,1.5
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="North Stonington School District",="Local",70.9,70.9,72.2,75.3,72.8
,="State",22.9,25.6,25.9,22.4,25.0
,="Federal",6.0,3.5,1.9,2.1,2.0
,="Tuition & Other",0.1,0.0,0.0,0.2,0.3
="Norwalk School District",="Local",83.2,83.9,83.6,84.5,84.8
,="State",12.5,12.6,13.1,11.6,11.0
,="Federal",3.7,3.0,2.4,2.5,2.4
,="Tuition & Other",0.6,0.6,0.9,1.4,1.8
="Norwich School District",="Local",35.9,38.6,42.3,40.4,44.4
,="State",53.1,55.9,51.9,54.6,51.0
,="Federal",10.6,5.1,5.4,4.3,3.9
,="Tuition & Other",0.5,0.4,0.5,0.7,0.7
="Odyssey Community School District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",86.5,78.5,67.8,89.8,86.1
,="Federal",2.3,1.1,0.7,1.0,1.3
,="Tuition & Other",11.2,20.4,31.5,9.2,12.6
="Old Saybrook School District",="Local",91.3,92.5,93.0,92.4,92.2
,="State",4.4,4.4,4.4,4.2,4.9
,="Federal",3.1,1.9,1.8,1.7,1.6
,="Tuition & Other",1.2,1.3,0.9,1.7,1.3
="Orange School District",="Local",92.0,92.6,93.3,93.0,91.5
,="State",4.8,5.4,5.0,5.2,6.8
,="Federal",3.2,1.9,1.7,1.7,1.7
,="Tuition & Other",0.0,0.0,0.0,0.1,0.0
="Oxford School District",="Local",77.7,80.8,79.1,80.0,81.4
,="State",17.3,17.5,17.3,16.5,17.1
,="Federal",5.0,1.7,2.0,1.5,1.6
,="Tuition & Other",0.0,0.0,1.6,2.0,0.0
="Park City Prep Charter School District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",93.5,94.1,92.0,84.4,93.2
,="Federal",6.5,5.9,5.3,4.4,4.0
,="Tuition & Other",0.0,0.0,2.6,11.2,2.7
="Path Academy District",="Local",N/A,N/A,N/A,N/A,0.0
,="State",N/A,N/A,N/A,N/A,73.8
,="Federal",N/A,N/A,N/A,N/A,7.5
,="Tuition & Other",N/A,N/A,N/A,N/A,18.7
="Plainfield School District",="Local",45.1,48.8,48.9,45.5,46.9
,="State",39.4,47.2,48.5,46.7,45.5
,="Federal",11.0,4.0,2.6,2.7,2.6
,="Tuition & Other",4.4,0.0,0.0,5.1,5.0
="Plainville School District",="Local",57.6,64.2,65.1,60.8,64.8
,="State",35.7,32.6,32.5,35.9,31.9
,="Federal",6.2,2.9,2.0,2.6,2.2
,="Tuition & Other",0.6,0.4,0.4,0.7,1.1
="Plymouth School District",="Local",50.4,52.3,54.6,55.9,56.3
,="State",41.2,43.1,42.7,41.3,41.0
,="Federal",8.4,4.5,2.6,2.6,2.6
,="Tuition & Other",0.0,0.0,0.1,0.1,0.2
="Pomfret School District",="Local",60.6,59.8,61.2,61.1,62.3
,="State",31.0,36.9,36.1,35.8,34.9
,="Federal",7.8,3.2,2.4,2.6,2.4
,="Tuition & Other",0.5,0.1,0.2,0.5,0.5
="Portland School District",="Local",74.2,74.2,75.0,74.5,75.2
,="State",19.6,22.7,22.9,24.1,22.7
,="Federal",6.1,3.0,2.1,1.2,1.8
,="Tuition & Other",0.0,0.0,0.1,0.1,0.3
="Preston School District",="Local",67.2,65.2,66.9,66.9,66.4
,="State",26.7,31.2,31.1,30.6,30.6
,="Federal",5.6,3.6,2.0,2.2,2.4
,="Tuition & Other",0.6,0.0,0.1,0.3,0.6
="Putnam School District",="Local",41.0,40.3,38.5,43.1,43.5
,="State",43.8,52.5,56.4,52.6,53.6
,="Federal",13.2,6.4,4.6,3.4,2.3
,="Tuition & Other",2.0,0.9,0.6,0.9,0.6
="Redding School District",="Local",94.7,95.4,95.9,95.9,93.7
,="State",2.8,3.2,2.9,2.9,4.2
,="Federal",1.8,1.4,1.2,0.3,1.2
,="Tuition & Other",0.7,0.0,0.0,0.9,0.9
="Regional School District 01",="Local",84.9,86.7,80.9,83.8,81.7
,="State",10.7,10.6,16.8,13.3,15.6
,="Federal",4.1,2.6,2.3,2.1,1.9
,="Tuition & Other",0.3,0.0,0.0,0.9,0.9
="Regional School District 04",="Local",79.7,90.5,89.8,88.9,88.6
,="State",17.9,7.9,8.7,9.5,10.0
,="Federal",2.4,1.4,1.5,1.6,1.5
