"Percentage of Revenue by Source (Excluding School Construction), 2014-15"
"All Districts"

"","_","_","_","_"
="Integrated Day Charter School District",0.0,86.9,2.9,10.2
="Interdistrict School for Arts and Comm District",0.0,77.6,2.3,20.1
="Jumoke Academy District",0.0,93.4,3.8,2.7
="Kent School District",94.5,2.5,2.3,0.7
="Killingly School District",49.7,41.6,2.6,6.1
="Lebanon School District",61.9,33.8,1.4,2.9
="Ledyard School District",57.1,37.5,1.9,3.4
="Lisbon School District",55.1,41.6,2.7,0.6
="Litchfield School District",88.9,9.2,1.9,0.1
="Madison School District",93.0,5.0,1.5,0.6
="Manchester School District",63.2,31.1,4.0,1.6
="Mansfield School District",65.3,32.7,1.9,0.1
="Marlborough School District",73.5,23.8,2.5,0.1
="Meriden School District",40.9,52.6,5.2,1.2
="Middletown School District",66.4,28.5,3.6,1.6
="Milford School District",86.1,11.5,2.2,0.2
="Monroe School District",83.9,14.1,1.5,0.4
="Montville School District",61.4,34.9,2.6,1.2
="Naugatuck School District",50.6,46.2,3.1,0.1
="New Britain School District",30.4,62.6,6.5,0.5
="New Canaan School District",95.9,2.6,1.1,0.4
="New Fairfield School District",83.7,12.1,1.3,2.8
="New Hartford School District",76.8,21.5,1.6,0.1
="New Haven School District",24.6,61.0,12.8,1.6
="New London School District",30.4,58.8,6.8,3.9
="New Milford School District",74.1,21.2,1.8,2.9
="Newington School District",77.0,20.8,1.6,0.6
="Newtown School District",85.8,7.9,5.6,0.7
="Norfolk School District",89.2,8.7,2.0,0.1
="North Branford School District",69.3,28.5,2.2,0.0
="North Canaan School District",70.4,26.0,3.5,0.1
="North Haven School District",88.3,10.2,1.5,0.0
="North Stonington School District",74.6,23.1,2.0,0.3
="Norwalk School District",84.1,11.4,2.6,1.9
="Norwich School District",43.4,51.9,4.0,0.7
="Odyssey Community School District",0.0,96.7,1.9,1.4
="Old Saybrook School District",91.8,5.1,1.7,1.4
="Orange School District",93.6,4.6,1.8,0.0
="Oxford School District",79.9,18.4,1.7,0.0
="Park City Prep Charter School District",0.0,88.2,4.7,7.1
="Path Academy District",0.0,73.8,7.5,18.7
="Plainfield School District",45.7,46.5,2.7,5.1
="Plainville School District",61.7,34.7,2.3,1.2
="Plymouth School District",53.7,43.3,2.7,0.2
="Pomfret School District",62.2,35.0,2.4,0.5
="Portland School District",73.6,24.1,1.9,0.3
="Preston School District",65.3,31.6,2.5,0.6
="Putnam School District",43.4,52.3,3.4,0.9
="Redding School District",93.0,4.7,1.3,1.0
="Regional School District 01",80.6,16.5,2.0,0.9
="Regional School District 04",87.3,11.1,1.6,0.0
="Regional School District 05",89.8,8.5,1.4,0.3
="Regional School District 06",83.1,9.1,1.4,6.4
="Regional School District 07",74.3,19.9,1.3,4.4
="Regional School District 08",70.9,27.2,1.4,0.4
="Regional School District 09",93.0,5.9,1.0,0.0
="Regional School District 10",73.1,24.7,1.7,0.5
="Regional School District 11",63.4,32.5,1.8,2.3
="Regional School District 12",94.4,2.7,1.9,1.0
="Regional School District 13",78.9,19.4,1.4,0.4
="Regional School District 14",80.4,12.2,1.7,5.7
="Regional School District 15",89.7,8.3,1.7,0.2
="Regional School District 16",65.6,28.8,1.7,4.0
="Regional School District 17",85.4,12.9,1.6,0.0
="Regional School District 18",95.2,3.4,1.3,0.2
="Regional School District 19",52.9,30.8,1.7,14.6
="Ridgefield School District",93.5,4.8,1.4,0.3
="Rocky Hill School District",87.3,10.7,1.8,0.1
="Salem School District",66.8,31.6,1.4,0.2
="Salisbury School District",95.0,2.3,2.4,0.3
="Scotland School District",57.6,36.4,2.1,3.9
="Seymour School District",64.4,32.9,2.7,0.0
="Sharon School District",95.8,2.1,2.0,0.1
="Shelton School District",89.0,9.0,1.5,0.4
="Sherman School District",92.9,4.8,1.6,0.7
="Side By Side Charter School District",0.0,88.0,1.9,10.1
="Simsbury School District",86.9,11.4,1.5,0.1
="Somers School District",68.0,30.2,1.7,0.1
="South Windsor School District",76.8,20.7,1.9,0.6
="Southington School District",70.9,25.5,2.5,1.1
="Sprague School District",50.9,45.8,3.0,0.4
="Stafford School District",57.8,39.3,2.5,0.4
="Stamford Academy District",0.0,52.1,3.5,44.4
="Stamford School District",85.7,10.9,2.8,0.6
="Sterling School District",51.4,45.2,2.8,0.5
="Stonington School District",90.1,7.8,2.0,0.1
="Stratford School District",74.0,23.1,2.7,0.2
="Suffield School District",72.2,23.2,1.9,2.8
="The Bridge Academy District",0.0,86.1,7.0,6.9
="Thomaston School District",56.0,41.1,2.6,0.3
="Thompson School District",46.9,49.2,3.1,0.8
="Tolland School District",66.8,31.4,1.4,0.4
="Torrington School District",59.9,36.3,3.1,0.8
="Trailblazers Academy District",0.0,32.0,3.3,64.7
="Trumbull School District",91.1,5.1,2.0,1.7
="Union School District",83.8,14.5,1.7,0.0
="Vernon School District",58.2,38.2,2.9,0.8
="Voluntown School District",57.1,41.1,1.9,0.0
="Wallingford School District",71.9,24.8,1.8,1.5
="Waterbury School District",36.2,56.9,6.0,0.9
="Waterford School District",92.9,4.9,1.7,0.5
="Watertown School District",65.2,31.6,2.7,0.5
="West Hartford School District",82.1,15.3,2.1,0.5
="West Haven School District",44.5,50.3,4.3,0.9
="Westbrook School District",95.3,2.9,1.4,0.3
="Weston School District",94.9,4.2,0.6,0.3
="Westport School District",96.2,2.3,1.3,0.2
="Wethersfield School District",79.6,18.2,1.7,0.5
="Willington School District",67.4,30.3,2.3,0.0
="Wilton School District",94.9,3.6,1.2,0.3
="Windham School District",34.2,56.3,8.0,1.5
="Windsor Locks School District",75.8,21.1,2.4,0.8
="Windsor School District",76.0,21.2,2.1,0.7
="Wolcott School District",54.3,42.9,2.3,0.5
="Woodbridge School District",94.1,3.7,2.1,0.1
="Woodstock School District",63.7,32.9,2.8,0.6

