"Percentage of Revenue by Source (Excluding School Construction), 2005-06"
"All Districts"

"","_","_","_","_"
="Redding School District",94.7,2.6,1.7,0.9
="Regional School District 01",84.9,10.5,4.0,0.5
="Regional School District 04",87.4,10.8,1.8,0.0
="Regional School District 05",92.4,6.2,1.4,0.0
="Regional School District 06",83.9,8.6,2.8,4.7
="Regional School District 07",75.8,17.4,1.8,5.0
="Regional School District 08",70.9,27.2,1.9,0.0
="Regional School District 09",94.6,4.2,1.2,0.0
="Regional School District 10",73.6,24.9,1.5,0.0
="Regional School District 11",64.3,30.1,4.6,1.0
="Regional School District 12",91.6,3.1,2.2,3.1
="Regional School District 13",75.1,22.6,2.0,0.3
="Regional School District 14",79.8,10.3,3.7,6.2
="Regional School District 15",92.8,4.7,2.1,0.4
="Regional School District 16",65.4,32.2,2.2,0.2
="Regional School District 17",84.3,13.7,1.9,0.1
="Regional School District 18",93.7,4.8,1.4,0.1
="Regional School District 19",58.1,36.1,1.7,4.0
="Ridgefield School District",95.4,3.2,1.1,0.2
="Rocky Hill School District",87.7,10.1,2.1,0.1
="Salem School District",65.6,32.5,1.8,0.0
="Salisbury School District",94.5,2.0,3.3,0.3
="Scotland School District",51.4,43.4,3.8,1.4
="Seymour School District",56.2,32.6,3.1,8.2
="Sharon School District",94.5,1.9,3.5,0.1
="Shelton School District",86.8,10.6,2.5,0.0
="Sherman School District",94.7,3.3,1.9,0.2
="Side By Side Charter School District",0.0,92.1,2.0,5.8
="Simsbury School District",91.4,6.3,2.1,0.2
="Somers School District",65.9,31.1,2.4,0.6
="South Windsor School District",77.3,21.1,1.5,0.2
="Southington School District",69.1,25.5,1.7,3.7
="Sprague School District",47.9,48.0,3.8,0.3
="Stafford School District",52.3,43.7,3.4,0.6
="Stamford Academy District",1.6,39.9,2.7,55.8
="Stamford School District",87.7,7.9,3.7,0.7
="Sterling School District",50.7,44.2,3.3,1.8
="Stonington School District",87.8,8.8,2.9,0.5
="Stratford School District",73.7,23.3,2.8,0.2
="Suffield School District",73.4,20.9,2.1,3.6
="The Bridge Academy District",0.0,89.9,7.3,2.8
="Thomaston School District",57.8,38.9,3.2,0.1
="Thompson School District",44.1,51.0,4.1,0.7
="Tolland School District",64.7,32.5,2.5,0.2
="Torrington School District",54.4,41.5,3.8,0.3
="Trailblazers Academy District",0.0,43.9,4.5,51.6
="Trumbull School District",90.5,4.9,2.5,2.0
="Union School District",74.3,20.6,5.0,0.1
="Vernon School District",56.6,38.1,3.9,1.4
="Voluntown School District",50.3,47.1,2.5,0.1
="Wallingford School District",69.2,27.0,2.3,1.5
="Waterbury School District",36.2,55.5,7.4,0.8
="Waterford School District",93.1,3.9,2.8,0.3
="Watertown School District",61.2,35.3,2.5,1.0
="West Hartford School District",85.6,11.5,2.7,0.2
="West Haven School District",45.3,50.4,3.9,0.4
="Westbrook School District",93.8,3.5,2.7,0.0
="Weston School District",95.8,2.6,1.1,0.4
="Westport School District",95.7,2.5,1.4,0.3
="Wethersfield School District",82.5,14.9,2.3,0.2
="Willington School District",64.0,32.5,3.5,0.0
="Wilton School District",93.9,4.2,1.5,0.4
="Winchester School District",55.7,40.7,3.1,0.5
="Windham School District",28.8,54.6,12.4,4.2
="Windsor Locks School District",81.0,15.7,2.4,0.8
="Windsor School District",78.9,18.8,2.0,0.3
="Wolcott School District",55.7,41.6,2.2,0.5
="Woodbridge School District",94.3,3.3,2.2,0.1
="Woodstock School District",61.1,35.6,2.8,0.4

