"Percentage of Revenue by Source (Excluding School Construction), 2006-07"
"All Districts"

"","_","_","_","_"
="East Lyme School District",71.5,19.2,2.1,7.2
="East Windsor School District",63.4,33.7,2.2,0.7
="Eastford School District",66.7,30.4,2.6,0.4
="Easton School District",93.5,4.8,1.3,0.4
="Ellington School District",65.0,32.6,2.1,0.2
="Elm City College Preparatory School",0.0,87.2,11.3,1.4
="Enfield School District",59.4,36.5,3.9,0.3
="Essex School District",94.8,3.2,2.1,0.0
="Explorations District",0.0,85.5,4.5,10.1
="Fairfield School District",94.6,3.4,1.9,0.0
="Farmington School District",93.5,4.2,1.5,0.8
="Franklin School District",73.4,23.7,2.6,0.4
="Glastonbury School District",89.6,7.9,1.9,0.6
="Granby School District",77.0,19.1,1.7,2.2
="Greenwich School District",95.4,2.5,1.7,0.4
="Griswold School District",42.4,44.2,3.6,9.8
="Groton School District",61.2,35.5,3.1,0.2
="Guilford School District",90.0,7.9,2.0,0.1
="Hamden School District",72.0,24.7,3.1,0.2
="Hampton School District",55.6,40.4,2.4,1.5
="Hartford School District",25.7,60.1,11.7,2.5
="Hartland School District",68.2,29.5,1.9,0.4
="Hebron School District",65.0,32.7,2.3,0.0
="Highville Mustard Seed Charter School District",5.7,78.4,6.4,9.5
="Integrated Day Charter School District",5.6,91.8,12.4,-9.8
="Interdistrict School for Arts and Comm District",0.0,97.7,1.9,0.4
="Jumoke Academy District",0.0,85.3,14.3,0.3
="Kent School District",94.9,3.4,1.6,0.1
="Killingly School District",46.3,45.6,3.4,4.6
="Lebanon School District",51.8,34.1,2.5,11.6
="Ledyard School District",58.4,36.5,0.9,4.2
="Lisbon School District",55.4,41.4,2.4,0.9
="Litchfield School District",88.7,9.1,2.1,0.1
="Madison School District",92.2,5.4,1.6,0.8
="Manchester School District",63.3,30.9,4.6,1.2
="Mansfield School District",65.0,32.5,2.4,0.2
="Marlborough School District",74.7,23.6,1.6,0.1
="Meriden School District",47.4,47.5,4.7,0.4
="Middletown School District",69.5,25.2,4.5,0.8
="Milford School District",85.9,11.5,2.5,0.1
="Monroe School District",79.1,14.0,1.8,5.1
="Montville School District",62.2,33.6,2.9,1.4
="Naugatuck School District",47.2,48.2,4.3,0.3
="New Beginnings Inc., Family Academy District",0.0,72.9,10.2,17.0
="New Britain School District",33.5,57.9,7.7,1.0
="New Canaan School District",96.2,3.0,0.8,0.0
="New Fairfield School District",83.7,13.8,1.7,0.8
="New Hartford School District",74.2,23.3,2.3,0.2
="New Haven School District",27.2,58.7,12.0,2.1
="New London School District",36.8,53.8,8.7,0.6
="New Milford School District",73.7,22.3,1.8,2.2
="Newington School District",76.0,22.0,1.8,0.2
="Newtown School District",89.4,8.6,1.8,0.2
="Norfolk School District",84.7,10.4,4.6,0.3
="North Branford School District",69.0,28.8,2.1,0.1
="North Canaan School District",66.0,31.2,2.7,0.1
="North Haven School District",90.3,7.9,1.8,0.0
="North Stonington School District",71.7,24.2,3.4,0.8
="Norwalk School District",86.0,10.1,3.4,0.5
="Norwich School District",41.9,51.7,5.7,0.7
="Odyssey Community School District",0.0,96.3,0.6,3.1
="Old Saybrook School District",92.1,4.6,2.4,0.9
="Orange School District",92.9,5.6,1.5,0.0
="Oxford School District",79.9,18.9,1.2,0.0
="Park City Prep Charter School District",0.0,87.0,12.1,0.8
="Plainfield School District",43.0,47.1,4.6,5.2
="Plainville School District",64.7,31.9,2.6,0.8
="Plymouth School District",53.9,43.5,2.4,0.2
="Pomfret School District",59.5,36.8,3.0,0.7
="Portland School District",73.9,23.6,2.1,0.3
="Preston School District",66.1,30.4,2.5,0.9
="Putnam School District",43.6,49.2,5.6,1.6
="Redding School District",95.0,2.5,1.7,0.8
="Regional School District 01",84.9,10.9,3.6,0.6
="Regional School District 04",88.2,9.9,1.8,0.0
="Regional School District 05",92.9,5.6,1.5,0.0
="Regional School District 06",83.4,9.0,2.4,5.3
="Regional School District 07",76.9,17.3,1.4,4.4
="Regional School District 08",70.9,26.9,2.2,0.0
="Regional School District 09",92.7,5.8,1.5,0.0
="Regional School District 10",72.9,25.2,1.8,0.1
="Regional School District 11",70.3,27.0,2.0,0.7
="Regional School District 12",92.0,3.1,2.0,2.8
="Regional School District 13",75.9,22.5,1.4,0.3
="Regional School District 14",80.3,10.9,3.1,5.7
="Regional School District 15",92.2,5.4,2.0,0.4
="Regional School District 16",66.7,30.8,2.3,0.2
="Regional School District 17",84.7,13.2,2.0,0.1
="Regional School District 18",93.7,5.1,1.2,0.1
="Regional School District 19",60.4,34.3,1.6,3.7
="Ridgefield School District",95.1,3.3,1.2,0.4
="Rocky Hill School District",88.7,9.9,1.4,0.0
="Salem School District",67.4,31.4,1.2,0.0
="Salisbury School District",94.8,1.9,3.1,0.2
="Scotland School District",51.1,44.7,3.3,1.0
="Seymour School District",55.9,32.5,2.6,9.0
="Sharon School District",93.6,1.9,4.5,0.1
="Shelton School District",87.6,9.7,2.6,0.0
="Sherman School District",94.0,3.7,2.1,0.2
="Side By Side Charter School District",0.0,83.0,1.7,15.3
="Simsbury School District",90.1,7.6,1.9,0.3
="Somers School District",66.9,30.4,2.3,0.4
="South Windsor School District",77.4,20.3,2.2,0.2
="Southington School District",69.2,23.9,2.9,4.0
="Sprague School District",49.6,47.0,3.2,0.2
="Stafford School District",52.6,42.8,3.5,1.0
="Stamford Academy District",0.0,41.6,8.0,50.4
="Stamford School District",87.5,7.9,3.8,0.8
="Sterling School District",51.7,42.6,3.3,2.4
="Stonington School District",88.2,8.9,2.6,0.3
="Stratford School District",74.9,22.2,2.8,0.1
="Suffield School District",75.2,19.6,1.9,3.3
="The Bridge Academy District",0.9,84.7,5.7,8.6
="Thomaston School District",59.3,37.3,3.3,0.1
="Thompson School District",45.7,50.2,3.6,0.6
="Tolland School District",66.2,31.1,2.5,0.2
="Torrington School District",56.0,40.1,3.6,0.3
="Trailblazers Academy District",1.4,44.4,3.9,50.2
="Trumbull School District",90.4,4.9,2.4,2.3
="Union School District",78.0,17.8,3.5,0.7
="Vernon School District",57.8,37.6,3.4,1.3
="Voluntown School District",53.5,44.0,2.4,0.1
="Wallingford School District",70.4,26.1,2.1,1.4
="Waterbury School District",38.6,53.3,7.3,0.9
="Waterford School District",92.9,4.5,2.4,0.2
="Watertown School District",63.4,33.3,2.6,0.7
="West Hartford School District",85.9,11.4,2.5,0.2
="West Haven School District",45.1,51.0,3.6,0.3
="Westbrook School District",94.6,3.6,1.8,0.0
="Weston School District",95.4,3.5,0.9,0.3
="Westport School District",95.6,2.7,1.4,0.4
="Wethersfield School District",82.7,14.7,2.5,0.2
="Willington School District",65.0,32.1,2.8,0.1
="Wilton School District",94.0,4.4,1.3,0.3
="Winchester School District",57.3,39.7,2.8,0.3
="Windham School District",31.5,54.0,10.6,3.9
="Windsor Locks School District",82.9,14.5,1.9,0.7
="Windsor School District",79.1,18.2,2.5,0.2
="Wolcott School District",56.3,40.9,2.4,0.4
="Woodbridge School District",93.6,4.0,2.3,0.1
="Woodstock School District",63.3,33.3,3.1,0.3

