"Percentage of Revenue by Source (Including School Construction), 2005-06"
"All Districts"

"","_","_","_","_"
="North Branford School District",66.6,31.1,2.0,0.3
="North Canaan School District",65.5,31.7,2.7,0.2
="North Haven School District",71.9,26.9,1.1,0.1
="North Stonington School District",69.0,26.7,3.2,1.1
="Norwalk School District",80.7,15.4,3.6,0.4
="Norwich School District",40.3,51.4,7.5,0.8
="Odyssey Community School District",0.0,87.8,0.5,11.7
="Old Saybrook School District",88.6,8.6,2.2,0.6
="Orange School District",92.1,6.1,1.8,0.0
="Oxford School District",65.9,32.9,1.2,0.0
="Plainfield School District",35.1,57.0,4.4,3.5
="Plainville School District",54.1,42.8,2.3,0.8
="Plymouth School District",48.0,50.0,1.9,0.1
="Pomfret School District",56.6,39.2,3.4,0.7
="Portland School District",75.7,21.9,2.4,0.0
="Preston School District",62.9,34.6,1.8,0.7
="Putnam School District",39.3,53.3,6.1,1.3
="Redding School District",94.6,2.9,1.6,0.8
="Regional School District 01",81.1,14.7,3.7,0.5
="Regional School District 04",86.9,11.7,1.4,0.0
="Regional School District 05",73.6,25.4,1.0,0.0
="Regional School District 06",84.2,8.8,2.6,4.3
="Regional School District 07",77.0,16.4,1.9,4.7
="Regional School District 08",70.0,28.3,1.7,0.0
="Regional School District 09",91.1,7.9,1.0,0.0
="Regional School District 10",56.2,42.8,1.1,0.0
="Regional School District 11",63.1,31.6,4.3,0.9
="Regional School District 12",91.4,3.5,2.1,3.0
="Regional School District 13",74.8,23.1,1.8,0.3
="Regional School District 14",77.0,13.8,3.4,5.8
="Regional School District 15",91.4,6.2,2.0,0.4
="Regional School District 16",61.4,36.5,1.8,0.2
="Regional School District 17",62.3,36.3,1.3,0.0
="Regional School District 18",93.9,4.7,1.3,0.1
="Regional School District 19",54.1,40.9,1.5,3.5
="Ridgefield School District",97.9,1.5,0.5,0.1
="Rocky Hill School District",86.8,11.0,2.0,0.1
="Salem School District",62.1,36.1,1.8,0.0
="Salisbury School District",92.8,3.9,3.1,0.3
="Scotland School District",50.2,45.0,3.5,1.3
="Seymour School District",51.2,39.4,2.6,6.8
="Sharon School District",93.7,3.0,3.2,0.1
="Shelton School District",84.3,13.3,2.4,0.0
="Sherman School District",94.7,3.4,1.7,0.2
="Side By Side Charter School District",0.0,92.1,2.0,5.8
="Simsbury School District",88.7,9.3,1.9,0.2
="Somers School District",56.8,40.7,2.0,0.5
="South Windsor School District",76.2,22.3,1.4,0.2
="Southington School District",69.5,25.3,1.7,3.5
="Sprague School District",49.4,46.6,3.7,0.3
="Stafford School District",31.4,66.3,2.0,0.3
="Stamford Academy District",1.6,39.9,2.7,55.8
="Stamford School District",77.3,18.5,3.6,0.6
="Sterling School District",50.3,44.9,3.1,1.7
="Stonington School District",69.9,26.9,2.7,0.5
="Stratford School District",72.1,25.2,2.5,0.2
="Suffield School District",75.9,18.9,1.9,3.3
="The Bridge Academy District",0.0,82.7,6.7,10.6
="Thomaston School District",55.3,41.8,2.8,0.1
="Thompson School District",44.6,50.4,4.2,0.7
="Tolland School District",41.5,56.9,1.5,0.1
="Torrington School District",56.1,40.6,3.0,0.2
="Trailblazers Academy District",0.0,43.9,4.5,51.6
="Trumbull School District",88.4,7.4,2.3,1.9
="Union School District",74.3,20.6,5.0,0.1
="Vernon School District",57.0,37.8,3.8,1.3
="Voluntown School District",50.1,47.6,2.3,0.1
="Wallingford School District",64.1,32.8,1.9,1.3
="Waterbury School District",35.0,56.6,7.5,0.8
="Waterford School District",79.7,17.7,2.4,0.2
="Watertown School District",56.7,40.1,2.3,0.9
="West Hartford School District",83.2,14.2,2.4,0.2
="West Haven School District",45.2,50.6,3.8,0.4
="Westbrook School District",68.3,30.1,1.6,0.0
="Weston School District",88.7,10.1,0.9,0.3
="Westport School District",94.1,4.4,1.2,0.3
="Wethersfield School District",80.7,17.0,2.2,0.2
="Willington School District",63.4,32.9,3.7,0.0
="Wilton School District",93.9,4.4,1.4,0.4
="Winchester School District",55.9,40.6,3.0,0.5
="Windham School District",28.2,55.6,12.1,4.1
="Windsor Locks School District",80.9,16.1,2.3,0.7
="Windsor School District",77.8,20.0,2.0,0.2
="Wolcott School District",55.0,42.5,2.0,0.5
="Woodbridge School District",93.7,4.1,2.1,0.1
="Woodstock School District",60.8,35.9,2.8,0.4

