"Percentage of Revenue by Source (Excluding School Construction), 2008-09"
"All Districts"

"","_","_","_","_"
="Meriden School District",41.3,51.9,5.8,1.0
="Middletown School District",67.5,27.6,3.9,1.1
="Milford School District",85.6,12.1,2.2,0.1
="Monroe School District",82.6,14.8,1.6,1.0
="Montville School District",59.7,36.7,2.5,1.0
="Naugatuck School District",48.6,46.5,4.4,0.6
="New Beginnings Inc., Family Academy District",0.0,86.7,10.8,2.4
="New Britain School District",28.9,61.8,7.1,2.2
="New Canaan School District",95.3,3.6,1.1,0.0
="New Fairfield School District",83.3,14.0,1.7,1.0
="New Hartford School District",74.6,22.8,2.4,0.2
="New Haven School District",26.0,61.2,11.0,1.8
="New London School District",34.8,56.3,8.0,0.9
="New Milford School District",72.7,23.0,2.1,2.3
="Newington School District",73.8,24.1,1.9,0.1
="Newtown School District",88.9,9.1,1.8,0.1
="Norfolk School District",88.2,9.3,2.2,0.2
="North Branford School District",67.4,30.5,2.1,0.0
="North Canaan School District",69.0,28.8,2.2,0.0
="North Haven School District",87.6,10.9,1.4,0.1
="North Stonington School District",71.7,25.6,2.4,0.3
="Norwalk School District",84.5,12.2,2.9,0.4
="Norwich School District",41.9,52.1,5.3,0.7
="Odyssey Community School District",0.0,93.6,1.5,4.9
="Old Saybrook School District",91.8,4.4,2.2,1.6
="Orange School District",90.6,7.8,1.5,0.0
="Oxford School District",77.3,20.7,1.9,0.1
="Park City Prep Charter School District",0.0,85.4,12.6,2.0
="Plainfield School District",41.0,50.3,3.6,5.1
="Plainville School District",62.3,34.4,2.4,1.0
="Plymouth School District",51.3,46.2,2.4,0.0
="Pomfret School District",56.2,40.1,2.9,0.8
="Portland School District",71.6,25.9,2.1,0.4
="Preston School District",64.8,31.7,2.6,0.8
="Putnam School District",42.0,51.4,4.8,1.7
="Redding School District",92.3,4.8,2.0,0.9
="Regional School District 01",83.2,12.8,3.1,1.0
="Regional School District 04",87.0,11.1,1.9,0.0
="Regional School District 05",91.4,6.7,1.8,0.1
="Regional School District 06",83.7,8.3,2.1,5.9
="Regional School District 07",72.7,20.2,1.5,5.6
="Regional School District 08",70.5,27.7,1.7,0.2
="Regional School District 09",94.4,4.7,0.9,0.0
="Regional School District 10",71.2,27.0,1.5,0.3
="Regional School District 11",62.1,35.4,2.3,0.1
="Regional School District 12",91.8,3.6,2.1,2.5
="Regional School District 13",74.9,23.0,1.4,0.6
="Regional School District 14",79.6,12.0,2.5,5.9
="Regional School District 15",89.2,8.5,1.7,0.6
="Regional School District 16",65.0,32.4,2.5,0.1
="Regional School District 17",84.7,13.7,1.5,0.1
="Regional School District 18",92.3,6.4,1.3,0.0
="Regional School District 19",57.0,36.1,1.9,5.0
="Ridgefield School District",94.0,4.5,1.2,0.2
="Rocky Hill School District",86.5,11.8,1.7,0.0
="Salem School District",65.8,32.3,1.7,0.2
="Salisbury School District",94.2,2.9,2.6,0.3
="Scotland School District",53.8,42.9,2.0,1.3
="Seymour School District",59.5,35.0,2.6,2.9
="Sharon School District",95.7,2.1,2.1,0.0
="Shelton School District",87.4,9.9,2.7,0.0
="Sherman School District",92.9,5.1,1.9,0.2
="Side By Side Charter School District",0.0,87.4,2.4,10.1
="Simsbury School District",87.2,11.0,1.7,0.2
="Somers School District",63.8,33.7,2.0,0.4
="South Windsor School District",73.9,23.8,1.9,0.3
="Southington School District",66.3,27.1,2.1,4.5
="Sprague School District",51.0,45.4,3.6,0.0
="Stafford School District",53.5,42.8,3.1,0.6
="Stamford Academy District",1.9,43.1,2.2,52.8
="Stamford School District",86.4,8.4,2.9,2.4
="Sterling School District",54.0,42.7,2.6,0.6
="Stonington School District",88.0,9.2,2.6,0.2
="Stratford School District",71.8,25.3,2.8,0.1
="Suffield School District",72.3,22.7,1.9,3.1
="The Bridge Academy District",0.0,86.3,8.4,5.3
="Thomaston School District",54.7,41.8,3.1,0.4
="Thompson School District",43.5,52.2,3.5,0.8
="Tolland School District",63.1,35.1,1.8,0.1
="Torrington School District",54.7,41.6,3.5,0.2
="Trailblazers Academy District",9.3,42.6,5.0,43.1
="Trumbull School District",90.7,5.3,2.1,1.9
="Union School District",79.9,18.0,2.0,0.2
="Vernon School District",55.8,40.3,2.9,1.0
="Voluntown School District",53.6,44.3,2.1,0.0
="Wallingford School District",68.6,27.6,2.3,1.5
="Waterbury School District",36.4,55.3,7.5,0.8
="Waterford School District",90.7,7.1,1.9,0.3
="Watertown School District",62.3,35.0,2.5,0.3
="West Hartford School District",82.1,14.8,2.6,0.5
="West Haven School District",39.8,53.7,6.2,0.4
="Westbrook School District",94.8,3.5,1.8,0.0
="Weston School District",94.8,3.7,0.8,0.7
="Westport School District",95.4,3.2,1.1,0.3
="Wethersfield School District",80.0,18.1,1.7,0.2
="Willington School District",62.5,34.3,3.2,0.0
="Wilton School District",93.7,4.8,1.1,0.4
="Winchester School District",54.3,42.8,2.8,0.1
="Windham School District",30.0,56.0,9.8,4.2
="Windsor Locks School District",78.8,18.4,2.5,0.3
="Windsor School District",74.8,22.4,2.4,0.4
="Wolcott School District",53.4,44.0,2.1,0.5
="Woodbridge School District",93.9,4.1,1.8,0.1
="Woodstock School District",61.0,35.8,2.9,0.3

