"Student Counts by School and Race"
"All Districts, All Schools"
"Trend"

"",,,,"Race",,,,,,,,,,,,
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*",0,73,39,22,72,209,"*",0,76,2666,1327,4497
"Avon School District","=""0040011""","Avon High School","=""0046111""","*","*",894,255,81,104,408,13,0,209,5867,2775,10620
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,6,584,135,34,62,229,0,0,130,3050,1544,5774
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",0,0,19,26,0,0,"*",0,0,"*",84,0,149
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*",11,870,196,80,84,284,"*",0,129,2947,1521,6133
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",8,718,157,72,113,255,"*",0,160,2874,1786,6150
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*",8,627,141,44,81,214,"*",0,138,2929,1429,5613
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*",0,25,"*",11,15,28,0,0,19,2007,975,3089
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""",0,0,0,0,0,0,0,0,0,0,7,0,7
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",0,"*","*",0,"*",0,"*",0,0,"*",150,69,234
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",9,362,134,18,60,487,"*",0,130,5648,2905,9762
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*","*",230,107,23,62,365,0,0,136,4167,2093,7193
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","*","*",259,60,29,55,302,0,0,92,2927,1562,5297
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","*","*",136,37,31,69,299,0,0,138,3266,1576,5563
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","*",0,44,46,"*",24,198,0,0,31,1362,707,2440
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",8,10,373,60,41,21,87,0,0,15,2613,1463,4691
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,0,270,39,25,146,515,0,0,65,2034,980,4074
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",8,"*",607,158,65,286,836,"*",0,120,4919,2484,9488
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*","*",462,90,37,256,715,6,0,128,3491,1730,6920
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",0,7,327,84,37,140,419,6,0,105,2810,1185,5120
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,"*",320,65,26,139,480,"*",0,68,2215,1075,4393
"Bethel School District","=""0090011""","TASK","=""0090311""",0,0,"*",0,0,0,"*",0,0,0,9,0,12
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,"*",33,3380,1698,122,321,"*",0,54,100,67,5780
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","*","*",34,1367,827,68,188,"*",0,52,33,51,2624
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","*","*",14,1390,837,72,171,0,0,30,33,42,2591
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",0,"*",16,570,0,0,133,"*",0,32,302,0,1057
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","*","*",30,529,758,69,69,"*",0,30,23,42,1558
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",9,"*",25,1623,682,65,178,"*",0,60,83,39,2773
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",0,0,0,49,0,0,"*",0,0,0,"*",0,59
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,"*",48,1212,568,39,137,"*",0,43,54,22,2129
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",0,0,"*",151,200,20,23,0,0,"*",17,25,444
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","*","*",118,798,99,15,227,0,0,151,952,124,2496
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",0,0,140,245,83,32,199,0,0,73,3118,1611,5501
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",8,0,43,92,23,10,79,0,0,62,2005,800,3122
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",0,0,0,442,0,0,59,0,0,"*","*",0,512
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",29,80,28,41,91,0,0,"*",1366,699,2345
"Branford School District","=""0140011""","Branford High School","=""0146111""",10,11,716,225,102,122,518,0,0,130,5624,2932,10390
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",0,0,"*","*",0,0,8,0,0,"*",75,0,92
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",8,8,724,218,107,184,572,0,0,135,5272,2738,9966
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",0,0,17,12,8,22,28,0,0,6,247,153,493
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","*","*",173,52,23,89,336,0,0,69,1926,895,3580
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","*","*",211,29,35,49,151,0,0,24,2372,1139,4014
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","*","*",571,133,59,142,310,0,0,75,2016,908,4227
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",0,0,9,205,0,0,305,0,0,74,77,0,670
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",0,16,44,3036,282,195,2330,0,0,38,62,6,6009
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",0,"*",72,544,0,0,466,"*",0,11,483,0,1584
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",0,"*",33,1241,476,993,2947,0,0,"*",192,29,5938
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*","*",373,3285,1741,1685,3478,12,0,27,390,156,11156
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","*",21,52,970,525,797,1440,"*",0,12,95,38,3958
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",0,"*",54,486,0,0,589,"*",0,"*",424,0,1557
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","*","*",51,522,175,433,1304,0,0,16,814,135,3452
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","*",42,481,2485,1102,1406,3595,"*",0,27,1318,649,11114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,0,"*",187,73,79,186,0,0,0,24,"*",564
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",0,8,"*",321,0,0,481,0,0,"*",129,0,948
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",0,"*",267,1009,501,542,1360,"*",0,32,242,133,4103
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",0,0,0,36,0,0,35,0,0,0,0,0,71
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",14,407,806,5466,3198,2436,5312,12,0,48,1401,907,20007
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",0,25,365,1646,939,2178,5700,"*",0,"*",393,112,11380
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*",22,143,1451,620,292,707,"*",0,9,132,72,3457
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",0,"*",37,1828,543,1266,3255,"*",0,38,361,246,7579
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",0,"*",56,1517,719,377,1174,"*",0,6,107,36,4001
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",0,26,378,2130,825,703,2157,8,0,31,292,83,6633
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",0,40,151,867,0,0,905,"*",0,"*",949,0,2924
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","*",0,8,1375,632,423,993,"*",0,21,80,23,3559
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","*","*",87,893,491,397,663,0,0,8,182,75,2799
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""","*",0,"*",0,57,204,0,0,0,0,0,11,278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",0,82,316,1787,684,863,3226,8,0,20,440,171,7597
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",6,"*",26,993,449,407,766,0,0,"*",156,26,2837
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",0,"*",25,1295,681,294,787,"*",0,9,156,32,3285
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","*",20,131,3465,2086,2657,4235,"*",0,9,469,110,13191
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","*",14,93,1459,571,472,998,"*",0,37,398,220,4271
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","*",12,63,1007,559,629,1263,"*",0,23,345,158,4071
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",0,"*",61,594,0,0,491,"*",0,16,426,0,1595
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",0,40,151,867,0,0,905,"*",0,"*",949,0,2924
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",0,"*",108,2356,928,548,2016,"*",0,18,135,43,6163
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","*",0,11,397,608,641,451,0,0,"*",27,46,2190
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*",8,52,1562,652,1834,4270,"*",0,14,257,52,8707
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",0,"*",144,1130,645,694,1819,"*",0,40,586,269,5335
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",0,0,0,46,62,71,20,0,0,0,0,0,199
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""",0,0,"*",0,77,84,0,0,0,0,0,"*",187
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",8,61,132,575,363,763,1985,8,0,9,506,190,4600
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",0,0,0,0,41,44,0,0,0,0,0,13,98
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""",0,0,0,12,0,0,"*",0,0,0,"*",0,22
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""",0,0,0,0,0,"*",0,0,0,0,"*","*","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,0,"*",10,51,27,8,0,0,0,"*","*",102
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","*",18,406,1603,645,451,1182,6,0,"*",404,301,5022
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",0,0,0,34,0,0,"*",0,0,0,"*",0,57
"Bridgeport School District","=""0150011""","Read School","=""0152511""",16,24,131,2459,1316,1129,2863,6,0,21,602,185,8752
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","*",10,116,1482,703,1037,2056,"*",0,7,200,45,5659
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",0,"*",142,480,151,309,831,0,0,"*",422,170,2513
"Bridgeport School District","=""0150011""","The University School","=""0159111""",0,0,0,0,56,29,0,0,0,0,0,13,98
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","*","*",60,919,421,1047,2484,0,0,6,83,47,5071
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",0,13,366,1647,814,726,1536,0,0,43,1321,567,7033
"Bristol School District","=""0170011""","ACCESS","=""0170211""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,0,"*",25,"*",24,49,0,0,"*",56,38,200
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*",18,274,624,334,553,1697,"*",0,230,5835,3296,12871
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",0,0,"*","*",0,0,38,0,0,14,160,0,223
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","*",26,364,672,314,415,1366,"*",0,88,6458,3112,12826
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",0,0,0,"*",0,0,43,0,0,"*",79,0,138
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",0,0,0,"*",0,0,"*",0,0,0,10,0,21
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",9,6,212,447,237,499,1114,"*","*",68,3616,1897,8109
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""",0,0,0,"*",0,0,16,0,0,"*",14,0,32
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",0,0,0,"*",0,0,"*",0,0,0,10,0,21
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",6,0,59,60,128,372,294,0,0,38,280,556,1793
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","*",0,"*",0,47,127,0,0,0,0,0,545,731
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,0,"*","*",0,"*",13,0,0,0,73,9,102
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",0,0,93,126,95,256,678,"*",0,"*",1568,698,3586
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",0,"*",196,195,"*",251,894,0,0,208,1796,1065,4721
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""",0,0,0,"*",0,0,"*",0,0,0,"*",0,8
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",0,"*",309,336,74,190,1371,"*",0,164,3075,819,6342
"Bristol School District","=""0170011""","Hubbell Autism Program","=""0173711""",0,0,0,"*",0,0,"*",0,0,0,"*",0,10
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""",0,0,"*",0,0,0,7,0,0,"*",13,0,24
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",0,0,0,"*",0,0,8,0,0,0,"*",0,14
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""",0,0,0,0,0,0,9,0,0,0,6,0,15
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",12,"*",79,196,93,132,453,"*",0,45,2075,896,3985
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","*",0,31,"*",48,118,74,0,0,0,641,899,1834
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",0,0,75,60,128,252,201,0,0,28,701,1211,2656
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","*","*",245,109,63,120,463,"*",0,123,1856,878,3861
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""",0,0,0,0,0,0,11,0,0,"*","*",0,16
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""",0,0,0,0,0,0,0,0,0,0,12,0,12
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",0,0,0,"*",0,0,"*",0,0,"*",9,0,17
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","*",10,104,181,146,165,489,"*",0,66,2556,1365,5087
"Bristol School District","=""0170011""","PreK Autism","=""0172911""",0,0,"*","*",0,0,"*",0,0,"*",15,0,23
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""",0,0,0,"*",0,0,"*",0,0,0,"*",0,11
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",0,0,0,"*",0,0,8,"*",0,"*",7,0,19
"Bristol School District","=""0170011""","South Side School","=""0171111""","*","*",122,279,140,278,848,0,0,37,2432,1262,5404
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",0,0,"*","*",0,0,7,0,0,0,27,0,43
"Bristol School District","=""0170011""","Stafford School","=""0171211""","*","*",229,271,86,239,723,"*",0,54,2146,1112,4865
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",0,12,136,291,0,0,1379,0,0,150,2604,0,4572
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",0,"*",406,125,38,61,322,0,0,"*",5624,2869,9464
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","*",11,267,46,9,77,204,"*",0,21,2188,1038,3865
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","*",11,415,74,21,90,315,"*",0,14,3376,1547,5873
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","*",17,558,93,26,85,415,"*",0,0,5145,2558,8906
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*",12,124,62,38,42,285,"*",0,114,3175,1619,5479
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*","*",59,32,8,25,119,0,0,86,2376,1129,3843
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*","*","*",0,"*",10,50,0,0,6,494,266,832
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*",28,21,23,39,85,0,0,82,1661,913,2866
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","*","*",11,20,15,15,76,0,0,49,1400,680,2277
"Canton School District","=""0230011""","Canton Academy","=""0230411""",0,0,"*",0,0,0,0,0,0,0,"*",0,9
"Canton School District","=""0230011""","Canton High School","=""0236111""","*","*",102,109,51,34,153,0,0,72,3102,1440,5066
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,"*",106,117,"*",37,189,0,0,35,2446,1087,4053
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*","*",69,69,16,10,99,0,0,31,1643,797,2737
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","*",8,150,241,44,62,217,"*",0,18,2957,1481,5184
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",0,0,"*",385,0,0,97,0,0,11,"*",0,503
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","*",0,433,942,66,91,1098,"*",0,138,1139,64,3974
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",0,9,182,305,0,0,342,0,0,41,372,0,1251
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",0,"*",167,913,0,0,1052,"*",0,77,552,0,2773
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",0,0,42,418,0,0,516,0,0,84,393,0,1453
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",0,"*",162,365,0,0,604,"*",0,128,629,0,1898
"Capitol Region Education Council","=""2410014""","CREC Early Learning Center at Asylum Hill","=""2418014""",0,0,0,13,0,0,7,0,0,0,0,0,20
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",0,"*",167,913,0,0,1052,"*",0,77,552,0,2773
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",0,"*",162,365,0,0,604,"*",0,128,629,0,1898
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,"*",16,"*",0,10,0,0,7,104,39,180
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","*","*",353,603,186,105,680,"*",0,142,945,403,3425
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","*","*",20,244,212,109,129,0,0,7,134,179,1039
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","*",12,28,695,149,146,1000,"*",0,102,1164,162,3462
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,"*","*",424,0,0,602,8,0,46,420,0,1503
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,0,0,0,"*","*",0,0,0,0,33,22,60
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","*","*",448,684,97,81,837,0,0,98,697,85,3035
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",0,0,"*",113,104,129,190,0,0,"*",70,267,886
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,0,13,0,"*",15,0,0,0,42,"*",73
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",0,"*",167,913,0,0,1052,"*",0,77,552,0,2773
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",10,19,273,2568,1228,254,844,12,0,152,1219,511,7090
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",0,"*",106,490,373,388,1094,0,0,"*",674,215,3426
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",0,7,120,889,0,0,673,0,0,106,588,0,2383
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","*",42,33,753,120,90,1202,"*",0,91,787,108,3232
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","*","*",64,932,111,65,690,0,0,72,897,126,2967
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",0,0,13,51,18,"*",82,0,0,"*",286,74,538
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,0,44,168,57,35,184,0,0,15,624,202,1329
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,0,0,0,0,0,0,0,0,0,35,0,35
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",0,0,62,23,17,24,44,"*",0,"*",367,130,676
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",0,0,6,0,0,0,7,0,0,0,13,0,26
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Science and Innovation","=""2411314""",0,0,"*","*",0,0,"*",0,0,0,"*",0,6
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",0,0,7,"*",0,0,"*",0,0,0,6,0,21
"Capitol Region Education Council","=""2410014""","Soundbridge @ Samuel B Webb Elementary School","=""2410814""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""",0,0,0,0,0,0,"*",0,0,0,0,0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""",0,0,0,"*",0,0,"*",0,0,0,9,0,18
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,0,0,0,0,0,0,0,0,0,35,0,35
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",0,"*",69,410,0,0,617,"*",0,28,256,0,1395
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",8,13,413,939,437,511,1463,0,0,197,1690,733,6404
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",11,7,256,1219,594,241,810,0,0,99,791,317,4345
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","*","*",14,15,11,41,90,0,0,55,1078,501,1810
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""","*","*",9,98,138,84,55,0,0,0,66,93,546
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,8,248,78,23,44,79,0,0,28,1826,844,3178
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*","*",1223,231,101,119,329,0,0,9,9074,4198,15295
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,0,"*","*",0,0,"*",0,0,0,28,0,34
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","*",7,264,45,20,56,114,"*",0,38,1399,977,2925
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","*","*",692,115,36,54,188,0,0,17,4480,2177,7778
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*","*",472,104,34,52,214,0,0,32,2878,1361,5153
"Cheshire School District","=""0250011""","Highland School","=""0250411""","*","*",862,177,37,87,233,0,0,22,4319,2247,7996
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",0,0,"*","*",0,0,"*",0,0,0,47,0,51
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",0,"*","*",6,"*","*","*",0,0,0,80,61,156
"Cheshire School District","=""0250011""","Norton School","=""0250511""",7,17,439,62,22,42,147,0,0,47,2570,1263,4616
