"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2009-10"

"",,,,"Special Education Status",,
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",435,42,477
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",457,44,501
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",73,15,88
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",981,127,1108
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2600,254,2854
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",353,42,395
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",262,45,307
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",346,93,439
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",268,39,307
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",281,19,300
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",285,67,352
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",257,39,296
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",338,31,369
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",371,37,408
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",268,57,325
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",902,134,1036
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",365,31,396
"Danbury School District","=""0340011""","South Street School","=""0341011""",318,26,344
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",431,36,467
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",357,26,383
"Darien School District","=""0350011""","Darien High School","=""0356111""",1123,141,1264
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",479,67,546
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",436,48,484
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1010,146,1156
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",425,53,478
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",402,41,443
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",362,47,409
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",310,39,349
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",356,30,386
"Derby School District","=""0370011""","Derby High School","=""0376111""",581,43,624
"Derby School District","=""0370011""","Irving School","=""0370411""",383,56,439
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",259,22,281
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",231,25,256
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",194,36,230
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",122,15,137
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",366,55,421
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",366,40,406
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",488,71,559
"East Hampton School District","=""0420011""","Center School","=""0420311""",277,24,301
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",527,43,570
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",453,46,499
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",605,43,648
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,8,8
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",275,44,319
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",167
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",353,55,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",301,44,345
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",284,47,331
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1667,236,1903
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",776,129,905
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",337,39,376
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",283,57,340
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",316,39,355
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",361,50,411
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",296,38,334
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",96,21,117
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",96,21,117
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",393,69,462
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",237,48,285
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",21,163,184
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*","*",237
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",193,33,226
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",309,35,344
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",167,30,197
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",884,84,968
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",210,23,233
"East Haven School District","=""0440011""","Hays School","=""0441911""",130,24,154
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",410,64,474
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",173,39,212
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",147,35,182
"East Haven School District","=""0440011""","Pathways","=""0449011""","*","*",32
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",226,35,261
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",1080,141,1221
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",741,102,843
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",338,41,379
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",24,23,47
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",326,41,367
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",220,17,237
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",535,66,601
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",321,55,376
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",345,57,402
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",79,9,88
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",79,9,88
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",0,50,50
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",0,50,50
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",62,8,70
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",140,30,170
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",352,32,384
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",664,66,730
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",173,0,173
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","*","*",27
"Education Connection","=""2420014""","Education Connection Headstart","=""2428014""",173,0,173
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","*","*",27
"Ellington School District","=""0480011""","Center School","=""0480111""",360,43,403
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",202,19,221
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",703,74,777
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",356,49,405
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",374,40,414
"Ellington School District","=""0480011""","Windermere School","=""0480611""",421,26,447
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",517,30,547
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",301,42,343
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",332,92,424
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",718,105,823
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",308,48,356
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",0,"*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",1027,131,1158
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",232,26,258
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",328,43,371
"Enfield School District","=""0490011""","Head Start Program","=""0498011""","*","*",104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",367,61,428
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",767,105,872
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",216,43,259
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",348,55,403
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",236,57,293
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",534,59,593
"Explorations District","=""2720013""","Explorations","=""2726113""",59,21,80
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",384,35,419
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",284,32,316
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",28,107,135
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1319,133,1452
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1182,116,1298
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",610,62,672
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",308,27,335
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",309,43,352
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",402,49,451
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",433,45,478
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",427,51,478
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",509,42,551
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",410,56,466
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",870,96,966
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",446,28,474
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",454,38,492
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",684,89,773
"Farmington School District","=""0520011""","East Farms School","=""0520411""",391,47,438
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",37,30,67
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1206,118,1324
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",625,61,686
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",307,28,335
"Farmington School District","=""0520011""","Union School","=""0520111""",271,23,294
"Farmington School District","=""0520011""","West District School","=""0520311""",325,25,350
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",580,78,658
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",200,24,224
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",481,54,535
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",296,22,318
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",497,44,541
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1895,207,2102
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",501,31,532
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",479,47,526
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",413,76,489
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",577,68,645
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",1027,101,1128
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",429,40,469
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",701,50,751
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",332,22,354
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""",319,28,347
