"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"Trend"

"",,,,"Free/Reduced Lunch Eligibility",,,
"Avon School District","=""0040011""","Avon High School","=""0046111""",342,10117,161,10620
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",181,5514,79,5774
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""","*",124,"*",149
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",292,5777,64,6133
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",206,5885,59,6150
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",236,5302,75,5613
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",139,2872,78,3089
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","*","*",0,7
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","*","*",0,234
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",863,8684,215,9762
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",634,6361,198,7193
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",503,4650,144,5297
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",364,5099,100,5563
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",204,2159,77,2440
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",168,4454,69,4691
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",489,3401,184,4074
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",983,8031,474,9488
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",882,5668,370,6920
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",416,4582,122,5120
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",551,3614,228,4393
"Bethel School District","=""0090011""","TASK","=""0090311""","*",6,"*",12
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",2138,3014,628,5780
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",1088,1206,330,2624
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",1118,1156,317,2591
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",368,592,97,1057
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",567,840,151,1558
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",1195,1339,239,2773
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",35,"*","*",59
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",945,953,231,2129
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",154,246,44,444
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",491,1904,101,2496
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",537,4851,113,5501
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",277,2785,60,3122
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",352,83,77,512
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",319,1903,123,2345
"Branford School District","=""0140011""","Branford High School","=""0146111""",1297,8590,503,10390
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",47,38,7,92
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",1609,7772,585,9966
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",23,463,7,493
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",713,2637,230,3580
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",389,3492,133,4014
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",883,2993,351,4227
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",349,221,100,670
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",3940,1307,762,6009
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",1206,"*","*",1584
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",5671,238,29,5938
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",10508,409,239,11156
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",3748,179,31,3958
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",1412,"*","*",1557
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",3123,311,18,3452
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",10195,782,137,11114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",532,21,11,564
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",779,"*","*",948
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",3944,149,10,4103
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",61,10,0,71
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",17843,1282,882,20007
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",10784,521,75,11380
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",3152,262,43,3457
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",7273,278,28,7579
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",3787,164,50,4001
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",6306,249,78,6633
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",2528,396,0,2924
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",3359,153,47,3559
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",2638,140,21,2799
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""","*",0,"*",278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",7154,380,63,7597
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",2689,113,35,2837
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",3036,213,36,3285
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",12383,470,338,13191
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",3729,500,42,4271
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",3717,274,80,4071
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",1227,362,6,1595
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",2528,396,0,2924
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",5857,253,53,6163
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",2147,"*","*",2190
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",8334,328,45,8707
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",4979,318,38,5335
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","*",0,"*",199
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""","*",0,"*",187
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",4131,378,91,4600
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""","*",0,"*",98
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""",13,9,0,22
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""","*",0,0,"*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*",0,"*",102
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",4401,497,124,5022
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""","*",0,"*",57
"Bridgeport School District","=""0150011""","Read School","=""0152511""",8160,510,82,8752
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",5429,193,37,5659
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",2363,"*","*",2513
"Bridgeport School District","=""0150011""","The University School","=""0159111""",92,0,6,98
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",4815,170,86,5071
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",6243,589,201,7033
"Bristol School District","=""0170011""","ACCESS","=""0170211""","*",0,0,"*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",141,48,11,200
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",4094,7785,992,12871
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""","*",149,"*",223
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",3137,8705,984,12826
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",106,26,6,138
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","*","*",0,21
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",2946,4481,682,8109
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""",23,"*","*",32
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","*","*",0,21
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",1149,467,177,1793
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",254,422,55,731
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","*",60,"*",102
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",1242,2207,137,3586
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",1771,2532,418,4721
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""","*","*",0,8
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*",0,0,"*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",2504,3313,525,6342
"Bristol School District","=""0170011""","Hubbell Autism Program","=""0173711""","*","*",0,10
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""",22,"*","*",24
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",14,0,0,14
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""",9,6,0,15
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",1173,2590,222,3985
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",302,1445,87,1834
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",819,1548,289,2656
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",982,2592,287,3861
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","*","*",0,16
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","*","*","*",12
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*","*",0,17
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",1268,3382,437,5087
"Bristol School District","=""0170011""","PreK Autism","=""0172911""","*",13,"*",23
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","*","*",0,11
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",14,"*","*",19
"Bristol School District","=""0170011""","South Side School","=""0171111""",1846,3161,397,5404
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",18,25,0,43
"Bristol School District","=""0170011""","Stafford School","=""0171211""",1857,2638,370,4865
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",2292,1967,313,4572
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",389,8941,134,9464
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",203,3600,62,3865
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",302,5451,120,5873
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",425,8292,189,8906
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",1145,4127,207,5479
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",800,2829,214,3843
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",77,755,0,832
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",439,2284,143,2866
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",360,1764,153,2277
"Canton School District","=""0230011""","Canton Academy","=""0230411""","*","*",0,9
"Canton School District","=""0230011""","Canton High School","=""0236111""",275,4685,106,5066
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",255,3733,65,4053
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",158,2531,48,2737
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",337,4782,65,5184
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",252,199,52,503
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",1444,2177,353,3974
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",477,735,39,1251
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",1279,1249,245,2773
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",601,705,147,1453
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",580,1209,109,1898
"Capitol Region Education Council","=""2410014""","CREC Early Learning Center at Asylum Hill","=""2418014""",0,20,0,20
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",1279,1249,245,2773
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",580,1209,109,1898
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",37,136,7,180
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",890,2353,182,3425
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",357,605,77,1039
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",1446,1755,261,3462
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",761,595,147,1503
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",25,35,0,60
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",1154,1696,185,3035
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",482,372,32,886
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",37,"*","*",73
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",1279,1249,245,2773
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",1975,4289,826,7090
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",1065,2042,319,3426
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",948,1239,196,2383
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",1816,1103,313,3232
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",1200,1580,187,2967
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",51,487,0,538
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",127,1202,0,1329
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","*","*",0,35
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",51,617,8,676
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","*",13,"*",26
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Science and Innovation","=""2411314""","*",0,"*",6
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",14,"*","*",21
"Capitol Region Education Council","=""2410014""","Soundbridge @ Samuel B Webb Elementary School","=""2410814""",0,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""","*",0,0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""",10,8,0,18
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","*","*",0,35
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",712,546,137,1395
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",2243,3611,550,6404
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",1643,2137,565,4345
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",432,1279,99,1810
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",124,388,34,546
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",160,2957,61,3178
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",701,14306,288,15295
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,34,0,34
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","*",2893,"*",2925
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",379,7246,153,7778
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",366,4700,87,5153
"Cheshire School District","=""0250011""","Highland School","=""0250411""",408,7429,159,7996
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","*",44,"*",51
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",30,120,6,156
"Cheshire School District","=""0250011""","Norton School","=""0250511""",190,4325,101,4616
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",213,2328,68,2609
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",392,2547,144,3083
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",606,3869,204,4679
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",889,5062,275,6226
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",646,4840,201,5687
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",821,8171,297,9289
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","*",14,"*",27
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",615,5693,141,6449
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",710,5353,234,6297
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",726,5945,259,6930
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",120,866,38,1024
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",441,4506,121,5068
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",785,771,154,1710
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",4086,2579,569,7234
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",3793,3791,799,8383
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",2736,2681,462,5879
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",3163,1766,400,5329
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",2019,3100,441,5560
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",1309,3824,347,5480
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",2038,5061,535,7634
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",1201,4221,375,5797
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",1552,4210,569,6331
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",1669,4331,398,6398
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",487,611,96,1194
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",1328,4349,394,6071
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",958,5626,278,6862
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",1954,5886,639,8479
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",1237,4474,308,6019
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",2509,4271,650,7430
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",1442,3518,363,5323
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",186,283,41,510
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",211,426,60,697
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",134,248,43,425
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","*",96,"*",101
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",167,269,142,578
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",748,3385,423,4556
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",395,634,131,1160
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",141,916,0,1057
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",600,3669,136,4405
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",25,"*","*",32
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","*",119,"*",135
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",482,3234,107,3823
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",614,4414,178,5206
"Coventry School District","=""0320011""","Coventry Smart Start Program","=""0320311""","*",62,"*",84
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",582,3344,165,4091
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""","*",62,"*",84
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",615,4844,203,5662
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",600,3901,218,4719
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",622,4014,189,4825
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",606,3888,211,4705
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",452,329,97,878
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",3582,6253,1077,10912
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",169,328,47,544
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",8590,17964,2393,28947
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",2048,1243,712,4003
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",1155,1820,298,3273
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",1778,1989,537,4304
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",1057,2140,314,3511
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",1226,2300,271,3797
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",300,1106,92,1498
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",1102,2160,302,3564
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",2234,891,670,3795
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",2632,1401,616,4649
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",1198,2019,318,3535
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",4508,4811,1192,10511
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",1578,2219,534,4331
"Danbury School District","=""0340011""","South Street School","=""0341011""",2069,1053,487,3609
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",1619,2606,430,4655
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",490,3176,230,3896
"Danbury School District","=""0340011""","Western Connection","=""0340711""",0,"*",0,"*"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",374,927,190,1491
"Darien School District","=""0350011""","Darien High School","=""0356111""",160,12851,57,13068
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*",5410,"*",5439
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",26,4531,37,4594
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",128,11207,71,11406
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*",4705,"*",4713
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",62,4229,25,4316
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",12,4571,14,4597
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",375,2876,124,3375
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",0,15,0,15
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""",0,"*",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",17,11,0,28
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*","*",0,7
"Derby School District","=""0370011""","Bradley School","=""0370611""",1058,2300,252,3610
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""","*","*",0,16
"Derby School District","=""0370011""","Derby High School","=""0376111""",1691,2331,459,4481
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",1116,1030,229,2375
"Derby School District","=""0370011""","Irving School","=""0370411""",2363,1212,342,3917
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",23,47,8,78
"Derby School District","=""0370011""","RAISE Academy","=""0370511""","*","*",0,16
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",141,2269,0,2410
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*",2478,"*",2602
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",130,2009,0,2139
