"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2012-13"

"",,,,"Special Education Status",,
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",527,85,612
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",553,77,630
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",617,84,701
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",90,14,104
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",457,46,503
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",148,21,169
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",717,61,778
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",816,12,828
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",581,54,635
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",452,48,500
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",506,67,573
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",510,47,557
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",725,43,768
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",490,41,531
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",555,86,641
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",639,46,685
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",627,49,676
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",613,46,659
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",810,42,852
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",548,92,640
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",749,9,758
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",515,55,570
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,91,91
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,54,54
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,14,14
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""","*","*",54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",439,34,473
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,152,152
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",90,13,103
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",367,41,408
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,16,16
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",348,32,380
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",438,73,511
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",369,39,408
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",487,48,535
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",453,56,509
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",447,39,486
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",399,42,441
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",58,20,78
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",928,166,1094
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2582,305,2887
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",374,31,405
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",288,39,327
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",357,54,411
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",334,29,363
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",376,28,404
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",87,78,165
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",354,47,401
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",372,48,420
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",391,40,431
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",293,69,362
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",1067,133,1200
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",388,28,416
"Danbury School District","=""0340011""","South Street School","=""0341011""",340,28,368
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",418,31,449
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",413,18,431
"Darien School District","=""0350011""","Darien High School","=""0356111""",1172,157,1329
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",502,77,579
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",388,45,433
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",998,137,1135
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",403,71,474
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",365,48,413
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",432,64,496
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",309,38,347
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",308,37,345
"Derby School District","=""0370011""","Derby High School","=""0376111""",314,47,361
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",328,38,366
"Derby School District","=""0370011""","Irving School","=""0370411""",363,57,420
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",217,24,241
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",245,26,271
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",187,26,213
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",123,14,137
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",291,46,337
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",344,55,399
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",443,65,508
"East Hampton School District","=""0420011""","Center School","=""0420311""",257,28,285
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",492,31,523
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",417,32,449
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",566,65,631
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",6
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",259,21,280
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",188
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",334,37,371
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",337,50,387
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",444,60,504
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1426,216,1642
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",843,201,1044
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",297,26,323
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",254,39,293
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",259,55,314
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",435,71,506
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",240,35,275
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",130,43,173
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",130,43,173
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",279,29,308
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",190,47,237
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",14,177,191
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",255,24,279
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",244,25,269
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",282,47,329
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",203,25,228
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",825,98,923
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",166,21,187
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",514,80,594
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",150,30,180
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",172,18,190
"East Haven School District","=""0440011""","Pathways","=""0449011""","*","*",39
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",988,141,1129
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",762,109,871
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",321,40,361
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",24,16,40
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",295,40,335
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",183,15,198
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",454,60,514
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",306,56,362
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",313,65,378
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",124,12,136
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",124,12,136
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",0,83,83
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",0,83,83
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",95,16,111
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",144,24,168
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",363,27,390
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",570,59,629
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",210,6,216
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",0,33,33
"Education Connection","=""2420014""","Education Connection Headstart","=""2428014""",210,6,216
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",0,33,33
"Ellington School District","=""0480011""","Center School","=""0480111""",379,53,432
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",194,16,210
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",706,83,789
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",383,45,428
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",368,54,422
"Ellington School District","=""0480011""","Windermere School","=""0480611""",397,36,433
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",565,39,604
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",320,39,359
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",341,55,396
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",641,86,727
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",267,35,302
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",0,21,21
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",873,115,988
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",292,89,381
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",95,9,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",349,36,385
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",998,150,1148
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",191,31,222
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",370,56,426
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",452,76,528
"Explorations District","=""2720013""","Explorations","=""2726113""",56,17,73
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",406,39,445
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",238,40,278
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",44,88,132
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1391,161,1552
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1271,147,1418
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",757,94,851
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",340,40,380
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",292,42,334
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",395,45,440
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",405,40,445
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",413,41,454
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",469,49,518
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",358,51,409
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",831,109,940
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",425,24,449
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",452,53,505
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",665,79,744
"Farmington School District","=""0520011""","East Farms School","=""0520411""",399,36,435
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",38,23,61
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1193,129,1322
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",543,67,610
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",328,30,358
"Farmington School District","=""0520011""","Union School","=""0520111""",286,34,320
"Farmington School District","=""0520011""","West District School","=""0520311""",323,42,365
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",513,65,578
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",180,20,200
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",444,42,486
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",274,45,319
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",491,34,525
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",2016,223,2239
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",445,26,471
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",404,52,456
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",409,33,442
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",565,58,623
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",938,87,1025
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",353,33,386
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",708,51,759
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",300,29,329
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""",294,33,327
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",294,33,327
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",274,29,303
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",530,69,599
