"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"Trend"

"",,,,"Special Education Status",,
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""",0,24,24
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",0,14,14
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""",0,15,15
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",3406,579,3985
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",1646,188,1834
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",2334,322,2656
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",3317,544,3861
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""",0,16,16
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""",0,12,12
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",0,17,17
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",4378,709,5087
"Bristol School District","=""0170011""","PreK Autism","=""0172911""",0,23,23
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","*","*",11
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",0,19,19
"Bristol School District","=""0170011""","South Side School","=""0171111""",4717,687,5404
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",0,43,43
"Bristol School District","=""0170011""","Stafford School","=""0171211""",3939,926,4865
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",3986,586,4572
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",8729,735,9464
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",3379,486,3865
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",5305,568,5873
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",7993,913,8906
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",4906,573,5479
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",3390,453,3843
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",716,116,832
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",2588,278,2866
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",2053,224,2277
"Canton School District","=""0230011""","Canton Academy","=""0230411""",0,9,9
"Canton School District","=""0230011""","Canton High School","=""0236111""",4487,579,5066
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",3667,386,4053
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",2448,289,2737
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",4769,415,5184
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",450,53,503
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",3536,438,3974
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",1122,129,1251
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",2561,212,2773
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",1318,135,1453
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",1731,167,1898
"Capitol Region Education Council","=""2410014""","CREC Early Learning Center at Asylum Hill","=""2418014""",20,0,20
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",2561,212,2773
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",1731,167,1898
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",23,157,180
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",3162,263,3425
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",937,102,1039
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",3144,318,3462
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",1242,261,1503
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,60,60
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",2805,230,3035
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",35,851,886
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*",73
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",2561,212,2773
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",6497,593,7090
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",2997,429,3426
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",2185,198,2383
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",2620,612,3232
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",2591,376,2967
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",70,468,538
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,1329,1329
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,35,35
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",361,315,676
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",0,26,26
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Science and Innovation","=""2411314""",0,6,6
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",0,21,21
"Capitol Region Education Council","=""2410014""","Soundbridge @ Samuel B Webb Elementary School","=""2410814""",0,"*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""",0,"*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""",0,18,18
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,35,35
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",1176,219,1395
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",5695,709,6404
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",3748,597,4345
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",1587,223,1810
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",518,28,546
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",2921,257,3178
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",13753,1542,15295
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,34,34
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",2405,520,2925
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",7036,742,7778
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",4719,434,5153
"Cheshire School District","=""0250011""","Highland School","=""0250411""",7277,719,7996
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",14,37,51
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",53,103,156
"Cheshire School District","=""0250011""","Norton School","=""0250511""",4200,416,4616
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",2221,388,2609
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",2723,360,3083
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",4081,598,4679
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",5589,637,6226
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",5017,670,5687
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",8271,1018,9289
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",14,13,27
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",5470,979,6449
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",5533,764,6297
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",6101,829,6930
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",864,160,1024
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",4568,500,5068
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",1440,270,1710
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",6706,528,7234
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",8165,218,8383
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",5386,493,5879
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",4873,456,5329
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",4928,632,5560
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",4949,531,5480
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",7115,519,7634
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",5346,451,5797
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",5510,821,6331
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",5861,537,6398
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",1048,146,1194
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",5630,441,6071
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",6299,563,6862
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",7922,557,8479
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",5133,886,6019
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",7237,193,7430
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",4819,504,5323
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""","*","*",510
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,697,697
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,425,425
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,101,101
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",559,19,578
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",4234,322,4556
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*","*",1160
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",905,152,1057
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",3907,498,4405
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",8,24,32
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,135,135
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",3519,304,3823
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",4471,735,5206
"Coventry School District","=""0320011""","Coventry Smart Start Program","=""0320311""",40,44,84
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",3680,411,4091
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""",40,44,84
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",5052,610,5662
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",4236,483,4719
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",4355,470,4825
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",4269,436,4705
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",713,165,878
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",9375,1537,10912
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",342,202,544
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",25849,3098,28947
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",3622,381,4003
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",2825,448,3273
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",3598,706,4304
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",3152,359,3511
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",3474,323,3797
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",1091,407,1498
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",3195,369,3564
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",3413,382,3795
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",4257,392,4649
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",2850,685,3535
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",9215,1296,10511
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",4017,314,4331
"Danbury School District","=""0340011""","South Street School","=""0341011""",3327,282,3609
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",4282,373,4655
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",3668,228,3896
"Danbury School District","=""0340011""","Western Connection","=""0340711""",0,"*","*"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",1387,104,1491
"Darien School District","=""0350011""","Darien High School","=""0356111""",11554,1514,13068
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",4786,653,5439
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",4131,463,4594
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",10011,1395,11406
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",4137,576,4713
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",3841,475,4316
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",4049,548,4597
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",2957,418,3375
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""","*","*",15
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""",0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,28,28
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,7,7
"Derby School District","=""0370011""","Bradley School","=""0370611""",3227,383,3610
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""","*","*",16
"Derby School District","=""0370011""","Derby High School","=""0376111""",4049,432,4481
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",2091,284,2375
"Derby School District","=""0370011""","Irving School","=""0370411""",3407,510,3917
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",55,23,78
"Derby School District","=""0370011""","RAISE Academy","=""0370511""","*","*",16
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",2203,207,2410
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",2339,263,2602
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",1853,286,2139
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",1439,189,1628
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",3254,504,3758
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",3362,438,3800
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",4250,675,4925
"East Hampton School District","=""0420011""","Center School","=""0420311""",2821,254,3075
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",5015,380,5395
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",4207,411,4618
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",5736,542,6278
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",11,46,57
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",2636,359,2995
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",1832,15,1847
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",3423,428,3851
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",3113,476,3589
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",3739,526,4265
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",15222,2343,17565
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",8642,1720,10362
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",3182,349,3531
"East Hartford School District","=""0430011""","Hockanum Pre-K","=""0430211""",220,87,307
