"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"",,,,"Year",,,,,,,,,,
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",618,610,655,631,631,595,594,576,599,624,6133
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",776,750,682,651,590,569,573,546,497,516,6150
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",590,557,568,594,594,548,563,552,550,497,5613
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",328,341,345,343,338,328,288,295,255,228,3089
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""",0,0,0,0,0,0,0,0,"*","*",7
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",30,21,22,30,19,21,18,22,28,23,234
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",1063,1027,1022,1017,976,962,933,918,953,891,9762
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",778,742,733,719,730,712,691,702,672,714,7193
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",577,601,588,535,492,501,514,504,503,482,5297
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",589,584,564,585,577,567,562,547,497,491,5563
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",263,264,252,261,241,232,251,225,238,213,2440
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",569,549,515,512,491,473,436,407,383,356,4691
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",425,423,420,384,389,392,411,413,420,397,4074
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",1034,1010,987,959,949,959,933,889,897,871,9488
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",743,706,703,683,693,684,672,695,658,683,6920
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",488,480,497,460,493,497,556,546,561,542,5120
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",454,454,435,452,447,443,417,386,426,479,4393
"Bethel School District","=""0090011""","TASK","=""0090311""",0,0,0,0,0,0,0,0,0,12,12
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",625,646,629,593,603,541,555,538,516,534,5780
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",348,313,294,305,263,220,216,208,220,237,2624
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",342,302,314,265,286,261,213,214,193,201,2591
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",0,0,0,0,0,182,220,220,218,217,1057
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",315,316,254,351,322,0,0,0,0,0,1558
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",268,265,264,281,0,335,318,345,335,362,2773
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",0,0,0,0,0,10,13,13,10,13,59
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",238,232,182,0,251,237,231,248,254,256,2129
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",79,83,88,89,105,0,0,0,0,0,444
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",0,0,254,312,321,322,321,321,322,323,2496
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",597,583,583,568,549,533,528,520,507,533,5501
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",275,278,297,330,343,359,334,318,307,281,3122
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",0,0,0,0,0,0,0,91,180,241,512
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",264,256,256,233,234,241,243,209,201,208,2345
"Branford School District","=""0140011""","Branford High School","=""0146111""",1146,1111,1109,1098,1064,1049,1050,961,914,888,10390
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",0,0,0,0,0,0,0,9,40,43,92
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",1082,1083,1113,1040,1020,989,942,916,912,869,9966
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",58,77,58,53,46,47,36,39,40,39,493
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",345,363,361,368,365,371,374,355,349,329,3580
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",430,436,428,426,384,373,400,388,366,383,4014
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",416,409,433,431,439,429,420,413,424,413,4227
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",0,0,0,0,0,0,115,150,186,219,670
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",85,160,238,409,543,702,835,977,1016,1044,6009
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",0,0,0,0,0,0,235,356,494,499,1584
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",279,600,631,632,659,625,626,635,618,633,5938
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1285,1257,1153,1171,1073,1177,1120,1008,951,961,11156
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",607,392,375,370,388,377,376,370,354,349,3958
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",0,0,0,0,0,0,229,348,489,491,1557
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",272,234,257,283,305,348,406,413,469,465,3452
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1177,1059,1069,1114,1066,1130,1127,1114,1131,1127,11114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",54,57,53,50,51,52,57,65,61,64,564
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",0,0,0,0,0,0,116,233,270,329,948
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",413,440,401,439,413,412,413,406,385,381,4103
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",0,0,0,0,0,0,0,0,27,44,71
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2339,2287,2217,2303,2181,2137,1838,1673,1517,1515,20007
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1162,1093,1061,1063,1146,1115,1173,1204,1196,1167,11380
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",375,343,328,334,290,310,340,371,393,373,3457
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",763,629,682,663,523,877,886,861,852,843,7579
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",406,373,380,408,431,420,413,386,397,387,4001
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",592,562,579,596,615,773,737,769,698,712,6633
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",0,0,0,130,312,457,511,518,506,490,2924
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",363,397,324,315,344,313,303,377,416,407,3559
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",408,317,266,255,251,244,251,274,270,263,2799
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""",278,0,0,0,0,0,0,0,0,0,278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",196,771,839,868,857,818,843,824,794,787,7597
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",344,273,277,306,310,308,275,262,240,242,2837
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",322,354,340,316,335,336,332,302,315,333,3285
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1722,1652,1545,1394,1309,1297,1105,1134,1060,973,13191
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",444,441,432,431,429,433,422,414,408,417,4271
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",450,470,461,463,416,381,387,371,351,321,4071
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",0,0,0,0,0,0,236,365,492,502,1595
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",0,0,0,130,312,457,511,518,506,490,2924
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",329,596,620,654,670,629,655,679,649,682,6163
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",475,413,422,426,454,0,0,0,0,0,2190
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",846,854,867,854,897,871,904,920,836,858,8707
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",562,531,562,543,510,506,539,533,512,537,5335
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",37,42,54,27,39,0,0,0,0,0,199
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""",187,0,0,0,0,0,0,0,0,0,187
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",475,445,451,457,484,456,449,457,460,466,4600
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",14,38,46,0,0,0,0,0,0,0,98
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""",0,0,0,0,0,0,0,0,7,15,22
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""",0,0,"*","*",0,0,0,0,0,0,"*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",30,34,17,10,"*","*",0,0,0,0,102
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",501,501,512,511,523,526,491,465,483,509,5022
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",0,0,0,0,0,0,57,0,0,0,57
"Bridgeport School District","=""0150011""","Read School","=""0152511""",904,919,863,822,850,857,839,884,891,923,8752
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",727,550,526,462,534,524,564,562,623,587,5659
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",219,210,243,246,229,231,304,387,224,220,2513
"Bridgeport School District","=""0150011""","The University School","=""0159111""",46,24,28,0,0,0,0,0,0,0,98
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",456,561,522,537,483,514,514,491,503,490,5071
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",758,729,724,719,729,686,685,652,673,678,7033
"Bristol School District","=""0170011""","ACCESS","=""0170211""",0,0,0,0,0,0,0,0,0,"*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",23,23,19,27,17,19,14,17,20,21,200
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1465,1417,1364,1310,1317,1262,1242,1180,1167,1147,12871
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",0,0,0,0,0,0,0,74,63,86,223
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1333,1318,1305,1352,1308,1305,1299,1247,1221,1138,12826
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",0,0,0,0,0,0,0,44,48,46,138
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",0,0,0,0,0,0,0,7,7,7,21
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",929,881,910,881,817,758,718,760,704,751,8109
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""",0,0,0,0,0,0,0,8,12,12,32
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",0,0,0,0,0,0,0,7,7,7,21
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",355,372,375,343,348,0,0,0,0,0,1793
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",253,242,236,0,0,0,0,0,0,0,731
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,0,13,16,15,10,13,11,12,12,102
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",356,359,355,396,392,365,355,340,340,328,3586
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",490,492,511,520,560,436,424,422,451,415,4721
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""",0,0,0,0,0,0,0,0,0,8,8
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",0,0,0,0,0,0,0,"*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",396,367,362,354,337,893,890,892,927,924,6342
"Bristol School District","=""0170011""","Hubbell Autism Program","=""0173711""",0,0,0,0,0,0,0,0,0,10,10
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""",0,0,0,0,0,0,0,"*","*",13,24
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",0,0,0,0,0,0,0,"*","*","*",14
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""",0,0,0,0,0,0,0,6,"*","*",15
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",402,382,359,420,423,423,397,396,395,388,3985
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",374,366,341,366,387,0,0,0,0,0,1834
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",542,543,544,515,512,0,0,0,0,0,2656
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",369,391,367,380,370,431,437,382,372,362,3861
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""",0,0,0,0,0,0,0,"*",8,"*",16
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""",0,0,0,0,0,0,0,"*","*","*",12
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",0,0,0,0,0,0,0,"*","*",9,17
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",558,566,585,563,560,500,453,430,422,450,5087
"Bristol School District","=""0170011""","PreK Autism","=""0172911""",0,0,0,0,0,0,0,"*",10,"*",23
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""",0,0,0,0,0,0,0,"*","*","*",11
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",0,0,0,0,0,0,0,"*","*",9,19
"Bristol School District","=""0170011""","South Side School","=""0171111""",580,575,566,610,593,489,503,529,491,468,5404
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",0,0,0,0,0,0,0,11,24,8,43
"Bristol School District","=""0170011""","Stafford School","=""0171211""",497,517,480,544,493,503,504,443,436,448,4865
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",0,0,0,0,0,901,945,919,922,885,4572
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",1020,1016,1016,996,966,918,901,895,880,856,9464
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",374,406,419,400,409,416,380,334,368,359,3865
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",604,609,546,583,591,605,624,599,577,535,5873
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",951,915,917,890,871,851,859,882,855,915,8906
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",580,581,576,562,534,543,545,536,521,501,5479
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",406,400,386,385,396,394,374,373,377,352,3843
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",101,85,95,86,86,75,77,78,76,73,832
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",316,357,329,318,298,259,225,243,261,260,2866
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",262,242,222,206,217,231,233,228,230,206,2277
"Canton School District","=""0230011""","Canton Academy","=""0230411""",0,0,0,0,0,0,0,"*","*","*",9
"Canton School District","=""0230011""","Canton High School","=""0236111""",514,522,514,515,522,511,499,485,488,496,5066
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",405,394,388,405,408,430,434,410,400,379,4053
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",270,279,291,266,258,270,265,272,284,282,2737
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",538,553,569,591,550,537,490,449,451,456,5184
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",0,0,0,0,0,0,0,0,249,254,503
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",0,78,168,214,390,491,562,636,702,733,3974
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",0,0,0,0,0,0,222,297,343,389,1251
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",0,0,0,179,278,335,361,529,517,574,2773
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",0,0,0,0,0,164,217,313,354,405,1453
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",0,0,0,0,150,221,282,356,405,484,1898
"Capitol Region Education Council","=""2410014""","CREC Early Learning Center at Asylum Hill","=""2418014""",0,0,0,20,0,0,0,0,0,0,20
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",0,0,0,179,278,335,361,529,517,574,2773
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",0,0,0,0,150,221,282,356,405,484,1898
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",0,16,25,21,24,21,22,20,16,15,180
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",257,251,261,262,259,387,410,435,451,452,3425
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",111,164,234,284,246,0,0,0,0,0,1039
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",43,147,274,372,400,423,438,457,440,468,3462
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,0,0,0,0,184,327,328,337,327,1503
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,18,9,"*","*",6,"*","*","*","*",60
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",0,124,182,244,311,357,415,465,467,470,3035
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",389,68,53,46,47,58,53,57,57,58,886
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,"*",9,8,11,8,15,12,"*",73
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",0,0,0,179,278,335,361,529,517,574,2773
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",676,683,713,711,719,716,722,736,726,688,7090
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",329,332,336,337,350,340,342,357,354,349,3426
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",0,0,0,0,271,311,405,459,468,469,2383
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",0,105,216,293,389,377,404,519,455,474,3232
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",0,149,171,255,284,356,392,468,455,437,2967
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",0,53,52,52,58,64,64,64,66,65,538
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,149,152,151,147,151,145,151,140,143,1329
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,0,0,0,0,0,8,12,8,7,35
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",0,98,89,103,97,86,83,46,42,32,676
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",0,0,0,0,0,0,0,8,7,11,26
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Science and Innovation","=""2411314""",0,0,0,0,0,0,0,0,0,6,6
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",0,0,0,0,0,0,0,9,"*","*",21
"Capitol Region Education Council","=""2410014""","Soundbridge @ Samuel B Webb Elementary School","=""2410814""",0,0,0,0,0,0,0,"*",0,0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""",0,0,0,0,0,0,0,"*",0,0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""",0,0,0,0,0,0,0,9,9,0,18
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,0,0,0,0,0,8,12,8,7,35
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",0,0,0,0,0,96,189,303,399,408,1395
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",582,589,592,658,684,663,660,664,654,658,6404
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",406,412,418,430,441,440,441,446,457,454,4345
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",210,178,173,187,182,185,183,178,176,158,1810
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",0,136,185,225,0,0,0,0,0,0,546
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",332,329,325,300,294,283,298,350,344,323,3178
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1612,1579,1549,1516,1549,1514,1538,1512,1481,1445,15295
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,0,0,0,0,0,0,8,10,16,34
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",393,385,395,343,336,306,293,170,147,157,2925
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",824,818,815,786,774,757,747,755,719,783,7778
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",537,532,516,517,537,539,529,502,480,464,5153
"Cheshire School District","=""0250011""","Highland School","=""0250411""",908,869,840,827,795,776,740,768,751,722,7996
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",0,0,0,0,0,0,0,19,18,14,51
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",23,24,17,22,25,25,20,0,0,0,156
"Cheshire School District","=""0250011""","Norton School","=""0250511""",493,470,492,487,480,455,429,447,445,418,4616
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",341,319,299,275,260,251,228,219,211,206,2609
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",338,313,300,304,314,311,296,315,312,280,3083
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",462,492,495,492,466,446,462,461,452,451,4679
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",667,689,671,683,658,645,638,556,522,497,6226
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",638,590,558,557,565,579,558,550,533,559,5687
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",982,968,1003,987,983,937,900,886,835,808,9289
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",0,0,0,0,0,0,0,0,15,12,27
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",774,739,734,698,680,612,551,542,570,549,6449
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",681,710,706,688,654,630,614,585,531,498,6297
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",801,763,761,705,700,701,668,626,600,605,6930
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",122,116,119,112,99,104,99,91,84,78,1024
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",586,573,554,539,524,503,467,453,445,424,5068
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",152,155,160,163,165,169,180,180,186,200,1710
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",581,615,683,726,755,778,801,807,768,720,7234
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",878,875,886,872,874,828,805,801,784,780,8383
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",461,491,544,596,618,635,646,628,636,624,5879
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",529,524,511,539,521,500,542,566,551,546,5329
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",589,618,591,583,569,573,535,513,505,484,5560
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",530,520,514,535,546,557,567,568,573,570,5480
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",696,727,781,794,772,768,801,785,760,750,7634
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",563,568,566,558,540,531,585,619,623,644,5797
