"Percentage of Revenue by Source (Excluding School Construction), 2012-13"
"All Districts"

"","_","_","_","_"
="Newtown School District",88.4,8.0,2.5,1.1
="Norfolk School District",90.0,7.7,2.2,0.2
="North Branford School District",68.1,29.4,2.5,0.0
="North Canaan School District",68.2,28.3,3.5,0.0
="North Haven School District",88.0,10.3,1.7,0.0
="North Stonington School District",73.7,24.4,2.0,0.0
="Norwalk School District",82.3,14.1,2.6,0.9
="Norwich School District",41.3,52.7,5.5,0.5
="Odyssey Community School District",0.0,88.4,1.2,10.5
="Old Saybrook School District",92.6,4.5,1.9,0.9
="Orange School District",93.1,5.1,1.8,0.0
="Oxford School District",77.7,18.4,2.2,1.8
="Park City Prep Charter School District",0.0,91.3,5.8,2.9
="Plainfield School District",47.3,50.0,2.7,0.0
="Plainville School District",62.8,34.6,2.2,0.5
="Plymouth School District",52.5,44.7,2.7,0.1
="Pomfret School District",61.1,36.3,2.4,0.2
="Portland School District",73.2,24.5,2.2,0.1
="Preston School District",65.7,32.2,2.0,0.1
="Putnam School District",38.5,56.4,4.6,0.6
="Redding School District",95.5,3.2,1.3,0.0
="Regional School District 01",86.3,11.3,2.4,0.0
="Regional School District 04",88.6,9.7,1.7,0.0
="Regional School District 05",91.2,7.4,1.3,0.0
="Regional School District 06",90.1,8.3,1.6,0.0
="Regional School District 07",78.6,19.9,1.4,0.1
="Regional School District 08",69.3,29.1,1.4,0.1
="Regional School District 09",94.6,4.0,1.4,0.0
="Regional School District 10",73.1,25.4,1.4,0.1
="Regional School District 11",61.9,35.1,2.9,0.1
="Regional School District 12",94.9,3.2,2.0,0.0
="Regional School District 13",78.6,19.7,1.5,0.1
="Regional School District 14",86.3,11.7,2.0,0.0
="Regional School District 15",90.0,8.0,2.0,0.0
="Regional School District 16",67.4,30.7,1.8,0.0
="Regional School District 17",84.6,13.2,1.3,0.9
="Regional School District 18",94.8,3.7,1.4,0.0
="Regional School District 19",64.9,33.4,1.7,0.0
="Ridgefield School District",93.6,4.9,1.5,0.1
="Rocky Hill School District",86.8,11.2,1.9,0.1
="Salem School District",65.7,32.0,2.1,0.1
="Salisbury School District",94.2,2.4,3.0,0.3
="Scotland School District",61.2,37.0,1.8,0.0
="Seymour School District",63.3,33.7,2.9,0.1
="Sharon School District",95.2,2.4,2.4,0.0
="Shelton School District",87.9,9.5,2.6,0.0
="Sherman School District",93.4,4.3,1.7,0.6
="Side By Side Charter School District",0.0,90.5,2.9,6.7
="Simsbury School District",86.3,11.5,2.0,0.2
="Somers School District",66.2,32.1,1.7,0.0
="South Windsor School District",77.0,21.3,1.4,0.3
="Southington School District",71.4,26.5,2.0,0.1
="Sprague School District",51.1,45.8,2.8,0.3
="Stafford School District",56.8,40.1,2.9,0.1
="Stamford Academy District",0.0,44.0,13.6,42.4
="Stamford School District",84.6,11.5,2.8,1.2
="Sterling School District",52.5,43.8,2.9,0.7
="Stonington School District",88.9,9.0,2.0,0.1
="Stratford School District",73.4,23.9,2.7,0.0
="Suffield School District",74.0,23.7,2.0,0.3
="The Bridge Academy District",1.5,86.8,7.2,4.6
="Thomaston School District",55.2,42.1,2.7,0.0
="Thompson School District",47.6,49.4,3.0,0.0
="Tolland School District",65.8,32.5,1.6,0.0
="Torrington School District",58.3,38.8,2.9,0.1
="Trailblazers Academy District",0.0,39.6,4.3,56.1
="Trumbull School District",92.3,4.9,2.0,0.8
="Union School District",82.7,16.0,1.3,0.0
="Vernon School District",58.2,38.4,3.4,0.0
="Voluntown School District",55.3,42.7,2.0,0.0
="Wallingford School District",73.2,24.8,2.0,0.0
="Waterbury School District",33.6,57.2,8.9,0.3
="Waterford School District",92.8,5.1,2.0,0.1
="Watertown School District",65.5,32.1,2.3,0.2
="West Hartford School District",82.5,14.7,2.7,0.1
="West Haven School District",39.7,54.4,5.7,0.2
="Westbrook School District",94.5,3.6,1.7,0.2
="Weston School District",95.2,3.2,1.3,0.3
="Westport School District",96.2,2.6,1.2,0.0
="Wethersfield School District",80.2,17.9,1.8,0.1
="Willington School District",65.9,31.4,2.4,0.4
="Wilton School District",95.6,3.1,1.3,0.0
="Winchester School District",54.4,43.1,2.4,0.1
="Windham School District",32.6,55.4,12.0,0.0
="Windsor Locks School District",78.5,19.3,2.2,0.0
="Windsor School District",76.7,21.0,2.3,0.0
="Wolcott School District",54.2,43.3,2.4,0.1
="Woodbridge School District",94.7,3.7,1.6,0.0
="Woodstock School District",62.0,34.8,2.7,0.5


"Percentage of Revenue by Source (Including School Construction), 2012-13"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,77.5,7.3,15.2
="Amistad Academy District",0.0,80.5,12.3,7.2
="Andover School District",65.0,32.7,2.2,0.0
="Ansonia School District",39.2,56.2,4.3,0.3
="Ashford School District",57.7,39.5,2.8,0.0
="Avon School District",93.1,5.3,1.4,0.3
="Barkhamsted School District",74.0,23.2,2.8,0.0
="Berlin School District",78.3,19.6,2.1,0.0
="Bethany School District",80.8,16.8,2.4,0.0
="Bethel School District",78.5,19.6,1.8,0.0
="Bloomfield School District",73.2,21.5,3.8,1.5
="Bolton School District",72.7,25.8,1.4,0.1
="Bozrah School District",73.2,24.8,2.0,0.0
="Branford School District",90.7,6.6,2.4,0.4
="Bridgeport Achievement First District",0.0,71.4,11.6,16.9
="Bridgeport School District",17.0,76.0,6.3,0.7
="Bristol School District",49.5,47.2,3.0,0.3
="Brookfield School District",93.2,5.2,1.6,0.0
="Brooklyn School District",49.3,48.2,2.5,0.0
="Canaan School District",90.2,7.6,2.2,0.0
="Canterbury School District",50.5,45.1,4.4,0.0
="Canton School District",80.9,17.5,1.6,0.0
="Chaplin School District",59.3,37.9,2.7,0.0
="Cheshire School District",80.4,17.0,2.1,0.5
="Chester School District",88.9,8.1,2.3,0.7
="Clinton School District",76.0,22.1,1.8,0.0
="Colchester School District",59.4,37.9,2.0,0.7
="Colebrook School District",82.8,14.2,2.9,0.1
="Columbia School District",72.5,25.7,1.8,0.0
="Common Ground High School District",0.0,77.0,5.1,17.9
="Cornwall School District",95.0,2.9,1.7,0.3
="Coventry School District",61.1,35.8,2.9,0.2
="Cromwell School District",78.8,18.6,2.5,0.0
="Danbury School District",69.5,25.9,4.1,0.5
="Darien School District",94.4,4.6,0.8,0.1
="Deep River School District",78.9,18.1,3.0,0.0
="Derby School District",59.4,36.4,4.2,0.0
="East Granby School District",68.5,30.5,1.0,0.0
="East Haddam School District",73.5,21.5,2.2,2.8
="East Hampton School District",65.9,32.4,1.7,0.1
="East Hartford School District",42.6,50.5,6.5,0.4
="East Haven School District",51.4,42.7,2.7,3.3
="East Lyme School District",80.5,18.0,1.3,0.2
="East Windsor School District",64.7,32.8,2.4,0.0
="Eastford School District",66.8,29.7,2.9,0.6
="Easton School District",94.3,4.5,1.2,0.0
="Ellington School District",66.9,31.5,1.6,0.0
="Elm City College Preparatory School District",0.0,75.5,7.9,16.6
="Enfield School District",55.6,40.1,4.2,0.0
="Essex School District",92.2,5.5,2.2,0.0
="Explorations District",13.3,60.3,4.6,21.8
="Fairfield School District",93.6,4.8,1.6,0.1
="Farmington School District",92.7,4.9,1.5,0.9
="Franklin School District",71.2,26.7,2.0,0.1
="Glastonbury School District",86.7,11.5,1.7,0.0
="Granby School District",77.2,21.2,1.6,0.0
="Greenwich School District",95.1,3.0,1.9,0.0
="Griswold School District",54.7,42.2,2.8,0.3
="Groton School District",63.4,34.3,2.3,0.0
="Guilford School District",90.5,7.7,1.6,0.2
="Hamden School District",72.9,24.5,2.5,0.1
="Hampton School District",63.7,34.3,1.9,0.1
="Hartford School District",19.9,72.1,6.4,1.5
="Hartland School District",68.1,29.9,2.0,0.0
="Hebron School District",69.6,28.9,1.5,0.0
="Highville Charter School District",4.3,85.8,7.8,2.1
="Integrated Day Charter School District",0.0,87.9,2.5,9.6
="Interdistrict School for Arts and Comm District",0.0,44.8,1.7,53.6
="Jumoke Academy District",0.0,71.0,3.8,25.2
="Kent School District",93.0,4.8,2.2,0.0
="Killingly School District",55.7,41.7,2.4,0.2
="Lebanon School District",64.3,33.8,1.9,0.0
="Ledyard School District",58.8,39.1,1.9,0.2
="Lisbon School District",56.7,41.4,1.8,0.1
="Litchfield School District",88.1,8.7,2.1,1.1
="Madison School District",93.3,4.7,1.6,0.4
="Manchester School District",60.2,35.2,4.1,0.5
="Mansfield School District",62.9,33.8,3.3,0.0
="Marlborough School District",75.2,22.5,2.2,0.1
="Meriden School District",37.1,58.0,4.8,0.2
="Middletown School District",68.8,27.6,3.1,0.4
="Milford School District",85.6,12.4,1.9,0.0
="Monroe School District",84.9,13.6,1.5,0.1
="Montville School District",62.2,35.6,2.1,0.1
="Naugatuck School District",49.2,46.6,4.2,0.0
="New Beginnings Inc., Family Academy District",0.0,83.2,10.1,6.7
="New Britain School District",28.8,62.1,8.3,0.7
="New Canaan School District",95.8,3.1,1.1,0.0
="New Fairfield School District",80.8,17.5,1.5,0.2
="New Hartford School District",76.8,21.0,2.2,0.0
="New Haven School District",27.2,63.3,8.8,0.7
="New London School District",28.0,66.1,5.5,0.4
="New Milford School District",74.2,23.0,2.2,0.5
="Newington School District",76.5,21.9,1.6,0.0
="Newtown School District",88.4,8.3,2.3,1.0
="Norfolk School District",90.0,7.7,2.2,0.2
="North Branford School District",59.5,38.2,2.3,0.0
="North Canaan School District",68.8,27.7,3.4,0.0
="North Haven School District",88.5,9.9,1.6,0.0
="North Stonington School District",72.2,25.9,1.9,0.0
="Norwalk School District",83.6,13.1,2.4,0.9
="Norwich School District",42.3,51.9,5.4,0.5
="Odyssey Community School District",0.0,67.8,0.7,31.5
="Old Saybrook School District",93.0,4.4,1.8,0.9
="Orange School District",93.3,5.0,1.7,0.0
="Oxford School District",79.1,17.3,2.0,1.6
="Park City Prep Charter School District",0.0,92.0,5.3,2.6
="Plainfield School District",48.9,48.5,2.6,0.0
="Plainville School District",65.1,32.5,2.0,0.4
="Plymouth School District",54.6,42.7,2.6,0.1
="Pomfret School District",61.2,36.1,2.4,0.2
="Portland School District",75.0,22.9,2.1,0.1
="Preston School District",66.9,31.1,2.0,0.1
="Putnam School District",38.5,56.4,4.6,0.6
="Redding School District",95.9,2.9,1.2,0.0
="Regional School District 01",80.9,16.8,2.3,0.0
="Regional School District 04",89.8,8.7,1.5,0.0
="Regional School District 05",91.6,7.2,1.2,0.0
="Regional School District 06",90.5,8.0,1.6,0.0
="Regional School District 07",79.7,18.9,1.3,0.1
="Regional School District 08",72.3,26.3,1.3,0.1
="Regional School District 09",95.2,3.5,1.3,0.0
="Regional School District 10",70.3,28.3,1.3,0.1
="Regional School District 11",61.9,35.1,2.9,0.1
="Regional School District 12",94.8,3.2,2.0,0.0
="Regional School District 13",79.2,19.3,1.4,0.1
="Regional School District 14",84.5,13.6,1.9,0.0
="Regional School District 15",89.8,8.3,1.9,0.0
="Regional School District 16",65.3,33.1,1.6,0.0
="Regional School District 17",85.5,12.4,1.3,0.8
="Regional School District 18",88.3,10.4,1.2,0.0
="Regional School District 19",60.4,38.1,1.5,0.0
="Ridgefield School District",93.9,4.6,1.4,0.1
="Rocky Hill School District",86.8,11.2,1.9,0.1
="Salem School District",64.6,33.2,2.1,0.1
="Salisbury School District",93.2,3.5,3.0,0.3
="Scotland School District",65.5,32.9,1.6,0.0
="Seymour School District",61.5,35.9,2.5,0.1
="Sharon School District",95.2,2.4,2.4,0.0
="Shelton School District",87.6,10.0,2.4,0.0
="Sherman School District",93.7,4.1,1.6,0.6
="Side By Side Charter School District",0.0,90.5,2.9,6.7
="Simsbury School District",86.4,11.5,1.9,0.2
="Somers School District",66.8,31.5,1.6,0.0
="South Windsor School District",77.4,20.9,1.4,0.3
="Southington School District",72.4,25.5,1.9,0.1
="Sprague School District",51.9,45.0,2.8,0.3
="Stafford School District",60.9,36.3,2.6,0.1
="Stamford Academy District",0.0,44.0,13.6,42.4
="Stamford School District",85.3,11.0,2.6,1.1
="Sterling School District",57.4,39.3,2.6,0.7
="Stonington School District",89.7,8.4,1.8,0.1
="Stratford School District",73.9,23.5,2.6,0.0
="Suffield School District",71.3,26.6,1.9,0.3
="The Bridge Academy District",1.4,82.8,6.8,8.9
="Thomaston School District",57.2,40.3,2.5,0.0
="Thompson School District",47.0,50.2,2.8,0.0
="Tolland School District",67.0,31.5,1.5,0.0
="Torrington School District",58.8,38.4,2.7,0.1
="Trailblazers Academy District",0.0,39.6,4.3,56.1
="Trumbull School District",82.7,15.0,1.6,0.7
="Union School District",76.8,22.1,1.1,0.0
="Vernon School District",52.8,44.0,3.2,0.0
="Voluntown School District",55.9,42.2,1.9,0.0
="Wallingford School District",72.9,25.2,1.9,0.0
="Waterbury School District",28.1,64.5,7.2,0.2
="Waterford School District",84.4,14.0,1.5,0.0
="Watertown School District",68.1,29.7,2.0,0.1
="West Hartford School District",82.8,14.5,2.6,0.1
="West Haven School District",41.2,53.1,5.4,0.2
="Westbrook School District",94.6,3.7,1.5,0.2
="Weston School District",95.7,2.8,1.1,0.3
="Westport School District",95.9,2.9,1.2,0.0
="Wethersfield School District",80.6,17.5,1.7,0.1
="Willington School District",65.9,31.4,2.4,0.4
="Wilton School District",95.7,3.1,1.2,0.0
="Winchester School District",54.4,43.1,2.4,0.1
="Windham School District",41.5,50.0,8.4,0.0
="Windsor Locks School District",77.6,20.3,2.1,0.0
="Windsor School District",77.1,20.7,2.2,0.0
="Wolcott School District",55.0,42.7,2.2,0.1
="Woodbridge School District",94.4,4.1,1.5,0.0
="Woodstock School District",61.8,35.2,2.5,0.5

