"Percentage of Revenue by Source (Excluding School Construction), 2010-11"
"All Districts"

"","_","_","_","_"
="Scotland School District",53.1,33.1,12.2,1.7
="Seymour School District",61.5,30.0,8.5,0.0
="Sharon School District",93.9,1.9,4.1,0.1
="Shelton School District",88.6,8.0,3.4,0.0
="Sherman School District",92.5,3.9,3.3,0.2
="Side By Side Charter School District",0.0,88.8,2.4,8.9
="Simsbury School District",86.4,9.7,3.6,0.3
="Somers School District",64.6,28.6,6.7,0.1
="South Windsor School District",75.6,18.9,5.0,0.5
="Southington School District",69.4,22.8,6.6,1.3
="Sprague School District",52.6,37.5,9.9,0.0
="Stafford School District",54.2,36.3,8.9,0.5
="Stamford Academy District",0.0,37.5,17.5,45.0
="Stamford School District",83.2,10.6,4.0,2.2
="Sterling School District",53.4,36.9,9.5,0.2
="Stonington School District",88.6,7.6,3.8,0.1
="Stratford School District",72.2,20.6,7.1,0.2
="Suffield School District",72.0,19.7,5.6,2.7
="The Bridge Academy District",0.0,87.2,12.1,0.7
="Thomaston School District",55.3,35.4,9.3,0.1
="Thompson School District",45.7,43.4,10.4,0.4
="Tolland School District",63.5,29.3,7.2,0.1
="Torrington School District",56.2,34.8,8.8,0.2
="Trailblazers Academy District",0.0,34.1,4.2,61.7
="Trumbull School District",90.0,4.5,3.5,2.0
="Union School District",81.3,13.9,4.8,0.0
="Vernon School District",58.2,31.7,9.3,0.8
="Voluntown School District",54.5,37.5,8.0,0.0
="Wallingford School District",69.6,22.8,6.0,1.6
="Waterbury School District",32.5,50.2,16.6,0.7
="Waterford School District",91.4,5.1,3.3,0.3
="Watertown School District",62.3,29.4,8.0,0.3
="West Hartford School District",81.2,12.9,5.5,0.4
="West Haven School District",43.7,43.9,12.1,0.3
="Westbrook School District",94.8,2.7,2.4,0.0
="Weston School District",94.7,2.9,2.0,0.4
="Westport School District",94.7,2.7,2.4,0.2
="Wethersfield School District",79.4,15.3,5.1,0.2
="Willington School District",62.8,27.6,9.5,0.0
="Wilton School District",93.9,3.7,2.0,0.3
="Winchester School District",55.1,36.6,8.1,0.2
="Windham School District",27.0,49.3,20.7,3.0
="Windsor Locks School District",78.3,15.9,5.2,0.5
="Windsor School District",74.8,18.4,6.5,0.3
="Wolcott School District",52.0,37.6,9.9,0.5
="Woodbridge School District",96.3,3.2,0.2,0.2
="Woodstock School District",60.0,30.4,9.0,0.7


"Percentage of Revenue by Source (Including School Construction), 2010-11"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,71.3,9.3,19.5
="Amistad Academy District",0.0,87.1,3.6,9.2
="Andover School District",61.9,27.2,10.7,0.2
="Ansonia School District",29.8,55.8,13.9,0.5
="Ashford School District",51.6,37.4,10.4,0.5
="Avon School District",91.8,5.4,2.2,0.6
="Barkhamsted School District",68.3,20.6,11.1,0.0
="Berlin School District",80.2,14.9,4.7,0.2
="Bethany School District",74.0,18.0,7.9,0.1
="Bethel School District",75.2,19.5,5.3,0.0
="Bloomfield School District",67.2,27.6,4.6,0.6
="Bolton School District",51.6,40.0,3.7,4.7
="Bozrah School District",68.6,23.8,7.6,0.0
="Branford School District",90.5,5.8,3.4,0.2
="Bridgeport Achievement First District",13.7,51.7,6.8,27.8
="Bridgeport School District",17.2,62.9,19.3,0.7
="Bristol School District",47.6,42.9,8.9,0.6
="Brookfield School District",91.5,5.4,3.1,0.0
="Brooklyn School District",46.9,42.3,10.8,0.0
="Canaan School District",88.6,6.3,5.0,0.1
="Canterbury School District",50.2,40.6,8.9,0.3
="Canton School District",80.4,15.3,3.7,0.6
="Chaplin School District",52.1,37.0,9.4,1.5
="Charter School for Young Children on Asylum Hill District",0.0,65.7,8.1,26.2
="Cheshire School District",79.7,14.7,4.9,0.7
="Chester School District",87.1,7.6,5.3,0.0
="Clinton School District",74.8,19.8,5.4,0.0
="Colchester School District",54.7,37.6,7.2,0.5
="Colebrook School District",80.3,11.9,7.9,0.0
="Columbia School District",72.0,22.6,5.3,0.1
="Common Ground High School District",2.3,64.7,15.9,17.1
="Cornwall School District",94.0,3.1,2.7,0.2
="Coventry School District",60.1,32.4,7.2,0.3
="Cromwell School District",74.5,19.6,5.9,0.0
="Danbury School District",68.0,23.0,8.4,0.6
="Darien School District",92.5,5.7,1.7,0.1
="Deep River School District",72.5,17.8,9.7,0.0
="Derby School District",57.6,32.3,9.9,0.1
="East Granby School District",86.3,10.2,3.5,0.0
="East Haddam School District",73.0,19.5,4.7,2.9
="East Hampton School District",65.9,27.1,7.0,0.1
="East Hartford School District",35.6,45.2,14.5,4.8
="East Haven School District",48.2,36.7,8.9,6.3
="East Lyme School District",73.8,15.9,4.0,6.3
="East Windsor School District",65.4,26.3,7.6,0.7
="Eastford School District",63.3,28.7,7.9,0.1
="Easton School District",91.9,5.5,2.0,0.7
="Ellington School District",64.8,28.4,6.3,0.5
="Elm City College Preparatory School District",0.0,70.9,8.4,20.7
="Enfield School District",54.1,34.2,11.3,0.4
="Essex School District",93.5,2.6,3.9,0.0
="Explorations District",0.0,65.6,2.9,31.5
="Fairfield School District",92.9,5.0,1.9,0.1
="Farmington School District",90.8,4.8,3.0,1.4
="Franklin School District",69.9,23.0,6.3,0.7
="Glastonbury School District",85.3,11.0,3.1,0.6
="Granby School District",74.8,17.9,4.7,2.7
="Greenwich School District",93.7,3.3,2.7,0.3
="Griswold School District",36.1,53.5,6.3,4.2
="Groton School District",60.2,31.2,8.4,0.2
="Guilford School District",90.0,6.9,2.9,0.1
="Hamden School District",71.7,21.5,6.8,0.0
="Hampton School District",54.9,32.6,11.6,1.0
="Hartford School District",19.8,63.5,15.5,1.2
="Hartland School District",64.6,25.9,9.3,0.2
="Hebron School District",64.0,25.9,10.1,0.0
="Highville Charter School District",0.0,87.8,9.6,2.6
="Integrated Day Charter School District",0.0,87.6,2.3,10.0
="Interdistrict School for Arts and Comm District",0.0,72.9,3.2,23.9
="Jumoke Academy District",0.0,82.2,6.1,11.7
="Kent School District",90.0,5.6,3.6,0.8
="Killingly School District",48.6,37.7,9.8,4.0
="Lebanon School District",57.6,28.9,7.1,6.4
="Ledyard School District",54.0,35.0,7.2,3.8
="Lisbon School District",52.2,35.8,8.0,4.0
="Litchfield School District",88.3,7.6,3.2,0.8
="Madison School District",92.4,4.6,2.7,0.4
="Manchester School District",62.4,25.8,10.3,1.5
="Mansfield School District",61.1,28.9,9.6,0.4
="Marlborough School District",73.0,18.9,8.1,0.0
="Meriden School District",38.2,47.3,14.0,0.5
="Middletown School District",67.5,24.2,7.5,0.8
="Milford School District",85.4,10.2,4.3,0.1
="Monroe School District",82.9,11.9,4.3,0.9
="Montville School District",55.5,35.7,7.8,1.1
="Naugatuck School District",45.6,42.4,12.0,0.1
="New Beginnings Inc., Family Academy District",0.0,86.4,10.1,3.5
="New Britain School District",26.2,52.9,19.9,0.9
="New Canaan School District",94.7,3.3,2.1,0.0
="New Fairfield School District",83.5,11.6,3.8,1.1
="New Hartford School District",73.9,18.4,7.5,0.1
="New Haven School District",24.6,58.1,16.1,1.2
="New London School District",13.5,71.9,13.7,0.8
="New Milford School District",72.1,19.7,6.0,2.2
="Newington School District",75.6,18.5,5.8,0.1
="Newtown School District",79.6,17.4,2.8,0.2
="Norfolk School District",87.4,6.8,5.3,0.5
="North Branford School District",69.5,24.6,5.9,0.0
="North Canaan School District",66.6,24.2,9.1,0.1
="North Haven School District",87.1,9.3,3.6,0.0
="North Stonington School District",70.9,22.9,6.0,0.1
="Norwalk School District",83.2,12.5,3.7,0.6
="Norwich School District",35.9,53.1,10.6,0.5
="Odyssey Community School District",0.0,86.5,2.3,11.2
="Old Saybrook School District",91.3,4.4,3.1,1.2
="Orange School District",92.0,4.8,3.2,0.0
="Oxford School District",77.7,17.3,5.0,0.0
="Park City Prep Charter School District",0.0,93.5,6.5,0.0
="Plainfield School District",45.1,39.4,11.0,4.4
="Plainville School District",57.6,35.7,6.2,0.6
="Plymouth School District",50.4,41.2,8.4,0.0
="Pomfret School District",60.6,31.0,7.8,0.5
="Portland School District",74.2,19.6,6.1,0.0
="Preston School District",67.2,26.7,5.6,0.6
="Putnam School District",41.0,43.8,13.2,2.0
="Redding School District",94.7,2.8,1.8,0.7
="Regional School District 01",84.9,10.7,4.1,0.3
="Regional School District 04",79.7,17.9,2.4,0.0
="Regional School District 05",91.1,7.0,1.8,0.2
="Regional School District 06",84.3,7.2,3.0,5.4
="Regional School District 07",75.3,16.2,2.4,6.0
="Regional School District 08",75.6,22.0,2.2,0.1
="Regional School District 09",94.8,4.0,1.2,0.0
="Regional School District 10",72.8,22.5,4.4,0.2
="Regional School District 11",66.2,29.8,3.3,0.6
="Regional School District 12",92.8,3.2,2.6,1.3
="Regional School District 13",76.6,19.1,4.1,0.3
="Regional School District 14",78.3,12.2,3.7,5.7
="Regional School District 15",89.3,7.7,2.5,0.5
="Regional School District 16",63.1,30.0,6.8,0.0
="Regional School District 17",83.0,12.8,4.2,0.1
="Regional School District 18",94.2,3.9,1.9,0.0
="Regional School District 19",57.4,34.5,2.5,5.7
="Ridgefield School District",93.3,4.1,2.3,0.2
="Rocky Hill School District",85.5,10.0,4.2,0.3
="Salem School District",64.8,28.7,6.4,0.1
="Salisbury School District",93.2,2.1,4.4,0.3
="Scotland School District",37.2,50.6,10.8,1.5
="Seymour School District",64.6,27.6,7.8,0.0
="Sharon School District",93.3,2.7,3.9,0.1
="Shelton School District",89.0,8.0,2.9,0.0
="Sherman School District",92.8,3.9,3.0,0.2
="Side By Side Charter School District",0.0,88.8,2.4,8.9
="Simsbury School District",87.2,9.1,3.4,0.3
="Somers School District",64.9,28.9,6.2,0.1
="South Windsor School District",75.6,19.2,4.8,0.5
="Southington School District",69.8,22.8,6.2,1.2
="Sprague School District",53.3,37.1,9.6,0.0
="Stafford School District",53.4,37.7,8.3,0.5
="Stamford Academy District",0.0,37.5,17.5,45.0
="Stamford School District",84.1,10.1,3.7,2.0
="Sterling School District",57.2,33.9,8.7,0.2
="Stonington School District",89.4,7.0,3.5,0.1
="Stratford School District",73.1,20.1,6.7,0.2
="Suffield School District",73.8,18.4,5.2,2.5
="The Bridge Academy District",0.0,83.5,11.6,4.9
="Thomaston School District",57.0,34.2,8.7,0.1
="Thompson School District",48.8,41.0,9.8,0.4
="Tolland School District",65.9,27.5,6.5,0.1
="Torrington School District",55.8,35.8,8.2,0.2
="Trailblazers Academy District",0.0,34.1,4.2,61.7
="Trumbull School District",88.1,6.8,3.2,1.9
="Union School District",64.8,31.5,3.7,0.0
="Vernon School District",57.4,33.2,8.6,0.7
="Voluntown School District",55.1,37.0,7.9,0.0
="Wallingford School District",68.3,24.4,5.8,1.6
="Waterbury School District",30.4,53.6,15.4,0.6
="Waterford School District",89.2,8.0,2.7,0.2
="Watertown School District",52.4,41.8,5.6,0.2
="West Hartford School District",81.7,12.8,5.1,0.4
="West Haven School District",45.1,43.1,11.6,0.2
="Westbrook School District",93.7,4.3,2.0,0.0
="Weston School District",95.5,2.5,1.7,0.3
="Westport School District",95.0,2.7,2.1,0.2
="Wethersfield School District",79.6,15.2,5.0,0.2
="Willington School District",62.8,27.6,9.5,0.0
="Wilton School District",94.0,3.8,1.9,0.3
="Winchester School District",55.0,36.6,8.1,0.2
="Windham School District",26.0,51.8,19.3,2.8
="Windsor Locks School District",77.3,17.3,4.9,0.5
="Windsor School District",75.0,18.5,6.2,0.3
="Wolcott School District",52.4,37.9,9.2,0.4
="Woodbridge School District",95.8,3.8,0.2,0.2
="Woodstock School District",59.8,31.0,8.6,0.6

