"Percentage of Revenue by Source (Excluding School Construction), 2011-12"
"All Districts"

"","_","_","_","_"
="Rocky Hill School District",86.7,11.2,2.0,0.1
="Salem School District",64.2,31.8,3.8,0.3
="Salisbury School District",94.1,2.4,3.1,0.4
="Scotland School District",56.8,37.5,5.6,0.2
="Seymour School District",62.2,33.4,4.4,0.0
="Sharon School District",95.1,2.3,2.6,0.0
="Shelton School District",87.9,9.2,2.9,0.0
="Sherman School District",93.8,4.3,1.9,0.0
="Side By Side Charter School District",0.1,87.7,2.1,10.1
="Simsbury School District",86.6,11.2,2.1,0.1
="Somers School District",64.6,32.1,3.4,0.0
="South Windsor School District",75.8,21.1,2.8,0.3
="Southington School District",69.8,26.3,3.8,0.1
="Sprague School District",50.7,43.9,5.2,0.2
="Stafford School District",54.0,40.9,5.1,0.0
="Stamford Academy District",0.0,41.7,15.0,43.3
="Stamford School District",84.7,11.0,3.2,1.2
="Sterling School District",53.2,43.2,3.6,0.1
="Stonington School District",88.8,8.7,2.5,0.0
="Stratford School District",73.4,23.0,3.5,0.0
="Suffield School District",74.5,22.7,2.8,0.1
="The Bridge Academy District",0.0,87.7,7.9,4.5
="Thomaston School District",54.6,40.8,4.5,0.0
="Thompson School District",45.7,48.8,5.5,0.1
="Tolland School District",64.6,32.6,2.7,0.0
="Torrington School District",56.9,39.3,3.8,0.0
="Trailblazers Academy District",0.0,37.0,4.4,58.7
="Trumbull School District",92.2,5.2,2.3,0.3
="Union School District",80.6,16.5,2.9,0.0
="Vernon School District",57.7,37.4,5.0,0.0
="Voluntown School District",55.6,42.5,1.9,0.0
="Wallingford School District",71.7,24.8,3.3,0.2
="Waterbury School District",33.8,56.6,9.3,0.3
="Waterford School District",92.3,5.4,2.3,0.0
="Watertown School District",61.7,33.1,4.8,0.4
="West Hartford School District",82.7,14.5,2.8,0.0
="West Haven School District",40.7,53.9,5.2,0.2
="Westbrook School District",94.0,4.2,1.7,0.1
="Weston School District",95.2,3.2,1.3,0.4
="Westport School District",95.8,2.8,1.4,0.0
="Wethersfield School District",79.2,17.8,2.8,0.2
="Willington School District",65.1,30.2,4.3,0.4
="Wilton School District",94.9,3.5,1.6,0.0
="Winchester School District",54.9,41.7,3.3,0.1
="Windham School District",30.1,53.2,15.6,1.0
="Windsor Locks School District",77.7,18.8,3.4,0.0
="Windsor School District",75.8,20.1,4.1,0.0
="Wolcott School District",52.2,43.1,4.6,0.1
="Woodbridge School District",93.8,3.7,2.5,0.0
="Woodstock School District",60.8,34.1,4.8,0.4

