"Percentage of Revenue by Source (Including School Construction), 2012-13"
"All Districts"

"","_","_","_","_"
="New Beginnings Inc., Family Academy District",0.0,83.2,10.1,6.7
="New Britain School District",28.8,62.1,8.3,0.7
="New Canaan School District",95.8,3.1,1.1,0.0
="New Fairfield School District",80.8,17.5,1.5,0.2
="New Hartford School District",76.8,21.0,2.2,0.0
="New Haven School District",27.2,63.3,8.8,0.7
="New London School District",28.0,66.1,5.5,0.4
="New Milford School District",74.2,23.0,2.2,0.5
="Newington School District",76.5,21.9,1.6,0.0
="Newtown School District",88.4,8.3,2.3,1.0
="Norfolk School District",90.0,7.7,2.2,0.2
="North Branford School District",59.5,38.2,2.3,0.0
="North Canaan School District",68.8,27.7,3.4,0.0
="North Haven School District",88.5,9.9,1.6,0.0
="North Stonington School District",72.2,25.9,1.9,0.0
="Norwalk School District",83.6,13.1,2.4,0.9
="Norwich School District",42.3,51.9,5.4,0.5
="Odyssey Community School District",0.0,67.8,0.7,31.5
="Old Saybrook School District",93.0,4.4,1.8,0.9
="Orange School District",93.3,5.0,1.7,0.0
="Oxford School District",79.1,17.3,2.0,1.6
="Park City Prep Charter School District",0.0,92.0,5.3,2.6
="Plainfield School District",48.9,48.5,2.6,0.0
="Plainville School District",65.1,32.5,2.0,0.4
="Plymouth School District",54.6,42.7,2.6,0.1
="Pomfret School District",61.2,36.1,2.4,0.2
="Portland School District",75.0,22.9,2.1,0.1
="Preston School District",66.9,31.1,2.0,0.1
="Putnam School District",38.5,56.4,4.6,0.6
="Redding School District",95.9,2.9,1.2,0.0
="Regional School District 01",80.9,16.8,2.3,0.0
="Regional School District 04",89.8,8.7,1.5,0.0
="Regional School District 05",91.6,7.2,1.2,0.0
="Regional School District 06",90.5,8.0,1.6,0.0
="Regional School District 07",79.7,18.9,1.3,0.1
="Regional School District 08",72.3,26.3,1.3,0.1
="Regional School District 09",95.2,3.5,1.3,0.0
="Regional School District 10",70.3,28.3,1.3,0.1
="Regional School District 11",61.9,35.1,2.9,0.1
="Regional School District 12",94.8,3.2,2.0,0.0
="Regional School District 13",79.2,19.3,1.4,0.1
="Regional School District 14",84.5,13.6,1.9,0.0
="Regional School District 15",89.8,8.3,1.9,0.0
="Regional School District 16",65.3,33.1,1.6,0.0
="Regional School District 17",85.5,12.4,1.3,0.8
="Regional School District 18",88.3,10.4,1.2,0.0
="Regional School District 19",60.4,38.1,1.5,0.0
="Ridgefield School District",93.9,4.6,1.4,0.1
="Rocky Hill School District",86.8,11.2,1.9,0.1
="Salem School District",64.6,33.2,2.1,0.1
="Salisbury School District",93.2,3.5,3.0,0.3
="Scotland School District",65.5,32.9,1.6,0.0
="Seymour School District",61.5,35.9,2.5,0.1
="Sharon School District",95.2,2.4,2.4,0.0
="Shelton School District",87.6,10.0,2.4,0.0
="Sherman School District",93.7,4.1,1.6,0.6
="Side By Side Charter School District",0.0,90.5,2.9,6.7
="Simsbury School District",86.4,11.5,1.9,0.2
="Somers School District",66.8,31.5,1.6,0.0
="South Windsor School District",77.4,20.9,1.4,0.3
="Southington School District",72.4,25.5,1.9,0.1
="Sprague School District",51.9,45.0,2.8,0.3
="Stafford School District",60.9,36.3,2.6,0.1
="Stamford Academy District",0.0,44.0,13.6,42.4
="Stamford School District",85.3,11.0,2.6,1.1
="Sterling School District",57.4,39.3,2.6,0.7
="Stonington School District",89.7,8.4,1.8,0.1
="Stratford School District",73.9,23.5,2.6,0.0
="Suffield School District",71.3,26.6,1.9,0.3
="The Bridge Academy District",1.4,82.8,6.8,8.9
="Thomaston School District",57.2,40.3,2.5,0.0
="Thompson School District",47.0,50.2,2.8,0.0
="Tolland School District",67.0,31.5,1.5,0.0
="Torrington School District",58.8,38.4,2.7,0.1
="Trailblazers Academy District",0.0,39.6,4.3,56.1
="Trumbull School District",82.7,15.0,1.6,0.7
="Union School District",76.8,22.1,1.1,0.0
="Vernon School District",52.8,44.0,3.2,0.0
="Voluntown School District",55.9,42.2,1.9,0.0
="Wallingford School District",72.9,25.2,1.9,0.0
="Waterbury School District",28.1,64.5,7.2,0.2
="Waterford School District",84.4,14.0,1.5,0.0
="Watertown School District",68.1,29.7,2.0,0.1
="West Hartford School District",82.8,14.5,2.6,0.1
="West Haven School District",41.2,53.1,5.4,0.2
="Westbrook School District",94.6,3.7,1.5,0.2
="Weston School District",95.7,2.8,1.1,0.3
="Westport School District",95.9,2.9,1.2,0.0
="Wethersfield School District",80.6,17.5,1.7,0.1
="Willington School District",65.9,31.4,2.4,0.4
="Wilton School District",95.7,3.1,1.2,0.0
="Winchester School District",54.4,43.1,2.4,0.1
="Windham School District",41.5,50.0,8.4,0.0
="Windsor Locks School District",77.6,20.3,2.1,0.0
="Windsor School District",77.1,20.7,2.2,0.0
="Wolcott School District",55.0,42.7,2.2,0.1
="Woodbridge School District",94.4,4.1,1.5,0.0
="Woodstock School District",61.8,35.2,2.5,0.5

