"Percentage of Revenue by Source (Excluding School Construction), 2012-13"
"All Districts"

"","_","_","_","_"
="Newtown School District",88.4,8.0,2.5,1.1
="Norfolk School District",90.0,7.7,2.2,0.2
="North Branford School District",68.1,29.4,2.5,0.0
="North Canaan School District",68.2,28.3,3.5,0.0
="North Haven School District",88.0,10.3,1.7,0.0
="North Stonington School District",73.7,24.4,2.0,0.0
="Norwalk School District",82.3,14.1,2.6,0.9
="Norwich School District",41.3,52.7,5.5,0.5
="Odyssey Community School District",0.0,88.4,1.2,10.5
="Old Saybrook School District",92.6,4.5,1.9,0.9
="Orange School District",93.1,5.1,1.8,0.0
="Oxford School District",77.7,18.4,2.2,1.8
="Park City Prep Charter School District",0.0,91.3,5.8,2.9
="Plainfield School District",47.3,50.0,2.7,0.0
="Plainville School District",62.8,34.6,2.2,0.5
="Plymouth School District",52.5,44.7,2.7,0.1
="Pomfret School District",61.1,36.3,2.4,0.2
="Portland School District",73.2,24.5,2.2,0.1
="Preston School District",65.7,32.2,2.0,0.1
="Putnam School District",38.5,56.4,4.6,0.6
="Redding School District",95.5,3.2,1.3,0.0
="Regional School District 01",86.3,11.3,2.4,0.0
="Regional School District 04",88.6,9.7,1.7,0.0
="Regional School District 05",91.2,7.4,1.3,0.0
="Regional School District 06",90.1,8.3,1.6,0.0
="Regional School District 07",78.6,19.9,1.4,0.1
="Regional School District 08",69.3,29.1,1.4,0.1
="Regional School District 09",94.6,4.0,1.4,0.0
="Regional School District 10",73.1,25.4,1.4,0.1
="Regional School District 11",61.9,35.1,2.9,0.1
="Regional School District 12",94.9,3.2,2.0,0.0
="Regional School District 13",78.6,19.7,1.5,0.1
="Regional School District 14",86.3,11.7,2.0,0.0
="Regional School District 15",90.0,8.0,2.0,0.0
="Regional School District 16",67.4,30.7,1.8,0.0
="Regional School District 17",84.6,13.2,1.3,0.9
="Regional School District 18",94.8,3.7,1.4,0.0
="Regional School District 19",64.9,33.4,1.7,0.0
="Ridgefield School District",93.6,4.9,1.5,0.1
="Rocky Hill School District",86.8,11.2,1.9,0.1
="Salem School District",65.7,32.0,2.1,0.1
="Salisbury School District",94.2,2.4,3.0,0.3
="Scotland School District",61.2,37.0,1.8,0.0
="Seymour School District",63.3,33.7,2.9,0.1
="Sharon School District",95.2,2.4,2.4,0.0
="Shelton School District",87.9,9.5,2.6,0.0
="Sherman School District",93.4,4.3,1.7,0.6
="Side By Side Charter School District",0.0,90.5,2.9,6.7
="Simsbury School District",86.3,11.5,2.0,0.2
="Somers School District",66.2,32.1,1.7,0.0
="South Windsor School District",77.0,21.3,1.4,0.3
="Southington School District",71.4,26.5,2.0,0.1
="Sprague School District",51.1,45.8,2.8,0.3
="Stafford School District",56.8,40.1,2.9,0.1
="Stamford Academy District",0.0,44.0,13.6,42.4
="Stamford School District",84.6,11.5,2.8,1.2
="Sterling School District",52.5,43.8,2.9,0.7
="Stonington School District",88.9,9.0,2.0,0.1
="Stratford School District",73.4,23.9,2.7,0.0
="Suffield School District",74.0,23.7,2.0,0.3
="The Bridge Academy District",1.5,86.8,7.2,4.6
="Thomaston School District",55.2,42.1,2.7,0.0
="Thompson School District",47.6,49.4,3.0,0.0
="Tolland School District",65.8,32.5,1.6,0.0
="Torrington School District",58.3,38.8,2.9,0.1
="Trailblazers Academy District",0.0,39.6,4.3,56.1
="Trumbull School District",92.3,4.9,2.0,0.8
="Union School District",82.7,16.0,1.3,0.0
="Vernon School District",58.2,38.4,3.4,0.0
="Voluntown School District",55.3,42.7,2.0,0.0
="Wallingford School District",73.2,24.8,2.0,0.0
="Waterbury School District",33.6,57.2,8.9,0.3
="Waterford School District",92.8,5.1,2.0,0.1
="Watertown School District",65.5,32.1,2.3,0.2
="West Hartford School District",82.5,14.7,2.7,0.1
="West Haven School District",39.7,54.4,5.7,0.2
="Westbrook School District",94.5,3.6,1.7,0.2
="Weston School District",95.2,3.2,1.3,0.3
="Westport School District",96.2,2.6,1.2,0.0
="Wethersfield School District",80.2,17.9,1.8,0.1
="Willington School District",65.9,31.4,2.4,0.4
="Wilton School District",95.6,3.1,1.3,0.0
="Winchester School District",54.4,43.1,2.4,0.1
="Windham School District",32.6,55.4,12.0,0.0
="Windsor Locks School District",78.5,19.3,2.2,0.0
="Windsor School District",76.7,21.0,2.3,0.0
="Wolcott School District",54.2,43.3,2.4,0.1
="Woodbridge School District",94.7,3.7,1.6,0.0
="Woodstock School District",62.0,34.8,2.7,0.5

