"Percentage of Revenue by Source (Including School Construction), 2009-10"
"All Districts"

"","_","_","_","_"
="North Stonington School District",70.2,23.4,6.2,0.1
="Norwalk School District",82.3,12.9,4.2,0.6
="Norwich School District",40.5,47.4,11.4,0.8
="Odyssey Community School District",0.0,89.0,2.4,8.5
="Old Saybrook School District",90.5,5.0,3.4,1.1
="Orange School District",91.5,5.7,2.9,0.0
="Oxford School District",73.0,22.3,4.7,0.0
="Park City Prep Charter School District",5.9,81.0,11.7,1.4
="Plainfield School District",46.3,39.0,10.0,4.7
="Plainville School District",63.3,28.5,7.2,1.0
="Plymouth School District",52.5,38.7,8.7,0.0
="Pomfret School District",59.3,31.9,8.2,0.5
="Portland School District",73.3,20.7,5.9,0.1
="Preston School District",66.5,26.8,6.4,0.3
="Putnam School District",43.0,44.8,11.3,0.9
="Redding School District",93.0,3.7,2.5,0.9
="Regional School District 01",84.2,11.6,3.6,0.5
="Regional School District 04",90.4,7.4,2.2,0.0
="Regional School District 05",92.4,5.5,1.9,0.1
="Regional School District 06",82.0,8.9,3.5,5.6
="Regional School District 07",75.7,16.9,2.2,5.2
="Regional School District 08",76.9,21.3,1.6,0.2
="Regional School District 09",94.7,4.2,1.1,0.0
="Regional School District 10",72.4,21.9,5.4,0.2
="Regional School District 11",67.1,29.3,2.7,0.9
="Regional School District 12",91.5,3.3,3.2,2.1
="Regional School District 13",73.9,21.2,4.5,0.4
="Regional School District 14",77.4,12.2,4.7,5.7
="Regional School District 15",88.5,7.5,3.6,0.5
="Regional School District 16",64.5,29.5,5.9,0.1
="Regional School District 17",85.5,10.4,4.0,0.1
="Regional School District 18",92.7,5.3,1.9,0.0
="Regional School District 19",56.6,35.8,1.9,5.7
="Ridgefield School District",94.3,3.6,1.9,0.2
="Rocky Hill School District",85.2,11.0,3.7,0.1
="Salem School District",64.0,29.6,6.2,0.2
="Salisbury School District",92.5,3.7,3.4,0.4
="Scotland School District",56.2,32.9,9.6,1.3
="Seymour School District",64.1,27.9,7.9,0.1
="Sharon School District",94.6,2.8,2.6,0.1
="Shelton School District",80.0,16.4,3.6,0.0
="Sherman School District",93.6,4.0,2.1,0.3
="Side By Side Charter School District",0.0,89.0,3.7,7.3
="Simsbury School District",85.9,9.9,4.0,0.2
="Somers School District",63.8,29.5,6.5,0.2
="South Windsor School District",74.3,20.6,4.7,0.4
="Southington School District",62.4,27.7,5.9,4.0
="Sprague School District",52.0,38.4,9.5,0.0
="Stafford School District",54.2,36.1,9.1,0.6
="Stamford Academy District",0.0,45.8,4.3,49.9
="Stamford School District",82.0,12.3,4.1,1.5
="Sterling School District",43.4,48.8,7.6,0.1
="Stonington School District",89.3,6.5,4.0,0.2
="Stratford School District",72.4,20.5,6.9,0.1
="Suffield School District",70.6,21.5,4.9,3.1
="The Bridge Academy District",0.0,82.3,11.2,6.4
="Thomaston School District",57.0,34.3,8.6,0.1
="Thompson School District",48.6,41.6,9.5,0.3
="Tolland School District",65.5,27.7,6.7,0.0
="Torrington School District",52.3,37.7,9.5,0.5
="Trailblazers Academy District",2.2,37.6,5.0,55.3
="Trumbull School District",88.1,7.1,3.1,1.7
="Union School District",48.8,47.7,3.5,0.1
="Vernon School District",52.8,37.4,8.9,0.9
="Voluntown School District",53.5,37.8,8.6,0.0
="Wallingford School District",56.4,35.7,6.3,1.6
="Waterbury School District",27.1,56.4,15.7,0.7
="Waterford School District",86.0,11.8,2.1,0.2
="Watertown School District",48.7,46.0,5.1,0.2
="West Hartford School District",81.2,13.2,5.2,0.4
="West Haven School District",43.8,43.1,12.8,0.3
="Westbrook School District",92.6,5.2,2.2,0.1
="Weston School District",94.6,3.3,1.7,0.5
="Westport School District",95.2,2.8,1.8,0.2
="Wethersfield School District",79.4,15.8,4.8,0.1
="Willington School District",62.2,27.6,10.2,0.0
="Wilton School District",94.5,3.6,1.5,0.3
="Winchester School District",52.6,37.0,10.0,0.4
="Windham School District",28.2,50.6,17.6,3.6
="Windsor Locks School District",78.3,16.0,5.4,0.3
="Windsor School District",74.8,18.9,6.0,0.3
="Wolcott School District",53.1,37.8,8.7,0.4
="Woodbridge School District",96.0,3.7,0.2,0.0
="Woodstock School District",59.2,31.7,8.7,0.4

