"Percentage of Revenue by Source (Excluding School Construction), 2010-11"
"All Districts"

"","_","_","_","_"
="Scotland School District",53.1,33.1,12.2,1.7
="Seymour School District",61.5,30.0,8.5,0.0
="Sharon School District",93.9,1.9,4.1,0.1
="Shelton School District",88.6,8.0,3.4,0.0
="Sherman School District",92.5,3.9,3.3,0.2
="Side By Side Charter School District",0.0,88.8,2.4,8.9
="Simsbury School District",86.4,9.7,3.6,0.3
="Somers School District",64.6,28.6,6.7,0.1
="South Windsor School District",75.6,18.9,5.0,0.5
="Southington School District",69.4,22.8,6.6,1.3
="Sprague School District",52.6,37.5,9.9,0.0
="Stafford School District",54.2,36.3,8.9,0.5
="Stamford Academy District",0.0,37.5,17.5,45.0
="Stamford School District",83.2,10.6,4.0,2.2
="Sterling School District",53.4,36.9,9.5,0.2
="Stonington School District",88.6,7.6,3.8,0.1
="Stratford School District",72.2,20.6,7.1,0.2
="Suffield School District",72.0,19.7,5.6,2.7
="The Bridge Academy District",0.0,87.2,12.1,0.7
="Thomaston School District",55.3,35.4,9.3,0.1
="Thompson School District",45.7,43.4,10.4,0.4
="Tolland School District",63.5,29.3,7.2,0.1
="Torrington School District",56.2,34.8,8.8,0.2
="Trailblazers Academy District",0.0,34.1,4.2,61.7
="Trumbull School District",90.0,4.5,3.5,2.0
="Union School District",81.3,13.9,4.8,0.0
="Vernon School District",58.2,31.7,9.3,0.8
="Voluntown School District",54.5,37.5,8.0,0.0
="Wallingford School District",69.6,22.8,6.0,1.6
="Waterbury School District",32.5,50.2,16.6,0.7
="Waterford School District",91.4,5.1,3.3,0.3
="Watertown School District",62.3,29.4,8.0,0.3
="West Hartford School District",81.2,12.9,5.5,0.4
="West Haven School District",43.7,43.9,12.1,0.3
="Westbrook School District",94.8,2.7,2.4,0.0
="Weston School District",94.7,2.9,2.0,0.4
="Westport School District",94.7,2.7,2.4,0.2
="Wethersfield School District",79.4,15.3,5.1,0.2
="Willington School District",62.8,27.6,9.5,0.0
="Wilton School District",93.9,3.7,2.0,0.3
="Winchester School District",55.1,36.6,8.1,0.2
="Windham School District",27.0,49.3,20.7,3.0
="Windsor Locks School District",78.3,15.9,5.2,0.5
="Windsor School District",74.8,18.4,6.5,0.3
="Wolcott School District",52.0,37.6,9.9,0.5
="Woodbridge School District",96.3,3.2,0.2,0.2
="Woodstock School District",60.0,30.4,9.0,0.7

