"District","District Code","School","School Code","Grade","Count","%"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,7,10.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,6,8.6
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,12,18.5
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","K","N/A","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",01,"N/A","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",02,"N/A","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"N/A","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",06,"N/A","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",03,"N/A","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",07,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",04,"N/A","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""",09,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",11,10,3.9
"Avon School District","=""0040011""","Avon High School","=""0046111""",12,11,4.0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",07,"*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","K","N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",01,"*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",02,"*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",03,"N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",04,"*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","K","N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",01,"*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",02,"N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",03,"*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",04,"N/A","N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,13,4.5
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",06,14,5.0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","K","N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",01,"N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",02,"N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",06,"N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",03,"*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",04,"N/A","N/A"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",09,25,9.8
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",10,35,13.6
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",11,46,17.8
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",12,30,12.2
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",06,16,6.4
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",07,16,6.9
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,25,10.0
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","K","N/A","N/A"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",01,"*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",02,"*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",03,"*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",04,"N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","K","N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",01,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",02,"N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",03,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",04,"*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","K","N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",01,"N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",02,"N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",03,"*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",04,"*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","K","N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",01,"N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",02,"N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,"N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",06,"*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",03,"N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",04,"*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","K","N/A","N/A"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",01,"N/A","N/A"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",02,"N/A","N/A"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",03,"N/A","N/A"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",09,32,13.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",10,16,6.8
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",11,30,12.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",12,56,21.4
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",06,8,3.3
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",07,37,17.3
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,34,14.0
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","K","N/A","N/A"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",01,"N/A","N/A"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",02,"*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",03,"*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",04,"N/A","N/A"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",08,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",09,35,23.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",10,52,27.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",11,33,22.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",12,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,28,16.8
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",06,18,14.6
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",07,39,25.0
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,27,17.1
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","K","N/A","N/A"
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",01,"*","*"
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",02,7,13.5
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",03,10,15.9
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",04,"*","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","K","*","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",01,"*","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",02,"*","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",03,"*","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",04,14,20.3
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","K","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",01,"*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",02,"*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",03,"*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",04,"*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",09,"*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",10,"*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",11,"*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",12,"N/A","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","K","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","K","N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",01,"N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",02,"N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",05,"N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",06,"*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",03,"N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",07,7,10.1
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",08,"*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",04,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",09,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",10,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",11,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",12,"*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","K","N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",01,"N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",02,"N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",05,"N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",06,"N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",03,"N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",07,"N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",08,"*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",04,"N/A","N/A"
"Branford School District","=""0140011""","Branford High School","=""0146111""",09,14,5.2
"Branford School District","=""0140011""","Branford High School","=""0146111""",10,52,20.6
"Branford School District","=""0140011""","Branford High School","=""0146111""",11,32,11.7
"Branford School District","=""0140011""","Branford High School","=""0146111""",12,43,14.1
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",05,"*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",06,30,11.2
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",07,18,7.0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",08,44,14.2
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",09,"*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","K","N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",01,"*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",02,"N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",03,"N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",04,"N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","K","N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",01,"N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",02,"N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",03,"N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",04,"N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","K","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",01,"N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",02,"*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",03,"N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",04,"N/A","N/A"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",05,8,10.8
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",06,15,19.5
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",07,9,12.7
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","K","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",01,10,12.5
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",02,7,10.9
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",05,10,14.3
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",06,21,36.8
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",03,"*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",07,21,38.9
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",08,17,31.5
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",04,10,14.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",09,141,42.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",10,115,33.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",11,59,21.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",12,22,10.2
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","K","N/A","N/A"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",01,6,12.5
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",02,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",05,11,21.6
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",06,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",03,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",04,13,28.3
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","K","N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",01,"N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",02,"N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",05,"N/A","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",06,"N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",03,"N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",04,"N/A","N/A"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","K","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",01,"*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",02,"*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",05,23,23.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",06,16,17.4
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",03,10,11.9
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",07,66,40.7
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",08,89,41.8
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",04,8,7.5
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","K","N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",01,"N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",02,"N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",05,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",06,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",03,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",07,"N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",08,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",09,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",10,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",11,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",12,"N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",04,"*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","K","N/A","N/A"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",01,"*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",02,"N/A","N/A"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",05,"*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",06,6,15.8
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",03,"*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",04,"N/A","N/A"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",09,178,31.1
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",10,176,29.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",11,164,28.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",12,105,21.9
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","K","N/A","N/A"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",01,"*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",02,"N/A","N/A"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",05,"*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",06,14,10.7
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",03,"*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",07,12,16.9
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",08,28,28.3
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",04,6,4.5
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","K","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",01,"N/A","N/A"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",02,"*","*"
