"District","District Code","School","School Code","Grade","Count","%"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,28,11.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,43,18.4
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,58,24.7
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","K","N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",01,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",02,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",04,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",05,"N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",06,"N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",07,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",08,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",12,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",09,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",10,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",12,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",09,20,66.7
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",10,13,61.9
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,15,62.5
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",12,14,40.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",09,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",10,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",11,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",12,"*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","K","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",01,"*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",02,"*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,6,8.1
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,9,12.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,8,10.7
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,9,14.1
"Ashford School District","=""0030011""","Ashford School","=""0030111""","K","N/A","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",01,"N/A","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",02,"N/A","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",03,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",04,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",06,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",07,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",09,6,2.2
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,10,4.0
"Avon School District","=""0040011""","Avon High School","=""0046111""",11,10,4.0
"Avon School District","=""0040011""","Avon High School","=""0046111""",12,10,3.6
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",07,6,2.2
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,20,6.4
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","K","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",01,"N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",02,"*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",03,"N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",04,"N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","K","N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",01,"*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",02,"N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",03,"N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",04,"N/A","N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"N/A","N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",06,"*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","K","N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",01,"N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",02,"N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",03,"*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",04,"N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",06,"N/A","N/A"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",09,9,3.8
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",10,21,8.6
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",11,14,6.7
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",12,14,5.8
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",06,14,6.6
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",07,9,3.7
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,15,6.3
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","K","N/A","N/A"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",01,"N/A","N/A"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",02,"N/A","N/A"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",03,"N/A","N/A"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",04,"*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","K","N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",01,"N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",02,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",03,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",04,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","K","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",01,"N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",02,"*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",03,"*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",04,"N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","K","N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",01,"N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",02,"*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",03,"N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",04,"N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,"N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",06,"*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","K","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",01,"N/A","N/A"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",02,"*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",03,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",09,34,15.8
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",10,29,11.5
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",11,47,21.1
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",12,27,11.0
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",06,9,4.3
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",07,28,11.6
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,22,9.9
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","K","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",01,"N/A","N/A"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",02,"*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",03,"N/A","N/A"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",04,"N/A","N/A"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"N/A","N/A"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",09,42,25.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",10,22,18.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",11,23,16.2
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",12,12,9.4
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,23,19.5
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",06,24,23.5
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",07,23,21.3
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,37,33.6
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",06,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",07,7,21.2
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",08,13,38.2
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",09,10,34.5
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",10,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",11,10,34.5
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",12,9,33.3
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","K","*","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",01,10,7.2
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",02,"*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",09,"N/A","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",10,"N/A","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",11,"N/A","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",12,"N/A","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",03,"*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",04,"*","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","K","N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","K","N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",01,"N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",02,"N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",03,"*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",04,"N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",05,"*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",06,"*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",07,"*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",08,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",09,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",10,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",11,7,8.9
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",12,9,9.2
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","K","N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",01,"N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",02,"*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",03,"*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",04,"*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",05,"N/A","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",06,"*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",07,"N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",08,"N/A","N/A"
"Branford School District","=""0140011""","Branford High School","=""0146111""",09,24,9.2
"Branford School District","=""0140011""","Branford High School","=""0146111""",10,31,12.2
"Branford School District","=""0140011""","Branford High School","=""0146111""",11,36,15.0
"Branford School District","=""0140011""","Branford High School","=""0146111""",12,63,21.1
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",05,6,2.8
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",06,10,4.0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",07,11,4.8
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",08,15,6.1
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","K","N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",01,"N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",02,"N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",03,"N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",04,"N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","K","N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",01,"N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",02,"N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",03,"N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",04,"N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","K","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",01,"N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",02,"*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",03,"N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",04,"N/A","N/A"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","K","N/A","N/A"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",01,"N/A","N/A"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","K",8,9.1
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",01,11,12.1
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",02,9,9.3
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",03,8,8.9
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",05,40,41.2
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",06,36,40.0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",07,41,48.2
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",08,28,42.4
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",09,23,50.0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",10,21,55.3
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",11,18,54.5
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",09,29,18.1
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",10,12,16.7
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","K","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",01,11,12.8
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",02,11,14.3
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",03,"*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",04,14,23.3
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",05,13,23.2
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",06,14,22.6
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",07,17,35.4
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",08,19,33.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",09,193,51.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",10,85,31.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",11,52,24.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",12,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Not Available","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","K","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",01,6,11.3
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",02,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",03,6,13.6
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",04,16,31.4
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",05,6,12.8
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",06,10,29.4
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",09,12,8.3
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",10,6,8.1
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","K","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",01,"N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",02,"N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",03,"N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",04,"N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",05,"*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",06,"N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",07,"N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",08,"N/A","N/A"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","K","N/A","N/A"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",01,"*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",02,"*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",03,"*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",04,8,7.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",05,14,12.4
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",06,"*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",07,27,20.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",08,26,14.1
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",09,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","K","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",01,"N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",02,"N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",03,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",04,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",05,"N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",06,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",07,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",08,"N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",09,"*","*"
