"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Milford School District","=""0840011""",74.7,91.0
"Monroe School District","=""0850011""",83.5,93.5
"Montville School District","=""0860011""",68.8,78.3
"Naugatuck School District","=""0880011""",63.8,80.8
"New Britain School District","=""0890011""",56.3,81.0
"New Canaan School District","=""0900011""",85.0,95.8
"New Fairfield School District","=""0910011""",79.0,91.9
"New Haven School District","=""0930011""",60.4,76.3
"Newington School District","=""0940011""",75.7,89.9
"New London School District","=""0950011""",40.7,69.1
"New Milford School District","=""0960011""",75.2,93.3
"Newtown School District","=""0970011""",80.4,94.3
"North Branford School District","=""0990011""",79.8,90.8
"North Haven School District","=""1010011""",81.5,91.1
"North Stonington School District","=""1020011""",85.5,88.7
"Norwalk School District","=""1030011""",76.2,87.3
"Norwich School District","=""1040011""",*,*
"Old Saybrook School District","=""1060011""",77.6,93.3
"Plainfield School District","=""1090011""",53.4,77.9
"Plainville School District","=""1100011""",71.6,88.8
"Plymouth School District","=""1110011""",50.0,80.3
"Portland School District","=""1130011""",81.5,92.4
"Putnam School District","=""1160011""",64.2,77.0
"Ridgefield School District","=""1180011""",86.2,96.4
"Rocky Hill School District","=""1190011""",79.8,90.8
"Seymour School District","=""1240011""",72.1,88.3
"Shelton School District","=""1260011""",78.9,89.9
"Simsbury School District","=""1280011""",83.7,92.8
"Somers School District","=""1290011""",91.2,96.5
"Southington School District","=""1310011""",75.6,90.6
"South Windsor School District","=""1320011""",80.7,92.8
"Stafford School District","=""1340011""",68.4,78.5
"Stamford School District","=""1350011""",70.8,89.5
"Stonington School District","=""1370011""",70.3,88.3
"Stratford School District","=""1380011""",73.4,90.3
"Suffield School District","=""1390011""",80.7,90.3
"Thomaston School District","=""1400011""",64.9,88.9
"Thompson School District","=""1410011""",77.3,80.9
"Tolland School District","=""1420011""",82.6,96.1
"Torrington School District","=""1430011""",63.1,89.0
"Trumbull School District","=""1440011""",83.6,91.4
"Vernon School District","=""1460011""",75.3,88.5
"Wallingford School District","=""1480011""",78.2,90.9
"Waterbury School District","=""1510011""",54.6,80.8
"Waterford School District","=""1520011""",76.7,89.5
"Watertown School District","=""1530011""",70.4,89.5
"Westbrook School District","=""1540011""",69.3,86.9
"West Hartford School District","=""1550011""",80.8,94.6
"West Haven School District","=""1560011""",65.3,82.3
"Weston School District","=""1570011""",89.1,98.2
"Westport School District","=""1580011""",86.6,95.5
"Wethersfield School District","=""1590011""",80.5,92.1
"Wilton School District","=""1610011""",89.4,96.3
"Winchester School District","=""1620011""",*,*
"Windham School District","=""1630011""",61.0,79.3
"Windsor School District","=""1640011""",77.5,85.9
"Windsor Locks School District","=""1650011""",60.3,83.5
"Wolcott School District","=""1660011""",67.6,86.1
"Regional School District 01","=""2010012""",66.1,95.2
"Regional School District 04","=""2040012""",70.1,93.6
"Regional School District 05","=""2050012""",87.0,95.6
"Regional School District 06","=""2060012""",69.3,85.2
"Regional School District 07","=""2070012""",80.2,90.6
"Regional School District 08","=""2080012""",76.8,89.5
"Regional School District 09","=""2090012""",87.7,95.3
"Regional School District 10","=""2100012""",79.3,89.6
"Regional School District 11","=""2110012""",51.4,*
"Regional School District 12","=""2120012""",84.0,83.3
"Regional School District 13","=""2130012""",84.1,87.7
"Regional School District 14","=""2140012""",77.2,93.5
"Regional School District 15","=""2150012""",86.4,94.5
"Regional School District 16","=""2160012""",76.1,92.0
"Regional School District 17","=""2170012""",79.0,91.4
"Regional School District 18","=""2180012""",84.3,94.4
"Regional School District 19","=""2190012""",72.9,91.4
"Capitol Region Education Council","=""2410014""",70.4,88.9
"Education Connection","=""2420014""",*,*
"Area Cooperative Educational Services","=""2440014""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",*,*
"Common Ground High School District","=""2680013""",*,*
"The Bridge Academy District","=""2690013""",68.2,*
"Explorations District","=""2720013""",*,*
"Stamford Academy District","=""2820013""",22.9,*
"Unified School District #1","=""3360015""",*,*
"Department of Mental Health and Addiction Services","=""3370015""",*,*
"Unified School District #2","=""3470015""",*,*
"Connecticut Technical High School System","=""9000016""",35.0,76.3
"Norwich Free Academy District","=""9010022""",73.7,86.8
"The Gilbert School District","=""9020022""",78.4,88.4
"Woodstock Academy District","=""9030022""",75.8,88.5

