"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ledyard School District","=""0720011""",67.7,89.3
"Litchfield School District","=""0740011""",73.3,90.9
"Madison School District","=""0760011""",83.7,97.7
"Manchester School District","=""0770011""",66.6,84.5
"Meriden School District","=""0800011""",38.6,84.9
"Middletown School District","=""0830011""",74.1,88.4
"Milford School District","=""0840011""",68.5,90.5
"Monroe School District","=""0850011""",82.7,92.2
"Montville School District","=""0860011""",63.6,78.2
"Naugatuck School District","=""0880011""",63.3,90.7
"New Britain School District","=""0890011""",57.1,81.4
"New Canaan School District","=""0900011""",81.8,96.1
"New Fairfield School District","=""0910011""",79.5,94.0
"New Haven School District","=""0930011""",52.0,77.3
"Newington School District","=""0940011""",79.3,90.4
"New London School District","=""0950011""",42.7,75.4
"New Milford School District","=""0960011""",71.9,90.0
"Newtown School District","=""0970011""",76.6,92.4
"North Branford School District","=""0990011""",78.8,93.3
"North Haven School District","=""1010011""",80.9,93.3
"North Stonington School District","=""1020011""",60.0,90.9
"Norwalk School District","=""1030011""",51.7,90.0
"Norwich School District","=""1040011""",*,*
"Old Saybrook School District","=""1060011""",68.0,97.0
"Oxford School District","=""1080011""",*,*
"Plainfield School District","=""1090011""",54.3,78.7
"Plainville School District","=""1100011""",34.6,82.0
"Plymouth School District","=""1110011""",68.6,88.3
"Portland School District","=""1130011""",79.5,94.3
"Preston School District","=""1140011""",*,*
"Putnam School District","=""1160011""",75.3,76.6
"Ridgefield School District","=""1180011""",85.6,96.5
"Rocky Hill School District","=""1190011""",83.6,92.0
"Seymour School District","=""1240011""",71.8,88.5
"Shelton School District","=""1260011""",76.2,94.2
"Simsbury School District","=""1280011""",82.7,93.6
"Somers School District","=""1290011""",86.2,93.8
"Southington School District","=""1310011""",78.8,90.6
"South Windsor School District","=""1320011""",81.2,91.4
"Stafford School District","=""1340011""",75.4,84.8
"Stamford School District","=""1350011""",66.7,89.4
"Stonington School District","=""1370011""",67.6,84.0
"Stratford School District","=""1380011""",71.5,88.3
"Suffield School District","=""1390011""",80.8,93.2
"Thomaston School District","=""1400011""",75.0,87.3
"Thompson School District","=""1410011""",57.1,84.4
"Tolland School District","=""1420011""",73.9,89.0
"Torrington School District","=""1430011""",64.8,90.5
"Trumbull School District","=""1440011""",78.7,93.2
"Vernon School District","=""1460011""",38.2,90.0
"Wallingford School District","=""1480011""",71.7,87.8
"Waterbury School District","=""1510011""",51.8,79.9
"Waterford School District","=""1520011""",74.2,85.1
"Watertown School District","=""1530011""",73.3,93.5
"Westbrook School District","=""1540011""",81.3,96.2
"West Hartford School District","=""1550011""",78.9,91.9
"West Haven School District","=""1560011""",59.3,84.5
"Weston School District","=""1570011""",81.1,97.1
"Westport School District","=""1580011""",85.1,95.6
"Wethersfield School District","=""1590011""",80.7,92.2
"Wilton School District","=""1610011""",87.3,95.8
"Winchester School District","=""1620011""",*,*
"Windham School District","=""1630011""",60.0,81.6
"Windsor School District","=""1640011""",77.8,87.4
"Windsor Locks School District","=""1650011""",66.4,81.1
"Wolcott School District","=""1660011""",72.0,86.8
"Regional School District 01","=""2010012""",57.0,88.3
"Regional School District 04","=""2040012""",81.5,90.1
"Regional School District 05","=""2050012""",80.7,96.4
"Regional School District 06","=""2060012""",68.3,87.5
"Regional School District 07","=""2070012""",76.1,91.6
"Regional School District 08","=""2080012""",39.3,92.4
"Regional School District 09","=""2090012""",81.3,95.7
"Regional School District 10","=""2100012""",78.3,94.2
"Regional School District 11","=""2110012""",65.4,76.5
"Regional School District 12","=""2120012""",76.6,90.3
"Regional School District 13","=""2130012""",80.7,92.7
"Regional School District 14","=""2140012""",73.0,91.5
"Regional School District 15","=""2150012""",82.2,93.2
"Regional School District 16","=""2160012""",78.8,94.5
"Regional School District 17","=""2170012""",77.5,91.8
"Regional School District 18","=""2180012""",83.2,97.9
"Regional School District 19","=""2190012""",67.4,89.6
"Capitol Region Education Council","=""2410014""",*,*
"Education Connection","=""2420014""",*,*
"Area Cooperative Educational Services","=""2440014""",17.1,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",*,*
"Common Ground High School District","=""2680013""",*,*
"The Bridge Academy District","=""2690013""",66.7,85.0
"Explorations District","=""2720013""",62.5,*
"Stamford Academy District","=""2820013""",32.0,*
"Unified School District #2","=""3470015""",*,*
"Connecticut Technical High School System","=""9000016""",32.6,71.8
"Norwich Free Academy District","=""9010022""",71.0,83.1
"The Gilbert School District","=""9020022""",69.5,90.2
"Woodstock Academy District","=""9030022""",75.5,88.7

