"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Hamden School District","=""0620011""",73.0,86.8
"Hartford School District","=""0640011""",58.0,73.2
"Killingly School District","=""0690011""",63.7,82.5
"Lebanon School District","=""0710011""",72.8,89.6
"Ledyard School District","=""0720011""",75.6,88.8
"Litchfield School District","=""0740011""",85.9,89.1
"Madison School District","=""0760011""",88.2,96.4
"Manchester School District","=""0770011""",56.4,80.4
"Meriden School District","=""0800011""",60.1,82.2
"Middletown School District","=""0830011""",70.0,88.6
"Milford School District","=""0840011""",73.7,92.4
"Monroe School District","=""0850011""",82.7,92.6
"Montville School District","=""0860011""",61.2,87.2
"Naugatuck School District","=""0880011""",63.3,88.5
"New Britain School District","=""0890011""",60.5,78.8
"New Canaan School District","=""0900011""",87.8,94.9
"New Fairfield School District","=""0910011""",84.2,94.4
"New Haven School District","=""0930011""",66.3,75.2
"Newington School District","=""0940011""",80.7,91.8
"New London School District","=""0950011""",57.8,73.1
"New Milford School District","=""0960011""",77.3,93.4
"Newtown School District","=""0970011""",85.3,95.2
"North Branford School District","=""0990011""",71.6,87.1
"North Haven School District","=""1010011""",78.8,91.3
"North Stonington School District","=""1020011""",66.1,75.7
"Norwalk School District","=""1030011""",75.4,85.2
"Norwich School District","=""1040011""",*,*
"Old Saybrook School District","=""1060011""",81.3,92.3
"Oxford School District","=""1080011""",83.3,91.4
"Plainfield School District","=""1090011""",67.1,75.5
"Plainville School District","=""1100011""",76.3,85.2
"Plymouth School District","=""1110011""",74.8,87.4
"Portland School District","=""1130011""",82.5,87.1
"Putnam School District","=""1160011""",38.2,76.9
"Ridgefield School District","=""1180011""",88.5,97.0
"Rocky Hill School District","=""1190011""",78.0,91.3
"Seymour School District","=""1240011""",76.0,90.5
"Shelton School District","=""1260011""",76.4,91.7
"Simsbury School District","=""1280011""",86.8,96.1
"Somers School District","=""1290011""",81.4,98.1
"Southington School District","=""1310011""",78.4,89.6
"South Windsor School District","=""1320011""",86.1,92.7
"Stafford School District","=""1340011""",60.6,81.9
"Stamford School District","=""1350011""",75.5,87.8
"Stonington School District","=""1370011""",73.4,95.2
"Stratford School District","=""1380011""",73.6,88.4
"Suffield School District","=""1390011""",82.6,96.5
"Thomaston School District","=""1400011""",80.0,85.7
"Thompson School District","=""1410011""",60.0,81.3
"Tolland School District","=""1420011""",88.4,90.6
"Torrington School District","=""1430011""",62.7,82.2
"Trumbull School District","=""1440011""",87.0,93.4
"Vernon School District","=""1460011""",67.2,88.2
"Wallingford School District","=""1480011""",69.7,90.1
"Waterbury School District","=""1510011""",57.8,74.8
"Waterford School District","=""1520011""",82.6,93.6
"Watertown School District","=""1530011""",76.7,92.9
"Westbrook School District","=""1540011""",80.3,84.2
"West Hartford School District","=""1550011""",83.1,91.5
"West Haven School District","=""1560011""",63.9,87.9
"Weston School District","=""1570011""",90.9,96.9
"Westport School District","=""1580011""",90.8,96.5
"Wethersfield School District","=""1590011""",81.4,93.6
"Wilton School District","=""1610011""",87.7,96.9
"Windham School District","=""1630011""",53.6,75.7
"Windsor School District","=""1640011""",76.9,83.7
"Windsor Locks School District","=""1650011""",69.3,83.0
"Wolcott School District","=""1660011""",76.9,89.1
"Regional School District 01","=""2010012""",66.7,87.5
"Regional School District 04","=""2040012""",77.3,93.1
"Regional School District 05","=""2050012""",86.5,95.5
"Regional School District 06","=""2060012""",79.1,88.2
"Regional School District 07","=""2070012""",73.6,86.9
"Regional School District 08","=""2080012""",81.6,95.2
"Regional School District 09","=""2090012""",86.1,95.7
"Regional School District 10","=""2100012""",81.1,93.0
"Regional School District 11","=""2110012""",73.5,84.0
"Regional School District 12","=""2120012""",67.1,92.5
"Regional School District 13","=""2130012""",83.7,95.4
"Regional School District 14","=""2140012""",81.3,91.7
"Regional School District 15","=""2150012""",82.6,91.1
"Regional School District 16","=""2160012""",75.9,89.4
"Regional School District 17","=""2170012""",84.7,90.6
"Regional School District 18","=""2180012""",91.5,92.8
"Regional School District 19","=""2190012""",69.7,88.8
"Capitol Region Education Council","=""2410014""",78.5,80.7
"Education Connection","=""2420014""",*,*
"Cooperative Educational Services","=""2430014""",*,*
"Area Cooperative Educational Services","=""2440014""",*,*
"Learn","=""2450014""",70.8,78.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",50.8,71.9
"Common Ground High School District","=""2680013""",65.5,*
"The Bridge Academy District","=""2690013""",87.5,82.1
"Explorations District","=""2720013""",*,*
"Amistad Academy District","=""2790013""",69.6,*
"Stamford Academy District","=""2820013""",24.0,*
"Elm City College Preparatory School District","=""2890013""",*,*
"Unified School District #1","=""3360015""",*,*
"Department of Mental Health and Addiction Services","=""3370015""",*,*
"Unified School District #2","=""3470015""",*,*
"Connecticut Technical High School System","=""9000016""",47.0,75.5
"Norwich Free Academy District","=""9010022""",70.2,88.1
"The Gilbert School District","=""9020022""",66.2,76.5
"Woodstock Academy District","=""9030022""",77.4,90.7

