"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"East Lyme School District","=""0450011""","Male",82.0,90.5
"East Windsor School District","=""0470011""","Female",66.0,87.9
"East Windsor School District","=""0470011""","Male",60.0,83.3
"Ellington School District","=""0480011""","Female",81.9,87.0
"Ellington School District","=""0480011""","Male",62.2,86.9
"Enfield School District","=""0490011""","Female",76.1,81.8
"Enfield School District","=""0490011""","Male",64.2,80.2
"Fairfield School District","=""0510011""","Female",85.9,95.6
"Fairfield School District","=""0510011""","Male",78.5,94.2
"Farmington School District","=""0520011""","Female",89.8,89.4
"Farmington School District","=""0520011""","Male",82.0,93.5
"Glastonbury School District","=""0540011""","Female",86.3,95.4
"Glastonbury School District","=""0540011""","Male",83.6,94.7
"Granby School District","=""0560011""","Female",92.2,96.8
"Granby School District","=""0560011""","Male",81.4,97.5
"Greenwich School District","=""0570011""","Female",83.5,90.8
"Greenwich School District","=""0570011""","Male",79.6,89.4
"Griswold School District","=""0580011""","Female",77.2,82.0
"Griswold School District","=""0580011""","Male",47.1,65.6
"Groton School District","=""0590011""","Female",73.2,83.2
"Groton School District","=""0590011""","Male",52.2,69.4
"Guilford School District","=""0600011""","Female",90.8,96.1
"Guilford School District","=""0600011""","Male",82.0,92.4
"Hamden School District","=""0620011""","Female",78.2,93.8
"Hamden School District","=""0620011""","Male",68.4,79.5
"Hartford School District","=""0640011""","Female",61.0,76.0
"Hartford School District","=""0640011""","Male",54.9,69.9
"Killingly School District","=""0690011""","Female",67.3,83.3
"Killingly School District","=""0690011""","Male",59.3,81.3
"Lebanon School District","=""0710011""","Female",78.0,89.1
"Lebanon School District","=""0710011""","Male",63.6,90.5
"Ledyard School District","=""0720011""","Female",81.9,88.4
"Ledyard School District","=""0720011""","Male",68.8,89.3
"Litchfield School District","=""0740011""","Female",84.8,96.4
"Litchfield School District","=""0740011""","Male",87.1,81.5
"Madison School District","=""0760011""","Female",91.4,98.0
"Madison School District","=""0760011""","Male",84.8,94.5
"Manchester School District","=""0770011""","Female",66.0,82.8
"Manchester School District","=""0770011""","Male",46.8,77.1
"Meriden School District","=""0800011""","Female",71.7,83.1
"Meriden School District","=""0800011""","Male",49.2,80.8
"Middletown School District","=""0830011""","Female",74.5,90.8
"Middletown School District","=""0830011""","Male",64.7,85.6
"Milford School District","=""0840011""","Female",82.8,96.1
"Milford School District","=""0840011""","Male",64.5,87.7
"Monroe School District","=""0850011""","Female",87.9,95.4
"Monroe School District","=""0850011""","Male",77.2,89.3
"Montville School District","=""0860011""","Female",70.5,83.6
"Montville School District","=""0860011""","Male",50.6,92.9
"Naugatuck School District","=""0880011""","Female",71.8,88.8
"Naugatuck School District","=""0880011""","Male",54.3,88.2
"New Britain School District","=""0890011""","Female",67.5,84.4
"New Britain School District","=""0890011""","Male",53.3,71.7
"New Canaan School District","=""0900011""","Female",88.8,96.0
"New Canaan School District","=""0900011""","Male",86.5,93.4
"New Fairfield School District","=""0910011""","Female",86.6,96.9
"New Fairfield School District","=""0910011""","Male",82.0,92.0
"New Haven School District","=""0930011""","Female",70.9,78.4
"New Haven School District","=""0930011""","Male",60.8,70.8
"Newington School District","=""0940011""","Female",84.2,91.6
"Newington School District","=""0940011""","Male",76.7,92.0
"New London School District","=""0950011""","Female",67.5,73.2
"New London School District","=""0950011""","Male",49.5,72.9
"New Milford School District","=""0960011""","Female",77.0,95.1
"New Milford School District","=""0960011""","Male",77.7,91.5
"Newtown School District","=""0970011""","Female",87.6,94.9
"Newtown School District","=""0970011""","Male",83.3,95.5
"North Branford School District","=""0990011""","Female",82.8,90.6
"North Branford School District","=""0990011""","Male",62.3,83.3
"North Haven School District","=""1010011""","Female",78.7,96.4
"North Haven School District","=""1010011""","Male",78.9,86.7
"North Stonington School District","=""1020011""","Female",70.8,*
"North Stonington School District","=""1020011""","Male",62.5,70.0
"Norwalk School District","=""1030011""","Female",79.9,86.8
"Norwalk School District","=""1030011""","Male",70.8,83.4
"Norwich School District","=""1040011""","Female",*,*
"Norwich School District","=""1040011""","Male",*,*
"Old Saybrook School District","=""1060011""","Female",83.3,94.0
"Old Saybrook School District","=""1060011""","Male",79.4,90.7
"Oxford School District","=""1080011""","Female",87.2,90.7
"Oxford School District","=""1080011""","Male",79.3,92.3
"Plainfield School District","=""1090011""","Female",73.5,78.7
"Plainfield School District","=""1090011""","Male",59.4,70.7
"Plainville School District","=""1100011""","Female",85.5,87.3
"Plainville School District","=""1100011""","Male",66.2,82.4
"Plymouth School District","=""1110011""","Female",81.8,88.9
"Plymouth School District","=""1110011""","Male",69.4,86.0
"Portland School District","=""1130011""","Female",93.3,85.7
"Portland School District","=""1130011""","Male",74.1,88.4
"Putnam School District","=""1160011""","Female",48.1,*
"Putnam School District","=""1160011""","Male",31.7,*
"Ridgefield School District","=""1180011""","Female",91.6,98.6
"Ridgefield School District","=""1180011""","Male",85.5,95.4
"Rocky Hill School District","=""1190011""","Female",78.1,96.0
"Rocky Hill School District","=""1190011""","Male",77.8,85.7
"Seymour School District","=""1240011""","Female",83.1,94.4
"Seymour School District","=""1240011""","Male",68.3,85.4
"Shelton School District","=""1260011""","Female",80.0,95.3
"Shelton School District","=""1260011""","Male",72.4,87.3
"Simsbury School District","=""1280011""","Female",90.7,97.0
"Simsbury School District","=""1280011""","Male",83.2,95.1
"Somers School District","=""1290011""","Female",82.4,100.0
"Somers School District","=""1290011""","Male",80.0,95.5
"Southington School District","=""1310011""","Female",82.9,90.4
"Southington School District","=""1310011""","Male",73.6,88.8
"South Windsor School District","=""1320011""","Female",86.4,92.1
"South Windsor School District","=""1320011""","Male",85.9,93.2
"Stafford School District","=""1340011""","Female",69.7,89.1
"Stafford School District","=""1340011""","Male",52.1,73.0
"Stamford School District","=""1350011""","Female",79.1,88.9
"Stamford School District","=""1350011""","Male",72.0,86.7
"Stonington School District","=""1370011""","Female",73.1,95.6
"Stonington School District","=""1370011""","Male",73.7,94.6
"Stratford School District","=""1380011""","Female",78.1,91.1
"Stratford School District","=""1380011""","Male",69.7,85.8
"Suffield School District","=""1390011""","Female",85.1,96.9
"Suffield School District","=""1390011""","Male",79.6,95.9
"Thomaston School District","=""1400011""","Female",84.2,87.5
"Thomaston School District","=""1400011""","Male",75.0,83.3
"Thompson School District","=""1410011""","Female",73.8,87.1
"Thompson School District","=""1410011""","Male",44.7,*
"Tolland School District","=""1420011""","Female",91.7,93.0
"Tolland School District","=""1420011""","Male",85.0,87.9
"Torrington School District","=""1430011""","Female",68.5,89.5
"Torrington School District","=""1430011""","Male",57.4,74.3
"Trumbull School District","=""1440011""","Female",89.7,95.7
"Trumbull School District","=""1440011""","Male",84.0,90.7
"Vernon School District","=""1460011""","Female",74.0,89.0
"Vernon School District","=""1460011""","Male",60.8,87.3
"Wallingford School District","=""1480011""","Female",75.8,89.5
"Wallingford School District","=""1480011""","Male",62.4,91.0
"Waterbury School District","=""1510011""","Female",63.5,80.5
"Waterbury School District","=""1510011""","Male",52.3,68.1
"Waterford School District","=""1520011""","Female",84.3,94.7
"Waterford School District","=""1520011""","Male",81.2,92.7
"Watertown School District","=""1530011""","Female",85.8,94.2
"Watertown School District","=""1530011""","Male",65.7,90.8
"Westbrook School District","=""1540011""","Female",97.4,83.8
"Westbrook School District","=""1540011""","Male",60.6,85.0
"West Hartford School District","=""1550011""","Female",85.5,92.5
"West Hartford School District","=""1550011""","Male",81.0,90.5
"West Haven School District","=""1560011""","Female",71.3,89.1
"West Haven School District","=""1560011""","Male",56.1,86.4
"Weston School District","=""1570011""","Female",96.5,100.0
"Weston School District","=""1570011""","Male",85.6,93.5
"Westport School District","=""1580011""","Female",90.9,96.8
"Westport School District","=""1580011""","Male",90.6,96.2
"Wethersfield School District","=""1590011""","Female",85.9,94.5
"Wethersfield School District","=""1590011""","Male",77.8,92.9
"Wilton School District","=""1610011""","Female",90.3,96.9
"Wilton School District","=""1610011""","Male",85.2,96.9
"Windham School District","=""1630011""","Female",65.2,80.0
"Windham School District","=""1630011""","Male",42.0,69.0
"Windsor School District","=""1640011""","Female",82.9,86.2
"Windsor School District","=""1640011""","Male",71.6,81.1
"Windsor Locks School District","=""1650011""","Female",77.8,89.8
"Windsor Locks School District","=""1650011""","Male",60.9,74.4
"Wolcott School District","=""1660011""","Female",82.8,92.1
"Wolcott School District","=""1660011""","Male",70.7,85.4
"Regional School District 01","=""2010012""","Female",82.5,87.2
"Regional School District 01","=""2010012""","Male",49.0,88.0
"Regional School District 04","=""2040012""","Female",81.9,98.3
"Regional School District 04","=""2040012""","Male",71.7,86.0
"Regional School District 05","=""2050012""","Female",91.9,97.7
"Regional School District 05","=""2050012""","Male",81.9,93.4
"Regional School District 06","=""2060012""","Female",85.7,86.1
"Regional School District 06","=""2060012""","Male",72.7,90.6
"Regional School District 07","=""2070012""","Female",76.1,91.6
"Regional School District 07","=""2070012""","Male",70.5,80.6
"Regional School District 08","=""2080012""","Female",84.3,93.2
"Regional School District 08","=""2080012""","Male",78.9,97.3
"Regional School District 09","=""2090012""","Female",87.9,97.4
"Regional School District 09","=""2090012""","Male",83.9,93.6
"Regional School District 10","=""2100012""","Female",87.4,94.8
"Regional School District 10","=""2100012""","Male",74.3,90.7
"Regional School District 11","=""2110012""","Female",*,*
"Regional School District 11","=""2110012""","Male",*,*
"Regional School District 12","=""2120012""","Female",79.5,93.5
"Regional School District 12","=""2120012""","Male",55.0,90.9
"Regional School District 13","=""2130012""","Female",90.0,96.8
"Regional School District 13","=""2130012""","Male",76.3,93.3
"Regional School District 14","=""2140012""","Female",87.9,92.7
"Regional School District 14","=""2140012""","Male",71.4,90.0
"Regional School District 15","=""2150012""","Female",86.5,90.6
"Regional School District 15","=""2150012""","Male",79.4,91.6
"Regional School District 16","=""2160012""","Female",83.2,91.1
"Regional School District 16","=""2160012""","Male",67.1,86.8
"Regional School District 17","=""2170012""","Female",90.3,92.3
"Regional School District 17","=""2170012""","Male",79.5,88.7
"Regional School District 18","=""2180012""","Female",90.6,97.9
"Regional School District 18","=""2180012""","Male",92.5,87.8
"Regional School District 19","=""2190012""","Female",76.5,89.7
"Regional School District 19","=""2190012""","Male",62.4,87.5
"Capitol Region Education Council","=""2410014""","Female",81.2,82.8
"Capitol Region Education Council","=""2410014""","Male",74.4,77.0
"Education Connection","=""2420014""","Female",*,*
"Cooperative Educational Services","=""2430014""","Female",*,*
"Cooperative Educational Services","=""2430014""","Male",*,*
"Area Cooperative Educational Services","=""2440014""","Female",*,*
"Area Cooperative Educational Services","=""2440014""","Male",*,*
"Learn","=""2450014""","Female",70.7,77.6
"Learn","=""2450014""","Male",71.0,79.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",70.0,76.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",33.3,*
"Common Ground High School District","=""2680013""","Female",*,*
"Common Ground High School District","=""2680013""","Male",*,*
"The Bridge Academy District","=""2690013""","Female",86.4,*
"The Bridge Academy District","=""2690013""","Male",*,*
"Explorations District","=""2720013""","Female",*,*
"Explorations District","=""2720013""","Male",*,*
"Amistad Academy District","=""2790013""","Female",*,*
"Amistad Academy District","=""2790013""","Male",*,*
"Stamford Academy District","=""2820013""","Female",*,*
"Stamford Academy District","=""2820013""","Male",*,*
"Elm City College Preparatory School District","=""2890013""","Female",*,*
"Elm City College Preparatory School District","=""2890013""","Male",*,*
"Unified School District #1","=""3360015""","Male",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Male",*,*
"Unified School District #2","=""3470015""","Female",*,*
"Unified School District #2","=""3470015""","Male",*,*
"Connecticut Technical High School System","=""9000016""","Female",62.7,77.6
"Connecticut Technical High School System","=""9000016""","Male",37.7,73.3
"Norwich Free Academy District","=""9010022""","Female",73.0,91.6
"Norwich Free Academy District","=""9010022""","Male",66.4,82.9
"The Gilbert School District","=""9020022""","Female",76.9,66.7
"The Gilbert School District","=""9020022""","Male",55.3,90.5
"Woodstock Academy District","=""9030022""","Female",84.8,94.3
"Woodstock Academy District","=""9030022""","Male",70.7,86.9

