"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",*,*
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",*,*
"North Branford School District","=""0990011""","Eligible for Free or Reduced-Price Meals",*,*
"North Haven School District","=""1010011""","Eligible for Free or Reduced-Price Meals",*,*
"North Stonington School District","=""1020011""","Eligible for Free or Reduced-Price Meals",*,*
"Norwalk School District","=""1030011""","Eligible for Free or Reduced-Price Meals",60.2,88.7
"Norwich School District","=""1040011""","Eligible for Free or Reduced-Price Meals",*,*
"Old Saybrook School District","=""1060011""","Eligible for Free or Reduced-Price Meals",*,*
"Plainfield School District","=""1090011""","Eligible for Free or Reduced-Price Meals",29.4,*
"Plainville School District","=""1100011""","Eligible for Free or Reduced-Price Meals",40.7,*
"Plymouth School District","=""1110011""","Eligible for Free or Reduced-Price Meals",*,*
"Portland School District","=""1130011""","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Eligible for Free or Reduced-Price Meals",61.9,*
"Ridgefield School District","=""1180011""","Eligible for Free or Reduced-Price Meals",*,*
"Rocky Hill School District","=""1190011""","Eligible for Free or Reduced-Price Meals",*,*
"Seymour School District","=""1240011""","Eligible for Free or Reduced-Price Meals",*,*
"Shelton School District","=""1260011""","Eligible for Free or Reduced-Price Meals",*,*
"Simsbury School District","=""1280011""","Eligible for Free or Reduced-Price Meals",*,*
"Somers School District","=""1290011""","Eligible for Free or Reduced-Price Meals",*,*
"Southington School District","=""1310011""","Eligible for Free or Reduced-Price Meals",59.1,*
"South Windsor School District","=""1320011""","Eligible for Free or Reduced-Price Meals",*,*
"Stafford School District","=""1340011""","Eligible for Free or Reduced-Price Meals",*,*
"Stamford School District","=""1350011""","Eligible for Free or Reduced-Price Meals",51.3,80.0
"Stonington School District","=""1370011""","Eligible for Free or Reduced-Price Meals",45.5,*
"Stratford School District","=""1380011""","Eligible for Free or Reduced-Price Meals",65.2,81.7
"Suffield School District","=""1390011""","Eligible for Free or Reduced-Price Meals",*,*
"Thomaston School District","=""1400011""","Eligible for Free or Reduced-Price Meals",*,*
"Thompson School District","=""1410011""","Eligible for Free or Reduced-Price Meals",*,*
"Tolland School District","=""1420011""","Eligible for Free or Reduced-Price Meals",*,*
"Torrington School District","=""1430011""","Eligible for Free or Reduced-Price Meals",46.2,*
"Trumbull School District","=""1440011""","Eligible for Free or Reduced-Price Meals",*,*
"Vernon School District","=""1460011""","Eligible for Free or Reduced-Price Meals",47.1,*
"Wallingford School District","=""1480011""","Eligible for Free or Reduced-Price Meals",56.7,*
"Waterbury School District","=""1510011""","Eligible for Free or Reduced-Price Meals",45.3,78.2
"Waterford School District","=""1520011""","Eligible for Free or Reduced-Price Meals",*,*
"Watertown School District","=""1530011""","Eligible for Free or Reduced-Price Meals",*,*
"Westbrook School District","=""1540011""","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Eligible for Free or Reduced-Price Meals",62.4,82.5
"West Haven School District","=""1560011""","Eligible for Free or Reduced-Price Meals",52.6,81.7
"Westport School District","=""1580011""","Eligible for Free or Reduced-Price Meals",*,*
"Wethersfield School District","=""1590011""","Eligible for Free or Reduced-Price Meals",*,*
"Wilton School District","=""1610011""","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Eligible for Free or Reduced-Price Meals",43.2,68.8
"Windsor School District","=""1640011""","Eligible for Free or Reduced-Price Meals",66.3,85.5
"Windsor Locks School District","=""1650011""","Eligible for Free or Reduced-Price Meals",*,*
"Wolcott School District","=""1660011""","Eligible for Free or Reduced-Price Meals",66.7,*
"Regional School District 01","=""2010012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 04","=""2040012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 05","=""2050012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 06","=""2060012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 08","=""2080012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 09","=""2090012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 10","=""2100012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 11","=""2110012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 12","=""2120012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 13","=""2130012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 14","=""2140012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 15","=""2150012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 16","=""2160012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 17","=""2170012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 18","=""2180012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 19","=""2190012""","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Eligible for Free or Reduced-Price Meals",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible for Free or Reduced-Price Meals",*,*
"Common Ground High School District","=""2680013""","Eligible for Free or Reduced-Price Meals",*,*
"The Bridge Academy District","=""2690013""","Eligible for Free or Reduced-Price Meals",76.2,*
"Explorations District","=""2720013""","Eligible for Free or Reduced-Price Meals",*,*
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals",32.0,*
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",32.4,72.4
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",62.2,78.3
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",53.6,*
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals",*,*

