"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"Derby School District","=""0370011""",53.5,80.4,60.0,92.6,62.2,87.5,68.8,84.1,54.5,72.2
"East Granby School District","=""0400011""",93.5,93.0,82.7,93.5,76.7,91.3,67.6,89.1,80.0,83.3
"East Haddam School District","=""0410011""",78.9,84.9,66.7,94.8,77.2,91.5,81.1,88.3,62.9,88.5
"East Hampton School District","=""0420011""",78.3,84.8,78.6,87.4,68.2,84.1,80.3,90.2,81.5,91.8
"East Hartford School District","=""0430011""",60.1,84.0,57.6,77.9,62.9,80.4,57.8,76.3,59.2,74.3
"East Haven School District","=""0440011""",60.7,90.3,68.3,86.7,70.9,88.5,68.2,84.4,65.0,86.0
"East Lyme School District","=""0450011""",85.4,91.4,82.1,90.5,81.8,88.0,84.8,94.4,85.3,93.2
"East Windsor School District","=""0470011""",63.3,82.3,58.8,89.4,61.3,85.7,59.8,95.9,63.0,85.7
"Ellington School District","=""0480011""",84.7,89.0,83.6,92.3,79.0,93.2,83.6,92.8,71.9,87.0
"Enfield School District","=""0490011""",77.0,84.6,75.1,88.3,69.5,89.2,66.5,84.1,69.8,81.0
"Fairfield School District","=""0510011""",83.6,93.3,81.5,94.7,84.2,92.9,85.2,94.8,82.4,95.0
"Farmington School District","=""0520011""",82.8,93.0,84.0,94.0,84.8,93.5,87.8,94.9,85.4,91.6
"Glastonbury School District","=""0540011""",84.6,94.9,83.9,96.2,88.1,95.2,88.0,96.2,85.1,95.0
"Granby School District","=""0560011""",77.1,91.3,88.8,91.0,82.5,90.4,90.5,91.8,86.9,97.1
"Greenwich School District","=""0570011""",76.5,92.8,78.9,93.1,76.8,95.0,83.2,94.6,81.5,90.1
"Griswold School District","=""0580011""",64.7,79.1,67.1,81.6,57.7,87.6,69.0,76.6,63.3,76.3
"Groton School District","=""0590011""",74.3,86.5,77.6,85.6,73.3,86.6,69.6,81.9,62.7,77.5
"Guilford School District","=""0600011""",86.8,94.2,82.1,91.5,78.4,92.3,86.3,94.7,86.6,94.4
"Hamden School District","=""0620011""",71.5,86.0,73.4,90.4,70.0,87.4,70.2,86.7,73.0,86.8
"Hartford School District","=""0640011""",57.3,77.0,56.7,76.9,57.0,77.6,61.8,78.6,58.0,73.2
"Killingly School District","=""0690011""",67.3,82.9,51.0,82.4,65.2,80.2,60.1,79.8,63.7,82.5
"Lebanon School District","=""0710011""",69.4,95.2,70.7,87.5,73.5,86.0,77.3,88.2,72.8,89.6
"Ledyard School District","=""0720011""",75.8,86.6,67.5,83.9,73.1,83.0,77.4,90.2,75.6,88.8
"Lisbon School District","=""0730011""",*,*,*,*,*,*,*,*,N/A,N/A
"Litchfield School District","=""0740011""",79.2,85.7,83.9,87.7,81.4,92.8,71.3,88.7,85.9,89.1
"Madison School District","=""0760011""",83.6,93.7,85.7,96.2,88.7,96.5,86.8,96.8,88.2,96.4
"Manchester School District","=""0770011""",69.0,89.0,64.7,85.5,66.0,82.7,65.3,81.7,56.4,80.4
"Meriden School District","=""0800011""",59.0,80.0,62.6,79.2,55.0,83.8,58.9,79.4,60.1,82.2
"Middletown School District","=""0830011""",67.9,85.4,72.7,86.5,67.8,87.2,64.2,87.5,70.0,88.6
"Milford School District","=""0840011""",73.9,90.1,77.1,93.6,73.7,90.3,72.9,87.7,73.7,92.4
"Monroe School District","=""0850011""",85.2,92.1,84.2,96.1,85.2,96.2,83.3,91.3,82.7,92.6
"Montville School District","=""0860011""",73.6,81.7,72.3,82.0,63.7,85.9,68.7,88.4,61.2,87.2
"Naugatuck School District","=""0880011""",59.0,85.8,67.4,89.1,64.8,87.9,68.4,83.9,63.3,88.5
"New Britain School District","=""0890011""",54.9,78.9,57.3,79.5,56.8,79.1,55.8,76.4,60.5,78.8
"New Canaan School District","=""0900011""",81.0,94.0,78.8,95.9,86.7,95.7,87.0,96.9,87.8,94.9
"New Fairfield School District","=""0910011""",81.7,88.6,80.3,91.3,84.5,92.4,83.5,92.8,84.2,94.4
"New Haven School District","=""0930011""",58.9,75.2,62.0,74.8,63.5,78.0,63.0,78.2,66.3,75.2
"Newington School District","=""0940011""",78.6,90.2,82.5,89.4,78.9,93.3,77.5,92.2,80.7,91.8
"New London School District","=""0950011""",52.3,67.5,56.2,79.0,63.9,68.9,56.1,75.2,57.8,73.1
"New Milford School District","=""0960011""",77.1,88.2,73.8,91.7,80.7,91.3,73.9,93.2,77.3,93.4
"Newtown School District","=""0970011""",83.0,93.4,85.4,90.9,83.3,93.6,85.1,91.9,85.3,95.2
"North Branford School District","=""0990011""",81.6,94.2,79.7,93.3,80.1,94.2,79.9,93.1,71.6,87.1
"North Haven School District","=""1010011""",81.8,90.9,81.5,92.3,80.0,94.9,81.1,91.6,78.8,91.3
"North Stonington School District","=""1020011""",78.8,90.2,72.1,81.8,52.1,80.0,74.5,80.0,66.1,75.7
"Norwalk School District","=""1030011""",72.3,88.0,73.0,87.9,74.4,88.0,77.0,91.9,75.4,85.2
"Norwich School District","=""1040011""",*,*,*,*,*,*,*,*,*,*
"Old Saybrook School District","=""1060011""",84.0,94.0,88.5,96.0,82.6,95.6,84.2,90.2,81.3,92.3
"Oxford School District","=""1080011""",73.2,92.7,79.2,90.7,80.4,95.5,83.3,91.2,83.3,91.4
"Plainfield School District","=""1090011""",61.6,80.3,57.4,84.2,51.9,75.0,48.0,75.6,67.1,75.5
"Plainville School District","=""1100011""",70.4,87.4,71.3,85.9,71.8,84.3,78.6,89.8,76.3,85.2
"Plymouth School District","=""1110011""",65.3,88.9,61.5,81.3,59.8,86.8,60.9,85.7,74.8,87.4
"Portland School District","=""1130011""",78.4,88.4,74.1,88.3,77.6,92.4,84.1,98.6,82.5,87.1
"Putnam School District","=""1160011""",67.1,66.0,52.3,79.4,54.1,78.8,60.0,72.9,38.2,76.9
"Ridgefield School District","=""1180011""",87.2,96.3,85.4,95.0,88.9,94.6,87.7,96.3,88.5,97.0
"Rocky Hill School District","=""1190011""",82.2,89.1,81.3,90.4,80.0,92.9,83.6,91.3,78.0,91.3
"Seymour School District","=""1240011""",76.8,89.4,80.0,88.3,80.0,92.9,75.8,89.9,76.0,90.5
"Shelton School District","=""1260011""",76.3,89.7,75.4,91.2,75.6,91.9,80.5,88.9,76.4,91.7
"Simsbury School District","=""1280011""",85.0,93.5,80.6,95.7,82.3,94.5,86.3,95.0,86.8,96.1
"Somers School District","=""1290011""",81.1,94.4,78.3,92.6,78.8,95.4,81.9,94.1,81.4,98.1
"Southington School District","=""1310011""",79.6,89.3,80.7,89.5,77.7,90.4,78.8,89.0,78.4,89.6
"South Windsor School District","=""1320011""",84.7,93.3,83.1,91.8,85.1,92.3,82.1,93.0,86.1,92.7
"Stafford School District","=""1340011""",71.1,89.9,66.4,90.7,54.9,82.1,67.8,87.2,60.6,81.9
"Stamford School District","=""1350011""",69.8,88.5,73.2,88.5,75.0,90.6,74.6,90.1,75.5,87.8
"Stonington School District","=""1370011""",72.4,89.6,82.1,91.3,70.9,88.5,76.8,89.7,73.4,95.2
"Stratford School District","=""1380011""",69.5,86.9,72.8,85.7,72.0,87.4,73.0,89.8,73.6,88.4
"Suffield School District","=""1390011""",82.3,92.8,82.4,89.9,78.5,88.7,82.1,94.7,82.6,96.5
"Thomaston School District","=""1400011""",68.4,90.8,70.4,88.4,66.3,80.0,64.9,89.6,80.0,85.7
"Thompson School District","=""1410011""",64.8,78.0,64.7,87.3,65.9,84.5,61.0,90.0,60.0,81.3
"Tolland School District","=""1420011""",79.8,91.8,84.1,88.6,82.7,92.5,77.2,94.2,88.4,90.6
"Torrington School District","=""1430011""",63.2,88.4,68.2,87.0,62.1,83.1,60.2,89.4,62.7,82.2
"Trumbull School District","=""1440011""",85.1,93.2,82.9,93.2,86.8,94.8,84.8,92.9,87.0,93.4
"Vernon School District","=""1460011""",71.2,85.1,67.3,85.6,70.3,83.4,66.2,86.3,67.2,88.2
"Wallingford School District","=""1480011""",74.2,89.0,72.6,92.6,76.2,89.2,74.8,91.4,69.7,90.1
"Waterbury School District","=""1510011""",54.1,79.2,56.9,80.4,55.3,78.3,55.0,77.2,57.8,74.8
"Waterford School District","=""1520011""",78.5,85.1,79.7,83.0,74.3,86.7,71.2,83.2,82.6,93.6
"Watertown School District","=""1530011""",70.8,88.9,74.5,86.6,74.0,89.5,80.7,90.5,76.7,92.9
"Westbrook School District","=""1540011""",72.0,94.4,80.6,91.4,78.7,91.5,70.5,85.5,80.3,84.2
"West Hartford School District","=""1550011""",85.4,93.2,82.3,92.5,79.8,91.7,84.5,93.0,83.1,91.5
"West Haven School District","=""1560011""",70.4,83.0,66.6,84.2,65.0,82.4,62.8,80.9,63.9,87.9
"Weston School District","=""1570011""",88.8,97.8,87.5,97.0,86.2,93.2,90.1,97.3,90.9,96.9
"Westport School District","=""1580011""",84.4,96.7,79.0,96.2,85.5,96.4,88.5,97.3,90.8,96.5
"Wethersfield School District","=""1590011""",83.3,91.9,79.2,89.5,85.9,93.1,86.6,90.6,81.4,93.6
"Wilton School District","=""1610011""",85.8,96.6,87.5,96.6,89.4,97.1,85.8,96.7,87.7,96.9
"Windham School District","=""1630011""",60.3,76.4,60.9,81.7,55.0,75.9,59.6,74.5,53.6,75.7
"Windsor School District","=""1640011""",71.1,87.6,72.7,85.0,69.8,83.7,75.7,90.0,76.9,83.7
"Windsor Locks School District","=""1650011""",67.9,87.9,61.0,91.7,65.9,85.4,64.4,92.9,69.3,83.0
"Wolcott School District","=""1660011""",75.4,93.5,74.1,89.4,81.0,87.7,78.2,90.9,76.9,89.1
"Regional School District 01","=""2010012""",63.0,88.9,59.8,91.8,62.4,88.0,54.5,94.5,66.7,87.5
"Regional School District 04","=""2040012""",72.7,86.1,69.3,92.3,74.0,91.0,75.6,89.8,77.3,93.1
"Regional School District 05","=""2050012""",87.1,96.2,83.1,94.7,83.2,93.4,88.0,94.3,86.5,95.5
"Regional School District 06","=""2060012""",66.7,94.2,72.5,89.4,76.2,89.1,71.7,89.4,79.1,88.2
"Regional School District 07","=""2070012""",76.8,87.7,69.0,91.9,66.7,86.4,68.1,87.3,73.6,86.9
"Regional School District 08","=""2080012""",83.6,96.1,84.7,93.3,86.4,93.8,78.5,95.4,81.6,95.2
"Regional School District 09","=""2090012""",85.7,92.4,81.1,93.0,82.9,94.8,87.1,95.4,86.1,95.7
"Regional School District 10","=""2100012""",83.1,88.9,82.7,93.0,80.7,86.7,81.4,92.8,81.1,93.0
"Regional School District 11","=""2110012""",80.0,85.7,71.4,100.0,57.1,83.3,69.4,80.0,73.5,84.0
"Regional School District 12","=""2120012""",76.0,87.7,67.9,85.5,71.9,89.1,81.0,92.2,67.1,92.5
"Regional School District 13","=""2130012""",89.0,94.6,88.5,94.8,77.7,89.8,86.0,87.8,83.7,95.4
"Regional School District 14","=""2140012""",78.0,92.9,80.0,89.3,71.2,93.4,85.8,88.5,81.3,91.7
"Regional School District 15","=""2150012""",86.3,93.6,82.8,94.4,83.1,94.7,81.8,93.7,82.6,91.1
"Regional School District 16","=""2160012""",78.2,89.0,75.8,88.9,71.9,90.2,79.1,94.3,75.9,89.4
"Regional School District 17","=""2170012""",87.0,89.6,74.6,90.5,80.0,92.4,83.5,92.4,84.7,90.6
"Regional School District 18","=""2180012""",75.5,94.6,75.6,85.9,78.2,92.4,80.6,95.4,91.5,92.8
"Regional School District 19","=""2190012""",69.3,92.0,73.5,94.0,73.7,90.1,75.2,93.0,69.7,88.8
"Capitol Region Education Council","=""2410014""",72.3,78.2,72.1,80.4,71.5,78.3,71.5,82.5,78.5,80.7
"Education Connection","=""2420014""",*,*,*,*,*,*,*,*,*,*
"Cooperative Educational Services","=""2430014""",*,*,*,*,*,*,*,*,*,*
"Area Cooperative Educational Services","=""2440014""",*,*,11.5,*,*,*,*,*,*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",*,*,54.2,53.8,49.4,64.1,53.4,80.6,50.8,71.9
"Common Ground High School District","=""2680013""",65.5,*,51.4,*,66.7,60.0,62.9,81.8,65.5,*
"The Bridge Academy District","=""2690013""",48.4,*,79.3,78.3,69.4,80.0,75.8,60.0,87.5,82.1
"Explorations District","=""2720013""",44.8,*,32.0,*,*,*,34.8,*,*,*
"Amistad Academy District","=""2790013""",90.9,85.0,90.5,*,*,*,85.7,*,69.6,*
"Stamford Academy District","=""2820013""",37.5,*,45.5,*,33.3,*,*,*,24.0,*
"Unified School District #1","=""3360015""",*,*,*,*,*,*,*,*,*,*
"Department of Mental Health and Addiction Services","=""3370015""",*,*,*,*,N/A,N/A,N/A,N/A,*,*
"Unified School District #2","=""3470015""",*,*,*,*,*,*,*,*,*,*
"Connecticut Technical High School System","=""9000016""",44.0,74.6,43.6,76.0,45.9,75.0,46.4,75.7,47.0,75.5
"Norwich Free Academy District","=""9010022""",73.2,86.9,73.0,87.7,71.5,85.9,73.1,86.2,70.2,88.1
"The Gilbert School District","=""9020022""",79.4,72.9,83.1,91.8,69.0,79.3,74.3,78.8,66.2,76.5
"Woodstock Academy District","=""9030022""",81.8,89.5,80.1,89.4,77.1,90.1,79.0,90.7,77.4,90.7
"Elm City College Preparatory School District","=""2890013""",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Winchester School District","=""1620011""",N/A,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Learn","=""2450014""",N/A,N/A,N/A,N/A,N/A,N/A,*,*,70.8,78.4

