"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Hartford School District","=""0640011""","Female",61.7,78.8
"Hartford School District","=""0640011""","Male",51.4,74.5
"Killingly School District","=""0690011""","Female",47.7,90.2
"Killingly School District","=""0690011""","Male",55.9,72.7
"Lebanon School District","=""0710011""","Female",80.3,88.5
"Lebanon School District","=""0710011""","Male",60.6,86.0
"Ledyard School District","=""0720011""","Female",75.7,81.5
"Ledyard School District","=""0720011""","Male",59.0,87.1
"Lisbon School District","=""0730011""","Female",*,*
"Lisbon School District","=""0730011""","Male",*,*
"Litchfield School District","=""0740011""","Female",85.4,92.7
"Litchfield School District","=""0740011""","Male",82.1,81.3
"Madison School District","=""0760011""","Female",87.8,95.6
"Madison School District","=""0760011""","Male",83.4,96.8
"Manchester School District","=""0770011""","Female",73.5,87.6
"Manchester School District","=""0770011""","Male",55.3,82.5
"Meriden School District","=""0800011""","Female",66.8,80.1
"Meriden School District","=""0800011""","Male",57.5,77.9
"Middletown School District","=""0830011""","Female",75.7,86.6
"Middletown School District","=""0830011""","Male",69.3,86.4
"Milford School District","=""0840011""","Female",80.2,92.8
"Milford School District","=""0840011""","Male",73.4,94.6
"Monroe School District","=""0850011""","Female",87.2,96.5
"Monroe School District","=""0850011""","Male",80.6,95.5
"Montville School District","=""0860011""","Female",78.8,88.9
"Montville School District","=""0860011""","Male",67.0,75.4
"Naugatuck School District","=""0880011""","Female",72.3,87.5
"Naugatuck School District","=""0880011""","Male",62.7,90.9
"New Britain School District","=""0890011""","Female",63.5,77.7
"New Britain School District","=""0890011""","Male",51.5,81.7
"New Canaan School District","=""0900011""","Female",78.7,98.3
"New Canaan School District","=""0900011""","Male",79.0,93.5
"New Fairfield School District","=""0910011""","Female",84.1,94.7
"New Fairfield School District","=""0910011""","Male",76.5,87.5
"New Haven School District","=""0930011""","Female",69.5,78.5
"New Haven School District","=""0930011""","Male",53.6,69.5
"Newington School District","=""0940011""","Female",88.4,95.2
"Newington School District","=""0940011""","Male",76.1,82.1
"New London School District","=""0950011""","Female",56.6,74.4
"New London School District","=""0950011""","Male",55.9,82.5
"New Milford School District","=""0960011""","Female",81.7,91.6
"New Milford School District","=""0960011""","Male",66.3,91.8
"Newtown School District","=""0970011""","Female",89.1,93.6
"Newtown School District","=""0970011""","Male",81.0,87.3
"North Branford School District","=""0990011""","Female",83.7,92.2
"North Branford School District","=""0990011""","Male",75.8,94.4
"North Haven School District","=""1010011""","Female",83.0,93.7
"North Haven School District","=""1010011""","Male",79.7,90.4
"North Stonington School District","=""1020011""","Female",85.7,83.3
"North Stonington School District","=""1020011""","Male",60.6,80.0
"Norwalk School District","=""1030011""","Female",74.5,90.9
"Norwalk School District","=""1030011""","Male",71.5,84.9
"Norwich School District","=""1040011""","Female",*,*
"Norwich School District","=""1040011""","Male",*,*
"Old Saybrook School District","=""1060011""","Female",91.2,96.2
"Old Saybrook School District","=""1060011""","Male",85.7,95.8
"Oxford School District","=""1080011""","Female",79.7,93.2
"Oxford School District","=""1080011""","Male",78.7,88.1
"Plainfield School District","=""1090011""","Female",66.7,90.8
"Plainfield School District","=""1090011""","Male",46.3,72.7
"Plainville School District","=""1100011""","Female",73.4,90.0
"Plainville School District","=""1100011""","Male",69.0,81.2
"Plymouth School District","=""1110011""","Female",70.2,90.0
"Plymouth School District","=""1110011""","Male",54.8,72.5
"Portland School District","=""1130011""","Female",86.8,93.9
"Portland School District","=""1130011""","Male",62.8,81.5
"Putnam School District","=""1160011""","Female",76.7,82.6
"Putnam School District","=""1160011""","Male",31.4,*
"Ridgefield School District","=""1180011""","Female",87.7,95.3
"Ridgefield School District","=""1180011""","Male",83.0,94.7
"Rocky Hill School District","=""1190011""","Female",83.9,93.2
"Rocky Hill School District","=""1190011""","Male",78.5,87.1
"Seymour School District","=""1240011""","Female",80.2,92.3
"Seymour School District","=""1240011""","Male",79.7,84.1
"Shelton School District","=""1260011""","Female",77.7,96.5
"Shelton School District","=""1260011""","Male",73.0,85.4
"Simsbury School District","=""1280011""","Female",82.5,97.0
"Simsbury School District","=""1280011""","Male",78.9,94.5
"Somers School District","=""1290011""","Female",76.8,94.3
"Somers School District","=""1290011""","Male",79.7,90.9
"Southington School District","=""1310011""","Female",84.0,90.7
"Southington School District","=""1310011""","Male",77.1,88.2
"South Windsor School District","=""1320011""","Female",87.4,93.1
"South Windsor School District","=""1320011""","Male",79.4,90.6
"Stafford School District","=""1340011""","Female",61.9,92.3
"Stafford School District","=""1340011""","Male",72.0,88.9
"Stamford School District","=""1350011""","Female",74.5,89.9
"Stamford School District","=""1350011""","Male",71.9,87.1
"Stonington School District","=""1370011""","Female",90.4,96.5
"Stonington School District","=""1370011""","Male",74.5,85.5
"Stratford School District","=""1380011""","Female",79.1,89.9
"Stratford School District","=""1380011""","Male",65.1,79.5
"Suffield School District","=""1390011""","Female",88.2,89.5
"Suffield School District","=""1390011""","Male",74.4,90.6
"Thomaston School District","=""1400011""","Female",76.1,85.7
"Thomaston School District","=""1400011""","Male",65.4,91.2
"Thompson School District","=""1410011""","Female",70.8,88.2
"Thompson School District","=""1410011""","Male",56.8,85.7
"Tolland School District","=""1420011""","Female",84.0,94.4
"Tolland School District","=""1420011""","Male",84.2,83.3
"Torrington School District","=""1430011""","Female",78.7,87.1
"Torrington School District","=""1430011""","Male",59.4,86.8
"Trumbull School District","=""1440011""","Female",86.2,94.5
"Trumbull School District","=""1440011""","Male",78.8,91.4
"Vernon School District","=""1460011""","Female",74.2,89.5
"Vernon School District","=""1460011""","Male",60.0,80.6
"Wallingford School District","=""1480011""","Female",79.8,93.7
"Wallingford School District","=""1480011""","Male",65.0,91.1
"Waterbury School District","=""1510011""","Female",63.6,83.9
"Waterbury School District","=""1510011""","Male",49.3,75.2
"Waterford School District","=""1520011""","Female",83.6,85.7
"Waterford School District","=""1520011""","Male",75.2,79.5
"Watertown School District","=""1530011""","Female",81.5,90.7
"Watertown School District","=""1530011""","Male",67.0,81.3
"Westbrook School District","=""1540011""","Female",86.7,92.3
"Westbrook School District","=""1540011""","Male",76.2,90.6
"West Hartford School District","=""1550011""","Female",84.2,93.8
"West Hartford School District","=""1550011""","Male",80.4,91.1
"West Haven School District","=""1560011""","Female",74.7,81.9
"West Haven School District","=""1560011""","Male",58.0,87.2
"Weston School District","=""1570011""","Female",89.8,95.9
"Weston School District","=""1570011""","Male",84.5,98.6
"Westport School District","=""1580011""","Female",82.2,96.6
"Westport School District","=""1580011""","Male",76.2,95.8
"Wethersfield School District","=""1590011""","Female",81.1,90.8
"Wethersfield School District","=""1590011""","Male",77.3,88.1
"Wilton School District","=""1610011""","Female",86.3,96.0
"Wilton School District","=""1610011""","Male",88.5,97.1
"Windham School District","=""1630011""","Female",66.7,87.9
"Windham School District","=""1630011""","Male",55.4,74.5
"Windsor School District","=""1640011""","Female",83.3,85.8
"Windsor School District","=""1640011""","Male",63.5,84.0
"Windsor Locks School District","=""1650011""","Female",61.4,88.6
"Windsor Locks School District","=""1650011""","Male",60.7,94.6
"Wolcott School District","=""1660011""","Female",84.8,92.1
"Wolcott School District","=""1660011""","Male",64.0,85.9
"Regional School District 01","=""2010012""","Female",69.4,100.0
"Regional School District 01","=""2010012""","Male",50.0,80.0
"Regional School District 04","=""2040012""","Female",73.4,89.4
"Regional School District 04","=""2040012""","Male",66.3,94.7
"Regional School District 05","=""2050012""","Female",86.1,96.1
"Regional School District 05","=""2050012""","Male",80.4,93.3
"Regional School District 06","=""2060012""","Female",73.6,84.6
"Regional School District 06","=""2060012""","Male",71.1,96.3
"Regional School District 07","=""2070012""","Female",76.4,91.4
"Regional School District 07","=""2070012""","Male",60.4,92.7
"Regional School District 08","=""2080012""","Female",90.2,96.0
"Regional School District 08","=""2080012""","Male",79.5,90.3
"Regional School District 09","=""2090012""","Female",84.9,96.7
"Regional School District 09","=""2090012""","Male",77.4,89.0
"Regional School District 10","=""2100012""","Female",90.5,94.7
"Regional School District 10","=""2100012""","Male",75.3,91.0
"Regional School District 11","=""2110012""","Female",*,*
"Regional School District 11","=""2110012""","Male",*,*
"Regional School District 12","=""2120012""","Female",71.1,88.9
"Regional School District 12","=""2120012""","Male",65.1,82.1
"Regional School District 13","=""2130012""","Female",92.2,94.9
"Regional School District 13","=""2130012""","Male",84.8,94.6
"Regional School District 14","=""2140012""","Female",85.8,89.0
"Regional School District 14","=""2140012""","Male",74.0,89.6
"Regional School District 15","=""2150012""","Female",84.7,97.4
"Regional School District 15","=""2150012""","Male",81.0,91.3
"Regional School District 16","=""2160012""","Female",86.8,88.6
"Regional School District 16","=""2160012""","Male",64.4,89.3
"Regional School District 17","=""2170012""","Female",80.0,91.7
"Regional School District 17","=""2170012""","Male",70.2,89.4
"Regional School District 18","=""2180012""","Female",82.7,91.9
"Regional School District 18","=""2180012""","Male",66.1,75.7
"Regional School District 19","=""2190012""","Female",80.8,94.1
"Regional School District 19","=""2190012""","Male",66.1,93.9
"Capitol Region Education Council","=""2410014""","Female",79.5,79.8
"Capitol Region Education Council","=""2410014""","Male",62.5,81.3
"Education Connection","=""2420014""","Female",*,*
"Education Connection","=""2420014""","Male",*,*
"Cooperative Educational Services","=""2430014""","Female",*,*
"Cooperative Educational Services","=""2430014""","Male",*,*
"Area Cooperative Educational Services","=""2440014""","Female",*,*
"Area Cooperative Educational Services","=""2440014""","Male",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",68.0,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",39.1,*
"Common Ground High School District","=""2680013""","Female",39.1,*
"Common Ground High School District","=""2680013""","Male",*,*
"The Bridge Academy District","=""2690013""","Female",*,*
"The Bridge Academy District","=""2690013""","Male",*,*
"Explorations District","=""2720013""","Female",*,*
"Explorations District","=""2720013""","Male",*,*
"Amistad Academy District","=""2790013""","Female",*,*
"Amistad Academy District","=""2790013""","Male",*,*
"Stamford Academy District","=""2820013""","Female",*,*
"Stamford Academy District","=""2820013""","Male",*,*
"Unified School District #1","=""3360015""","Female",*,*
"Unified School District #1","=""3360015""","Male",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Female",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Male",*,*
"Unified School District #2","=""3470015""","Male",*,*
"Connecticut Technical High School System","=""9000016""","Female",55.7,76.4
"Connecticut Technical High School System","=""9000016""","Male",37.1,75.6
"Norwich Free Academy District","=""9010022""","Female",77.5,91.3
"Norwich Free Academy District","=""9010022""","Male",68.2,83.3
"The Gilbert School District","=""9020022""","Female",89.7,91.4
"The Gilbert School District","=""9020022""","Male",70.0,*
"Woodstock Academy District","=""9030022""","Female",85.8,92.9
"Woodstock Academy District","=""9030022""","Male",73.9,84.8

