"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Fairfield School District","=""0510011""","Hispanic or Latino",75.0,89.7
"Fairfield School District","=""0510011""","Two or More Races",*,*
"Fairfield School District","=""0510011""","White",83.1,96.2
"Farmington School District","=""0520011""","Asian",84.2,100.0
"Farmington School District","=""0520011""","Black or African American",*,*
"Farmington School District","=""0520011""","Hispanic or Latino",66.7,*
"Farmington School District","=""0520011""","White",87.3,92.1
"Glastonbury School District","=""0540011""","American Indian or Alaska Native",*,*
"Glastonbury School District","=""0540011""","Asian",90.4,100.0
"Glastonbury School District","=""0540011""","Black or African American",*,*
"Glastonbury School District","=""0540011""","Hispanic or Latino",72.1,96.8
"Glastonbury School District","=""0540011""","Two or More Races",*,*
"Glastonbury School District","=""0540011""","White",86.4,94.3
"Granby School District","=""0560011""","Asian",*,*
"Granby School District","=""0560011""","Black or African American",*,*
"Granby School District","=""0560011""","Hispanic or Latino",*,*
"Granby School District","=""0560011""","Two or More Races",*,*
"Granby School District","=""0560011""","White",88.6,97.6
"Greenwich School District","=""0570011""","American Indian or Alaska Native",*,*
"Greenwich School District","=""0570011""","Asian",65.1,89.3
"Greenwich School District","=""0570011""","Black or African American",*,*
"Greenwich School District","=""0570011""","Hispanic or Latino",73.1,86.2
"Greenwich School District","=""0570011""","Native Hawaiian or Other Pacific Islander",*,*
"Greenwich School District","=""0570011""","Two or More Races",*,*
"Greenwich School District","=""0570011""","White",85.2,92.2
"Griswold School District","=""0580011""","American Indian or Alaska Native",*,*
"Griswold School District","=""0580011""","Black or African American",*,*
"Griswold School District","=""0580011""","Hispanic or Latino",*,*
"Griswold School District","=""0580011""","Two or More Races",*,*
"Griswold School District","=""0580011""","White",61.8,79.8
"Groton School District","=""0590011""","American Indian or Alaska Native",*,*
"Groton School District","=""0590011""","Asian",73.9,*
"Groton School District","=""0590011""","Black or African American",52.6,90.0
"Groton School District","=""0590011""","Hispanic or Latino",43.9,*
"Groton School District","=""0590011""","Two or More Races",*,*
"Groton School District","=""0590011""","White",67.7,78.0
"Guilford School District","=""0600011""","American Indian or Alaska Native",*,*
"Guilford School District","=""0600011""","Asian",*,*
"Guilford School District","=""0600011""","Black or African American",*,*
"Guilford School District","=""0600011""","Hispanic or Latino",*,*
"Guilford School District","=""0600011""","Two or More Races",*,*
"Guilford School District","=""0600011""","White",86.1,94.8
"Hamden School District","=""0620011""","Asian",*,*
"Hamden School District","=""0620011""","Black or African American",66.2,77.6
"Hamden School District","=""0620011""","Hispanic or Latino",69.4,86.0
"Hamden School District","=""0620011""","Two or More Races",*,*
"Hamden School District","=""0620011""","White",78.8,91.4
"Hartford School District","=""0640011""","American Indian or Alaska Native",*,*
"Hartford School District","=""0640011""","Asian",76.6,75.0
"Hartford School District","=""0640011""","Black or African American",63.4,71.7
"Hartford School District","=""0640011""","Hispanic or Latino",43.5,65.1
"Hartford School District","=""0640011""","Two or More Races",*,*
"Hartford School District","=""0640011""","White",78.5,88.4
"Killingly School District","=""0690011""","American Indian or Alaska Native",*,*
"Killingly School District","=""0690011""","Asian",*,*
"Killingly School District","=""0690011""","Black or African American",*,*
"Killingly School District","=""0690011""","Hispanic or Latino",*,*
"Killingly School District","=""0690011""","Two or More Races",*,*
"Killingly School District","=""0690011""","White",64.6,82.4
"Lebanon School District","=""0710011""","American Indian or Alaska Native",*,*
"Lebanon School District","=""0710011""","Asian",*,*
"Lebanon School District","=""0710011""","Hispanic or Latino",*,*
"Lebanon School District","=""0710011""","White",71.8,90.2
"Ledyard School District","=""0720011""","American Indian or Alaska Native",*,*
"Ledyard School District","=""0720011""","Asian",*,*
"Ledyard School District","=""0720011""","Black or African American",*,*
"Ledyard School District","=""0720011""","Hispanic or Latino",*,*
"Ledyard School District","=""0720011""","Two or More Races",*,*
"Ledyard School District","=""0720011""","White",76.3,87.9
"Litchfield School District","=""0740011""","Asian",*,*
"Litchfield School District","=""0740011""","Hispanic or Latino",*,*
"Litchfield School District","=""0740011""","White",85.2,*
"Madison School District","=""0760011""","Asian",*,*
"Madison School District","=""0760011""","Black or African American",*,*
"Madison School District","=""0760011""","Hispanic or Latino",*,*
"Madison School District","=""0760011""","Two or More Races",*,*
"Madison School District","=""0760011""","White",88.4,96.8
"Manchester School District","=""0770011""","American Indian or Alaska Native",*,*
"Manchester School District","=""0770011""","Asian",78.6,81.8
"Manchester School District","=""0770011""","Black or African American",62.4,75.5
"Manchester School District","=""0770011""","Hispanic or Latino",37.7,62.1
"Manchester School District","=""0770011""","Two or More Races",*,*
"Manchester School District","=""0770011""","White",58.5,86.7
"Meriden School District","=""0800011""","American Indian or Alaska Native",*,*
"Meriden School District","=""0800011""","Asian",*,*
"Meriden School District","=""0800011""","Black or African American",59.5,80.9
"Meriden School District","=""0800011""","Hispanic or Latino",55.3,80.0
"Meriden School District","=""0800011""","Two or More Races",*,*
"Meriden School District","=""0800011""","White",63.6,83.9
"Middletown School District","=""0830011""","Asian",*,*
"Middletown School District","=""0830011""","Black or African American",51.6,81.8
"Middletown School District","=""0830011""","Hispanic or Latino",55.3,85.7
"Middletown School District","=""0830011""","Two or More Races",*,*
"Middletown School District","=""0830011""","White",80.4,89.6
"Milford School District","=""0840011""","Asian",91.7,100.0
"Milford School District","=""0840011""","Black or African American",70.0,*
"Milford School District","=""0840011""","Hispanic or Latino",55.6,*
"Milford School District","=""0840011""","White",74.0,92.8
"Monroe School District","=""0850011""","American Indian or Alaska Native",*,*
"Monroe School District","=""0850011""","Asian",*,*
"Monroe School District","=""0850011""","Black or African American",*,*
"Monroe School District","=""0850011""","Hispanic or Latino",*,*
"Monroe School District","=""0850011""","White",82.5,92.2
"Montville School District","=""0860011""","American Indian or Alaska Native",*,*
"Montville School District","=""0860011""","Asian",*,*
"Montville School District","=""0860011""","Black or African American",*,*
"Montville School District","=""0860011""","Hispanic or Latino",*,*
"Montville School District","=""0860011""","Two or More Races",*,*
"Montville School District","=""0860011""","White",64.7,87.5
"Naugatuck School District","=""0880011""","Asian",*,*
"Naugatuck School District","=""0880011""","Black or African American",50.0,*
"Naugatuck School District","=""0880011""","Hispanic or Latino",52.2,87.5
"Naugatuck School District","=""0880011""","Two or More Races",*,*
"Naugatuck School District","=""0880011""","White",67.8,89.8
"New Britain School District","=""0890011""","Asian",*,*
"New Britain School District","=""0890011""","Black or African American",66.7,81.0
"New Britain School District","=""0890011""","Hispanic or Latino",52.5,71.9
"New Britain School District","=""0890011""","Native Hawaiian or Other Pacific Islander",*,*
"New Britain School District","=""0890011""","Two or More Races",*,*
"New Britain School District","=""0890011""","White",67.7,85.6
"New Canaan School District","=""0900011""","American Indian or Alaska Native",*,*
"New Canaan School District","=""0900011""","Asian",*,*
"New Canaan School District","=""0900011""","Black or African American",*,*
"New Canaan School District","=""0900011""","Hispanic or Latino",*,*
"New Canaan School District","=""0900011""","Native Hawaiian or Other Pacific Islander",*,*
"New Canaan School District","=""0900011""","Two or More Races",*,*
"New Canaan School District","=""0900011""","White",87.2,95.1
"New Fairfield School District","=""0910011""","Asian",*,*
"New Fairfield School District","=""0910011""","Black or African American",*,*
"New Fairfield School District","=""0910011""","Hispanic or Latino",*,*
"New Fairfield School District","=""0910011""","Two or More Races",*,*
"New Fairfield School District","=""0910011""","White",83.5,94.4
"New Haven School District","=""0930011""","American Indian or Alaska Native",*,*
"New Haven School District","=""0930011""","Asian",*,*
"New Haven School District","=""0930011""","Black or African American",66.5,71.3
"New Haven School District","=""0930011""","Hispanic or Latino",58.8,72.1
"New Haven School District","=""0930011""","Two or More Races",*,*
"New Haven School District","=""0930011""","White",76.6,86.1
"Newington School District","=""0940011""","American Indian or Alaska Native",*,*
"Newington School District","=""0940011""","Asian",96.6,100.0
"Newington School District","=""0940011""","Black or African American",71.4,*
"Newington School District","=""0940011""","Hispanic or Latino",79.1,79.4
"Newington School District","=""0940011""","Two or More Races",*,*
"Newington School District","=""0940011""","White",79.5,94.8
"New London School District","=""0950011""","American Indian or Alaska Native",*,*
"New London School District","=""0950011""","Asian",*,*
"New London School District","=""0950011""","Black or African American",62.1,72.2
"New London School District","=""0950011""","Hispanic or Latino",52.4,69.8
"New London School District","=""0950011""","Two or More Races",*,*
"New London School District","=""0950011""","White",61.3,*
"New Milford School District","=""0960011""","Asian",*,*
"New Milford School District","=""0960011""","Black or African American",*,*
"New Milford School District","=""0960011""","Hispanic or Latino",80.0,85.0
"New Milford School District","=""0960011""","White",76.6,94.1
"Newtown School District","=""0970011""","Asian",*,*
"Newtown School District","=""0970011""","Black or African American",*,*
"Newtown School District","=""0970011""","Hispanic or Latino",76.0,*
"Newtown School District","=""0970011""","Two or More Races",*,*
"Newtown School District","=""0970011""","White",86.5,94.6
"North Branford School District","=""0990011""","Black or African American",*,*
"North Branford School District","=""0990011""","Hispanic or Latino",*,*
"North Branford School District","=""0990011""","White",72.4,88.0
"North Haven School District","=""1010011""","American Indian or Alaska Native",*,*
"North Haven School District","=""1010011""","Asian",*,*
"North Haven School District","=""1010011""","Black or African American",*,*
"North Haven School District","=""1010011""","Hispanic or Latino",*,*
"North Haven School District","=""1010011""","Native Hawaiian or Other Pacific Islander",*,*
"North Haven School District","=""1010011""","Two or More Races",*,*
"North Haven School District","=""1010011""","White",79.3,91.1
"North Stonington School District","=""1020011""","Black or African American",*,*
"North Stonington School District","=""1020011""","Hispanic or Latino",*,*
"North Stonington School District","=""1020011""","White",64.8,*
"Norwalk School District","=""1030011""","Asian",*,*
"Norwalk School District","=""1030011""","Black or African American",74.9,77.1
"Norwalk School District","=""1030011""","Hispanic or Latino",61.9,82.0
"Norwalk School District","=""1030011""","Two or More Races",*,*
"Norwalk School District","=""1030011""","White",83.7,90.7
"Norwich School District","=""1040011""","American Indian or Alaska Native",*,*
"Norwich School District","=""1040011""","Black or African American",*,*
"Norwich School District","=""1040011""","Two or More Races",*,*
"Norwich School District","=""1040011""","White",*,*
"Old Saybrook School District","=""1060011""","Asian",*,*
"Old Saybrook School District","=""1060011""","Black or African American",*,*
"Old Saybrook School District","=""1060011""","Hispanic or Latino",*,*
"Old Saybrook School District","=""1060011""","Two or More Races",*,*
"Old Saybrook School District","=""1060011""","White",82.6,93.7
"Oxford School District","=""1080011""","Asian",*,*
"Oxford School District","=""1080011""","Black or African American",*,*
"Oxford School District","=""1080011""","Hispanic or Latino",*,*
"Oxford School District","=""1080011""","Two or More Races",*,*
"Oxford School District","=""1080011""","White",83.4,92.1
"Plainfield School District","=""1090011""","American Indian or Alaska Native",*,*
"Plainfield School District","=""1090011""","Asian",*,*
"Plainfield School District","=""1090011""","Black or African American",*,*
"Plainfield School District","=""1090011""","Hispanic or Latino",*,*
"Plainfield School District","=""1090011""","White",66.7,74.5
"Plainville School District","=""1100011""","American Indian or Alaska Native",*,*
"Plainville School District","=""1100011""","Asian",*,*
"Plainville School District","=""1100011""","Black or African American",*,*
"Plainville School District","=""1100011""","Hispanic or Latino",*,*
"Plainville School District","=""1100011""","Two or More Races",*,*
"Plainville School District","=""1100011""","White",80.0,85.6
"Plymouth School District","=""1110011""","Asian",*,*
"Plymouth School District","=""1110011""","Black or African American",*,*
"Plymouth School District","=""1110011""","Hispanic or Latino",*,*
"Plymouth School District","=""1110011""","Two or More Races",*,*
"Plymouth School District","=""1110011""","White",74.6,89.4
"Portland School District","=""1130011""","Asian",*,*
"Portland School District","=""1130011""","Black or African American",*,*
"Portland School District","=""1130011""","Hispanic or Latino",*,*
"Portland School District","=""1130011""","Two or More Races",*,*
"Portland School District","=""1130011""","White",83.3,86.3
"Putnam School District","=""1160011""","American Indian or Alaska Native",*,*
"Putnam School District","=""1160011""","Asian",*,*
"Putnam School District","=""1160011""","Black or African American",*,*
"Putnam School District","=""1160011""","Hispanic or Latino",*,*
"Putnam School District","=""1160011""","Two or More Races",*,*
"Putnam School District","=""1160011""","White",*,*
"Ridgefield School District","=""1180011""","Asian",91.3,95.2
"Ridgefield School District","=""1180011""","Black or African American",*,*
"Ridgefield School District","=""1180011""","Hispanic or Latino",*,*
"Ridgefield School District","=""1180011""","Two or More Races",*,*
"Ridgefield School District","=""1180011""","White",88.5,97.0
"Rocky Hill School District","=""1190011""","Asian",*,*
"Rocky Hill School District","=""1190011""","Black or African American",*,*
"Rocky Hill School District","=""1190011""","Hispanic or Latino",*,*
"Rocky Hill School District","=""1190011""","Two or More Races",*,*
"Rocky Hill School District","=""1190011""","White",81.3,92.0
"Seymour School District","=""1240011""","Asian",*,*
"Seymour School District","=""1240011""","Black or African American",*,*
"Seymour School District","=""1240011""","Hispanic or Latino",*,*
"Seymour School District","=""1240011""","White",77.9,91.4
"Shelton School District","=""1260011""","American Indian or Alaska Native",*,*
"Shelton School District","=""1260011""","Asian",*,*
"Shelton School District","=""1260011""","Black or African American",*,*
"Shelton School District","=""1260011""","Hispanic or Latino",66.7,90.0
"Shelton School District","=""1260011""","Two or More Races",*,*
"Shelton School District","=""1260011""","White",76.7,91.9
"Simsbury School District","=""1280011""","Asian",*,*
"Simsbury School District","=""1280011""","Black or African American",*,*
"Simsbury School District","=""1280011""","Hispanic or Latino",*,*
"Simsbury School District","=""1280011""","Two or More Races",*,*
"Simsbury School District","=""1280011""","White",87.0,96.2
"Somers School District","=""1290011""","American Indian or Alaska Native",*,*
"Somers School District","=""1290011""","Asian",*,*
"Somers School District","=""1290011""","Black or African American",*,*
"Somers School District","=""1290011""","Hispanic or Latino",*,*
"Somers School District","=""1290011""","Two or More Races",*,*
"Somers School District","=""1290011""","White",81.1,99.0
"Southington School District","=""1310011""","Asian",*,*
"Southington School District","=""1310011""","Black or African American",*,*
"Southington School District","=""1310011""","Hispanic or Latino",65.5,*
"Southington School District","=""1310011""","Two or More Races",*,*
"Southington School District","=""1310011""","White",78.9,89.9
"South Windsor School District","=""1320011""","American Indian or Alaska Native",*,*
"South Windsor School District","=""1320011""","Asian",95.8,100.0
"South Windsor School District","=""1320011""","Black or African American",*,*
"South Windsor School District","=""1320011""","Hispanic or Latino",*,*
"South Windsor School District","=""1320011""","Native Hawaiian or Other Pacific Islander",*,*
"South Windsor School District","=""1320011""","Two or More Races",*,*
"South Windsor School District","=""1320011""","White",86.8,93.1
"Stafford School District","=""1340011""","Asian",*,*
"Stafford School District","=""1340011""","Black or African American",*,*
"Stafford School District","=""1340011""","Hispanic or Latino",*,*
"Stafford School District","=""1340011""","Two or More Races",*,*
"Stafford School District","=""1340011""","White",61.0,81.3
"Stamford School District","=""1350011""","Asian",*,*
"Stamford School District","=""1350011""","Black or African American",69.1,82.5
"Stamford School District","=""1350011""","Hispanic or Latino",66.6,79.7
"Stamford School District","=""1350011""","Two or More Races",*,*
"Stamford School District","=""1350011""","White",84.8,93.3
"Stonington School District","=""1370011""","American Indian or Alaska Native",*,*
"Stonington School District","=""1370011""","Asian",*,*
"Stonington School District","=""1370011""","Black or African American",*,*
"Stonington School District","=""1370011""","Hispanic or Latino",*,*
"Stonington School District","=""1370011""","White",73.8,94.5
"Stratford School District","=""1380011""","American Indian or Alaska Native",*,*
"Stratford School District","=""1380011""","Asian",*,*
"Stratford School District","=""1380011""","Black or African American",72.9,84.5
"Stratford School District","=""1380011""","Hispanic or Latino",69.9,86.2
"Stratford School District","=""1380011""","Two or More Races",*,*
"Stratford School District","=""1380011""","White",75.6,90.8
"Suffield School District","=""1390011""","American Indian or Alaska Native",*,*
"Suffield School District","=""1390011""","Asian",*,*
"Suffield School District","=""1390011""","Black or African American",*,*
"Suffield School District","=""1390011""","Hispanic or Latino",*,*
"Suffield School District","=""1390011""","White",83.2,96.9
"Thomaston School District","=""1400011""","Black or African American",*,*
"Thomaston School District","=""1400011""","Hispanic or Latino",*,*
"Thomaston School District","=""1400011""","White",79.1,86.8
"Thompson School District","=""1410011""","American Indian or Alaska Native",*,*
"Thompson School District","=""1410011""","Hispanic or Latino",*,*
"Thompson School District","=""1410011""","White",*,*
"Tolland School District","=""1420011""","Asian",*,*
"Tolland School District","=""1420011""","Black or African American",*,*
"Tolland School District","=""1420011""","Hispanic or Latino",*,*
"Tolland School District","=""1420011""","White",88.0,90.3
"Torrington School District","=""1430011""","American Indian or Alaska Native",*,*
"Torrington School District","=""1430011""","Asian",*,*
"Torrington School District","=""1430011""","Black or African American",*,*
"Torrington School District","=""1430011""","Hispanic or Latino",68.2,73.3
"Torrington School District","=""1430011""","Two or More Races",*,*
"Torrington School District","=""1430011""","White",61.9,86.9
"Trumbull School District","=""1440011""","American Indian or Alaska Native",*,*
"Trumbull School District","=""1440011""","Asian",92.6,96.0
"Trumbull School District","=""1440011""","Black or African American",84.4,88.9
"Trumbull School District","=""1440011""","Hispanic or Latino",68.9,87.1
"Trumbull School District","=""1440011""","Two or More Races",*,*
"Trumbull School District","=""1440011""","White",88.7,94.0
"Vernon School District","=""1460011""","Asian",70.0,*
"Vernon School District","=""1460011""","Black or African American",54.5,*
"Vernon School District","=""1460011""","Hispanic or Latino",*,*
"Vernon School District","=""1460011""","White",69.6,92.9
"Wallingford School District","=""1480011""","American Indian or Alaska Native",*,*
"Wallingford School District","=""1480011""","Asian",*,*
"Wallingford School District","=""1480011""","Black or African American",*,*
"Wallingford School District","=""1480011""","Hispanic or Latino",49.0,72.0
"Wallingford School District","=""1480011""","Native Hawaiian or Other Pacific Islander",*,*
"Wallingford School District","=""1480011""","White",71.5,93.0
"Waterbury School District","=""1510011""","American Indian or Alaska Native",*,*
"Waterbury School District","=""1510011""","Asian",*,*
"Waterbury School District","=""1510011""","Black or African American",53.6,76.0
"Waterbury School District","=""1510011""","Hispanic or Latino",54.6,67.6
"Waterbury School District","=""1510011""","Two or More Races",*,*
"Waterbury School District","=""1510011""","White",65.9,81.3
"Waterford School District","=""1520011""","American Indian or Alaska Native",*,*
"Waterford School District","=""1520011""","Asian",*,*
"Waterford School District","=""1520011""","Black or African American",*,*
"Waterford School District","=""1520011""","Hispanic or Latino",*,*
"Waterford School District","=""1520011""","Two or More Races",*,*
"Waterford School District","=""1520011""","White",81.0,92.4
"Watertown School District","=""1530011""","Asian",*,*
"Watertown School District","=""1530011""","Black or African American",*,*
"Watertown School District","=""1530011""","Hispanic or Latino",*,*
"Watertown School District","=""1530011""","Two or More Races",*,*
"Watertown School District","=""1530011""","White",76.7,93.1
"Westbrook School District","=""1540011""","Asian",*,*
"Westbrook School District","=""1540011""","Hispanic or Latino",*,*
"Westbrook School District","=""1540011""","Two or More Races",*,*
"Westbrook School District","=""1540011""","White",80.3,83.0
"West Hartford School District","=""1550011""","American Indian or Alaska Native",*,*
"West Hartford School District","=""1550011""","Asian",96.3,92.3
"West Hartford School District","=""1550011""","Black or African American",71.2,86.5
"West Hartford School District","=""1550011""","Hispanic or Latino",71.8,79.7
"West Hartford School District","=""1550011""","Two or More Races",*,*
"West Hartford School District","=""1550011""","White",85.2,94.5
"West Haven School District","=""1560011""","American Indian or Alaska Native",*,*
"West Haven School District","=""1560011""","Asian",*,*
"West Haven School District","=""1560011""","Black or African American",68.7,87.7
"West Haven School District","=""1560011""","Hispanic or Latino",56.7,82.4
"West Haven School District","=""1560011""","Native Hawaiian or Other Pacific Islander",*,*
"West Haven School District","=""1560011""","Two or More Races",*,*
"West Haven School District","=""1560011""","White",64.1,89.3
"Weston School District","=""1570011""","Asian",*,*
"Weston School District","=""1570011""","Black or African American",*,*
"Weston School District","=""1570011""","Hispanic or Latino",*,*
"Weston School District","=""1570011""","Two or More Races",*,*
"Weston School District","=""1570011""","White",90.6,96.6
