"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",67.6,87.0
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",62.5,74.3
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",51.8,85.9
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",53.3,75.5
"New Canaan School District","=""0900011""","Eligible for Free or Reduced-Price Meals",*,*
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",42.9,*
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",60.5,72.9
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",74.3,78.2
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",55.7,78.4
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",36.2,*
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",71.4,68.0
"North Branford School District","=""0990011""","Eligible for Free or Reduced-Price Meals",56.0,*
"North Haven School District","=""1010011""","Eligible for Free or Reduced-Price Meals",83.7,85.4
"North Stonington School District","=""1020011""","Eligible for Free or Reduced-Price Meals",*,*
"Norwalk School District","=""1030011""","Eligible for Free or Reduced-Price Meals",61.5,81.6
"Norwich School District","=""1040011""","Eligible for Free or Reduced-Price Meals",*,*
"Old Saybrook School District","=""1060011""","Eligible for Free or Reduced-Price Meals",*,*
"Oxford School District","=""1080011""","Eligible for Free or Reduced-Price Meals",*,*
"Plainfield School District","=""1090011""","Eligible for Free or Reduced-Price Meals",37.0,70.0
"Plainville School District","=""1100011""","Eligible for Free or Reduced-Price Meals",51.7,83.3
"Plymouth School District","=""1110011""","Eligible for Free or Reduced-Price Meals",40.6,*
"Portland School District","=""1130011""","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Eligible for Free or Reduced-Price Meals",33.3,*
"Ridgefield School District","=""1180011""","Eligible for Free or Reduced-Price Meals",*,*
"Rocky Hill School District","=""1190011""","Eligible for Free or Reduced-Price Meals",*,*
"Seymour School District","=""1240011""","Eligible for Free or Reduced-Price Meals",74.4,79.3
"Shelton School District","=""1260011""","Eligible for Free or Reduced-Price Meals",66.7,88.0
"Simsbury School District","=""1280011""","Eligible for Free or Reduced-Price Meals",67.7,95.2
"Somers School District","=""1290011""","Eligible for Free or Reduced-Price Meals",*,*
"Southington School District","=""1310011""","Eligible for Free or Reduced-Price Meals",63.8,75.0
"South Windsor School District","=""1320011""","Eligible for Free or Reduced-Price Meals",60.0,92.6
"Stafford School District","=""1340011""","Eligible for Free or Reduced-Price Meals",45.5,*
"Stamford School District","=""1350011""","Eligible for Free or Reduced-Price Meals",66.1,81.9
"Stonington School District","=""1370011""","Eligible for Free or Reduced-Price Meals",*,*
"Stratford School District","=""1380011""","Eligible for Free or Reduced-Price Meals",67.7,81.5
"Suffield School District","=""1390011""","Eligible for Free or Reduced-Price Meals",72.0,*
"Thomaston School District","=""1400011""","Eligible for Free or Reduced-Price Meals",47.6,*
"Thompson School District","=""1410011""","Eligible for Free or Reduced-Price Meals",*,*
"Tolland School District","=""1420011""","Eligible for Free or Reduced-Price Meals",*,*
"Torrington School District","=""1430011""","Eligible for Free or Reduced-Price Meals",52.7,71.8
"Trumbull School District","=""1440011""","Eligible for Free or Reduced-Price Meals",79.7,91.5
"Vernon School District","=""1460011""","Eligible for Free or Reduced-Price Meals",50.7,77.1
"Wallingford School District","=""1480011""","Eligible for Free or Reduced-Price Meals",47.8,87.9
"Waterbury School District","=""1510011""","Eligible for Free or Reduced-Price Meals",53.6,78.0
"Waterford School District","=""1520011""","Eligible for Free or Reduced-Price Meals",75.9,63.6
"Watertown School District","=""1530011""","Eligible for Free or Reduced-Price Meals",56.3,74.1
"Westbrook School District","=""1540011""","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Eligible for Free or Reduced-Price Meals",72.7,82.1
"West Haven School District","=""1560011""","Eligible for Free or Reduced-Price Meals",63.1,78.9
"Weston School District","=""1570011""","Eligible for Free or Reduced-Price Meals",*,*
"Westport School District","=""1580011""","Eligible for Free or Reduced-Price Meals",*,*
"Wethersfield School District","=""1590011""","Eligible for Free or Reduced-Price Meals",74.6,86.4
"Wilton School District","=""1610011""","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Eligible for Free or Reduced-Price Meals",43.3,69.0
"Windsor School District","=""1640011""","Eligible for Free or Reduced-Price Meals",59.0,81.2
"Windsor Locks School District","=""1650011""","Eligible for Free or Reduced-Price Meals",40.0,*
"Wolcott School District","=""1660011""","Eligible for Free or Reduced-Price Meals",69.1,92.1
"Regional School District 01","=""2010012""","Eligible for Free or Reduced-Price Meals",54.2,*
"Regional School District 04","=""2040012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 05","=""2050012""","Eligible for Free or Reduced-Price Meals",63.6,*
"Regional School District 06","=""2060012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","Eligible for Free or Reduced-Price Meals",57.1,*
"Regional School District 08","=""2080012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 09","=""2090012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 10","=""2100012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 11","=""2110012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 12","=""2120012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 13","=""2130012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 14","=""2140012""","Eligible for Free or Reduced-Price Meals",66.7,*
"Regional School District 15","=""2150012""","Eligible for Free or Reduced-Price Meals",26.9,*
"Regional School District 16","=""2160012""","Eligible for Free or Reduced-Price Meals",60.0,*
"Regional School District 17","=""2170012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 18","=""2180012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 19","=""2190012""","Eligible for Free or Reduced-Price Meals",48.5,*
"Capitol Region Education Council","=""2410014""","Eligible for Free or Reduced-Price Meals",67.3,72.9
"Education Connection","=""2420014""","Eligible for Free or Reduced-Price Meals",*,*
"Cooperative Educational Services","=""2430014""","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Eligible for Free or Reduced-Price Meals",11.5,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible for Free or Reduced-Price Meals",50.0,*
"Common Ground High School District","=""2680013""","Eligible for Free or Reduced-Price Meals",48.3,*
"The Bridge Academy District","=""2690013""","Eligible for Free or Reduced-Price Meals",76.9,75.0
"Explorations District","=""2720013""","Eligible for Free or Reduced-Price Meals",*,*
"Amistad Academy District","=""2790013""","Eligible for Free or Reduced-Price Meals",*,*
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals",45.5,*
"Unified School District #1","=""3360015""","Eligible for Free or Reduced-Price Meals",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",48.3,73.6
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",61.0,79.0
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",76.2,*
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals",68.6,83.3

