"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",51.5,70.9
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",61.5,78.1
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",74.2,91.3
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",45.9,*
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",51.2,74.6
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",69.2,84.0
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",82.9,82.8
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",81.4,85.7
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",80.0,*
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",70.4,88.4
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",56.9,63.6
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",58.2,75.4
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",64.3,*
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",60.5,77.1
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",58.7,77.2
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",45.6,70.7
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",60.0,*
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",66.7,86.1
"Lisbon School District","=""0730011""","Eligible for Free or Reduced-Price Meals",*,*
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",*,*
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",*,*
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",57.5,73.2
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",51.4,74.1
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",51.8,74.4
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",55.3,79.5
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",75.0,75.0
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",53.4,83.9
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",63.0,75.9
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",51.7,71.9
"New Canaan School District","=""0900011""","Eligible for Free or Reduced-Price Meals",*,*
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",61.1,95.5
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",62.4,77.3
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",59.4,78.3
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",56.1,75.2
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",56.7,88.2
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",79.5,80.6
"North Branford School District","=""0990011""","Eligible for Free or Reduced-Price Meals",64.7,81.8
"North Haven School District","=""1010011""","Eligible for Free or Reduced-Price Meals",67.2,79.1
"North Stonington School District","=""1020011""","Eligible for Free or Reduced-Price Meals",*,*
"Norwalk School District","=""1030011""","Eligible for Free or Reduced-Price Meals",69.4,88.7
"Norwich School District","=""1040011""","Eligible for Free or Reduced-Price Meals",*,*
"Old Saybrook School District","=""1060011""","Eligible for Free or Reduced-Price Meals",81.5,90.9
"Oxford School District","=""1080011""","Eligible for Free or Reduced-Price Meals",*,*
"Plainfield School District","=""1090011""","Eligible for Free or Reduced-Price Meals",34.2,81.5
"Plainville School District","=""1100011""","Eligible for Free or Reduced-Price Meals",60.6,77.5
"Plymouth School District","=""1110011""","Eligible for Free or Reduced-Price Meals",41.5,*
"Portland School District","=""1130011""","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Eligible for Free or Reduced-Price Meals",42.2,*
"Ridgefield School District","=""1180011""","Eligible for Free or Reduced-Price Meals",*,*
"Rocky Hill School District","=""1190011""","Eligible for Free or Reduced-Price Meals",81.0,*
"Seymour School District","=""1240011""","Eligible for Free or Reduced-Price Meals",62.5,86.7
"Shelton School District","=""1260011""","Eligible for Free or Reduced-Price Meals",69.0,87.0
"Simsbury School District","=""1280011""","Eligible for Free or Reduced-Price Meals",74.3,84.6
"Somers School District","=""1290011""","Eligible for Free or Reduced-Price Meals",*,*
"Southington School District","=""1310011""","Eligible for Free or Reduced-Price Meals",47.1,69.7
"South Windsor School District","=""1320011""","Eligible for Free or Reduced-Price Meals",67.5,92.6
"Stafford School District","=""1340011""","Eligible for Free or Reduced-Price Meals",44.7,*
"Stamford School District","=""1350011""","Eligible for Free or Reduced-Price Meals",65.3,82.8
"Stonington School District","=""1370011""","Eligible for Free or Reduced-Price Meals",72.4,76.2
"Stratford School District","=""1380011""","Eligible for Free or Reduced-Price Meals",62.1,87.2
"Suffield School District","=""1390011""","Eligible for Free or Reduced-Price Meals",68.6,87.5
"Thomaston School District","=""1400011""","Eligible for Free or Reduced-Price Meals",42.3,*
"Thompson School District","=""1410011""","Eligible for Free or Reduced-Price Meals",38.5,*
"Tolland School District","=""1420011""","Eligible for Free or Reduced-Price Meals",37.0,*
"Torrington School District","=""1430011""","Eligible for Free or Reduced-Price Meals",50.0,86.9
"Trumbull School District","=""1440011""","Eligible for Free or Reduced-Price Meals",73.7,87.1
"Vernon School District","=""1460011""","Eligible for Free or Reduced-Price Meals",45.3,82.1
"Wallingford School District","=""1480011""","Eligible for Free or Reduced-Price Meals",59.4,77.2
"Waterbury School District","=""1510011""","Eligible for Free or Reduced-Price Meals",52.4,74.8
"Waterford School District","=""1520011""","Eligible for Free or Reduced-Price Meals",65.3,71.9
"Watertown School District","=""1530011""","Eligible for Free or Reduced-Price Meals",56.3,88.9
"Westbrook School District","=""1540011""","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Eligible for Free or Reduced-Price Meals",73.0,90.4
"West Haven School District","=""1560011""","Eligible for Free or Reduced-Price Meals",57.6,79.7
"Weston School District","=""1570011""","Eligible for Free or Reduced-Price Meals",*,*
"Westport School District","=""1580011""","Eligible for Free or Reduced-Price Meals",*,*
"Wethersfield School District","=""1590011""","Eligible for Free or Reduced-Price Meals",74.5,84.2
"Wilton School District","=""1610011""","Eligible for Free or Reduced-Price Meals",*,*
"Winchester School District","=""1620011""","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Eligible for Free or Reduced-Price Meals",50.8,65.1
"Windsor School District","=""1640011""","Eligible for Free or Reduced-Price Meals",69.5,87.9
"Windsor Locks School District","=""1650011""","Eligible for Free or Reduced-Price Meals",52.8,92.9
"Wolcott School District","=""1660011""","Eligible for Free or Reduced-Price Meals",71.1,84.4
"Regional School District 01","=""2010012""","Eligible for Free or Reduced-Price Meals",34.4,*
"Regional School District 04","=""2040012""","Eligible for Free or Reduced-Price Meals",46.2,*
"Regional School District 05","=""2050012""","Eligible for Free or Reduced-Price Meals",72.0,*
"Regional School District 06","=""2060012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","Eligible for Free or Reduced-Price Meals",27.3,*
"Regional School District 08","=""2080012""","Eligible for Free or Reduced-Price Meals",58.1,*
"Regional School District 09","=""2090012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 10","=""2100012""","Eligible for Free or Reduced-Price Meals",52.4,*
"Regional School District 11","=""2110012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 12","=""2120012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 13","=""2130012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 14","=""2140012""","Eligible for Free or Reduced-Price Meals",62.1,*
"Regional School District 15","=""2150012""","Eligible for Free or Reduced-Price Meals",44.0,*
"Regional School District 16","=""2160012""","Eligible for Free or Reduced-Price Meals",60.5,82.6
"Regional School District 17","=""2170012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 18","=""2180012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 19","=""2190012""","Eligible for Free or Reduced-Price Meals",70.7,88.7
"Capitol Region Education Council","=""2410014""","Eligible for Free or Reduced-Price Meals",64.6,79.6
"Education Connection","=""2420014""","Eligible for Free or Reduced-Price Meals",*,*
"Cooperative Educational Services","=""2430014""","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Eligible for Free or Reduced-Price Meals",*,*
"Learn","=""2450014""","Eligible for Free or Reduced-Price Meals",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible for Free or Reduced-Price Meals",39.4,*
"Common Ground High School District","=""2680013""","Eligible for Free or Reduced-Price Meals",58.1,*
"The Bridge Academy District","=""2690013""","Eligible for Free or Reduced-Price Meals",75.8,60.0
"Explorations District","=""2720013""","Eligible for Free or Reduced-Price Meals",*,*
"Amistad Academy District","=""2790013""","Eligible for Free or Reduced-Price Meals",*,*
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals",*,*
"Elm City College Preparatory School District","=""2890013""","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",48.8,75.1
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",63.5,80.0
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",66.7,75.0
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals",39.4,*

