"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Simsbury School District","=""1280011""",80.6,95.7
"Somers School District","=""1290011""",78.3,92.6
"Southington School District","=""1310011""",80.7,89.5
"South Windsor School District","=""1320011""",83.1,91.8
"Stafford School District","=""1340011""",66.4,90.7
"Stamford School District","=""1350011""",73.2,88.5
"Stonington School District","=""1370011""",82.1,91.3
"Stratford School District","=""1380011""",72.8,85.7
"Suffield School District","=""1390011""",82.4,89.9
"Thomaston School District","=""1400011""",70.4,88.4
"Thompson School District","=""1410011""",64.7,87.3
"Tolland School District","=""1420011""",84.1,88.6
"Torrington School District","=""1430011""",68.2,87.0
"Trumbull School District","=""1440011""",82.9,93.2
"Vernon School District","=""1460011""",67.3,85.6
"Wallingford School District","=""1480011""",72.6,92.6
"Waterbury School District","=""1510011""",56.9,80.4
"Waterford School District","=""1520011""",79.7,83.0
"Watertown School District","=""1530011""",74.5,86.6
"Westbrook School District","=""1540011""",80.6,91.4
"West Hartford School District","=""1550011""",82.3,92.5
"West Haven School District","=""1560011""",66.6,84.2
"Weston School District","=""1570011""",87.5,97.0
"Westport School District","=""1580011""",79.0,96.2
"Wethersfield School District","=""1590011""",79.2,89.5
"Wilton School District","=""1610011""",87.5,96.6
"Windham School District","=""1630011""",60.9,81.7
"Windsor School District","=""1640011""",72.7,85.0
"Windsor Locks School District","=""1650011""",61.0,91.7
"Wolcott School District","=""1660011""",74.1,89.4
"Regional School District 01","=""2010012""",59.8,91.8
"Regional School District 04","=""2040012""",69.3,92.3
"Regional School District 05","=""2050012""",83.1,94.7
"Regional School District 06","=""2060012""",72.5,89.4
"Regional School District 07","=""2070012""",69.0,91.9
"Regional School District 08","=""2080012""",84.7,93.3
"Regional School District 09","=""2090012""",81.1,93.0
"Regional School District 10","=""2100012""",82.7,93.0
"Regional School District 11","=""2110012""",71.4,100.0
"Regional School District 12","=""2120012""",67.9,85.5
"Regional School District 13","=""2130012""",88.5,94.8
"Regional School District 14","=""2140012""",80.0,89.3
"Regional School District 15","=""2150012""",82.8,94.4
"Regional School District 16","=""2160012""",75.8,88.9
"Regional School District 17","=""2170012""",74.6,90.5
"Regional School District 18","=""2180012""",75.6,85.9
"Regional School District 19","=""2190012""",73.5,94.0
"Capitol Region Education Council","=""2410014""",72.1,80.4
"Education Connection","=""2420014""",*,*
"Cooperative Educational Services","=""2430014""",*,*
"Area Cooperative Educational Services","=""2440014""",11.5,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",54.2,53.8
"Common Ground High School District","=""2680013""",51.4,*
"The Bridge Academy District","=""2690013""",79.3,78.3
"Explorations District","=""2720013""",32.0,*
"Amistad Academy District","=""2790013""",90.5,*
"Stamford Academy District","=""2820013""",45.5,*
"Unified School District #1","=""3360015""",*,*
"Department of Mental Health and Addiction Services","=""3370015""",*,*
"Unified School District #2","=""3470015""",*,*
"Connecticut Technical High School System","=""9000016""",43.6,76.0
"Norwich Free Academy District","=""9010022""",73.0,87.7
"The Gilbert School District","=""9020022""",83.1,91.8
"Woodstock Academy District","=""9030022""",80.1,89.4

