"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Bridgeport School District","=""0150011""","Hispanic or Latino",44.7,74.4
"Bridgeport School District","=""0150011""","White",62.4,81.0
"Bristol School District","=""0170011""","Asian",*,*
"Bristol School District","=""0170011""","Black or African American",59.6,78.6
"Bristol School District","=""0170011""","Hispanic or Latino",39.7,69.6
"Bristol School District","=""0170011""","White",73.5,87.7
"Brookfield School District","=""0180011""","Asian",*,*
"Brookfield School District","=""0180011""","Black or African American",*,*
"Brookfield School District","=""0180011""","Hispanic or Latino",*,*
"Brookfield School District","=""0180011""","White",86.9,94.3
"Canton School District","=""0230011""","Asian",*,*
"Canton School District","=""0230011""","Black or African American",*,*
"Canton School District","=""0230011""","Hispanic or Latino",*,*
"Canton School District","=""0230011""","White",75.7,97.4
"Cheshire School District","=""0250011""","Asian",92.6,96.0
"Cheshire School District","=""0250011""","Black or African American",*,*
"Cheshire School District","=""0250011""","Hispanic or Latino",*,*
"Cheshire School District","=""0250011""","White",87.1,92.8
"Clinton School District","=""0270011""","Asian",*,*
"Clinton School District","=""0270011""","Hispanic or Latino",*,*
"Clinton School District","=""0270011""","White",76.8,91.5
"Colchester School District","=""0280011""","Asian",*,*
"Colchester School District","=""0280011""","Black or African American",*,*
"Colchester School District","=""0280011""","Hispanic or Latino",*,*
"Colchester School District","=""0280011""","White",75.5,91.1
"Coventry School District","=""0320011""","Asian",*,*
"Coventry School District","=""0320011""","Hispanic or Latino",*,*
"Coventry School District","=""0320011""","White",70.1,85.4
"Cromwell School District","=""0330011""","Asian",*,*
"Cromwell School District","=""0330011""","Black or African American",*,*
"Cromwell School District","=""0330011""","Hispanic or Latino",*,*
"Cromwell School District","=""0330011""","White",80.2,92.9
"Danbury School District","=""0340011""","Asian",82.5,97.9
"Danbury School District","=""0340011""","Black or African American",68.5,76.0
"Danbury School District","=""0340011""","Hispanic or Latino",49.2,81.7
"Danbury School District","=""0340011""","White",71.6,90.8
"Darien School District","=""0350011""","Asian",*,*
"Darien School District","=""0350011""","Hispanic or Latino",*,*
"Darien School District","=""0350011""","White",86.0,95.1
"Derby School District","=""0370011""","Asian",*,*
"Derby School District","=""0370011""","Black or African American",*,*
"Derby School District","=""0370011""","Hispanic or Latino",*,*
"Derby School District","=""0370011""","White",61.5,85.0
"Eastford School District","=""0390011""","White",*,*
"East Granby School District","=""0400011""","Asian",*,*
"East Granby School District","=""0400011""","Black or African American",*,*
"East Granby School District","=""0400011""","Hispanic or Latino",*,*
"East Granby School District","=""0400011""","White",81.3,94.9
"East Haddam School District","=""0410011""","Asian",*,*
"East Haddam School District","=""0410011""","Black or African American",*,*
"East Haddam School District","=""0410011""","Hispanic or Latino",*,*
"East Haddam School District","=""0410011""","White",79.6,93.6
"East Hampton School District","=""0420011""","Asian",*,*
"East Hampton School District","=""0420011""","Black or African American",*,*
"East Hampton School District","=""0420011""","Hispanic or Latino",*,*
"East Hampton School District","=""0420011""","White",80.8,87.3
"East Hartford School District","=""0430011""","American Indian or Alaska Native",*,*
"East Hartford School District","=""0430011""","Asian",*,*
"East Hartford School District","=""0430011""","Black or African American",53.1,80.0
"East Hartford School District","=""0430011""","Hispanic or Latino",48.1,81.1
"East Hartford School District","=""0430011""","White",56.5,82.8
"East Haven School District","=""0440011""","American Indian or Alaska Native",*,*
"East Haven School District","=""0440011""","Asian",*,*
"East Haven School District","=""0440011""","Black or African American",*,*
"East Haven School District","=""0440011""","Hispanic or Latino",52.4,*
"East Haven School District","=""0440011""","White",62.0,83.6
"East Lyme School District","=""0450011""","American Indian or Alaska Native",*,*
"East Lyme School District","=""0450011""","Asian",72.7,*
"East Lyme School District","=""0450011""","Black or African American",*,*
"East Lyme School District","=""0450011""","Hispanic or Latino",*,*
"East Lyme School District","=""0450011""","White",79.1,93.1
"East Windsor School District","=""0470011""","Asian",*,*
"East Windsor School District","=""0470011""","Black or African American",*,*
"East Windsor School District","=""0470011""","Hispanic or Latino",*,*
"East Windsor School District","=""0470011""","White",45.6,92.7
"Ellington School District","=""0480011""","Asian",*,*
"Ellington School District","=""0480011""","Black or African American",*,*
"Ellington School District","=""0480011""","Hispanic or Latino",*,*
"Ellington School District","=""0480011""","White",80.0,90.7
"Enfield School District","=""0490011""","Asian",*,*
"Enfield School District","=""0490011""","Black or African American",76.0,*
"Enfield School District","=""0490011""","Hispanic or Latino",*,*
"Enfield School District","=""0490011""","White",77.6,87.6
"Fairfield School District","=""0510011""","Asian",78.3,*
"Fairfield School District","=""0510011""","Black or African American",85.7,*
"Fairfield School District","=""0510011""","Hispanic or Latino",57.1,90.0
"Fairfield School District","=""0510011""","White",85.1,95.1
"Farmington School District","=""0520011""","Asian",87.0,95.0
"Farmington School District","=""0520011""","Black or African American",*,*
"Farmington School District","=""0520011""","Hispanic or Latino",*,*
"Farmington School District","=""0520011""","White",86.3,96.8
"Glastonbury School District","=""0540011""","Asian",80.8,95.2
"Glastonbury School District","=""0540011""","Black or African American",*,*
"Glastonbury School District","=""0540011""","Hispanic or Latino",65.2,*
"Glastonbury School District","=""0540011""","White",90.6,94.7
"Granby School District","=""0560011""","Asian",*,*
"Granby School District","=""0560011""","Black or African American",*,*
"Granby School District","=""0560011""","Hispanic or Latino",*,*
"Granby School District","=""0560011""","White",76.7,93.4
"Greenwich School District","=""0570011""","Asian",73.8,93.5
"Greenwich School District","=""0570011""","Black or African American",*,*
"Greenwich School District","=""0570011""","Hispanic or Latino",63.3,89.5
"Greenwich School District","=""0570011""","White",80.4,94.7
"Griswold School District","=""0580011""","American Indian or Alaska Native",*,*
"Griswold School District","=""0580011""","Asian",*,*
"Griswold School District","=""0580011""","Black or African American",*,*
"Griswold School District","=""0580011""","Hispanic or Latino",*,*
"Griswold School District","=""0580011""","White",66.0,84.8
"Groton School District","=""0590011""","American Indian or Alaska Native",*,*
"Groton School District","=""0590011""","Asian",81.5,86.4
"Groton School District","=""0590011""","Black or African American",58.7,77.8
"Groton School District","=""0590011""","Hispanic or Latino",*,*
"Groton School District","=""0590011""","White",71.5,82.9
"Guilford School District","=""0600011""","Asian",*,*
"Guilford School District","=""0600011""","Black or African American",*,*
"Guilford School District","=""0600011""","Hispanic or Latino",*,*
"Guilford School District","=""0600011""","White",86.3,94.0
"Hamden School District","=""0620011""","American Indian or Alaska Native",*,*
"Hamden School District","=""0620011""","Asian",*,*
"Hamden School District","=""0620011""","Black or African American",61.5,77.8
"Hamden School District","=""0620011""","Hispanic or Latino",52.8,89.3
"Hamden School District","=""0620011""","White",79.9,88.9
"Hartford School District","=""0640011""","American Indian or Alaska Native",*,*
"Hartford School District","=""0640011""","Asian",*,*
"Hartford School District","=""0640011""","Black or African American",62.3,79.0
"Hartford School District","=""0640011""","Hispanic or Latino",56.7,68.2
"Hartford School District","=""0640011""","White",78.4,87.0
"Killingly School District","=""0690011""","American Indian or Alaska Native",*,*
"Killingly School District","=""0690011""","Asian",*,*
"Killingly School District","=""0690011""","Black or African American",*,*
"Killingly School District","=""0690011""","Hispanic or Latino",*,*
"Killingly School District","=""0690011""","White",58.7,80.2
"Lebanon School District","=""0710011""","Black or African American",*,*
"Lebanon School District","=""0710011""","Hispanic or Latino",*,*
"Lebanon School District","=""0710011""","White",76.6,93.5
"Ledyard School District","=""0720011""","American Indian or Alaska Native",*,*
"Ledyard School District","=""0720011""","Asian",*,*
"Ledyard School District","=""0720011""","Black or African American",*,*
"Ledyard School District","=""0720011""","Hispanic or Latino",*,*
"Ledyard School District","=""0720011""","White",71.7,91.2
"Litchfield School District","=""0740011""","Black or African American",*,*
"Litchfield School District","=""0740011""","Hispanic or Latino",*,*
"Litchfield School District","=""0740011""","White",*,90.5
"Madison School District","=""0760011""","Asian",*,*
"Madison School District","=""0760011""","Black or African American",*,*
"Madison School District","=""0760011""","Hispanic or Latino",*,*
"Madison School District","=""0760011""","White",90.4,94.3
"Manchester School District","=""0770011""","American Indian or Alaska Native",*,*
"Manchester School District","=""0770011""","Asian",*,*
"Manchester School District","=""0770011""","Black or African American",55.2,87.5
"Manchester School District","=""0770011""","Hispanic or Latino",60.0,84.6
"Manchester School District","=""0770011""","White",74.9,91.4
"Meriden School District","=""0800011""","Asian",*,*
"Meriden School District","=""0800011""","Black or African American",56.2,63.4
"Meriden School District","=""0800011""","Hispanic or Latino",41.1,72.2
"Meriden School District","=""0800011""","White",65.1,85.2
"Middletown School District","=""0830011""","Asian",*,*
"Middletown School District","=""0830011""","Black or African American",52.1,76.3
"Middletown School District","=""0830011""","Hispanic or Latino",54.5,*
"Middletown School District","=""0830011""","White",76.8,82.9
"Milford School District","=""0840011""","American Indian or Alaska Native",*,*
"Milford School District","=""0840011""","Asian",81.8,*
"Milford School District","=""0840011""","Black or African American",*,*
"Milford School District","=""0840011""","Hispanic or Latino",75.0,83.3
"Milford School District","=""0840011""","White",73.8,89.3
"Monroe School District","=""0850011""","Asian",*,*
"Monroe School District","=""0850011""","Black or African American",*,*
"Monroe School District","=""0850011""","Hispanic or Latino",*,*
"Monroe School District","=""0850011""","White",83.2,91.8
"Montville School District","=""0860011""","American Indian or Alaska Native",*,*
"Montville School District","=""0860011""","Asian",*,*
"Montville School District","=""0860011""","Black or African American",*,*
"Montville School District","=""0860011""","Hispanic or Latino",*,*
"Montville School District","=""0860011""","White",71.9,88.2
"Naugatuck School District","=""0880011""","Asian",*,*
"Naugatuck School District","=""0880011""","Black or African American",*,*
"Naugatuck School District","=""0880011""","Hispanic or Latino",45.2,*
"Naugatuck School District","=""0880011""","White",69.5,87.6
"New Britain School District","=""0890011""","American Indian or Alaska Native",*,*
"New Britain School District","=""0890011""","Asian",*,*
"New Britain School District","=""0890011""","Black or African American",58.3,74.6
"New Britain School District","=""0890011""","Hispanic or Latino",46.2,77.3
"New Britain School District","=""0890011""","White",70.6,85.4
"New Canaan School District","=""0900011""","Asian",*,*
"New Canaan School District","=""0900011""","Black or African American",*,*
"New Canaan School District","=""0900011""","Hispanic or Latino",*,*
"New Canaan School District","=""0900011""","White",84.9,95.9
"New Fairfield School District","=""0910011""","Asian",*,*
"New Fairfield School District","=""0910011""","Hispanic or Latino",*,*
"New Fairfield School District","=""0910011""","White",81.6,92.5
"New Haven School District","=""0930011""","American Indian or Alaska Native",*,*
"New Haven School District","=""0930011""","Asian",*,*
"New Haven School District","=""0930011""","Black or African American",64.2,68.5
"New Haven School District","=""0930011""","Hispanic or Latino",48.3,78.1
"New Haven School District","=""0930011""","White",70.9,87.9
"Newington School District","=""0940011""","Asian",*,*
"Newington School District","=""0940011""","Black or African American",*,*
"Newington School District","=""0940011""","Hispanic or Latino",*,*
"Newington School District","=""0940011""","White",78.5,92.7
"New London School District","=""0950011""","American Indian or Alaska Native",*,*
"New London School District","=""0950011""","Asian",*,*
"New London School District","=""0950011""","Black or African American",45.8,77.3
"New London School District","=""0950011""","Hispanic or Latino",38.3,78.3
"New London School District","=""0950011""","White",70.0,81.0
"New Milford School District","=""0960011""","Asian",*,*
"New Milford School District","=""0960011""","Black or African American",*,*
"New Milford School District","=""0960011""","Hispanic or Latino",*,*
"New Milford School District","=""0960011""","White",85.5,89.9
"Newtown School District","=""0970011""","Asian",*,*
"Newtown School District","=""0970011""","Black or African American",*,*
"Newtown School District","=""0970011""","Hispanic or Latino",*,*
"Newtown School District","=""0970011""","White",82.0,95.9
"North Branford School District","=""0990011""","Asian",*,*
"North Branford School District","=""0990011""","Black or African American",*,*
"North Branford School District","=""0990011""","Hispanic or Latino",*,*
"North Branford School District","=""0990011""","White",80.1,88.4
"North Haven School District","=""1010011""","American Indian or Alaska Native",*,*
"North Haven School District","=""1010011""","Asian",*,*
"North Haven School District","=""1010011""","Black or African American",*,*
"North Haven School District","=""1010011""","Hispanic or Latino",*,*
"North Haven School District","=""1010011""","White",77.9,89.8
"North Stonington School District","=""1020011""","American Indian or Alaska Native",*,*
"North Stonington School District","=""1020011""","Asian",*,*
"North Stonington School District","=""1020011""","Black or African American",*,*
"North Stonington School District","=""1020011""","White",68.3,96.4
"Norwalk School District","=""1030011""","American Indian or Alaska Native",*,*
"Norwalk School District","=""1030011""","Asian",*,*
"Norwalk School District","=""1030011""","Black or African American",73.3,74.8
"Norwalk School District","=""1030011""","Hispanic or Latino",61.0,82.0
"Norwalk School District","=""1030011""","White",83.1,92.2
"Norwich School District","=""1040011""","Black or African American",*,*
"Norwich School District","=""1040011""","White",*,*
"Old Saybrook School District","=""1060011""","Asian",*,*
"Old Saybrook School District","=""1060011""","Black or African American",*,*
"Old Saybrook School District","=""1060011""","Hispanic or Latino",*,*
"Old Saybrook School District","=""1060011""","White",78.2,96.2
"Plainfield School District","=""1090011""","American Indian or Alaska Native",*,*
"Plainfield School District","=""1090011""","Asian",*,*
"Plainfield School District","=""1090011""","Black or African American",*,*
"Plainfield School District","=""1090011""","Hispanic or Latino",*,*
"Plainfield School District","=""1090011""","White",60.1,73.3
"Plainville School District","=""1100011""","Asian",*,*
"Plainville School District","=""1100011""","Black or African American",*,*
"Plainville School District","=""1100011""","Hispanic or Latino",*,*
"Plainville School District","=""1100011""","White",70.9,83.0
"Plymouth School District","=""1110011""","American Indian or Alaska Native",*,*
"Plymouth School District","=""1110011""","Asian",*,*
"Plymouth School District","=""1110011""","Hispanic or Latino",*,*
"Plymouth School District","=""1110011""","White",59.4,86.8
"Portland School District","=""1130011""","Asian",*,*
"Portland School District","=""1130011""","Black or African American",*,*
"Portland School District","=""1130011""","Hispanic or Latino",*,*
"Portland School District","=""1130011""","White",84.5,80.0
"Putnam School District","=""1160011""","Black or African American",*,*
"Putnam School District","=""1160011""","Hispanic or Latino",*,*
"Putnam School District","=""1160011""","White",61.1,*
"Ridgefield School District","=""1180011""","Asian",*,*
"Ridgefield School District","=""1180011""","Black or African American",*,*
"Ridgefield School District","=""1180011""","Hispanic or Latino",*,*
"Ridgefield School District","=""1180011""","White",85.8,97.2
"Rocky Hill School District","=""1190011""","Asian",*,*
"Rocky Hill School District","=""1190011""","Black or African American",*,*
"Rocky Hill School District","=""1190011""","Hispanic or Latino",*,*
"Rocky Hill School District","=""1190011""","White",84.4,93.9
"Seymour School District","=""1240011""","Asian",*,*
"Seymour School District","=""1240011""","Black or African American",*,*
"Seymour School District","=""1240011""","Hispanic or Latino",*,*
"Seymour School District","=""1240011""","White",73.7,92.4
"Shelton School District","=""1260011""","American Indian or Alaska Native",*,*
"Shelton School District","=""1260011""","Asian",*,*
"Shelton School District","=""1260011""","Black or African American",*,*
"Shelton School District","=""1260011""","Hispanic or Latino",*,*
"Shelton School District","=""1260011""","White",83.3,92.5
"Simsbury School District","=""1280011""","Asian",*,*
"Simsbury School District","=""1280011""","Black or African American",*,*
"Simsbury School District","=""1280011""","Hispanic or Latino",*,*
"Simsbury School District","=""1280011""","White",86.4,91.3
"Somers School District","=""1290011""","Asian",*,*
"Somers School District","=""1290011""","Black or African American",*,*
"Somers School District","=""1290011""","Hispanic or Latino",*,*
"Somers School District","=""1290011""","White",84.5,95.0
"Southington School District","=""1310011""","Asian",*,*
"Southington School District","=""1310011""","Black or African American",*,*
"Southington School District","=""1310011""","Hispanic or Latino",*,*
"Southington School District","=""1310011""","White",81.3,89.3
"South Windsor School District","=""1320011""","Asian",90.5,*
"South Windsor School District","=""1320011""","Black or African American",*,*
"South Windsor School District","=""1320011""","Hispanic or Latino",*,*
"South Windsor School District","=""1320011""","White",83.3,90.7
"Stafford School District","=""1340011""","Asian",*,*
"Stafford School District","=""1340011""","Black or African American",*,*
"Stafford School District","=""1340011""","Hispanic or Latino",*,*
"Stafford School District","=""1340011""","White",70.1,89.3
"Stamford School District","=""1350011""","Asian",72.3,94.1
"Stamford School District","=""1350011""","Black or African American",67.1,83.2
"Stamford School District","=""1350011""","Hispanic or Latino",52.3,85.9
"Stamford School District","=""1350011""","White",83.0,93.8
"Stonington School District","=""1370011""","American Indian or Alaska Native",*,*
"Stonington School District","=""1370011""","Asian",*,*
"Stonington School District","=""1370011""","Black or African American",*,*
"Stonington School District","=""1370011""","Hispanic or Latino",*,*
"Stonington School District","=""1370011""","White",75.0,90.0
"Stratford School District","=""1380011""","American Indian or Alaska Native",*,*
"Stratford School District","=""1380011""","Asian",*,*
"Stratford School District","=""1380011""","Black or African American",64.2,83.0
"Stratford School District","=""1380011""","Hispanic or Latino",70.6,85.0
"Stratford School District","=""1380011""","White",73.3,88.3
"Suffield School District","=""1390011""","Asian",*,*
"Suffield School District","=""1390011""","Black or African American",*,*
"Suffield School District","=""1390011""","White",79.7,93.3
"Thomaston School District","=""1400011""","Asian",*,*
"Thomaston School District","=""1400011""","Black or African American",*,*
"Thomaston School District","=""1400011""","White",*,*
"Thompson School District","=""1410011""","Asian",*,*
"Thompson School District","=""1410011""","Hispanic or Latino",*,*
"Thompson School District","=""1410011""","White",64.9,81.3
"Tolland School District","=""1420011""","American Indian or Alaska Native",*,*
"Tolland School District","=""1420011""","Asian",*,*
"Tolland School District","=""1420011""","Black or African American",*,*
"Tolland School District","=""1420011""","Hispanic or Latino",*,*
"Tolland School District","=""1420011""","White",80.4,93.1
"Torrington School District","=""1430011""","American Indian or Alaska Native",*,*
"Torrington School District","=""1430011""","Asian",*,*
"Torrington School District","=""1430011""","Black or African American",*,*
"Torrington School District","=""1430011""","Hispanic or Latino",41.9,*
"Torrington School District","=""1430011""","White",73.6,85.0
"Trumbull School District","=""1440011""","American Indian or Alaska Native",*,*
"Trumbull School District","=""1440011""","Asian",80.0,*
"Trumbull School District","=""1440011""","Black or African American",69.6,*
"Trumbull School District","=""1440011""","Hispanic or Latino",71.0,86.4
"Trumbull School District","=""1440011""","White",82.7,95.5
"Vernon School District","=""1460011""","Asian",*,*
"Vernon School District","=""1460011""","Black or African American",*,*
"Vernon School District","=""1460011""","Hispanic or Latino",*,*
"Vernon School District","=""1460011""","White",75.2,85.8
"Wallingford School District","=""1480011""","American Indian or Alaska Native",*,*
"Wallingford School District","=""1480011""","Asian",*,*
"Wallingford School District","=""1480011""","Black or African American",*,*
"Wallingford School District","=""1480011""","Hispanic or Latino",52.5,81.0
"Wallingford School District","=""1480011""","White",75.1,89.5
"Waterbury School District","=""1510011""","American Indian or Alaska Native",*,*
"Waterbury School District","=""1510011""","Asian",*,*
"Waterbury School District","=""1510011""","Black or African American",52.2,80.2
"Waterbury School District","=""1510011""","Hispanic or Latino",49.5,73.6
"Waterbury School District","=""1510011""","White",64.7,86.7
"Waterford School District","=""1520011""","American Indian or Alaska Native",*,*
"Waterford School District","=""1520011""","Asian",*,*
"Waterford School District","=""1520011""","Black or African American",*,*
"Waterford School District","=""1520011""","Hispanic or Latino",*,*
"Waterford School District","=""1520011""","White",77.6,86.5
"Watertown School District","=""1530011""","American Indian or Alaska Native",*,*
"Watertown School District","=""1530011""","Asian",*,*
"Watertown School District","=""1530011""","Black or African American",*,*
"Watertown School District","=""1530011""","Hispanic or Latino",*,*
"Watertown School District","=""1530011""","White",78.1,91.7
"Westbrook School District","=""1540011""","Asian",*,*
"Westbrook School District","=""1540011""","Hispanic or Latino",*,*
"Westbrook School District","=""1540011""","White",86.9,86.8
"West Hartford School District","=""1550011""","Asian",83.9,100.0
"West Hartford School District","=""1550011""","Black or African American",68.5,92.0
"West Hartford School District","=""1550011""","Hispanic or Latino",64.6,75.0
"West Hartford School District","=""1550011""","White",86.4,95.0
"West Haven School District","=""1560011""","American Indian or Alaska Native",*,*
"West Haven School District","=""1560011""","Asian",*,*
"West Haven School District","=""1560011""","Black or African American",57.9,84.1
"West Haven School District","=""1560011""","Hispanic or Latino",51.7,80.6
"West Haven School District","=""1560011""","White",75.8,88.3
"Weston School District","=""1570011""","Asian",*,*
"Weston School District","=""1570011""","Black or African American",*,*
"Weston School District","=""1570011""","Hispanic or Latino",*,*
"Weston School District","=""1570011""","White",80.3,98.6
"Westport School District","=""1580011""","Asian",*,*
"Westport School District","=""1580011""","Black or African American",*,*
"Westport School District","=""1580011""","Hispanic or Latino",*,*
"Westport School District","=""1580011""","White",83.8,96.1
"Wethersfield School District","=""1590011""","American Indian or Alaska Native",*,*
"Wethersfield School District","=""1590011""","Asian",*,*
"Wethersfield School District","=""1590011""","Black or African American",*,*
"Wethersfield School District","=""1590011""","Hispanic or Latino",66.7,*
"Wethersfield School District","=""1590011""","White",83.0,93.0
"Wilton School District","=""1610011""","Asian",*,*
"Wilton School District","=""1610011""","Black or African American",*,*
"Wilton School District","=""1610011""","Hispanic or Latino",*,*
"Wilton School District","=""1610011""","White",86.3,97.2
"Windham School District","=""1630011""","American Indian or Alaska Native",*,*
"Windham School District","=""1630011""","Asian",*,*
"Windham School District","=""1630011""","Black or African American",*,*
"Windham School District","=""1630011""","Hispanic or Latino",55.6,62.2
"Windham School District","=""1630011""","White",64.4,91.4
"Windsor School District","=""1640011""","Asian",*,*
"Windsor School District","=""1640011""","Black or African American",71.0,82.4
"Windsor School District","=""1640011""","Hispanic or Latino",*,*
"Windsor School District","=""1640011""","White",68.5,93.2
"Windsor Locks School District","=""1650011""","Asian",*,*
"Windsor Locks School District","=""1650011""","Black or African American",*,*
"Windsor Locks School District","=""1650011""","Hispanic or Latino",*,*
"Windsor Locks School District","=""1650011""","White",62.2,87.3
"Wolcott School District","=""1660011""","Asian",*,*
"Wolcott School District","=""1660011""","Black or African American",*,*
"Wolcott School District","=""1660011""","Hispanic or Latino",*,*
"Wolcott School District","=""1660011""","White",75.2,88.0
"Regional School District 01","=""2010012""","Asian",*,*
"Regional School District 01","=""2010012""","Hispanic or Latino",*,*
"Regional School District 01","=""2010012""","White",67.1,90.8
"Regional School District 04","=""2040012""","Asian",*,*
"Regional School District 04","=""2040012""","Black or African American",*,*
"Regional School District 04","=""2040012""","Hispanic or Latino",*,*
"Regional School District 04","=""2040012""","White",80.8,87.6
"Regional School District 05","=""2050012""","Asian",80.6,100.0
"Regional School District 05","=""2050012""","Black or African American",*,*
"Regional School District 05","=""2050012""","Hispanic or Latino",*,*
"Regional School District 05","=""2050012""","White",83.7,92.7
"Regional School District 06","=""2060012""","Black or African American",*,*
"Regional School District 06","=""2060012""","Hispanic or Latino",*,*
"Regional School District 06","=""2060012""","White",*,*
"Regional School District 07","=""2070012""","Asian",*,*
"Regional School District 07","=""2070012""","White",*,*
"Regional School District 08","=""2080012""","American Indian or Alaska Native",*,*
"Regional School District 08","=""2080012""","Asian",*,*
"Regional School District 08","=""2080012""","Hispanic or Latino",*,*
"Regional School District 08","=""2080012""","White",*,*
"Regional School District 09","=""2090012""","Asian",*,*
"Regional School District 09","=""2090012""","Black or African American",*,*
"Regional School District 09","=""2090012""","Hispanic or Latino",*,*
"Regional School District 09","=""2090012""","White",84.7,92.3
"Regional School District 10","=""2100012""","Asian",*,*
"Regional School District 10","=""2100012""","Black or African American",*,*
"Regional School District 10","=""2100012""","Hispanic or Latino",*,*
"Regional School District 10","=""2100012""","White",81.6,91.4
"Regional School District 11","=""2110012""","Asian",*,*
"Regional School District 11","=""2110012""","Hispanic or Latino",*,*
"Regional School District 11","=""2110012""","White",68.8,84.8
"Regional School District 12","=""2120012""","Asian",*,*
"Regional School District 12","=""2120012""","Black or African American",*,*
"Regional School District 12","=""2120012""","Hispanic or Latino",*,*
"Regional School District 12","=""2120012""","White",80.4,91.9
"Regional School District 13","=""2130012""","Asian",*,*
"Regional School District 13","=""2130012""","Black or African American",*,*
"Regional School District 13","=""2130012""","Hispanic or Latino",*,*
"Regional School District 13","=""2130012""","White",84.5,87.8
"Regional School District 14","=""2140012""","American Indian or Alaska Native",*,*
"Regional School District 14","=""2140012""","Asian",*,*
"Regional School District 14","=""2140012""","Black or African American",*,*
"Regional School District 14","=""2140012""","Hispanic or Latino",*,*
"Regional School District 14","=""2140012""","White",79.5,89.1
"Regional School District 15","=""2150012""","Asian",*,*
"Regional School District 15","=""2150012""","Black or African American",*,*
"Regional School District 15","=""2150012""","Hispanic or Latino",*,*
"Regional School District 15","=""2150012""","White",88.9,95.2
"Regional School District 16","=""2160012""","Asian",*,*
"Regional School District 16","=""2160012""","Black or African American",*,*
"Regional School District 16","=""2160012""","Hispanic or Latino",*,*
"Regional School District 16","=""2160012""","White",84.2,92.1
"Regional School District 17","=""2170012""","Asian",*,*
"Regional School District 17","=""2170012""","Black or African American",*,*
"Regional School District 17","=""2170012""","Hispanic or Latino",*,*
"Regional School District 17","=""2170012""","White",82.3,92.6
"Regional School District 18","=""2180012""","Asian",*,*
"Regional School District 18","=""2180012""","Black or African American",*,*
"Regional School District 18","=""2180012""","Hispanic or Latino",*,*
"Regional School District 18","=""2180012""","White",80.7,88.6
"Regional School District 19","=""2190012""","American Indian or Alaska Native",*,*
"Regional School District 19","=""2190012""","Asian",*,*
"Regional School District 19","=""2190012""","Black or African American",*,*
"Regional School District 19","=""2190012""","Hispanic or Latino",*,*
"Regional School District 19","=""2190012""","White",74.4,90.2
"Capitol Region Education Council","=""2410014""","Asian",*,*
"Capitol Region Education Council","=""2410014""","Black or African American",77.8,79.6
"Capitol Region Education Council","=""2410014""","Hispanic or Latino",*,*
"Capitol Region Education Council","=""2410014""","White",58.5,90.3
"Education Connection","=""2420014""","Hispanic or Latino",*,*
"Education Connection","=""2420014""","White",*,*
"Cooperative Educational Services","=""2430014""","Black or African American",*,*
"Cooperative Educational Services","=""2430014""","Hispanic or Latino",*,*
"Cooperative Educational Services","=""2430014""","White",*,*
"Area Cooperative Educational Services","=""2440014""","Black or African American",*,*
"Area Cooperative Educational Services","=""2440014""","Hispanic or Latino",*,*
"Area Cooperative Educational Services","=""2440014""","White",*,*
