"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"Watertown School District","=""1530011""","Students with Disabilities",45.5,*
"Westbrook School District","=""1540011""","Students with Disabilities",*,*
"West Hartford School District","=""1550011""","Students with Disabilities",64.1,87.9
"West Haven School District","=""1560011""","Students with Disabilities",38.9,*
"Weston School District","=""1570011""","Students with Disabilities",77.3,*
"Westport School District","=""1580011""","Students with Disabilities",78.1,94.0
"Wethersfield School District","=""1590011""","Students with Disabilities",*,*
"Wilton School District","=""1610011""","Students with Disabilities",88.2,93.3
"Winchester School District","=""1620011""","Students with Disabilities",*,*
"Windham School District","=""1630011""","Students with Disabilities",33.3,*
"Windsor School District","=""1640011""","Students with Disabilities",64.1,92.0
"Windsor Locks School District","=""1650011""","Students with Disabilities",*,*
"Wolcott School District","=""1660011""","Students with Disabilities",50.0,*
"Regional School District 01","=""2010012""","Students with Disabilities",*,*
"Regional School District 04","=""2040012""","Students with Disabilities",54.2,*
"Regional School District 05","=""2050012""","Students with Disabilities",77.6,84.2
"Regional School District 06","=""2060012""","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","Students with Disabilities",33.3,*
"Regional School District 08","=""2080012""","Students with Disabilities",40.5,*
"Regional School District 09","=""2090012""","Students with Disabilities",70.8,*
"Regional School District 10","=""2100012""","Students with Disabilities",30.0,*
"Regional School District 11","=""2110012""","Students with Disabilities",*,*
"Regional School District 12","=""2120012""","Students with Disabilities",*,*
"Regional School District 13","=""2130012""","Students with Disabilities",50.0,*
"Regional School District 14","=""2140012""","Students with Disabilities",68.0,*
"Regional School District 15","=""2150012""","Students with Disabilities",54.2,87.5
"Regional School District 16","=""2160012""","Students with Disabilities",*,*
"Regional School District 17","=""2170012""","Students with Disabilities",51.7,*
"Regional School District 18","=""2180012""","Students with Disabilities",*,*
"Regional School District 19","=""2190012""","Students with Disabilities",39.5,*
"Capitol Region Education Council","=""2410014""","Students with Disabilities",39.2,60.0
"Education Connection","=""2420014""","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Students with Disabilities",*,*
"Learn","=""2450014""","Students with Disabilities",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Students with Disabilities",*,*
"Common Ground High School District","=""2680013""","Students with Disabilities",*,*
"The Bridge Academy District","=""2690013""","Students with Disabilities",*,*
"Explorations District","=""2720013""","Students with Disabilities",*,*
"Amistad Academy District","=""2790013""","Students with Disabilities",*,*
"Stamford Academy District","=""2820013""","Students with Disabilities",*,*
"Unified School District #1","=""3360015""","Students with Disabilities",*,*
"Unified School District #2","=""3470015""","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",39.0,68.7
"Norwich Free Academy District","=""9010022""","Students with Disabilities",46.9,60.9
"The Gilbert School District","=""9020022""","Students with Disabilities",*,*
"Woodstock Academy District","=""9030022""","Students with Disabilities",55.6,*

