"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",*,*
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",54.5,82.1
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",48.0,62.7
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",58.9,74.4
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",56.4,81.8
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",63.6,*
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",58.3,71.4
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",54.5,75.0
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",48.5,76.9
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",56.5,72.4
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",63.5,84.8
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",42.2,63.0
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",*,*
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",*,*
"North Branford School District","=""0990011""","Eligible for Free or Reduced-Price Meals",*,*
"North Haven School District","=""1010011""","Eligible for Free or Reduced-Price Meals",74.1,75.0
"North Stonington School District","=""1020011""","Eligible for Free or Reduced-Price Meals",*,*
"Norwalk School District","=""1030011""","Eligible for Free or Reduced-Price Meals",61.5,77.7
"Norwich School District","=""1040011""","Eligible for Free or Reduced-Price Meals",*,*
"Old Saybrook School District","=""1060011""","Eligible for Free or Reduced-Price Meals",*,*
"Plainfield School District","=""1090011""","Eligible for Free or Reduced-Price Meals",33.3,*
"Plainville School District","=""1100011""","Eligible for Free or Reduced-Price Meals",56.7,*
"Plymouth School District","=""1110011""","Eligible for Free or Reduced-Price Meals",24.1,*
"Portland School District","=""1130011""","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Eligible for Free or Reduced-Price Meals",50.0,*
"Ridgefield School District","=""1180011""","Eligible for Free or Reduced-Price Meals",*,*
"Rocky Hill School District","=""1190011""","Eligible for Free or Reduced-Price Meals",*,*
"Seymour School District","=""1240011""","Eligible for Free or Reduced-Price Meals",46.2,*
"Shelton School District","=""1260011""","Eligible for Free or Reduced-Price Meals",59.5,84.0
"Simsbury School District","=""1280011""","Eligible for Free or Reduced-Price Meals",71.4,*
"Somers School District","=""1290011""","Eligible for Free or Reduced-Price Meals",*,*
"Southington School District","=""1310011""","Eligible for Free or Reduced-Price Meals",48.7,*
"South Windsor School District","=""1320011""","Eligible for Free or Reduced-Price Meals",44.4,*
"Stafford School District","=""1340011""","Eligible for Free or Reduced-Price Meals",50.0,*
"Stamford School District","=""1350011""","Eligible for Free or Reduced-Price Meals",63.2,83.7
"Stonington School District","=""1370011""","Eligible for Free or Reduced-Price Meals",*,*
"Stratford School District","=""1380011""","Eligible for Free or Reduced-Price Meals",70.9,82.8
"Suffield School District","=""1390011""","Eligible for Free or Reduced-Price Meals",*,*
"Thomaston School District","=""1400011""","Eligible for Free or Reduced-Price Meals",*,*
"Thompson School District","=""1410011""","Eligible for Free or Reduced-Price Meals",*,*
"Tolland School District","=""1420011""","Eligible for Free or Reduced-Price Meals",*,*
"Torrington School District","=""1430011""","Eligible for Free or Reduced-Price Meals",39.5,87.5
"Trumbull School District","=""1440011""","Eligible for Free or Reduced-Price Meals",*,*
"Vernon School District","=""1460011""","Eligible for Free or Reduced-Price Meals",62.2,64.3
"Wallingford School District","=""1480011""","Eligible for Free or Reduced-Price Meals",69.7,87.0
"Waterbury School District","=""1510011""","Eligible for Free or Reduced-Price Meals",51.4,79.9
"Waterford School District","=""1520011""","Eligible for Free or Reduced-Price Meals",*,*
"Watertown School District","=""1530011""","Eligible for Free or Reduced-Price Meals",64.3,*
"Westbrook School District","=""1540011""","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Eligible for Free or Reduced-Price Meals",64.8,88.6
"West Haven School District","=""1560011""","Eligible for Free or Reduced-Price Meals",49.3,79.4
"Weston School District","=""1570011""","Eligible for Free or Reduced-Price Meals",*,*
"Westport School District","=""1580011""","Eligible for Free or Reduced-Price Meals",*,*
"Wethersfield School District","=""1590011""","Eligible for Free or Reduced-Price Meals",69.7,87.0
"Wilton School District","=""1610011""","Eligible for Free or Reduced-Price Meals",*,*
"Winchester School District","=""1620011""","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Eligible for Free or Reduced-Price Meals",47.8,63.6
"Windsor School District","=""1640011""","Eligible for Free or Reduced-Price Meals",69.3,77.0
"Windsor Locks School District","=""1650011""","Eligible for Free or Reduced-Price Meals",59.3,*
"Wolcott School District","=""1660011""","Eligible for Free or Reduced-Price Meals",58.6,*
"Regional School District 01","=""2010012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 04","=""2040012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 05","=""2050012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 06","=""2060012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 08","=""2080012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 09","=""2090012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 10","=""2100012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 11","=""2110012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 12","=""2120012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 13","=""2130012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 14","=""2140012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 15","=""2150012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 16","=""2160012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 17","=""2170012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 18","=""2180012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 19","=""2190012""","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Eligible for Free or Reduced-Price Meals",69.2,92.6
"Area Cooperative Educational Services","=""2440014""","Eligible for Free or Reduced-Price Meals",*,*
"Common Ground High School District","=""2680013""","Eligible for Free or Reduced-Price Meals",*,*
"The Bridge Academy District","=""2690013""","Eligible for Free or Reduced-Price Meals",*,*
"Explorations District","=""2720013""","Eligible for Free or Reduced-Price Meals",*,*
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals",23.5,*
"Unified School District #1","=""3360015""","Eligible for Free or Reduced-Price Meals",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",35.7,75.9
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",66.7,86.1
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",*,*
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals",*,*

