"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",52.0,70.3
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",69.4,93.3
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",71.4,70.0
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",62.5,88.9
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",85.0,*
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",76.3,73.3
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",62.1,68.3
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",50.4,62.9
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",77.5,87.1
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",63.5,80.3
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",56.4,71.5
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",49.4,70.0
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",*,*
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",61.2,82.9
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",*,*
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",75.9,95.5
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",49.8,73.8
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",55.8,79.1
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",54.5,79.5
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",53.6,85.4
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",72.3,91.2
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",45.6,74.2
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",50.0,88.5
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",56.9,76.1
"New Canaan School District","=""0900011""","Eligible for Free or Reduced-Price Meals",*,*
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",64.5,85.0
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",65.0,73.1
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",74.0,83.8
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",57.6,73.5
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",58.7,86.4
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",70.3,88.5
"North Branford School District","=""0990011""","Eligible for Free or Reduced-Price Meals",48.6,*
"North Haven School District","=""1010011""","Eligible for Free or Reduced-Price Meals",61.7,83.8
"North Stonington School District","=""1020011""","Eligible for Free or Reduced-Price Meals",*,*
"Norwalk School District","=""1030011""","Eligible for Free or Reduced-Price Meals",67.4,78.1
"Norwich School District","=""1040011""","Eligible for Free or Reduced-Price Meals",*,*
"Old Saybrook School District","=""1060011""","Eligible for Free or Reduced-Price Meals",69.0,80.0
"Oxford School District","=""1080011""","Eligible for Free or Reduced-Price Meals",*,*
"Plainfield School District","=""1090011""","Eligible for Free or Reduced-Price Meals",55.3,64.3
"Plainville School District","=""1100011""","Eligible for Free or Reduced-Price Meals",65.7,75.0
"Plymouth School District","=""1110011""","Eligible for Free or Reduced-Price Meals",56.1,78.3
"Portland School District","=""1130011""","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Eligible for Free or Reduced-Price Meals",28.9,*
"Ridgefield School District","=""1180011""","Eligible for Free or Reduced-Price Meals",82.8,87.5
"Rocky Hill School District","=""1190011""","Eligible for Free or Reduced-Price Meals",52.8,*
"Seymour School District","=""1240011""","Eligible for Free or Reduced-Price Meals",58.1,80.0
"Shelton School District","=""1260011""","Eligible for Free or Reduced-Price Meals",58.3,89.8
"Simsbury School District","=""1280011""","Eligible for Free or Reduced-Price Meals",70.6,79.2
"Somers School District","=""1290011""","Eligible for Free or Reduced-Price Meals",*,*
"Southington School District","=""1310011""","Eligible for Free or Reduced-Price Meals",57.7,75.0
"South Windsor School District","=""1320011""","Eligible for Free or Reduced-Price Meals",71.1,81.5
"Stafford School District","=""1340011""","Eligible for Free or Reduced-Price Meals",32.6,*
"Stamford School District","=""1350011""","Eligible for Free or Reduced-Price Meals",66.4,82.2
"Stonington School District","=""1370011""","Eligible for Free or Reduced-Price Meals",45.0,*
"Stratford School District","=""1380011""","Eligible for Free or Reduced-Price Meals",69.1,81.9
"Suffield School District","=""1390011""","Eligible for Free or Reduced-Price Meals",52.2,*
"Thomaston School District","=""1400011""","Eligible for Free or Reduced-Price Meals",63.6,*
"Thompson School District","=""1410011""","Eligible for Free or Reduced-Price Meals",38.2,*
"Tolland School District","=""1420011""","Eligible for Free or Reduced-Price Meals",66.7,*
"Torrington School District","=""1430011""","Eligible for Free or Reduced-Price Meals",51.2,77.8
"Trumbull School District","=""1440011""","Eligible for Free or Reduced-Price Meals",78.9,93.3
"Vernon School District","=""1460011""","Eligible for Free or Reduced-Price Meals",55.0,76.4
"Wallingford School District","=""1480011""","Eligible for Free or Reduced-Price Meals",54.4,80.4
"Waterbury School District","=""1510011""","Eligible for Free or Reduced-Price Meals",54.9,71.4
"Waterford School District","=""1520011""","Eligible for Free or Reduced-Price Meals",68.9,87.1
"Watertown School District","=""1530011""","Eligible for Free or Reduced-Price Meals",60.9,92.3
"Westbrook School District","=""1540011""","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Eligible for Free or Reduced-Price Meals",74.8,81.2
"West Haven School District","=""1560011""","Eligible for Free or Reduced-Price Meals",60.2,86.8
"Weston School District","=""1570011""","Eligible for Free or Reduced-Price Meals",*,*
"Westport School District","=""1580011""","Eligible for Free or Reduced-Price Meals",67.7,90.5
"Wethersfield School District","=""1590011""","Eligible for Free or Reduced-Price Meals",67.6,85.4
"Wilton School District","=""1610011""","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Eligible for Free or Reduced-Price Meals",47.4,67.4
"Windsor School District","=""1640011""","Eligible for Free or Reduced-Price Meals",75.5,75.9
"Windsor Locks School District","=""1650011""","Eligible for Free or Reduced-Price Meals",56.9,79.3
"Wolcott School District","=""1660011""","Eligible for Free or Reduced-Price Meals",66.7,75.9
"Regional School District 01","=""2010012""","Eligible for Free or Reduced-Price Meals",40.9,*
"Regional School District 04","=""2040012""","Eligible for Free or Reduced-Price Meals",50.0,*
"Regional School District 05","=""2050012""","Eligible for Free or Reduced-Price Meals",63.0,*
"Regional School District 06","=""2060012""","Eligible for Free or Reduced-Price Meals",85.7,*
"Regional School District 07","=""2070012""","Eligible for Free or Reduced-Price Meals",61.5,75.0
"Regional School District 08","=""2080012""","Eligible for Free or Reduced-Price Meals",51.4,*
"Regional School District 09","=""2090012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 10","=""2100012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 11","=""2110012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 12","=""2120012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 13","=""2130012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 14","=""2140012""","Eligible for Free or Reduced-Price Meals",85.2,87.0
"Regional School District 15","=""2150012""","Eligible for Free or Reduced-Price Meals",60.6,80.0
"Regional School District 16","=""2160012""","Eligible for Free or Reduced-Price Meals",40.5,*
"Regional School District 17","=""2170012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 18","=""2180012""","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 19","=""2190012""","Eligible for Free or Reduced-Price Meals",57.6,84.2
"Capitol Region Education Council","=""2410014""","Eligible for Free or Reduced-Price Meals",76.0,77.6
"Education Connection","=""2420014""","Eligible for Free or Reduced-Price Meals",*,*
"Cooperative Educational Services","=""2430014""","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Eligible for Free or Reduced-Price Meals",*,*
"Learn","=""2450014""","Eligible for Free or Reduced-Price Meals",69.3,72.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible for Free or Reduced-Price Meals",40.0,*
"Common Ground High School District","=""2680013""","Eligible for Free or Reduced-Price Meals",56.5,*
"The Bridge Academy District","=""2690013""","Eligible for Free or Reduced-Price Meals",87.5,82.1
"Explorations District","=""2720013""","Eligible for Free or Reduced-Price Meals",*,*
"Amistad Academy District","=""2790013""","Eligible for Free or Reduced-Price Meals",69.6,*
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals",24.0,*
"Elm City College Preparatory School District","=""2890013""","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",48.9,73.0
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",61.3,80.0
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",51.3,70.0
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals",65.8,92.0

