"College Entrance and Persistence, 2011-12"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"The Bridge Academy District","=""2690013""","Students with Disabilities",*,*
"Explorations District","=""2720013""","Students with Disabilities",*,*
"Amistad Academy District","=""2790013""","Students with Disabilities",*,*
"Stamford Academy District","=""2820013""","Students with Disabilities",*,*
"Elm City College Preparatory School District","=""2890013""","Students with Disabilities",*,*
"Unified School District #1","=""3360015""","Students with Disabilities",*,*
"Unified School District #2","=""3470015""","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",33.2,71.3
"Norwich Free Academy District","=""9010022""","Students with Disabilities",47.6,82.5
"The Gilbert School District","=""9020022""","Students with Disabilities",*,*
"Woodstock Academy District","=""9030022""","Students with Disabilities",66.7,*

