"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"North Stonington School District","=""1020011""","Students with Disabilities",*,*
"Norwalk School District","=""1030011""","Students with Disabilities",61.0,58.0
"Norwich School District","=""1040011""","Students with Disabilities",*,*
"Old Saybrook School District","=""1060011""","Students with Disabilities",*,*
"Plainfield School District","=""1090011""","Students with Disabilities",*,*
"Plainville School District","=""1100011""","Students with Disabilities",*,*
"Plymouth School District","=""1110011""","Students with Disabilities",*,*
"Portland School District","=""1130011""","Students with Disabilities",*,*
"Putnam School District","=""1160011""","Students with Disabilities",*,*
"Ridgefield School District","=""1180011""","Students with Disabilities",76.3,96.6
"Rocky Hill School District","=""1190011""","Students with Disabilities",*,*
"Seymour School District","=""1240011""","Students with Disabilities",35.0,*
"Shelton School District","=""1260011""","Students with Disabilities",52.4,*
"Simsbury School District","=""1280011""","Students with Disabilities",78.3,75.0
"Somers School District","=""1290011""","Students with Disabilities",*,*
"Southington School District","=""1310011""","Students with Disabilities",64.2,79.4
"South Windsor School District","=""1320011""","Students with Disabilities",52.5,71.4
"Stafford School District","=""1340011""","Students with Disabilities",*,*
"Stamford School District","=""1350011""","Students with Disabilities",53.6,79.1
"Stonington School District","=""1370011""","Students with Disabilities",*,*
"Stratford School District","=""1380011""","Students with Disabilities",37.9,77.3
"Suffield School District","=""1390011""","Students with Disabilities",*,*
"Thomaston School District","=""1400011""","Students with Disabilities",*,*
"Thompson School District","=""1410011""","Students with Disabilities",*,*
"Tolland School District","=""1420011""","Students with Disabilities",*,*
"Torrington School District","=""1430011""","Students with Disabilities",18.8,*
"Trumbull School District","=""1440011""","Students with Disabilities",51.4,*
"Vernon School District","=""1460011""","Students with Disabilities",45.5,*
"Wallingford School District","=""1480011""","Students with Disabilities",38.1,*
"Waterbury School District","=""1510011""","Students with Disabilities",27.4,46.2
"Waterford School District","=""1520011""","Students with Disabilities",55.0,*
"Watertown School District","=""1530011""","Students with Disabilities",*,*
"Westbrook School District","=""1540011""","Students with Disabilities",*,*
"West Hartford School District","=""1550011""","Students with Disabilities",62.5,80.0
"West Haven School District","=""1560011""","Students with Disabilities",34.5,*
"Weston School District","=""1570011""","Students with Disabilities",*,*
"Westport School District","=""1580011""","Students with Disabilities",79.2,86.8
"Wethersfield School District","=""1590011""","Students with Disabilities",*,*
"Wilton School District","=""1610011""","Students with Disabilities",72.0,*
"Windham School District","=""1630011""","Students with Disabilities",31.3,*
"Windsor School District","=""1640011""","Students with Disabilities",31.6,*
"Windsor Locks School District","=""1650011""","Students with Disabilities",*,*
"Wolcott School District","=""1660011""","Students with Disabilities",69.6,*
"Regional School District 01","=""2010012""","Students with Disabilities",*,*
"Regional School District 04","=""2040012""","Students with Disabilities",*,*
"Regional School District 05","=""2050012""","Students with Disabilities",66.7,76.7
"Regional School District 06","=""2060012""","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","Students with Disabilities",*,*
"Regional School District 08","=""2080012""","Students with Disabilities",41.9,*
"Regional School District 09","=""2090012""","Students with Disabilities",63.6,90.5
"Regional School District 10","=""2100012""","Students with Disabilities",52.2,*
"Regional School District 11","=""2110012""","Students with Disabilities",*,*
"Regional School District 12","=""2120012""","Students with Disabilities",*,*
"Regional School District 13","=""2130012""","Students with Disabilities",*,*
"Regional School District 14","=""2140012""","Students with Disabilities",*,*
"Regional School District 15","=""2150012""","Students with Disabilities",90.3,85.7
"Regional School District 16","=""2160012""","Students with Disabilities",*,*
"Regional School District 17","=""2170012""","Students with Disabilities",53.8,*
"Regional School District 18","=""2180012""","Students with Disabilities",*,*
"Regional School District 19","=""2190012""","Students with Disabilities",37.2,*
"Capitol Region Education Council","=""2410014""","Students with Disabilities",24.0,*
"Education Connection","=""2420014""","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Students with Disabilities",17.5,*
"Common Ground High School District","=""2680013""","Students with Disabilities",*,*
"The Bridge Academy District","=""2690013""","Students with Disabilities",*,*
"Explorations District","=""2720013""","Students with Disabilities",*,*
"Stamford Academy District","=""2820013""","Students with Disabilities",*,*
"Unified School District #1","=""3360015""","Students with Disabilities",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Students with Disabilities",*,*
"Unified School District #2","=""3470015""","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",27.5,66.7
"Norwich Free Academy District","=""9010022""","Students with Disabilities",38.8,*
"The Gilbert School District","=""9020022""","Students with Disabilities",*,*
"Woodstock Academy District","=""9030022""","Students with Disabilities",*,*

