"College Entrance and Persistence, 2011-12"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Seymour School District","=""1240011""","Female",82.4,95.1
"Seymour School District","=""1240011""","Male",77.3,90.2
"Shelton School District","=""1260011""","Female",78.5,93.2
"Shelton School District","=""1260011""","Male",72.5,90.5
"Simsbury School District","=""1280011""","Female",82.4,96.7
"Simsbury School District","=""1280011""","Male",82.2,92.6
"Somers School District","=""1290011""","Female",84.5,100.0
"Somers School District","=""1290011""","Male",72.7,89.6
"Southington School District","=""1310011""","Female",82.4,93.6
"Southington School District","=""1310011""","Male",72.6,86.6
"South Windsor School District","=""1320011""","Female",86.2,93.8
"South Windsor School District","=""1320011""","Male",84.1,91.1
"Stafford School District","=""1340011""","Female",58.1,90.7
"Stafford School District","=""1340011""","Male",51.5,71.4
"Stamford School District","=""1350011""","Female",78.0,92.3
"Stamford School District","=""1350011""","Male",72.0,88.8
"Stonington School District","=""1370011""","Female",77.4,89.2
"Stonington School District","=""1370011""","Male",64.8,87.7
"Stratford School District","=""1380011""","Female",75.3,91.0
"Stratford School District","=""1380011""","Male",68.1,82.7
"Suffield School District","=""1390011""","Female",84.3,86.7
"Suffield School District","=""1390011""","Male",73.5,90.7
"Thomaston School District","=""1400011""","Female",68.9,87.1
"Thomaston School District","=""1400011""","Male",63.2,70.8
"Thompson School District","=""1410011""","Female",78.3,88.9
"Thompson School District","=""1410011""","Male",52.4,77.3
"Tolland School District","=""1420011""","Female",86.9,94.6
"Tolland School District","=""1420011""","Male",78.8,90.3
"Torrington School District","=""1430011""","Female",62.6,89.6
"Torrington School District","=""1430011""","Male",61.6,76.6
"Trumbull School District","=""1440011""","Female",89.9,94.6
"Trumbull School District","=""1440011""","Male",83.3,95.1
"Vernon School District","=""1460011""","Female",73.8,91.1
"Vernon School District","=""1460011""","Male",66.4,74.0
"Wallingford School District","=""1480011""","Female",80.6,91.0
"Wallingford School District","=""1480011""","Male",71.5,87.1
"Waterbury School District","=""1510011""","Female",58.9,81.3
"Waterbury School District","=""1510011""","Male",51.4,74.4
"Waterford School District","=""1520011""","Female",78.2,93.0
"Waterford School District","=""1520011""","Male",70.5,79.7
"Watertown School District","=""1530011""","Female",76.5,94.3
"Watertown School District","=""1530011""","Male",71.2,83.8
"Westbrook School District","=""1540011""","Female",87.2,94.1
"Westbrook School District","=""1540011""","Male",69.4,88.0
"West Hartford School District","=""1550011""","Female",82.0,93.5
"West Hartford School District","=""1550011""","Male",77.4,89.7
"West Haven School District","=""1560011""","Female",72.2,89.5
"West Haven School District","=""1560011""","Male",56.8,72.2
"Weston School District","=""1570011""","Female",87.6,91.3
"Weston School District","=""1570011""","Male",84.3,95.7
"Westport School District","=""1580011""","Female",83.9,97.9
"Westport School District","=""1580011""","Male",87.4,94.6
"Wethersfield School District","=""1590011""","Female",89.8,95.1
"Wethersfield School District","=""1590011""","Male",82.0,90.8
"Wilton School District","=""1610011""","Female",89.6,98.6
"Wilton School District","=""1610011""","Male",89.2,95.7
"Windham School District","=""1630011""","Female",61.2,85.4
"Windham School District","=""1630011""","Male",50.0,66.7
"Windsor School District","=""1640011""","Female",74.8,86.4
"Windsor School District","=""1640011""","Male",64.6,80.6
"Windsor Locks School District","=""1650011""","Female",67.2,88.9
"Windsor Locks School District","=""1650011""","Male",64.7,81.8
"Wolcott School District","=""1660011""","Female",86.4,88.4
"Wolcott School District","=""1660011""","Male",75.2,86.8
"Regional School District 01","=""2010012""","Female",71.7,90.7
"Regional School District 01","=""2010012""","Male",54.8,85.0
"Regional School District 04","=""2040012""","Female",78.5,88.7
"Regional School District 04","=""2040012""","Male",69.0,93.9
"Regional School District 05","=""2050012""","Female",86.2,97.2
"Regional School District 05","=""2050012""","Male",80.2,89.4
"Regional School District 06","=""2060012""","Female",79.2,88.1
"Regional School District 06","=""2060012""","Male",71.0,90.9
"Regional School District 07","=""2070012""","Female",79.8,86.2
"Regional School District 07","=""2070012""","Male",50.6,86.7
"Regional School District 08","=""2080012""","Female",88.3,95.0
"Regional School District 08","=""2080012""","Male",84.5,92.5
"Regional School District 09","=""2090012""","Female",86.2,96.2
"Regional School District 09","=""2090012""","Male",79.3,93.2
"Regional School District 10","=""2100012""","Female",85.2,92.4
"Regional School District 10","=""2100012""","Male",76.5,80.7
"Regional School District 11","=""2110012""","Female",*,*
"Regional School District 11","=""2110012""","Male",42.3,*
"Regional School District 12","=""2120012""","Female",83.3,92.0
"Regional School District 12","=""2120012""","Male",61.8,85.7
"Regional School District 13","=""2130012""","Female",81.7,96.6
"Regional School District 13","=""2130012""","Male",73.5,82.0
"Regional School District 14","=""2140012""","Female",83.0,94.3
"Regional School District 14","=""2140012""","Male",56.5,91.7
"Regional School District 15","=""2150012""","Female",89.6,93.8
"Regional School District 15","=""2150012""","Male",76.3,95.8
"Regional School District 16","=""2160012""","Female",72.0,91.0
"Regional School District 16","=""2160012""","Male",71.7,89.4
"Regional School District 17","=""2170012""","Female",85.1,94.6
"Regional School District 17","=""2170012""","Male",75.3,90.0
"Regional School District 18","=""2180012""","Female",85.4,91.4
"Regional School District 18","=""2180012""","Male",73.3,93.2
"Regional School District 19","=""2190012""","Female",78.6,92.1
"Regional School District 19","=""2190012""","Male",68.2,87.5
"Capitol Region Education Council","=""2410014""","Female",75.3,79.1
"Capitol Region Education Council","=""2410014""","Male",67.4,77.4
"Education Connection","=""2420014""","Female",*,*
"Education Connection","=""2420014""","Male",*,*
"Cooperative Educational Services","=""2430014""","Female",*,*
"Cooperative Educational Services","=""2430014""","Male",*,*
"Area Cooperative Educational Services","=""2440014""","Female",*,*
"Area Cooperative Educational Services","=""2440014""","Male",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",61.9,65.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",35.1,*
"Common Ground High School District","=""2680013""","Female",*,*
"Common Ground High School District","=""2680013""","Male",*,*
"The Bridge Academy District","=""2690013""","Female",*,*
"The Bridge Academy District","=""2690013""","Male",*,*
"Explorations District","=""2720013""","Female",*,*
"Explorations District","=""2720013""","Male",*,*
"Amistad Academy District","=""2790013""","Female",*,*
"Amistad Academy District","=""2790013""","Male",*,*
"Stamford Academy District","=""2820013""","Female",*,*
"Stamford Academy District","=""2820013""","Male",*,*
"Elm City College Preparatory School District","=""2890013""","Female",*,*
"Elm City College Preparatory School District","=""2890013""","Male",*,*
"Unified School District #1","=""3360015""","Male",*,*
"Unified School District #2","=""3470015""","Male",*,*
"Connecticut Technical High School System","=""9000016""","Female",57.5,76.8
"Connecticut Technical High School System","=""9000016""","Male",39.0,73.4
"Norwich Free Academy District","=""9010022""","Female",75.4,87.3
"Norwich Free Academy District","=""9010022""","Male",66.4,84.0
"The Gilbert School District","=""9020022""","Female",74.4,87.5
"The Gilbert School District","=""9020022""","Male",63.4,69.2
"Woodstock Academy District","=""9030022""","Female",85.1,92.5
"Woodstock Academy District","=""9030022""","Male",68.7,87.0

