"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Old Saybrook School District","=""1060011""",84.2,90.2
"Oxford School District","=""1080011""",83.3,91.2
"Plainfield School District","=""1090011""",48.0,75.6
"Plainville School District","=""1100011""",78.6,89.8
"Plymouth School District","=""1110011""",60.9,85.7
"Portland School District","=""1130011""",84.1,98.6
"Putnam School District","=""1160011""",60.0,72.9
"Ridgefield School District","=""1180011""",87.7,96.3
"Rocky Hill School District","=""1190011""",83.6,91.3
"Seymour School District","=""1240011""",75.8,89.9
"Shelton School District","=""1260011""",80.5,88.9
"Simsbury School District","=""1280011""",86.3,95.0
"Somers School District","=""1290011""",81.9,94.1
"Southington School District","=""1310011""",78.8,89.0
"South Windsor School District","=""1320011""",82.1,93.0
"Stafford School District","=""1340011""",67.8,87.2
"Stamford School District","=""1350011""",74.6,90.1
"Stonington School District","=""1370011""",76.8,89.7
"Stratford School District","=""1380011""",73.0,89.8
"Suffield School District","=""1390011""",82.1,94.7
"Thomaston School District","=""1400011""",64.9,89.6
"Thompson School District","=""1410011""",61.0,90.0
"Tolland School District","=""1420011""",77.2,94.2
"Torrington School District","=""1430011""",60.2,89.4
"Trumbull School District","=""1440011""",84.8,92.9
"Vernon School District","=""1460011""",66.2,86.3
"Wallingford School District","=""1480011""",74.8,91.4
"Waterbury School District","=""1510011""",55.0,77.2
"Waterford School District","=""1520011""",71.2,83.2
"Watertown School District","=""1530011""",80.7,90.5
"Westbrook School District","=""1540011""",70.5,85.5
"West Hartford School District","=""1550011""",84.5,93.0
"West Haven School District","=""1560011""",62.8,80.9
"Weston School District","=""1570011""",90.1,97.3
"Westport School District","=""1580011""",88.5,97.3
"Wethersfield School District","=""1590011""",86.6,90.6
"Wilton School District","=""1610011""",85.8,96.7
"Winchester School District","=""1620011""",*,*
"Windham School District","=""1630011""",59.6,74.5
"Windsor School District","=""1640011""",75.7,90.0
"Windsor Locks School District","=""1650011""",64.4,92.9
"Wolcott School District","=""1660011""",78.2,90.9
"Regional School District 01","=""2010012""",54.5,94.5
"Regional School District 04","=""2040012""",75.6,89.8
"Regional School District 05","=""2050012""",88.0,94.3
"Regional School District 06","=""2060012""",71.7,89.4
"Regional School District 07","=""2070012""",68.1,87.3
"Regional School District 08","=""2080012""",78.5,95.4
"Regional School District 09","=""2090012""",87.1,95.4
"Regional School District 10","=""2100012""",81.4,92.8
"Regional School District 11","=""2110012""",69.4,80.0
"Regional School District 12","=""2120012""",81.0,92.2
"Regional School District 13","=""2130012""",86.0,87.8
"Regional School District 14","=""2140012""",85.8,88.5
"Regional School District 15","=""2150012""",81.8,93.7
"Regional School District 16","=""2160012""",79.1,94.3
"Regional School District 17","=""2170012""",83.5,92.4
"Regional School District 18","=""2180012""",80.6,95.4
"Regional School District 19","=""2190012""",75.2,93.0
"Capitol Region Education Council","=""2410014""",71.5,82.5
"Education Connection","=""2420014""",*,*
"Cooperative Educational Services","=""2430014""",*,*
"Area Cooperative Educational Services","=""2440014""",*,*
"Learn","=""2450014""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",53.4,80.6
"Common Ground High School District","=""2680013""",62.9,81.8
"The Bridge Academy District","=""2690013""",75.8,60.0
"Explorations District","=""2720013""",34.8,*
"Amistad Academy District","=""2790013""",85.7,*
"Stamford Academy District","=""2820013""",*,*
"Elm City College Preparatory School District","=""2890013""",*,*
"Unified School District #1","=""3360015""",*,*
"Unified School District #2","=""3470015""",*,*
"Connecticut Technical High School System","=""9000016""",46.4,75.7
"Norwich Free Academy District","=""9010022""",73.1,86.2
"The Gilbert School District","=""9020022""",74.3,78.8
"Woodstock Academy District","=""9030022""",79.0,90.7

