"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Waterbury School District","=""1510011""","Male",46.9,78.7
"Waterford School District","=""1520011""","Female",81.7,91.0
"Waterford School District","=""1520011""","Male",66.7,77.8
"Watertown School District","=""1530011""","Female",77.1,95.1
"Watertown School District","=""1530011""","Male",70.1,92.1
"Westbrook School District","=""1540011""","Female",75.9,100.0
"Westbrook School District","=""1540011""","Male",85.7,93.3
"West Hartford School District","=""1550011""","Female",81.5,94.9
"West Hartford School District","=""1550011""","Male",76.2,88.5
"West Haven School District","=""1560011""","Female",62.7,90.2
"West Haven School District","=""1560011""","Male",54.9,76.0
"Weston School District","=""1570011""","Female",82.3,96.9
"Weston School District","=""1570011""","Male",80.0,97.2
"Westport School District","=""1580011""","Female",85.5,95.3
"Westport School District","=""1580011""","Male",84.7,96.0
"Wethersfield School District","=""1590011""","Female",81.9,93.8
"Wethersfield School District","=""1590011""","Male",79.5,90.5
"Wilton School District","=""1610011""","Female",89.3,94.9
"Wilton School District","=""1610011""","Male",85.7,96.5
"Winchester School District","=""1620011""","Male",*,*
"Windham School District","=""1630011""","Female",66.3,79.7
"Windham School District","=""1630011""","Male",54.5,83.6
"Windsor School District","=""1640011""","Female",82.4,91.0
"Windsor School District","=""1640011""","Male",73.4,83.6
"Windsor Locks School District","=""1650011""","Female",72.2,88.5
"Windsor Locks School District","=""1650011""","Male",60.6,72.1
"Wolcott School District","=""1660011""","Female",76.7,88.6
"Wolcott School District","=""1660011""","Male",66.3,84.2
"Regional School District 01","=""2010012""","Female",69.7,80.4
"Regional School District 01","=""2010012""","Male",44.9,100.0
"Regional School District 04","=""2040012""","Female",85.3,94.8
"Regional School District 04","=""2040012""","Male",76.8,83.7
"Regional School District 05","=""2050012""","Female",86.6,97.3
"Regional School District 05","=""2050012""","Male",74.2,95.2
"Regional School District 06","=""2060012""","Female",80.0,90.6
"Regional School District 06","=""2060012""","Male",57.1,83.3
"Regional School District 07","=""2070012""","Female",81.9,89.5
"Regional School District 07","=""2070012""","Male",68.7,94.7
"Regional School District 08","=""2080012""","Female",40.1,92.8
"Regional School District 08","=""2080012""","Male",38.5,92.0
"Regional School District 09","=""2090012""","Female",82.5,97.9
"Regional School District 09","=""2090012""","Male",80.2,93.5
"Regional School District 10","=""2100012""","Female",78.3,92.3
"Regional School District 10","=""2100012""","Male",78.3,95.8
"Regional School District 11","=""2110012""","Female",76.5,73.1
"Regional School District 11","=""2110012""","Male",*,*
"Regional School District 12","=""2120012""","Female",83.7,95.1
"Regional School District 12","=""2120012""","Male",68.9,83.9
"Regional School District 13","=""2130012""","Female",87.7,100.0
"Regional School District 13","=""2130012""","Male",74.2,84.8
"Regional School District 14","=""2140012""","Female",82.9,89.7
"Regional School District 14","=""2140012""","Male",58.9,95.3
"Regional School District 15","=""2150012""","Female",80.1,94.0
"Regional School District 15","=""2150012""","Male",84.5,92.4
"Regional School District 16","=""2160012""","Female",85.9,96.2
"Regional School District 16","=""2160012""","Male",71.7,92.4
"Regional School District 17","=""2170012""","Female",85.7,93.9
"Regional School District 17","=""2170012""","Male",67.7,88.6
"Regional School District 18","=""2180012""","Female",90.2,98.2
"Regional School District 18","=""2180012""","Male",75.0,97.4
"Regional School District 19","=""2190012""","Female",72.4,89.5
"Regional School District 19","=""2190012""","Male",62.1,89.7
"Capitol Region Education Council","=""2410014""","Female",*,*
"Capitol Region Education Council","=""2410014""","Male",*,*
"Education Connection","=""2420014""","Female",*,*
"Area Cooperative Educational Services","=""2440014""","Female",*,*
"Area Cooperative Educational Services","=""2440014""","Male",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",*,*
"Common Ground High School District","=""2680013""","Female",*,*
"Common Ground High School District","=""2680013""","Male",*,*
"The Bridge Academy District","=""2690013""","Female",*,*
"The Bridge Academy District","=""2690013""","Male",*,*
"Explorations District","=""2720013""","Female",*,*
"Explorations District","=""2720013""","Male",*,*
"Stamford Academy District","=""2820013""","Female",*,*
"Stamford Academy District","=""2820013""","Male",*,*
"Unified School District #2","=""3470015""","Female",*,*
"Unified School District #2","=""3470015""","Male",*,*
"Connecticut Technical High School System","=""9000016""","Female",40.5,74.4
"Connecticut Technical High School System","=""9000016""","Male",28.6,70.0
"Norwich Free Academy District","=""9010022""","Female",73.0,83.2
"Norwich Free Academy District","=""9010022""","Male",68.5,83.0
"The Gilbert School District","=""9020022""","Female",70.8,89.1
"The Gilbert School District","=""9020022""","Male",67.9,91.7
"Woodstock Academy District","=""9030022""","Female",80.1,92.7
"Woodstock Academy District","=""9030022""","Male",70.2,83.5

