"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Old Saybrook School District","=""1060011""","Female",90.2,96.4
"Old Saybrook School District","=""1060011""","Male",77.6,91.1
"Oxford School District","=""1080011""","Female",82.0,92.7
"Oxford School District","=""1080011""","Male",66.1,92.7
"Plainfield School District","=""1090011""","Female",69.9,83.3
"Plainfield School District","=""1090011""","Male",52.6,76.0
"Plainville School District","=""1100011""","Female",77.8,85.7
"Plainville School District","=""1100011""","Male",63.5,89.4
"Plymouth School District","=""1110011""","Female",76.0,89.5
"Plymouth School District","=""1110011""","Male",49.0,87.5
"Portland School District","=""1130011""","Female",81.6,92.5
"Portland School District","=""1130011""","Male",74.4,82.8
"Putnam School District","=""1160011""","Female",74.4,71.9
"Putnam School District","=""1160011""","Male",58.3,57.1
"Ridgefield School District","=""1180011""","Female",89.5,96.4
"Ridgefield School District","=""1180011""","Male",84.8,96.1
"Rocky Hill School District","=""1190011""","Female",84.5,88.2
"Rocky Hill School District","=""1190011""","Male",79.6,90.2
"Seymour School District","=""1240011""","Female",83.8,92.0
"Seymour School District","=""1240011""","Male",67.5,85.2
"Shelton School District","=""1260011""","Female",77.1,93.8
"Shelton School District","=""1260011""","Male",75.6,85.8
"Simsbury School District","=""1280011""","Female",87.4,93.4
"Simsbury School District","=""1280011""","Male",82.9,93.7
"Somers School District","=""1290011""","Female",81.8,94.4
"Somers School District","=""1290011""","Male",80.3,94.3
"Southington School District","=""1310011""","Female",83.0,92.6
"Southington School District","=""1310011""","Male",76.3,85.6
"South Windsor School District","=""1320011""","Female",88.1,93.5
"South Windsor School District","=""1320011""","Male",81.6,93.1
"Stafford School District","=""1340011""","Female",76.9,90.0
"Stafford School District","=""1340011""","Male",64.4,89.7
"Stamford School District","=""1350011""","Female",72.2,91.2
"Stamford School District","=""1350011""","Male",67.7,85.8
"Stonington School District","=""1370011""","Female",80.2,91.8
"Stonington School District","=""1370011""","Male",64.9,86.9
"Stratford School District","=""1380011""","Female",73.4,87.7
"Stratford School District","=""1380011""","Male",65.1,85.9
"Suffield School District","=""1390011""","Female",86.3,96.6
"Suffield School District","=""1390011""","Male",78.2,88.6
"Thomaston School District","=""1400011""","Female",83.3,92.5
"Thomaston School District","=""1400011""","Male",53.2,88.0
"Thompson School District","=""1410011""","Female",63.0,86.2
"Thompson School District","=""1410011""","Male",66.7,70.0
"Tolland School District","=""1420011""","Female",79.1,92.3
"Tolland School District","=""1420011""","Male",80.5,91.2
"Torrington School District","=""1430011""","Female",69.3,88.7
"Torrington School District","=""1430011""","Male",56.8,88.0
"Trumbull School District","=""1440011""","Female",89.9,95.0
"Trumbull School District","=""1440011""","Male",79.8,91.0
"Vernon School District","=""1460011""","Female",75.2,89.0
"Vernon School District","=""1460011""","Male",66.7,80.2
"Wallingford School District","=""1480011""","Female",76.2,92.9
"Wallingford School District","=""1480011""","Male",72.3,84.9
"Waterbury School District","=""1510011""","Female",61.4,80.9
"Waterbury School District","=""1510011""","Male",45.6,76.4
"Waterford School District","=""1520011""","Female",86.5,90.0
"Waterford School District","=""1520011""","Male",70.9,79.5
"Watertown School District","=""1530011""","Female",72.3,87.7
"Watertown School District","=""1530011""","Male",69.6,90.0
"Westbrook School District","=""1540011""","Female",71.0,95.5
"Westbrook School District","=""1540011""","Male",72.7,93.8
"West Hartford School District","=""1550011""","Female",87.9,94.5
"West Hartford School District","=""1550011""","Male",82.6,91.8
"West Haven School District","=""1560011""","Female",75.6,82.3
"West Haven School District","=""1560011""","Male",62.7,84.3
"Weston School District","=""1570011""","Female",89.5,100.0
"Weston School District","=""1570011""","Male",88.1,95.5
"Westport School District","=""1580011""","Female",87.0,98.8
"Westport School District","=""1580011""","Male",82.0,94.6
"Wethersfield School District","=""1590011""","Female",87.1,90.1
"Wethersfield School District","=""1590011""","Male",79.6,93.8
"Wilton School District","=""1610011""","Female",86.8,95.4
"Wilton School District","=""1610011""","Male",84.8,97.8
"Windham School District","=""1630011""","Female",66.7,72.9
"Windham School District","=""1630011""","Male",53.5,81.1
"Windsor School District","=""1640011""","Female",79.6,88.7
"Windsor School District","=""1640011""","Male",62.8,86.1
"Windsor Locks School District","=""1650011""","Female",77.2,90.9
"Windsor Locks School District","=""1650011""","Male",61.0,85.1
"Wolcott School District","=""1660011""","Female",79.0,93.7
"Wolcott School District","=""1660011""","Male",71.8,93.2
"Regional School District 01","=""2010012""","Female",80.0,92.5
"Regional School District 01","=""2010012""","Male",46.0,82.6
"Regional School District 04","=""2040012""","Female",77.3,86.3
"Regional School District 04","=""2040012""","Male",68.5,86.0
"Regional School District 05","=""2050012""","Female",87.5,97.1
"Regional School District 05","=""2050012""","Male",86.7,95.3
"Regional School District 06","=""2060012""","Female",77.8,94.3
"Regional School District 06","=""2060012""","Male",51.5,*
"Regional School District 07","=""2070012""","Female",80.0,88.2
"Regional School District 07","=""2070012""","Male",73.7,87.1
"Regional School District 08","=""2080012""","Female",89.2,97.8
"Regional School District 08","=""2080012""","Male",78.6,94.3
"Regional School District 09","=""2090012""","Female",89.1,93.4
"Regional School District 09","=""2090012""","Male",82.0,91.2
"Regional School District 10","=""2100012""","Female",91.5,93.3
"Regional School District 10","=""2100012""","Male",77.0,85.1
"Regional School District 11","=""2110012""","Female",*,*
"Regional School District 11","=""2110012""","Male",*,*
"Regional School District 12","=""2120012""","Female",80.5,81.8
"Regional School District 12","=""2120012""","Male",70.6,95.8
"Regional School District 13","=""2130012""","Female",90.3,92.3
"Regional School District 13","=""2130012""","Male",87.7,96.9
"Regional School District 14","=""2140012""","Female",83.5,97.0
"Regional School District 14","=""2140012""","Male",69.6,85.5
"Regional School District 15","=""2150012""","Female",87.6,93.2
"Regional School District 15","=""2150012""","Male",85.0,93.9
"Regional School District 16","=""2160012""","Female",87.4,91.6
"Regional School District 16","=""2160012""","Male",69.6,85.9
"Regional School District 17","=""2170012""","Female",88.0,93.9
"Regional School District 17","=""2170012""","Male",86.1,85.3
"Regional School District 18","=""2180012""","Female",84.4,94.7
"Regional School District 18","=""2180012""","Male",67.9,94.4
"Regional School District 19","=""2190012""","Female",74.6,95.3
"Regional School District 19","=""2190012""","Male",63.3,87.7
"Capitol Region Education Council","=""2410014""","Female",72.6,84.4
"Capitol Region Education Council","=""2410014""","Male",71.8,69.6
"Education Connection","=""2420014""","Female",*,*
"Education Connection","=""2420014""","Male",*,*
"Cooperative Educational Services","=""2430014""","Female",*,*
"Cooperative Educational Services","=""2430014""","Male",*,*
"Area Cooperative Educational Services","=""2440014""","Female",*,*
"Area Cooperative Educational Services","=""2440014""","Male",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",*,*
"Common Ground High School District","=""2680013""","Female",*,*
"Common Ground High School District","=""2680013""","Male",*,*
"The Bridge Academy District","=""2690013""","Female",42.9,*
"The Bridge Academy District","=""2690013""","Male",*,*
"Explorations District","=""2720013""","Female",*,*
"Explorations District","=""2720013""","Male",*,*
"Amistad Academy District","=""2790013""","Female",*,*
"Amistad Academy District","=""2790013""","Male",*,*
"Stamford Academy District","=""2820013""","Female",*,*
"Stamford Academy District","=""2820013""","Male",*,*
"Unified School District #1","=""3360015""","Female",*,*
"Unified School District #1","=""3360015""","Male",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Female",*,*
"Unified School District #2","=""3470015""","Female",*,*
"Unified School District #2","=""3470015""","Male",*,*
"Connecticut Technical High School System","=""9000016""","Female",54.1,78.3
"Connecticut Technical High School System","=""9000016""","Male",38.1,71.5
"Norwich Free Academy District","=""9010022""","Female",75.4,87.9
"Norwich Free Academy District","=""9010022""","Male",70.3,85.5
"The Gilbert School District","=""9020022""","Female",80.6,76.0
"The Gilbert School District","=""9020022""","Male",77.8,68.6
"Woodstock Academy District","=""9030022""","Female",87.4,89.0
"Woodstock Academy District","=""9030022""","Male",76.1,90.2

