"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Groton School District","=""0590011""","Male",61.1,72.7
"Guilford School District","=""0600011""","Female",85.1,94.7
"Guilford School District","=""0600011""","Male",87.6,94.7
"Hamden School District","=""0620011""","Female",74.7,89.5
"Hamden School District","=""0620011""","Male",65.3,83.3
"Hartford School District","=""0640011""","Female",67.8,77.3
"Hartford School District","=""0640011""","Male",54.9,80.3
"Killingly School District","=""0690011""","Female",68.5,87.3
"Killingly School District","=""0690011""","Male",50.6,68.3
"Lebanon School District","=""0710011""","Female",80.9,89.1
"Lebanon School District","=""0710011""","Male",71.4,86.7
"Ledyard School District","=""0720011""","Female",80.6,90.8
"Ledyard School District","=""0720011""","Male",74.0,89.6
"Lisbon School District","=""0730011""","Female",*,*
"Lisbon School District","=""0730011""","Male",*,*
"Litchfield School District","=""0740011""","Female",82.2,91.9
"Litchfield School District","=""0740011""","Male",59.5,84.0
"Madison School District","=""0760011""","Female",89.9,97.9
"Madison School District","=""0760011""","Male",83.9,95.6
"Manchester School District","=""0770011""","Female",77.3,88.8
"Manchester School District","=""0770011""","Male",55.1,73.1
"Meriden School District","=""0800011""","Female",66.3,82.2
"Meriden School District","=""0800011""","Male",50.5,75.0
"Middletown School District","=""0830011""","Female",71.0,91.3
"Middletown School District","=""0830011""","Male",58.7,83.8
"Milford School District","=""0840011""","Female",74.7,92.1
"Milford School District","=""0840011""","Male",70.9,82.7
"Monroe School District","=""0850011""","Female",86.5,92.2
"Monroe School District","=""0850011""","Male",79.6,90.3
"Montville School District","=""0860011""","Female",66.2,81.6
"Montville School District","=""0860011""","Male",70.8,93.7
"Naugatuck School District","=""0880011""","Female",80.0,81.5
"Naugatuck School District","=""0880011""","Male",56.9,87.2
"New Britain School District","=""0890011""","Female",61.7,77.3
"New Britain School District","=""0890011""","Male",49.3,75.2
"New Canaan School District","=""0900011""","Female",88.0,97.4
"New Canaan School District","=""0900011""","Male",86.0,96.5
"New Fairfield School District","=""0910011""","Female",87.7,96.5
"New Fairfield School District","=""0910011""","Male",78.8,88.2
"New Haven School District","=""0930011""","Female",69.7,79.0
"New Haven School District","=""0930011""","Male",54.1,76.8
"Newington School District","=""0940011""","Female",79.8,92.3
"Newington School District","=""0940011""","Male",75.1,92.1
"New London School District","=""0950011""","Female",60.4,74.5
"New London School District","=""0950011""","Male",51.7,76.1
"New Milford School District","=""0960011""","Female",81.6,95.2
"New Milford School District","=""0960011""","Male",66.3,90.7
"Newtown School District","=""0970011""","Female",89.0,94.8
"Newtown School District","=""0970011""","Male",81.5,88.9
"North Branford School District","=""0990011""","Female",87.6,94.9
"North Branford School District","=""0990011""","Male",70.7,90.6
"North Haven School District","=""1010011""","Female",84.7,93.4
"North Haven School District","=""1010011""","Male",77.2,89.5
"North Stonington School District","=""1020011""","Female",75.9,81.8
"North Stonington School District","=""1020011""","Male",*,*
"Norwalk School District","=""1030011""","Female",81.3,93.5
"Norwalk School District","=""1030011""","Male",72.3,90.0
"Norwich School District","=""1040011""","Female",*,*
"Norwich School District","=""1040011""","Male",*,*
"Old Saybrook School District","=""1060011""","Female",86.2,96.4
"Old Saybrook School District","=""1060011""","Male",82.4,83.9
"Oxford School District","=""1080011""","Female",88.6,88.6
"Oxford School District","=""1080011""","Male",77.5,94.5
"Plainfield School District","=""1090011""","Female",52.7,77.6
"Plainfield School District","=""1090011""","Male",43.0,73.0
"Plainville School District","=""1100011""","Female",83.3,90.6
"Plainville School District","=""1100011""","Male",72.9,88.7
"Plymouth School District","=""1110011""","Female",64.8,82.9
"Plymouth School District","=""1110011""","Male",57.4,88.6
"Portland School District","=""1130011""","Female",87.5,100.0
"Portland School District","=""1130011""","Male",81.0,97.1
"Putnam School District","=""1160011""","Female",80.4,73.0
"Putnam School District","=""1160011""","Male",32.4,*
"Ridgefield School District","=""1180011""","Female",89.2,97.7
"Ridgefield School District","=""1180011""","Male",86.3,95.1
"Rocky Hill School District","=""1190011""","Female",88.8,91.5
"Rocky Hill School District","=""1190011""","Male",78.8,91.0
"Seymour School District","=""1240011""","Female",81.8,92.1
"Seymour School District","=""1240011""","Male",70.0,87.5
"Shelton School District","=""1260011""","Female",81.4,92.4
"Shelton School District","=""1260011""","Male",79.7,85.6
"Simsbury School District","=""1280011""","Female",88.3,95.2
"Simsbury School District","=""1280011""","Male",84.5,94.9
"Somers School District","=""1290011""","Female",91.3,95.2
"Somers School District","=""1290011""","Male",73.3,92.7
"Southington School District","=""1310011""","Female",82.9,91.5
"Southington School District","=""1310011""","Male",74.3,86.1
"South Windsor School District","=""1320011""","Female",89.8,94.7
"South Windsor School District","=""1320011""","Male",75.6,91.3
"Stafford School District","=""1340011""","Female",76.1,90.2
"Stafford School District","=""1340011""","Male",56.3,81.5
"Stamford School District","=""1350011""","Female",77.2,91.5
"Stamford School District","=""1350011""","Male",72.2,88.8
"Stonington School District","=""1370011""","Female",83.1,94.2
"Stonington School District","=""1370011""","Male",72.0,85.7
"Stratford School District","=""1380011""","Female",80.8,93.0
"Stratford School District","=""1380011""","Male",65.1,85.9
"Suffield School District","=""1390011""","Female",85.1,94.2
"Suffield School District","=""1390011""","Male",77.9,95.5
"Thomaston School District","=""1400011""","Female",69.2,85.2
"Thomaston School District","=""1400011""","Male",60.0,95.2
"Thompson School District","=""1410011""","Female",73.7,92.9
"Thompson School District","=""1410011""","Male",50.0,86.4
"Tolland School District","=""1420011""","Female",81.0,98.0
"Tolland School District","=""1420011""","Male",73.6,90.2
"Torrington School District","=""1430011""","Female",68.8,89.8
"Torrington School District","=""1430011""","Male",51.2,88.9
"Trumbull School District","=""1440011""","Female",89.1,95.5
"Trumbull School District","=""1440011""","Male",80.4,89.9
"Vernon School District","=""1460011""","Female",68.6,84.3
"Vernon School District","=""1460011""","Male",62.9,89.3
"Wallingford School District","=""1480011""","Female",80.1,91.7
"Wallingford School District","=""1480011""","Male",67.6,90.8
"Waterbury School District","=""1510011""","Female",60.0,79.9
"Waterbury School District","=""1510011""","Male",49.8,73.9
"Waterford School District","=""1520011""","Female",80.4,84.1
"Waterford School District","=""1520011""","Male",63.7,82.3
"Watertown School District","=""1530011""","Female",86.2,95.5
"Watertown School District","=""1530011""","Male",74.8,84.3
"Westbrook School District","=""1540011""","Female",78.4,96.6
"Westbrook School District","=""1540011""","Male",63.4,73.1
"West Hartford School District","=""1550011""","Female",86.8,95.4
"West Hartford School District","=""1550011""","Male",82.2,90.4
"West Haven School District","=""1560011""","Female",67.9,84.8
"West Haven School District","=""1560011""","Male",57.5,76.1
"Weston School District","=""1570011""","Female",91.2,98.9
"Weston School District","=""1570011""","Male",89.1,95.6
"Westport School District","=""1580011""","Female",90.4,97.5
"Westport School District","=""1580011""","Male",86.9,97.2
"Wethersfield School District","=""1590011""","Female",90.8,93.6
"Wethersfield School District","=""1590011""","Male",82.5,87.5
"Wilton School District","=""1610011""","Female",85.4,97.8
"Wilton School District","=""1610011""","Male",86.2,95.6
"Winchester School District","=""1620011""","Female",*,*
"Winchester School District","=""1620011""","Male",*,*
"Windham School District","=""1630011""","Female",59.5,72.0
"Windham School District","=""1630011""","Male",59.6,76.8
"Windsor School District","=""1640011""","Female",81.5,91.9
"Windsor School District","=""1640011""","Male",69.9,87.9
"Windsor Locks School District","=""1650011""","Female",73.3,98.2
"Windsor Locks School District","=""1650011""","Male",52.6,83.3
"Wolcott School District","=""1660011""","Female",85.6,88.8
"Wolcott School District","=""1660011""","Male",71.0,93.4
"Regional School District 01","=""2010012""","Female",51.0,92.3
"Regional School District 01","=""2010012""","Male",58.0,96.6
"Regional School District 04","=""2040012""","Female",80.2,89.9
"Regional School District 04","=""2040012""","Male",70.0,89.8
"Regional School District 05","=""2050012""","Female",90.2,95.8
"Regional School District 05","=""2050012""","Male",85.9,92.9
"Regional School District 06","=""2060012""","Female",84.0,88.1
"Regional School District 06","=""2060012""","Male",57.1,91.7
"Regional School District 07","=""2070012""","Female",72.3,91.2
"Regional School District 07","=""2070012""","Male",63.7,82.8
"Regional School District 08","=""2080012""","Female",85.7,97.2
"Regional School District 08","=""2080012""","Male",72.5,93.5
"Regional School District 09","=""2090012""","Female",88.8,98.1
"Regional School District 09","=""2090012""","Male",85.3,92.5
"Regional School District 10","=""2100012""","Female",86.7,96.2
"Regional School District 10","=""2100012""","Male",76.5,89.3
"Regional School District 11","=""2110012""","Female",*,*
"Regional School District 11","=""2110012""","Male",60.0,*
"Regional School District 12","=""2120012""","Female",87.5,92.9
"Regional School District 12","=""2120012""","Male",76.6,91.7
"Regional School District 13","=""2130012""","Female",90.7,91.2
"Regional School District 13","=""2130012""","Male",80.9,83.6
"Regional School District 14","=""2140012""","Female",91.1,92.4
"Regional School District 14","=""2140012""","Male",79.3,83.1
"Regional School District 15","=""2150012""","Female",85.8,93.4
"Regional School District 15","=""2150012""","Male",78.4,93.9
"Regional School District 16","=""2160012""","Female",92.2,97.2
"Regional School District 16","=""2160012""","Male",69.0,91.3
"Regional School District 17","=""2170012""","Female",90.2,95.9
"Regional School District 17","=""2170012""","Male",76.3,87.9
"Regional School District 18","=""2180012""","Female",87.5,95.9
"Regional School District 18","=""2180012""","Male",73.1,94.7
"Regional School District 19","=""2190012""","Female",81.0,94.7
"Regional School District 19","=""2190012""","Male",68.5,90.8
"Capitol Region Education Council","=""2410014""","Female",76.4,86.6
"Capitol Region Education Council","=""2410014""","Male",66.1,77.0
"Education Connection","=""2420014""","Male",*,*
"Cooperative Educational Services","=""2430014""","Female",*,*
"Cooperative Educational Services","=""2430014""","Male",*,*
"Area Cooperative Educational Services","=""2440014""","Female",*,*
"Area Cooperative Educational Services","=""2440014""","Male",*,*
"Learn","=""2450014""","Female",*,*
"Learn","=""2450014""","Male",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",62.5,85.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",42.3,*
"Common Ground High School District","=""2680013""","Female",*,*
"Common Ground High School District","=""2680013""","Male",65.0,*
"The Bridge Academy District","=""2690013""","Female",*,*
"The Bridge Academy District","=""2690013""","Male",*,*
"Explorations District","=""2720013""","Female",*,*
"Explorations District","=""2720013""","Male",*,*
"Amistad Academy District","=""2790013""","Female",*,*
"Amistad Academy District","=""2790013""","Male",*,*
"Stamford Academy District","=""2820013""","Female",*,*
"Stamford Academy District","=""2820013""","Male",*,*
"Elm City College Preparatory School District","=""2890013""","Female",*,*
"Elm City College Preparatory School District","=""2890013""","Male",*,*
"Unified School District #1","=""3360015""","Male",*,*
"Unified School District #2","=""3470015""","Female",*,*
"Unified School District #2","=""3470015""","Male",*,*
"Connecticut Technical High School System","=""9000016""","Female",57.6,77.7
"Connecticut Technical High School System","=""9000016""","Male",40.2,74.1
"Norwich Free Academy District","=""9010022""","Female",77.3,87.9
"Norwich Free Academy District","=""9010022""","Male",67.7,83.7
"The Gilbert School District","=""9020022""","Female",83.8,80.6
"The Gilbert School District","=""9020022""","Male",63.6,76.2
"Woodstock Academy District","=""9030022""","Female",83.7,93.0
"Woodstock Academy District","=""9030022""","Male",72.9,87.2

