"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Berlin School District","=""0070011""",05,"N",198,198,100.0,198,"*","*","*","*",33,16.7,103,52.0,"*","*","*","*",277
"Berlin School District","=""0070011""",08,"Y",54,54,100.0,54,12,22.2,"*","*",15,27.8,17,31.5,"*","*","*","*",230
"Berlin School District","=""0070011""",08,"N",162,162,100.0,162,0,0.0,"*","*",12,7.4,94,58.0,"*","*","*","*",283
"Berlin School District","=""0070011""",10,"Y",53,51,96.2,51,"*","*","*","*",17,33.3,9,17.6,6,11.8,15,29.4,237
"Berlin School District","=""0070011""",10,"N",162,161,99.4,161,0,0.0,"*","*",50,31.1,"*","*",64,39.8,"*","*",282
"Bethany School District","=""0080011""",05,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",05,"N",50,47,94.0,47,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",292
"Bethel School District","=""0090011""",05,"Y",66,66,100.0,66,"*","*","*","*",15,22.7,25,37.9,16,24.2,41,62.1,260
"Bethel School District","=""0090011""",05,"N",147,146,99.3,146,0,0.0,"*","*","*","*",66,45.2,63,43.2,129,88.4,293
"Bethel School District","=""0090011""",08,"Y",71,69,97.2,69,12,17.4,"*","*",17,24.6,32,46.4,"*","*","*","*",247
"Bethel School District","=""0090011""",08,"N",145,145,100.0,145,0,0.0,"*","*","*","*",84,57.9,34,23.4,118,81.4,276
"Bethel School District","=""0090011""",10,"Y",49,48,98.0,48,"*","*","*","*",16,33.3,11,22.9,10,20.8,21,43.8,254
"Bethel School District","=""0090011""",10,"N",146,145,99.3,145,"*","*","*","*",36,24.8,36,24.8,66,45.5,102,70.3,288
"Bloomfield School District","=""0110011""",05,"Y",70,70,100.0,70,"*","*","*","*",24,34.3,18,25.7,0,0.0,18,25.7,220
"Bloomfield School District","=""0110011""",05,"N",54,54,100.0,54,"*","*",8,14.8,20,37.0,19,35.2,"*","*","*","*",241
"Bloomfield School District","=""0110011""",08,"Y",64,64,100.0,64,"*","*","*","*",13,20.3,18,28.1,"*","*","*","*",229
"Bloomfield School District","=""0110011""",08,"N",65,65,100.0,65,"*","*","*","*",19,29.2,30,46.2,"*","*","*","*",253
"Bloomfield School District","=""0110011""",10,"Y",78,74,94.9,73,16,21.9,16,21.9,29,39.7,"*","*","*","*",12,16.4,224
"Bloomfield School District","=""0110011""",10,"N",69,69,100.0,69,"*","*",12,17.4,19,27.5,22,31.9,"*","*","*","*",252
"Bolton School District","=""0120011""",05,"Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",05,"N",51,50,98.0,50,"*","*",0,0.0,"*","*","*","*","*","*","*","*",289
"Bolton School District","=""0120011""",08,"Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",08,"N",36,36,100.0,36,0,0.0,"*","*","*","*","*","*","*","*","*","*",276
"Bolton School District","=""0120011""",10,"Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",10,"N",60,60,100.0,60,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",281
"Bozrah School District","=""0130011""",05,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",05,"N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",08,"Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",08,"N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",05,"Y",80,80,100.0,80,"*","*",14,17.5,29,36.3,25,31.3,"*","*","*","*",237
"Branford School District","=""0140011""",05,"N",144,143,99.3,143,"*","*",7,4.9,21,14.7,81,56.6,"*","*","*","*",274
"Branford School District","=""0140011""",08,"Y",78,76,97.4,76,"*","*","*","*",13,17.1,36,47.4,"*","*","*","*",238
"Branford School District","=""0140011""",08,"N",163,162,99.4,162,"*","*","*","*",21,13.0,93,57.4,"*","*","*","*",277
"Branford School District","=""0140011""",10,"Y",84,78,92.9,78,"*","*","*","*",33,42.3,13,16.7,11,14.1,24,30.8,244
"Branford School District","=""0140011""",10,"N",134,131,97.8,131,"*","*","*","*",40,30.5,36,27.5,50,38.2,86,65.6,281
"Bridgeport Achievement First District","=""2850013""",05,"Y",74,73,98.6,73,"*","*","*","*","*","*","*","*","*","*","*","*",210
"Bridgeport Achievement First District","=""2850013""",05,"N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",08,"Y",80,79,98.8,79,"*","*","*","*","*","*","*","*","*","*","*","*",229
"Bridgeport Achievement First District","=""2850013""",08,"N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",10,"Y",36,36,100.0,35,"*","*","*","*","*","*","*","*","*","*","*","*",200
"Bridgeport Achievement First District","=""2850013""",10,"N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""",05,"Y",1566,1557,99.4,1557,454,29.2,407,26.1,391,25.1,268,17.2,37,2.4,305,19.6,210
"Bridgeport School District","=""0150011""",08,"Y",1452,1425,98.1,1425,637,44.7,241,16.9,244,17.1,274,19.2,29,2.0,303,21.3,211
"Bridgeport School District","=""0150011""",10,"Y",1469,1274,86.7,1217,439,36.1,263,21.6,311,25.6,116,9.5,88,7.2,204,16.8,215
"Bristol School District","=""0170011""",05,"Y",354,352,99.4,352,"*","*",65,18.5,86,24.4,133,37.8,"*","*","*","*",240
"Bristol School District","=""0170011""",05,"N",292,292,100.0,292,"*","*","*","*",45,15.4,165,56.5,65,22.3,230,78.8,274
"Bristol School District","=""0170011""",08,"Y",294,286,97.3,286,"*","*",32,11.2,61,21.3,117,40.9,"*","*","*","*",239
"Bristol School District","=""0170011""",08,"N",270,270,100.0,270,"*","*","*","*",44,16.3,147,54.4,65,24.1,212,78.5,274
"Bristol School District","=""0170011""",10,"Y",252,238,94.4,238,"*","*",50,21.0,87,36.6,28,11.8,"*","*","*","*",229
"Bristol School District","=""0170011""",10,"N",309,303,98.1,303,"*","*","*","*",110,36.3,88,29.0,87,28.7,175,57.8,274
"Brookfield School District","=""0180011""",05,"Y",39,37,94.9,37,"*","*","*","*",8,21.6,14,37.8,"*","*","*","*",242
"Brookfield School District","=""0180011""",05,"N",152,151,99.3,151,"*","*","*","*",12,7.9,67,44.4,"*","*","*","*",295
"Brookfield School District","=""0180011""",08,"Y",52,52,100.0,52,13,25.0,"*","*","*","*",23,44.2,"*","*","*","*",245
"Brookfield School District","=""0180011""",08,"N",149,147,98.7,147,0,0.0,"*","*","*","*",70,47.6,"*","*","*","*",288
"Brookfield School District","=""0180011""",10,"Y",39,37,94.9,36,0,0.0,"*","*",18,50.0,8,22.2,"*","*","*","*",260
"Brookfield School District","=""0180011""",10,"N",185,183,98.9,183,0,0.0,"*","*","*","*",54,29.5,79,43.2,133,72.7,290
"Brooklyn School District","=""0190011""",05,"Y",31,31,100.0,31,"*","*",7,22.6,7,22.6,12,38.7,"*","*","*","*",252
"Brooklyn School District","=""0190011""",05,"N",71,71,100.0,71,0,0.0,0,0.0,"*","*",35,49.3,"*","*","*","*",287
"Brooklyn School District","=""0190011""",08,"Y",40,38,95.0,38,"*","*","*","*","*","*",21,55.3,7,18.4,28,73.7,261
"Brooklyn School District","=""0190011""",08,"N",68,68,100.0,68,"*","*","*","*","*","*",43,63.2,17,25.0,60,88.2,281
"Brooklyn School District","=""0190011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",05,"Y",24,23,95.8,23,"*","*","*","*","*","*",10,43.5,"*","*","*","*",247
"Canterbury School District","=""0220011""",05,"N",29,29,100.0,29,0,0.0,"*","*","*","*",16,55.2,"*","*","*","*",270
"Canterbury School District","=""0220011""",08,"Y",21,21,100.0,21,"*","*","*","*","*","*",14,66.7,0,0.0,14,66.7,248
"Canterbury School District","=""0220011""",08,"N",42,42,100.0,42,0,0.0,"*","*","*","*",30,71.4,"*","*","*","*",258
"Canton School District","=""0230011""",05,"Y",25,25,100.0,25,"*","*","*","*",6,24.0,7,28.0,"*","*","*","*",224
"Canton School District","=""0230011""",05,"N",112,112,100.0,112,"*","*","*","*",6,5.4,49,43.8,"*","*","*","*",298
"Canton School District","=""0230011""",08,"Y",34,34,100.0,34,"*","*","*","*",8,23.5,18,52.9,"*","*","*","*",244
"Canton School District","=""0230011""",08,"N",106,106,100.0,106,0,0.0,"*","*",9,8.5,64,60.4,"*","*","*","*",283
"Canton School District","=""0230011""",10,"Y",30,27,90.0,27,"*","*","*","*",6,22.2,8,29.6,8,29.6,16,59.3,264
"Canton School District","=""0230011""",10,"N",96,95,99.0,95,0,0.0,0,0.0,8,8.4,31,32.6,56,58.9,87,91.6,307
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,"Y",22,22,100.0,22,"*","*","*","*","*","*","*","*",0,0.0,"*","*",219
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,"N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",10,"Y",21,20,95.2,20,"*","*","*","*","*","*","*","*",0,0.0,"*","*",201
"Capital Preparatory Harbor School Inc. District","=""2970013""",10,"N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""",05,"Y",188,186,98.9,186,"*","*",42,22.6,55,29.6,53,28.5,"*","*","*","*",226
"Capitol Region Education Council","=""2410014""",05,"N",131,128,97.7,128,"*","*","*","*",20,15.6,64,50.0,33,25.8,97,75.8,271
"Capitol Region Education Council","=""2410014""",08,"Y",345,341,98.8,341,90,26.4,46,13.5,70,20.5,120,35.2,15,4.4,135,39.6,231
"Capitol Region Education Council","=""2410014""",08,"N",304,303,99.7,303,7,2.3,24,7.9,42,13.9,140,46.2,90,29.7,230,75.9,274
"Capitol Region Education Council","=""2410014""",10,"Y",414,389,94.0,384,96,25.0,95,24.7,127,33.1,39,10.2,27,7.0,66,17.2,222
"Capitol Region Education Council","=""2410014""",10,"N",219,216,98.6,214,11,5.1,34,15.9,63,29.4,44,20.6,62,29.0,106,49.5,266
"Chaplin School District","=""0240011""",05,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""",05,"N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",05,"Y",54,54,100.0,54,"*","*","*","*",13,24.1,22,40.7,8,14.8,30,55.6,252
"Cheshire School District","=""0250011""",05,"N",293,292,99.7,292,0,0.0,"*","*","*","*",138,47.3,120,41.1,258,88.4,292
"Cheshire School District","=""0250011""",08,"Y",44,43,97.7,43,"*","*",8,18.6,"*","*",20,46.5,"*","*","*","*",247
"Cheshire School District","=""0250011""",08,"N",311,309,99.4,309,"*","*",9,2.9,"*","*",168,54.4,"*","*","*","*",281
"Cheshire School District","=""0250011""",10,"Y",68,64,94.1,62,"*","*","*","*",27,43.5,14,22.6,9,14.5,23,37.1,252
"Cheshire School District","=""0250011""",10,"N",277,276,99.6,275,0,0.0,"*","*","*","*",94,34.2,114,41.5,208,75.6,290
"Chester School District","=""0260011""",05,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""",05,"N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",291
"Clinton School District","=""0270011""",05,"Y",47,47,100.0,47,"*","*","*","*",14,29.8,16,34.0,6,12.8,22,46.8,245
"Clinton School District","=""0270011""",05,"N",129,129,100.0,129,"*","*","*","*",21,16.3,66,51.2,40,31.0,106,82.2,280
"Clinton School District","=""0270011""",08,"Y",44,44,100.0,44,"*","*","*","*",13,29.5,15,34.1,"*","*","*","*",242
"Clinton School District","=""0270011""",08,"N",116,115,99.1,115,"*","*","*","*",10,8.7,63,54.8,"*","*","*","*",282
"Clinton School District","=""0270011""",10,"Y",36,32,88.9,32,"*","*","*","*",6,18.8,"*","*","*","*","*","*",214
"Clinton School District","=""0270011""",10,"N",96,96,100.0,96,"*","*","*","*",19,19.8,"*","*","*","*","*","*",286
"Colchester School District","=""0280011""",05,"Y",58,58,100.0,58,"*","*","*","*",16,27.6,28,48.3,"*","*","*","*",252
"Colchester School District","=""0280011""",05,"N",144,143,99.3,143,"*","*","*","*",17,11.9,77,53.8,"*","*","*","*",289
"Colchester School District","=""0280011""",08,"Y",55,54,98.2,54,"*","*","*","*",12,22.2,27,50.0,"*","*","*","*",255
"Colchester School District","=""0280011""",08,"N",137,137,100.0,137,"*","*","*","*",12,8.8,74,54.0,"*","*","*","*",284
"Colchester School District","=""0280011""",10,"Y",55,54,98.2,53,7,13.2,10,18.9,19,35.8,9,17.0,8,15.1,17,32.1,240
"Colchester School District","=""0280011""",10,"N",166,164,98.8,164,0,0.0,6,3.7,38,23.2,41,25.0,79,48.2,120,73.2,289
"Colebrook School District","=""0290011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",05,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",05,"N",44,44,100.0,44,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Columbia School District","=""0300011""",08,"Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",08,"N",45,45,100.0,45,0,0.0,"*","*","*","*","*","*","*","*","*","*",271
"Columbia School District","=""0300011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""",10,"Y",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*","*","*",231
"Common Ground High School District","=""2680013""",10,"N",21,17,81.0,17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""",10,"Y",1470,1465,99.7,1464,163,11.1,335,22.9,663,45.3,181,12.4,122,8.3,303,20.7,234
"Connecticut Technical High School System","=""9000016""",10,"N",1216,1215,99.9,1213,42,3.5,119,9.8,569,46.9,274,22.6,209,17.2,483,39.8,257
"Cooperative Educational Services","=""2430014""",05,"Y",26,26,100.0,26,11,42.3,"*","*","*","*",8,30.8,"*","*","*","*",216
"Cooperative Educational Services","=""2430014""",05,"N",26,26,100.0,26,0,0.0,"*","*","*","*",12,46.2,"*","*","*","*",273
"Cooperative Educational Services","=""2430014""",08,"Y",35,35,100.0,35,"*","*","*","*","*","*","*","*",0,0.0,"*","*",217
"Cooperative Educational Services","=""2430014""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""",10,"Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",05,"Y",28,28,100.0,28,0,0.0,"*","*",10,35.7,10,35.7,"*","*","*","*",254
"Coventry School District","=""0320011""",05,"N",87,86,98.9,86,0,0.0,"*","*",7,8.1,42,48.8,"*","*","*","*",291
"Coventry School District","=""0320011""",08,"Y",35,34,97.1,34,"*","*","*","*","*","*",20,58.8,"*","*","*","*",262
"Coventry School District","=""0320011""",08,"N",103,102,99.0,102,0,0.0,"*","*","*","*",66,64.7,"*","*","*","*",279
"Coventry School District","=""0320011""",10,"Y",32,32,100.0,31,6,19.4,"*","*",16,51.6,0,0.0,"*","*","*","*",237
"Coventry School District","=""0320011""",10,"N",84,83,98.8,83,0,0.0,"*","*",18,21.7,17,20.5,"*","*","*","*",301
"Cromwell School District","=""0330011""",05,"Y",50,50,100.0,50,"*","*",10,20.0,12,24.0,19,38.0,"*","*","*","*",235
"Cromwell School District","=""0330011""",05,"N",126,126,100.0,126,"*","*",7,5.6,30,23.8,54,42.9,"*","*","*","*",272
"Cromwell School District","=""0330011""",08,"Y",37,36,97.3,36,"*","*","*","*",12,33.3,14,38.9,"*","*","*","*",243
"Cromwell School District","=""0330011""",08,"N",106,106,100.0,106,"*","*","*","*",17,16.0,57,53.8,"*","*","*","*",272
"Cromwell School District","=""0330011""",10,"Y",32,31,96.9,31,6,19.4,"*","*",14,45.2,"*","*","*","*","*","*",221
"Cromwell School District","=""0330011""",10,"N",115,115,100.0,115,0,0.0,"*","*",44,38.3,"*","*","*","*","*","*",276
"Danbury School District","=""0340011""",05,"Y",568,561,98.8,561,"*","*",139,24.8,157,28.0,139,24.8,"*","*","*","*",225
"Danbury School District","=""0340011""",05,"N",299,298,99.7,298,"*","*","*","*",64,21.5,156,52.3,54,18.1,210,70.5,266
"Danbury School District","=""0340011""",08,"Y",482,479,99.4,479,139,29.0,74,15.4,109,22.8,150,31.3,7,1.5,157,32.8,225
"Danbury School District","=""0340011""",08,"N",323,321,99.4,321,21,6.5,24,7.5,74,23.1,163,50.8,39,12.1,202,62.9,256
"Danbury School District","=""0340011""",10,"Y",410,401,97.8,400,132,33.0,91,22.8,124,31.0,42,10.5,11,2.8,53,13.3,212
"Danbury School District","=""0340011""",10,"N",319,314,98.4,314,23,7.3,41,13.1,116,36.9,79,25.2,55,17.5,134,42.7,255
"Darien School District","=""0350011""",05,"Y",51,49,96.1,49,"*","*","*","*",15,30.6,18,36.7,8,16.3,26,53.1,252
"Darien School District","=""0350011""",05,"N",305,305,100.0,305,0,0.0,"*","*","*","*",135,44.3,134,43.9,269,88.2,291
"Darien School District","=""0350011""",08,"Y",63,61,96.8,61,"*","*","*","*",10,16.4,28,45.9,12,19.7,40,65.6,260
"Darien School District","=""0350011""",08,"N",310,308,99.4,308,0,0.0,"*","*","*","*",133,43.2,164,53.2,297,96.4,300
"Darien School District","=""0350011""",10,"Y",62,51,82.3,50,"*","*","*","*",22,44.0,12,24.0,7,14.0,19,38.0,251
"Darien School District","=""0350011""",10,"N",290,286,98.6,286,0,0.0,"*","*","*","*",78,27.3,165,57.7,243,85.0,304
"Deep River School District","=""0360011""",05,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""",05,"N",31,31,100.0,31,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",289
"Derby School District","=""0370011""",05,"Y",71,71,100.0,71,"*","*","*","*",17,23.9,24,33.8,"*","*","*","*",238
"Derby School District","=""0370011""",05,"N",37,37,100.0,37,"*","*","*","*",13,35.1,15,40.5,"*","*","*","*",251
"Derby School District","=""0370011""",08,"Y",65,64,98.5,64,"*","*",12,18.8,10,15.6,17,26.6,"*","*","*","*",223
"Derby School District","=""0370011""",08,"N",34,34,100.0,34,"*","*",10,29.4,7,20.6,10,29.4,"*","*","*","*",242
"Derby School District","=""0370011""",10,"Y",39,39,100.0,39,"*","*",8,20.5,14,35.9,"*","*","*","*","*","*",218
"Derby School District","=""0370011""",10,"N",41,39,95.1,39,"*","*",7,17.9,10,25.6,"*","*","*","*","*","*",256
"East Granby School District","=""0400011""",05,"Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""",05,"N",55,55,100.0,55,"*","*",0,0.0,"*","*","*","*","*","*","*","*",296
"East Granby School District","=""0400011""",08,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""",08,"N",45,45,100.0,45,"*","*","*","*","*","*","*","*","*","*","*","*",278
"East Granby School District","=""0400011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""",10,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""",05,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""",05,"N",59,59,100.0,59,"*","*","*","*","*","*","*","*","*","*","*","*",290
"East Haddam School District","=""0410011""",08,"Y",24,24,100.0,24,"*","*","*","*",7,29.2,10,41.7,"*","*","*","*",241
"East Haddam School District","=""0410011""",08,"N",79,76,96.2,76,0,0.0,"*","*",12,15.8,52,68.4,"*","*","*","*",266
"East Haddam School District","=""0410011""",10,"Y",21,19,90.5,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""",10,"N",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*","*","*",274
"East Hampton School District","=""0420011""",05,"Y",31,28,90.3,28,"*","*","*","*",6,21.4,15,53.6,0,0.0,15,53.6,238
"East Hampton School District","=""0420011""",05,"N",103,102,99.0,102,0,0.0,"*","*","*","*",48,47.1,32,31.4,80,78.4,277
"East Hampton School District","=""0420011""",08,"Y",31,30,96.8,30,"*","*","*","*","*","*",13,43.3,"*","*","*","*",246
"East Hampton School District","=""0420011""",08,"N",117,116,99.1,116,0,0.0,"*","*","*","*",59,50.9,"*","*","*","*",277
"East Hampton School District","=""0420011""",10,"Y",27,27,100.0,26,"*","*","*","*",12,46.2,"*","*","*","*","*","*",241
"East Hampton School District","=""0420011""",10,"N",82,81,98.8,81,"*","*","*","*",19,23.5,"*","*","*","*","*","*",292
"East Hartford School District","=""0430011""",05,"Y",345,345,100.0,345,82,23.8,79,22.9,103,29.9,70,20.3,11,3.2,81,23.5,217
"East Hartford School District","=""0430011""",05,"N",170,170,100.0,170,10,5.9,15,8.8,56,32.9,74,43.5,15,8.8,89,52.4,250
