"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Special Education Status (SWD)"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Berlin School District","=""0070011""",10,"Y",29,27,93.1,27,"*","*",12,44.4,6,22.2,"*","*","*","*","*","*",217
"Bethany School District","=""0080011""",05,"N",54,51,94.4,51,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",290
"Bethany School District","=""0080011""",05,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",05,"N",193,192,99.5,192,0,0.0,"*","*","*","*","*","*","*","*","*","*",288
"Bethel School District","=""0090011""",05,"Y",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*","*","*",236
"Bethel School District","=""0090011""",08,"N",194,194,100.0,194,"*","*","*","*",33,17.0,"*","*",40,20.6,"*","*",271
"Bethel School District","=""0090011""",08,"Y",22,20,90.9,20,"*","*","*","*",8,40.0,"*","*",0,0.0,"*","*",224
"Bethel School District","=""0090011""",10,"N",177,175,98.9,175,"*","*","*","*","*","*","*","*","*","*","*","*",285
"Bethel School District","=""0090011""",10,"Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",05,"N",110,110,100.0,110,"*","*","*","*","*","*","*","*","*","*","*","*",235
"Bloomfield School District","=""0110011""",05,"Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",08,"N",116,116,100.0,116,"*","*","*","*","*","*","*","*","*","*","*","*",245
"Bloomfield School District","=""0110011""",08,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",10,"N",126,124,98.4,123,"*","*","*","*","*","*","*","*","*","*","*","*",243
"Bloomfield School District","=""0110011""",10,"Y",21,19,90.5,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",05,"N",58,57,98.3,57,"*","*",0,0.0,"*","*","*","*","*","*","*","*",290
"Bolton School District","=""0120011""",05,"Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",08,"N",43,43,100.0,43,"*","*","*","*","*","*","*","*","*","*","*","*",268
"Bolton School District","=""0120011""",08,"Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",10,"N",71,71,100.0,71,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Bolton School District","=""0120011""",10,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",05,"N",23,23,100.0,23,0,0.0,0,0.0,0,0.0,"*","*","*","*","*","*",287
"Bozrah School District","=""0130011""",05,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",05,"N",197,196,99.5,196,"*","*",12,6.1,40,20.4,"*","*","*","*","*","*",268
"Branford School District","=""0140011""",05,"Y",27,27,100.0,27,"*","*",9,33.3,10,37.0,"*","*","*","*","*","*",210
"Branford School District","=""0140011""",08,"N",214,212,99.1,212,10,4.7,"*","*","*","*",122,57.5,43,20.3,165,77.8,270
"Branford School District","=""0140011""",08,"Y",27,26,96.3,26,"*","*",8,30.8,"*","*",7,26.9,0,0.0,7,26.9,223
"Branford School District","=""0140011""",10,"N",179,173,96.6,173,"*","*",6,3.5,60,34.7,"*","*","*","*","*","*",278
"Branford School District","=""0140011""",10,"Y",39,36,92.3,36,"*","*",10,27.8,13,36.1,"*","*","*","*","*","*",217
"Bridgeport Achievement First District","=""2850013""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",08,"N",81,80,98.8,80,"*","*","*","*","*","*","*","*","*","*","*","*",235
"Bridgeport Achievement First District","=""2850013""",08,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",10,"N",36,36,100.0,35,"*","*","*","*","*","*","*","*","*","*","*","*",202
"Bridgeport Achievement First District","=""2850013""",10,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""",05,"N",1359,1352,99.5,1352,313,23.2,362,26.8,377,27.9,"*","*","*","*","*","*",216
"Bridgeport School District","=""0150011""",05,"Y",207,205,99.0,205,141,68.8,45,22.0,"*","*","*","*",0,0.0,"*","*",172
"Bridgeport School District","=""0150011""",08,"N",1217,1201,98.7,1201,460,38.3,210,17.5,233,19.4,"*","*","*","*","*","*",217
"Bridgeport School District","=""0150011""",08,"Y",235,224,95.3,224,177,79.0,31,13.8,"*","*","*","*",0,0.0,"*","*",180
"Bridgeport School District","=""0150011""",10,"N",1226,1081,88.2,1035,302,29.2,237,22.9,297,28.7,"*","*","*","*","*","*",221
"Bridgeport School District","=""0150011""",10,"Y",243,193,79.4,182,137,75.3,26,14.3,14,7.7,"*","*","*","*","*","*",180
"Bristol School District","=""0170011""",05,"N",540,540,100.0,540,"*","*",41,7.6,109,20.2,283,52.4,"*","*","*","*",265
"Bristol School District","=""0170011""",05,"Y",106,104,98.1,104,28,26.9,38,36.5,22,21.2,"*","*","*","*",16,15.4,206
"Bristol School District","=""0170011""",08,"N",467,463,99.1,463,"*","*",26,5.6,96,20.7,242,52.3,"*","*","*","*",265
"Bristol School District","=""0170011""",08,"Y",97,93,95.9,93,44,47.3,16,17.2,"*","*",22,23.7,"*","*","*","*",211
"Bristol School District","=""0170011""",10,"N",468,456,97.4,456,21,4.6,40,8.8,171,37.5,"*","*","*","*","*","*",264
"Bristol School District","=""0170011""",10,"Y",93,85,91.4,85,34,40.0,23,27.1,26,30.6,"*","*","*","*","*","*",203
"Brookfield School District","=""0180011""",05,"N",169,168,99.4,168,"*","*","*","*","*","*","*","*","*","*","*","*",291
"Brookfield School District","=""0180011""",05,"Y",22,20,90.9,20,"*","*","*","*","*","*","*","*","*","*","*","*",225
"Brookfield School District","=""0180011""",08,"N",174,172,98.9,172,"*","*","*","*","*","*",84,48.8,"*","*","*","*",284
"Brookfield School District","=""0180011""",08,"Y",27,27,100.0,27,"*","*","*","*","*","*",9,33.3,"*","*","*","*",229
"Brookfield School District","=""0180011""",10,"N",202,200,99.0,200,0,0.0,"*","*","*","*","*","*","*","*","*","*",289
"Brookfield School District","=""0180011""",10,"Y",22,20,90.9,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""",05,"N",91,91,100.0,91,0,0.0,"*","*","*","*","*","*","*","*","*","*",284
"Brooklyn School District","=""0190011""",05,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""",08,"N",98,97,99.0,97,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Brooklyn School District","=""0190011""",08,"Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,"N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",05,"N",46,46,100.0,46,0,0.0,"*","*","*","*","*","*","*","*","*","*",267
"Canterbury School District","=""0220011""",05,"Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",08,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",05,"N",124,124,100.0,124,"*","*","*","*","*","*","*","*","*","*","*","*",292
"Canton School District","=""0230011""",05,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",08,"N",120,120,100.0,120,"*","*","*","*",10,8.3,74,61.7,32,26.7,106,88.3,280
"Canton School District","=""0230011""",08,"Y",20,20,100.0,20,"*","*","*","*",7,35.0,8,40.0,0,0.0,8,40.0,236
"Canton School District","=""0230011""",10,"N",108,106,98.1,106,"*","*",0,0.0,"*","*","*","*","*","*","*","*",304
"Canton School District","=""0230011""",10,"Y",18,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""",05,"N",246,243,98.8,243,"*","*",26,10.7,62,25.5,109,44.9,"*","*","*","*",257
"Capitol Region Education Council","=""2410014""",05,"Y",73,71,97.3,71,23,32.4,26,36.6,13,18.3,"*","*","*","*",9,12.7,202
"Capitol Region Education Council","=""2410014""",08,"N",567,564,99.5,564,"*","*",60,10.6,104,18.4,245,43.4,"*","*","*","*",258
"Capitol Region Education Council","=""2410014""",08,"Y",82,80,97.6,80,45,56.3,10,12.5,"*","*",15,18.8,"*","*","*","*",206
"Capitol Region Education Council","=""2410014""",10,"N",526,511,97.1,508,54,10.6,101,19.9,183,36.0,"*","*","*","*","*","*",247
"Capitol Region Education Council","=""2410014""",10,"Y",107,94,87.9,90,53,58.9,28,31.1,7,7.8,"*","*","*","*","*","*",186
"Chaplin School District","=""0240011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",05,"N",316,315,99.7,315,0,0.0,"*","*",35,11.1,147,46.7,"*","*","*","*",290
"Cheshire School District","=""0250011""",05,"Y",31,31,100.0,31,"*","*",7,22.6,7,22.6,13,41.9,"*","*","*","*",237
"Cheshire School District","=""0250011""",08,"N",330,328,99.4,328,"*","*","*","*","*","*",179,54.6,"*","*","*","*",280
"Cheshire School District","=""0250011""",08,"Y",25,24,96.0,24,"*","*","*","*","*","*",9,37.5,"*","*","*","*",239
"Cheshire School District","=""0250011""",10,"N",302,301,99.7,300,0,0.0,"*","*",74,24.7,100,33.3,"*","*","*","*",288
"Cheshire School District","=""0250011""",10,"Y",43,39,90.7,37,"*","*",6,16.2,15,40.5,8,21.6,"*","*","*","*",239
"Chester School District","=""0260011""",05,"N",29,29,100.0,29,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",289
"Chester School District","=""0260011""",05,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",05,"N",149,149,100.0,149,"*","*","*","*",29,19.5,73,49.0,"*","*","*","*",276
"Clinton School District","=""0270011""",05,"Y",27,27,100.0,27,"*","*","*","*",6,22.2,9,33.3,"*","*","*","*",244
"Clinton School District","=""0270011""",08,"N",145,144,99.3,144,"*","*","*","*","*","*","*","*","*","*","*","*",276
"Clinton School District","=""0270011""",08,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",10,"N",121,119,98.3,119,"*","*","*","*","*","*","*","*","*","*","*","*",272
"Clinton School District","=""0270011""",10,"Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""",05,"N",172,171,99.4,171,"*","*","*","*",21,12.3,97,56.7,"*","*","*","*",286
"Colchester School District","=""0280011""",05,"Y",30,30,100.0,30,"*","*","*","*",12,40.0,8,26.7,"*","*","*","*",236
"Colchester School District","=""0280011""",08,"N",170,170,100.0,170,"*","*",6,3.5,"*","*",93,54.7,51,30.0,144,84.7,281
"Colchester School District","=""0280011""",08,"Y",22,21,95.5,21,"*","*",7,33.3,"*","*",8,38.1,0,0.0,8,38.1,237
"Colchester School District","=""0280011""",10,"N",197,195,99.0,195,"*","*","*","*",51,26.2,"*","*","*","*","*","*",283
"Colchester School District","=""0280011""",10,"Y",24,23,95.8,22,"*","*","*","*",6,27.3,"*","*","*","*","*","*",218
"Colebrook School District","=""0290011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",05,"N",51,51,100.0,51,"*","*","*","*","*","*","*","*","*","*","*","*",275
"Columbia School District","=""0300011""",05,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",08,"N",50,50,100.0,50,0,0.0,"*","*","*","*","*","*","*","*","*","*",268
"Columbia School District","=""0300011""",08,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""",10,"N",39,35,89.7,35,"*","*","*","*","*","*","*","*","*","*","*","*",245
"Common Ground High School District","=""2680013""",10,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""",10,"N",2424,2419,99.8,2417,162,6.7,382,15.8,1135,47.0,423,17.5,315,13.0,738,30.5,246
"Connecticut Technical High School System","=""9000016""",10,"Y",262,261,99.6,260,43,16.5,72,27.7,97,37.3,32,12.3,16,6.2,48,18.5,229
"Cooperative Educational Services","=""2430014""",05,"N",36,36,100.0,36,"*","*","*","*","*","*","*","*","*","*","*","*",266
"Cooperative Educational Services","=""2430014""",05,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""",08,"N",22,22,100.0,22,0,0.0,"*","*","*","*",14,63.6,"*","*","*","*",268
"Cooperative Educational Services","=""2430014""",08,"Y",31,31,100.0,31,14,45.2,"*","*","*","*",7,22.6,0,0.0,7,22.6,212
"Cooperative Educational Services","=""2430014""",10,"Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",05,"N",100,99,99.0,99,0,0.0,"*","*","*","*","*","*","*","*","*","*",289
"Coventry School District","=""0320011""",05,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",08,"N",123,122,99.2,122,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Coventry School District","=""0320011""",08,"Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",10,"N",93,92,98.9,92,0,0.0,"*","*",23,25.0,17,18.5,"*","*","*","*",298
"Coventry School District","=""0320011""",10,"Y",23,23,100.0,22,6,27.3,"*","*",11,50.0,0,0.0,"*","*","*","*",223
"Cromwell School District","=""0330011""",05,"N",156,156,100.0,156,"*","*","*","*","*","*",67,42.9,37,23.7,104,66.7,268
"Cromwell School District","=""0330011""",05,"Y",20,20,100.0,20,"*","*","*","*","*","*",6,30.0,0,0.0,6,30.0,212
"Cromwell School District","=""0330011""",08,"N",130,130,100.0,130,"*","*","*","*","*","*","*","*","*","*","*","*",269
"Cromwell School District","=""0330011""",08,"Y",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""",10,"N",132,132,100.0,132,"*","*","*","*","*","*","*","*","*","*","*","*",271
"Cromwell School District","=""0330011""",10,"Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""",05,"N",760,754,99.2,754,"*","*",121,16.0,208,27.6,284,37.7,"*","*","*","*",245
"Danbury School District","=""0340011""",05,"Y",107,105,98.1,105,39,37.1,38,36.2,13,12.4,"*","*","*","*",15,14.3,197
"Danbury School District","=""0340011""",08,"N",709,706,99.6,706,102,14.4,"*","*",176,24.9,300,42.5,"*","*","*","*",242
"Danbury School District","=""0340011""",08,"Y",96,94,97.9,94,58,61.7,15,16.0,"*","*",13,13.8,"*","*","*","*",199
"Danbury School District","=""0340011""",10,"N",643,634,98.6,634,111,17.5,107,16.9,231,36.4,"*","*","*","*","*","*",236
"Danbury School District","=""0340011""",10,"Y",86,81,94.2,80,44,55.0,25,31.3,"*","*","*","*",0,0.0,"*","*",189
"Darien School District","=""0350011""",05,"N",315,314,99.7,314,0,0.0,"*","*",33,10.5,137,43.6,"*","*","*","*",290
"Darien School District","=""0350011""",05,"Y",41,40,97.6,40,"*","*","*","*",12,30.0,16,40.0,"*","*","*","*",249
"Darien School District","=""0350011""",08,"N",316,314,99.4,314,0,0.0,"*","*","*","*",136,43.3,166,52.9,302,96.2,300
"Darien School District","=""0350011""",08,"Y",57,55,96.5,55,"*","*","*","*",10,18.2,25,45.5,10,18.2,35,63.6,258
"Darien School District","=""0350011""",10,"N",295,291,98.6,291,0,0.0,"*","*",44,15.1,79,27.1,"*","*","*","*",304
"Darien School District","=""0350011""",10,"Y",57,46,80.7,45,"*","*","*","*",20,44.4,11,24.4,"*","*","*","*",249
"Deep River School District","=""0360011""",05,"N",36,36,100.0,36,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",288
"Deep River School District","=""0360011""",05,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""",05,"N",96,96,100.0,96,"*","*","*","*","*","*","*","*","*","*","*","*",249
"Derby School District","=""0370011""",05,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""",08,"N",86,86,100.0,86,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Derby School District","=""0370011""",08,"Y",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""",10,"N",70,68,97.1,68,"*","*","*","*","*","*","*","*","*","*","*","*",248
"Derby School District","=""0370011""",10,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""",05,"N",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*","*","*",290
"East Granby School District","=""0400011""",05,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""",08,"N",55,55,100.0,55,"*","*","*","*","*","*","*","*","*","*","*","*",272
"East Granby School District","=""0400011""",08,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""",10,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""",08,"N",92,89,96.7,89,0,0.0,"*","*","*","*","*","*","*","*","*","*",265
"East Haddam School District","=""0410011""",08,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""",10,"N",75,75,100.0,75,"*","*","*","*","*","*","*","*","*","*","*","*",270
"East Haddam School District","=""0410011""",10,"Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""",05,"N",119,118,99.2,118,0,0.0,"*","*","*","*","*","*","*","*","*","*",274
"East Hampton School District","=""0420011""",05,"Y",15,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""",08,"N",134,133,99.3,133,0,0.0,"*","*","*","*","*","*","*","*","*","*",276
"East Hampton School District","=""0420011""",08,"Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""",10,"N",100,99,99.0,99,"*","*","*","*","*","*","*","*","*","*","*","*",283
"East Hampton School District","=""0420011""",10,"Y",9,9,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""",05,"N",434,434,100.0,434,48,11.1,68,15.7,151,34.8,"*","*","*","*","*","*",237
"East Hartford School District","=""0430011""",05,"Y",81,81,100.0,81,44,54.3,26,32.1,"*","*","*","*",0,0.0,"*","*",179
"East Hartford School District","=""0430011""",08,"N",404,401,99.3,401,108,26.9,62,15.5,"*","*","*","*",31,7.7,"*","*",234
"East Hartford School District","=""0430011""",08,"Y",88,83,94.3,83,64,77.1,12,14.5,"*","*","*","*",0,0.0,"*","*",186
"East Hartford School District","=""0430011""",10,"N",412,382,92.7,382,49,12.8,78,20.4,"*","*",67,17.5,"*","*","*","*",239
