"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, Gender"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Lebanon School District","=""0710011""","F",40,40,100.0,40,"*","*","*","*",9,22.5,23,57.5,"*","*","*","*",264
"Lebanon School District","=""0710011""","M",41,41,100.0,41,"*","*","*","*",7,17.1,21,51.2,"*","*","*","*",272
"Ledyard School District","=""0720011""","F",66,65,98.5,65,"*","*","*","*",10,15.4,40,61.5,8,12.3,48,73.8,261
"Ledyard School District","=""0720011""","M",93,93,100.0,93,"*","*","*","*",17,18.3,51,54.8,14,15.1,65,69.9,263
"Lisbon School District","=""0730011""","F",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lisbon School District","=""0730011""","M",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*","*","*",255
"Litchfield School District","=""0740011""","F",50,50,100.0,50,"*","*","*","*","*","*",31,62.0,13,26.0,44,88.0,276
"Litchfield School District","=""0740011""","M",39,39,100.0,39,"*","*","*","*","*","*",16,41.0,12,30.8,28,71.8,271
"Madison School District","=""0760011""","F",157,151,96.2,151,"*","*","*","*",16,10.6,87,57.6,37,24.5,124,82.1,275
"Madison School District","=""0760011""","M",121,116,95.9,116,"*","*","*","*",18,15.5,59,50.9,34,29.3,93,80.2,278
"Manchester School District","=""0770011""","F",180,177,98.3,177,47,26.6,25,14.1,36,20.3,61,34.5,8,4.5,69,39.0,232
"Manchester School District","=""0770011""","M",192,189,98.4,189,42,22.2,17,9.0,41,21.7,79,41.8,10,5.3,89,47.1,235
"Mansfield School District","=""0780011""","F",67,67,100.0,67,"*","*",0,0.0,"*","*",32,47.8,26,38.8,58,86.6,288
"Mansfield School District","=""0780011""","M",74,74,100.0,74,"*","*","*","*","*","*",31,41.9,34,45.9,65,87.8,295
"Meriden School District","=""0800011""","F",244,240,98.4,240,65,27.1,40,16.7,53,22.1,72,30.0,10,4.2,82,34.2,228
"Meriden School District","=""0800011""","M",249,238,95.6,238,87,36.6,35,14.7,39,16.4,70,29.4,7,2.9,77,32.4,221
"Middletown School District","=""0830011""","F",168,168,100.0,168,33,19.6,27,16.1,40,23.8,57,33.9,11,6.5,68,40.5,236
"Middletown School District","=""0830011""","M",142,142,100.0,142,24,16.9,16,11.3,23,16.2,66,46.5,13,9.2,79,55.6,247
"Milford School District","=""0840011""","F",213,212,99.5,212,9,4.2,17,8.0,37,17.5,129,60.8,20,9.4,149,70.3,258
"Milford School District","=""0840011""","M",281,274,97.5,274,22,8.0,33,12.0,53,19.3,138,50.4,28,10.2,166,60.6,254
"Monroe School District","=""0850011""","F",123,123,100.0,123,"*","*","*","*",11,8.9,73,59.3,32,26.0,105,85.4,276
"Monroe School District","=""0850011""","M",131,131,100.0,131,"*","*","*","*",10,7.6,75,57.3,33,25.2,108,82.4,274
"Montville School District","=""0860011""","F",81,80,98.8,80,"*","*","*","*",11,13.8,41,51.3,15,18.8,56,70.0,265
"Montville School District","=""0860011""","M",104,103,99.0,103,"*","*","*","*",14,13.6,47,45.6,26,25.2,73,70.9,264
"Naugatuck School District","=""0880011""","F",137,135,98.5,135,19,14.1,22,16.3,26,19.3,61,45.2,7,5.2,68,50.4,242
"Naugatuck School District","=""0880011""","M",197,197,100.0,197,30,15.2,33,16.8,33,16.8,81,41.1,20,10.2,101,51.3,243
"New Beginnings Inc., Family Academy District","=""2800013""","F",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","F",267,263,98.5,263,107,40.7,50,19.0,"*","*",60,22.8,"*","*","*","*",212
"New Britain School District","=""0890011""","M",351,347,98.9,347,157,45.2,"*","*",56,16.1,77,22.2,"*","*","*","*",212
"New Canaan School District","=""0900011""","F",137,137,100.0,137,"*","*","*","*",8,5.8,62,45.3,63,46.0,125,91.2,291
"New Canaan School District","=""0900011""","M",165,164,99.4,164,"*","*","*","*",12,7.3,78,47.6,66,40.2,144,87.8,285
"New Fairfield School District","=""0910011""","F",107,104,97.2,104,"*","*","*","*",14,13.5,55,52.9,25,24.0,80,76.9,271
"New Fairfield School District","=""0910011""","M",88,88,100.0,88,"*","*","*","*",11,12.5,35,39.8,34,38.6,69,78.4,277
"New Haven School District","=""0930011""","F",716,709,99.0,709,235,33.1,125,17.6,151,21.3,168,23.7,30,4.2,198,27.9,223
"New Haven School District","=""0930011""","M",713,706,99.0,706,268,38.0,105,14.9,137,19.4,157,22.2,39,5.5,196,27.8,221
"New London School District","=""0950011""","F",82,80,97.6,80,31,38.8,"*","*",15,18.8,18,22.5,"*","*","*","*",217
"New London School District","=""0950011""","M",106,100,94.3,100,35,35.0,"*","*",16,16.0,32,32.0,"*","*","*","*",223
"New Milford School District","=""0960011""","F",155,155,100.0,154,9,5.8,7,4.5,26,16.9,82,53.2,30,19.5,112,72.7,266
"New Milford School District","=""0960011""","M",201,201,100.0,201,12,6.0,19,9.5,30,14.9,109,54.2,31,15.4,140,69.7,261
"Newington School District","=""0940011""","F",166,166,100.0,166,10,6.0,8,4.8,34,20.5,82,49.4,32,19.3,114,68.7,265
"Newington School District","=""0940011""","M",154,153,99.4,153,8,5.2,10,6.5,23,15.0,81,52.9,31,20.3,112,73.2,268
"Newtown School District","=""0970011""","F",201,200,99.5,200,"*","*","*","*",25,12.5,106,53.0,59,29.5,165,82.5,278
"Newtown School District","=""0970011""","M",212,210,99.1,210,"*","*","*","*",17,8.1,121,57.6,60,28.6,181,86.2,282
"North Branford School District","=""0990011""","F",79,77,97.5,77,0,0.0,"*","*","*","*",49,63.6,15,19.5,64,83.1,275
"North Branford School District","=""0990011""","M",78,77,98.7,77,14,18.2,"*","*",12,15.6,33,42.9,"*","*","*","*",249
"North Canaan School District","=""1000011""","F",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Canaan School District","=""1000011""","M",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","F",132,132,100.0,132,6,4.5,10,7.6,30,22.7,70,53.0,16,12.1,86,65.2,259
"North Haven School District","=""1010011""","M",142,141,99.3,141,9,6.4,16,11.3,28,19.9,64,45.4,24,17.0,88,62.4,259
"North Stonington School District","=""1020011""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","M",35,35,100.0,35,0,0.0,"*","*","*","*","*","*","*","*","*","*",286
"Norwalk School District","=""1030011""","F",386,384,99.5,384,73,19.0,37,9.6,74,19.3,150,39.1,50,13.0,200,52.1,246
"Norwalk School District","=""1030011""","M",417,415,99.5,415,63,15.2,63,15.2,73,17.6,164,39.5,52,12.5,216,52.0,248
"Norwich School District","=""1040011""","F",187,185,98.9,185,45,24.3,"*","*",47,25.4,60,32.4,"*","*","*","*",228
"Norwich School District","=""1040011""","M",195,194,99.5,194,57,29.4,"*","*",39,20.1,62,32.0,"*","*","*","*",227
"Odyssey Community School District","=""2630013""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Odyssey Community School District","=""2630013""","M",21,20,95.2,20,"*","*",0,0.0,"*","*","*","*","*","*","*","*",264
"Old Saybrook School District","=""1060011""","F",55,55,100.0,55,"*","*","*","*","*","*",35,63.6,10,18.2,45,81.8,269
"Old Saybrook School District","=""1060011""","M",66,66,100.0,66,"*","*","*","*","*","*",36,54.5,14,21.2,50,75.8,269
"Oxford School District","=""1080011""","F",78,78,100.0,78,"*","*","*","*",19,24.4,34,43.6,15,19.2,49,62.8,265
"Oxford School District","=""1080011""","M",89,88,98.9,88,"*","*","*","*",13,14.8,45,51.1,18,20.5,63,71.6,267
"Park City Prep Charter School District","=""2830013""","F",49,49,100.0,49,"*","*","*","*",10,20.4,21,42.9,"*","*","*","*",246
"Park City Prep Charter School District","=""2830013""","M",34,32,94.1,32,"*","*","*","*",10,31.3,13,40.6,"*","*","*","*",240
"Plainfield School District","=""1090011""","F",90,89,98.9,89,10,11.2,11,12.4,21,23.6,36,40.4,11,12.4,47,52.8,249
"Plainfield School District","=""1090011""","M",97,95,97.9,95,6,6.3,11,11.6,16,16.8,55,57.9,7,7.4,62,65.3,255
"Plainville School District","=""1100011""","F",84,82,97.6,82,6,7.3,"*","*","*","*",40,48.8,25,30.5,65,79.3,274
"Plainville School District","=""1100011""","M",88,88,100.0,88,12,13.6,"*","*","*","*",38,43.2,18,20.5,56,63.6,259
"Plymouth School District","=""1110011""","F",51,51,100.0,51,6,11.8,"*","*",7,13.7,27,52.9,"*","*","*","*",249
"Plymouth School District","=""1110011""","M",58,56,96.6,56,7,12.5,"*","*",15,26.8,26,46.4,"*","*","*","*",244
"Pomfret School District","=""1120011""","F",24,24,100.0,24,0,0.0,"*","*","*","*",15,62.5,"*","*","*","*",268
"Pomfret School District","=""1120011""","M",31,31,100.0,31,"*","*","*","*","*","*",18,58.1,"*","*","*","*",270
"Portland School District","=""1130011""","F",54,54,100.0,54,"*","*","*","*","*","*",35,64.8,12,22.2,47,87.0,278
"Portland School District","=""1130011""","M",55,55,100.0,55,"*","*","*","*","*","*",26,47.3,14,25.5,40,72.7,270
"Preston School District","=""1140011""","F",32,31,96.9,31,"*","*","*","*","*","*",16,51.6,6,19.4,22,71.0,267
"Preston School District","=""1140011""","M",23,23,100.0,23,"*","*","*","*","*","*",9,39.1,7,30.4,16,69.6,267
"Putnam School District","=""1160011""","F",49,48,98.0,48,11,22.9,"*","*",11,22.9,19,39.6,"*","*","*","*",233
"Putnam School District","=""1160011""","M",46,45,97.8,45,13,28.9,"*","*",8,17.8,18,40.0,"*","*","*","*",228
"Redding School District","=""1170011""","F",57,55,96.5,55,"*","*","*","*","*","*",34,61.8,12,21.8,46,83.6,273
"Redding School District","=""1170011""","M",62,62,100.0,62,"*","*","*","*","*","*",27,43.5,24,38.7,51,82.3,284
"Regional School District 01","=""2010012""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","F",82,82,100.0,82,"*","*","*","*",8,9.8,38,46.3,32,39.0,70,85.4,281
"Regional School District 04","=""2040012""","M",80,80,100.0,80,"*","*","*","*",10,12.5,39,48.8,25,31.3,64,80.0,278
"Regional School District 05","=""2050012""","F",183,181,98.9,181,"*","*","*","*",21,11.6,101,55.8,49,27.1,150,82.9,278
"Regional School District 05","=""2050012""","M",198,196,99.0,196,"*","*","*","*",24,12.2,90,45.9,59,30.1,149,76.0,273
"Regional School District 06","=""2060012""","F",39,37,94.9,37,"*","*","*","*","*","*",23,62.2,"*","*","*","*",263
"Regional School District 06","=""2060012""","M",39,39,100.0,39,"*","*","*","*","*","*",22,56.4,"*","*","*","*",270
"Regional School District 07","=""2070012""","F",69,69,100.0,69,0,0.0,"*","*","*","*",32,46.4,31,44.9,63,91.3,292
"Regional School District 07","=""2070012""","M",77,77,100.0,77,"*","*","*","*","*","*",37,48.1,32,41.6,69,89.6,292
"Regional School District 08","=""2080012""","F",142,142,100.0,142,"*","*","*","*",24,16.9,83,58.5,20,14.1,103,72.5,263
"Regional School District 08","=""2080012""","M",139,139,100.0,139,"*","*","*","*",22,15.8,74,53.2,34,24.5,108,77.7,272
"Regional School District 10","=""2100012""","F",87,85,97.7,85,"*","*","*","*",16,18.8,49,57.6,13,15.3,62,72.9,265
