"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"Ansonia School District","=""0020011""",10,"N",49,47,95.9,46,"*","*","*","*","*","*",7,15.2,8,17.4,15,32.6,246
"Ansonia School District","=""0020011""",10,"R",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",05,"F",59,57,96.6,57,16,28.1,16,28.1,12,21.1,"*","*","*","*","*","*",211
"Area Cooperative Educational Services","=""2440014""",05,"N",32,31,96.9,31,"*","*","*","*","*","*",14,45.2,"*","*","*","*",242
"Area Cooperative Educational Services","=""2440014""",05,"R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",08,"F",170,167,98.2,167,65,38.9,31,18.6,36,21.6,29,17.4,6,3.6,35,21.0,216
"Area Cooperative Educational Services","=""2440014""",08,"N",120,120,100.0,120,18,15.0,"*","*",25,20.8,56,46.7,"*","*","*","*",248
"Area Cooperative Educational Services","=""2440014""",08,"R",26,26,100.0,26,"*","*","*","*",6,23.1,12,46.2,0,0.0,12,46.2,235
"Area Cooperative Educational Services","=""2440014""",10,"F",26,21,80.8,17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"F",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",286
"Ashford School District","=""0030011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"N",254,254,100.0,254,0,0.0,14,5.5,25,9.8,116,45.7,99,39.0,215,84.6,285
"Avon School District","=""0040011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",08,"N",261,258,98.9,258,12,4.7,9,3.5,24,9.3,126,48.8,87,33.7,213,82.6,279
"Avon School District","=""0040011""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",10,"N",272,270,99.3,269,"*","*","*","*",53,19.7,70,26.0,133,49.4,203,75.5,292
"Avon School District","=""0040011""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",05,"N",44,42,95.5,42,"*","*","*","*",6,14.3,24,57.1,8,19.0,32,76.2,273
"Barkhamsted School District","=""0050011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",05,"F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*","*","*",239
"Berlin School District","=""0070011""",05,"N",215,214,99.5,214,"*","*","*","*",40,18.7,106,49.5,55,25.7,161,75.2,273
"Berlin School District","=""0070011""",05,"R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",08,"F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Berlin School District","=""0070011""",08,"N",184,184,100.0,184,6,3.3,8,4.3,19,10.3,97,52.7,54,29.3,151,82.1,275
"Berlin School District","=""0070011""",08,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",10,"F",28,27,96.4,27,"*","*","*","*","*","*","*","*","*","*","*","*",243
"Berlin School District","=""0070011""",10,"N",181,179,98.9,179,"*","*","*","*",54,30.2,44,24.6,65,36.3,109,60.9,275
"Berlin School District","=""0070011""",10,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",05,"F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",05,"N",53,50,94.3,50,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",291
"Bethel School District","=""0090011""",05,"F",33,33,100.0,33,"*","*","*","*","*","*","*","*","*","*","*","*",260
"Bethel School District","=""0090011""",05,"N",162,161,99.4,161,"*","*","*","*",18,11.2,70,43.5,66,41.0,136,84.5,289
"Bethel School District","=""0090011""",05,"R",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",08,"F",33,32,97.0,32,"*","*",0,0.0,7,21.9,16,50.0,"*","*","*","*",251
"Bethel School District","=""0090011""",08,"N",160,159,99.4,159,"*","*","*","*",27,17.0,87,54.7,34,21.4,121,76.1,270
"Bethel School District","=""0090011""",08,"R",23,23,100.0,23,"*","*",0,0.0,7,30.4,13,56.5,"*","*","*","*",259
"Bethel School District","=""0090011""",10,"F",22,21,95.5,21,"*","*","*","*","*","*","*","*","*","*","*","*",254
"Bethel School District","=""0090011""",10,"N",158,157,99.4,157,"*","*","*","*",40,25.5,37,23.6,67,42.7,104,66.2,283
"Bethel School District","=""0090011""",10,"R",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",05,"F",51,51,100.0,51,7,13.7,14,27.5,"*","*","*","*",0,0.0,"*","*",220
"Bloomfield School District","=""0110011""",05,"N",59,59,100.0,59,"*","*","*","*",21,35.6,20,33.9,"*","*","*","*",237
"Bloomfield School District","=""0110011""",05,"R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",08,"F",49,49,100.0,49,16,32.7,"*","*","*","*","*","*","*","*","*","*",235
"Bloomfield School District","=""0110011""",08,"N",69,69,100.0,69,"*","*",8,11.6,20,29.0,30,43.5,"*","*","*","*",250
"Bloomfield School District","=""0110011""",08,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",10,"F",57,53,93.0,53,14,26.4,"*","*","*","*","*","*","*","*","*","*",224
"Bloomfield School District","=""0110011""",10,"N",75,75,100.0,75,"*","*",14,18.7,22,29.3,23,30.7,"*","*","*","*",250
"Bloomfield School District","=""0110011""",10,"R",15,15,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",05,"F",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",05,"N",59,57,96.6,57,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Bolton School District","=""0120011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",08,"N",39,39,100.0,39,0,0.0,"*","*","*","*",19,48.7,11,28.2,30,76.9,274
"Bolton School District","=""0120011""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""",10,"N",63,63,100.0,63,0,0.0,"*","*",23,36.5,23,36.5,"*","*","*","*",279
"Bolton School District","=""0120011""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",05,"N",23,23,100.0,23,0,0.0,0,0.0,"*","*",14,60.9,"*","*","*","*",281
"Bozrah School District","=""0130011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",08,"N",19,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",05,"F",51,51,100.0,51,"*","*","*","*","*","*","*","*","*","*","*","*",244
"Branford School District","=""0140011""",05,"N",164,163,99.4,163,"*","*","*","*",31,19.0,82,50.3,34,20.9,116,71.2,267
"Branford School District","=""0140011""",05,"R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",08,"F",43,41,95.3,41,"*","*","*","*","*","*","*","*","*","*","*","*",243
"Branford School District","=""0140011""",08,"N",186,185,99.5,185,10,5.4,11,5.9,25,13.5,99,53.5,40,21.6,139,75.1,270
"Branford School District","=""0140011""",08,"R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",10,"F",43,41,95.3,41,"*","*","*","*","*","*","*","*","*","*","*","*",251
"Branford School District","=""0140011""",10,"N",164,158,96.3,158,7,4.4,10,6.3,51,32.3,38,24.1,52,32.9,90,57.0,271
"Branford School District","=""0140011""",10,"R",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",05,"F",63,63,100.0,63,14,22.2,22,34.9,16,25.4,"*","*","*","*",11,17.5,210
"Bridgeport Achievement First District","=""2850013""",05,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",05,"R",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",08,"F",67,66,98.5,66,16,24.2,"*","*",17,25.8,17,25.8,"*","*","*","*",229
"Bridgeport Achievement First District","=""2850013""",08,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",08,"R",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",10,"F",30,30,100.0,30,11,36.7,7,23.3,9,30.0,"*","*","*","*","*","*",205
"Bridgeport Achievement First District","=""2850013""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""",05,"F",1566,1557,99.4,1557,454,29.2,407,26.1,391,25.1,268,17.2,37,2.4,305,19.6,210
"Bridgeport School District","=""0150011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""",10,"F",1469,1274,86.7,1217,439,36.1,263,21.6,311,25.6,116,9.5,88,7.2,204,16.8,215
"Bristol School District","=""0170011""",05,"F",264,263,99.6,263,29,11.0,44,16.7,67,25.5,102,38.8,21,8.0,123,46.8,241
"Bristol School District","=""0170011""",05,"N",335,334,99.7,334,"*","*","*","*",55,16.5,168,50.3,65,19.5,233,69.8,264
"Bristol School District","=""0170011""",05,"R",47,47,100.0,47,"*","*","*","*",9,19.1,28,59.6,7,14.9,35,74.5,266
"Bristol School District","=""0170011""",08,"F",217,210,96.8,210,43,20.5,25,11.9,44,21.0,87,41.4,11,5.2,98,46.7,238
"Bristol School District","=""0170011""",08,"N",303,303,100.0,303,"*","*","*","*",49,16.2,157,51.8,67,22.1,224,73.9,269
"Bristol School District","=""0170011""",08,"R",44,43,97.7,43,"*","*","*","*",12,27.9,20,46.5,6,14.0,26,60.5,255
"Bristol School District","=""0170011""",10,"F",175,164,93.7,164,36,22.0,29,17.7,62,37.8,"*","*","*","*",37,22.6,231
"Bristol School District","=""0170011""",10,"N",353,344,97.5,344,19,5.5,24,7.0,125,36.3,89,25.9,87,25.3,176,51.2,266
"Bristol School District","=""0170011""",10,"R",33,33,100.0,33,0,0.0,10,30.3,10,30.3,"*","*","*","*",13,39.4,249
"Brookfield School District","=""0180011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""",05,"N",174,171,98.3,171,"*","*","*","*",17,9.9,73,42.7,70,40.9,143,83.6,287
"Brookfield School District","=""0180011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""",08,"F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""",08,"N",177,175,98.9,175,10,5.7,8,4.6,13,7.4,79,45.1,65,37.1,144,82.3,279
"Brookfield School District","=""0180011""",08,"R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""",10,"F",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""",10,"N",206,202,98.1,201,0,0.0,"*","*",59,29.4,"*","*",81,40.3,"*","*",286
"Brookfield School District","=""0180011""",10,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""",05,"N",78,78,100.0,78,0,0.0,"*","*","*","*",36,46.2,26,33.3,62,79.5,281
"Brooklyn School District","=""0190011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""",08,"F",30,28,93.3,28,"*","*","*","*","*","*","*","*","*","*","*","*",264
"Brooklyn School District","=""0190011""",08,"N",71,71,100.0,71,"*","*","*","*","*","*",44,62.0,17,23.9,61,85.9,278
"Brooklyn School District","=""0190011""",08,"R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,"N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",05,"N",35,34,97.1,34,"*","*","*","*",7,20.6,17,50.0,6,17.6,23,67.6,261
"Canterbury School District","=""0220011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",08,"N",46,46,100.0,46,"*","*","*","*",8,17.4,31,67.4,"*","*","*","*",255
"Canterbury School District","=""0220011""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",05,"N",123,123,100.0,123,"*","*","*","*",10,8.1,51,41.5,54,43.9,105,85.4,290
"Canton School District","=""0230011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",08,"N",123,123,100.0,123,"*","*","*","*",14,11.4,72,58.5,31,25.2,103,83.7,276
"Canton School District","=""0230011""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",10,"N",108,107,99.1,107,"*","*","*","*",13,12.1,34,31.8,57,53.3,91,85.0,300
"Canton School District","=""0230011""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,"F",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",10,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""",05,"F",151,150,99.3,150,25,16.7,35,23.3,45,30.0,"*","*","*","*","*","*",225
"Capitol Region Education Council","=""2410014""",05,"N",149,145,97.3,145,"*","*","*","*","*","*",69,47.6,34,23.4,103,71.0,267
"Capitol Region Education Council","=""2410014""",05,"R",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""",08,"F",262,259,98.9,259,73,28.2,"*","*",51,19.7,90,34.7,"*","*","*","*",229
"Capitol Region Education Council","=""2410014""",08,"N",330,328,99.4,328,14,4.3,26,7.9,46,14.0,150,45.7,92,28.0,242,73.8,271
"Capitol Region Education Council","=""2410014""",08,"R",57,57,100.0,57,10,17.5,"*","*",15,26.3,20,35.1,"*","*","*","*",238
"Capitol Region Education Council","=""2410014""",10,"F",321,305,95.0,302,83,27.5,73,24.2,97,32.1,"*","*","*","*",49,16.2,220
"Capitol Region Education Council","=""2410014""",10,"N",246,235,95.5,233,"*","*","*","*",64,27.5,45,19.3,63,27.0,108,46.4,261
"Capitol Region Education Council","=""2410014""",10,"R",66,65,98.5,63,"*","*",14,22.2,29,46.0,11,17.5,"*","*","*","*",237
"Chaplin School District","=""0240011""",05,"F",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",05,"F",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*","*","*",249
"Cheshire School District","=""0250011""",05,"N",318,317,99.7,317,"*","*","*","*",35,11.0,151,47.6,121,38.2,272,85.8,288
"Cheshire School District","=""0250011""",05,"R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",08,"N",330,327,99.1,327,8,2.4,11,3.4,36,11.0,176,53.8,96,29.4,272,83.2,279
"Cheshire School District","=""0250011""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",10,"F",25,24,96.0,24,"*","*","*","*","*","*","*","*","*","*","*","*",255
"Cheshire School District","=""0250011""",10,"N",307,304,99.0,301,"*","*","*","*",76,25.2,97,32.2,116,38.5,213,70.8,286
"Cheshire School District","=""0250011""",10,"R",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""",05,"N","*","*","*","*",0,0.0,0,0.0,"*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",05,"F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",05,"N",151,151,100.0,151,"*","*","*","*",24,15.9,74,49.0,44,29.1,118,78.1,276
"Clinton School District","=""0270011""",05,"R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",08,"F",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*","*","*",247
"Clinton School District","=""0270011""",08,"N",125,124,99.2,124,"*","*","*","*",11,8.9,65,52.4,37,29.8,102,82.3,277
"Clinton School District","=""0270011""",08,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",10,"F","*","*","*","*",9,45.0,"*","*","*","*","*","*",0,0.0,"*","*","*"
"Clinton School District","=""0270011""",10,"N",105,104,99.0,104,"*","*","*","*",21,20.2,29,27.9,"*","*","*","*",280
"Clinton School District","=""0270011""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""",05,"F",28,28,100.0,28,"*","*","*","*","*","*","*","*","*","*","*","*",256
"Colchester School District","=""0280011""",05,"N",166,165,99.4,165,"*","*","*","*",26,15.8,84,50.9,49,29.7,133,80.6,283
"Colchester School District","=""0280011""",05,"R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""",08,"F",31,31,100.0,31,"*","*","*","*","*","*","*","*","*","*","*","*",260
"Colchester School District","=""0280011""",08,"N",152,151,99.3,151,"*","*","*","*",16,10.6,79,52.3,46,30.5,125,82.8,280
"Colchester School District","=""0280011""",08,"R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""",10,"F",23,23,100.0,23,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Colchester School District","=""0280011""",10,"N",184,182,98.9,181,"*","*","*","*",44,24.3,44,24.3,80,44.2,124,68.5,283
"Colchester School District","=""0280011""",10,"R",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",05,"N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",05,"N",49,49,100.0,49,"*","*","*","*",7,14.3,23,46.9,15,30.6,38,77.6,273
"Columbia School District","=""0300011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",08,"N",51,51,100.0,51,"*","*","*","*",7,13.7,32,62.7,8,15.7,40,78.4,265
"Columbia School District","=""0300011""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""",10,"N",28,24,85.7,24,"*","*","*","*","*","*","*","*",7,29.2,"*","*",260
"Common Ground High School District","=""2680013""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""",10,"F",1076,1072,99.6,1071,128,12.0,247,23.1,485,45.3,124,11.6,87,8.1,211,19.7,232
"Connecticut Technical High School System","=""9000016""",10,"N",1387,1385,99.9,1383,60,4.3,169,12.2,639,46.2,297,21.5,218,15.8,515,37.2,254
"Connecticut Technical High School System","=""9000016""",10,"R",223,223,100.0,223,17,7.6,38,17.0,108,48.4,34,15.2,26,11.7,60,26.9,242
"Cooperative Educational Services","=""2430014""",05,"F",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""",05,"N",31,31,100.0,31,"*","*","*","*","*","*",14,45.2,8,25.8,22,71.0,264
