"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Canton School District","=""0230011""","Y",89,86,96.6,86,"*","*","*","*",20,23.3,33,38.4,10,11.6,43,50.0
"Canton School District","=""0230011""","N",314,313,99.7,313,"*","*","*","*",23,7.3,144,46.0,141,45.0,285,91.1
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",43,42,97.7,42,15,35.7,"*","*",10,23.8,"*","*",0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",33,33,100.0,33,8,24.2,13,39.4,"*","*","*","*",0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Y",947,916,96.7,911,216,23.7,183,20.1,252,27.7,212,23.3,48,5.3,260,28.5
"Capitol Region Education Council","=""2410014""","N",654,647,98.9,645,19,2.9,68,10.5,125,19.4,248,38.4,185,28.7,433,67.1
"Chaplin School District","=""0240011""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Y",166,161,97.0,159,"*","*",23,14.5,44,27.7,56,35.2,"*","*","*","*"
"Cheshire School District","=""0250011""","N",881,877,99.5,876,"*","*","*","*",124,14.2,400,45.7,328,37.4,728,83.1
"Chester School District","=""0260011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Y",127,123,96.9,123,"*","*",20,16.3,33,26.8,36,29.3,"*","*","*","*"
"Clinton School District","=""0270011""","N",341,340,99.7,340,"*","*","*","*",50,14.7,158,46.5,120,35.3,278,81.8
"Colchester School District","=""0280011""","Y",168,166,98.8,165,"*","*",27,16.4,47,28.5,64,38.8,"*","*","*","*"
"Colchester School District","=""0280011""","N",447,444,99.3,444,"*","*","*","*",67,15.1,192,43.2,172,38.7,364,82.0
"Colebrook School District","=""0290011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Y",28,28,100.0,28,"*","*","*","*",10,35.7,8,28.6,0,0.0,8,28.6
"Columbia School District","=""0300011""","N",89,89,100.0,89,"*","*","*","*",10,11.2,53,59.6,23,25.8,76,85.4
"Common Ground High School District","=""2680013""","Y",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","N",21,17,81.0,17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Y",1470,1465,99.7,1464,163,11.1,335,22.9,663,45.3,181,12.4,122,8.3,303,20.7
"Connecticut Technical High School System","=""9000016""","N",1216,1215,99.9,1213,42,3.5,119,9.8,569,46.9,274,22.6,209,17.2,483,39.8
"Cooperative Educational Services","=""2430014""","Y",77,76,98.7,76,31,40.8,"*","*",18,23.7,18,23.7,"*","*","*","*"
"Cooperative Educational Services","=""2430014""","N",44,44,100.0,44,0,0.0,"*","*",7,15.9,23,52.3,"*","*","*","*"
"Cornwall School District","=""0310011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N","*","*","*","*",0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Y",95,94,98.9,93,7,7.5,13,14.0,29,31.2,30,32.3,14,15.1,44,47.3
"Coventry School District","=""0320011""","N",274,271,98.9,271,0,0.0,9,3.3,31,11.4,125,46.1,106,39.1,231,85.2
"Cromwell School District","=""0330011""","Y",119,117,98.3,117,"*","*",23,19.7,38,32.5,34,29.1,"*","*","*","*"
"Cromwell School District","=""0330011""","N",347,347,100.0,347,"*","*","*","*",91,26.2,149,42.9,90,25.9,239,68.9
"Danbury School District","=""0340011""","Y",1460,1441,98.7,1440,367,25.5,304,21.1,390,27.1,331,23.0,48,3.3,379,26.3
"Danbury School District","=""0340011""","N",941,933,99.1,933,48,5.1,85,9.1,254,27.2,398,42.7,148,15.9,546,58.5
"Darien School District","=""0350011""","Y",176,161,91.5,160,11,6.9,17,10.6,47,29.4,58,36.3,27,16.9,85,53.1
"Darien School District","=""0350011""","N",905,899,99.3,899,0,0.0,8,0.9,82,9.1,346,38.5,463,51.5,809,90.0
"Deep River School District","=""0360011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","N",31,31,100.0,31,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Y",175,174,99.4,174,40,23.0,37,21.3,41,23.6,45,25.9,11,6.3,56,32.2
"Derby School District","=""0370011""","N",112,110,98.2,110,7,6.4,21,19.1,30,27.3,35,31.8,17,15.5,52,47.3
"East Granby School District","=""0400011""","Y",40,38,95.0,38,"*","*","*","*",12,31.6,11,28.9,"*","*","*","*"
"East Granby School District","=""0400011""","N",154,154,100.0,154,"*","*","*","*",19,12.3,66,42.9,"*","*","*","*"
"East Haddam School District","=""0410011""","Y",55,53,96.4,53,"*","*",8,15.1,21,39.6,14,26.4,"*","*","*","*"
"East Haddam School District","=""0410011""","N",203,200,98.5,200,"*","*",7,3.5,41,20.5,93,46.5,"*","*","*","*"
"East Hampton School District","=""0420011""","Y",89,85,95.5,84,"*","*",13,15.5,23,27.4,33,39.3,"*","*","*","*"
"East Hampton School District","=""0420011""","N",302,299,99.0,299,"*","*","*","*",51,17.1,126,42.1,105,35.1,231,77.3
"East Hartford School District","=""0430011""","Y",1057,1010,95.6,1005,312,31.0,204,20.3,264,26.3,178,17.7,47,4.7,225,22.4
"East Hartford School District","=""0430011""","N",434,427,98.4,427,34,8.0,55,12.9,129,30.2,156,36.5,53,12.4,209,48.9
"East Haven School District","=""0440011""","Y",389,380,97.7,380,65,17.1,60,15.8,132,34.7,100,26.3,23,6.1,123,32.4
"East Haven School District","=""0440011""","N",292,289,99.0,289,15,5.2,35,12.1,88,30.4,121,41.9,30,10.4,151,52.2
"East Lyme School District","=""0450011""","Y",170,164,96.5,163,12,7.4,20,12.3,47,28.8,58,35.6,26,16.0,84,51.5
"East Lyme School District","=""0450011""","N",539,538,99.8,538,0,0.0,7,1.3,82,15.2,235,43.7,214,39.8,449,83.5
"East Windsor School District","=""0470011""","Y",123,119,96.7,119,"*","*","*","*",43,36.1,35,29.4,21,17.6,56,47.1
"East Windsor School District","=""0470011""","N",123,123,100.0,123,"*","*","*","*",25,20.3,58,47.2,37,30.1,95,77.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y",60,53,88.3,52,"*","*","*","*",17,32.7,"*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",43,40,93.0,40,"*","*","*","*",21,52.5,"*","*","*","*","*","*"
"Eastford School District","=""0390011""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","N",22,22,100.0,22,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Y",28,27,96.4,27,"*","*","*","*","*","*",15,55.6,"*","*","*","*"
"Easton School District","=""0460011""","N",200,196,98.0,196,"*","*","*","*","*","*",103,52.6,"*","*","*","*"
"Education Connection","=""2420014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Y",114,113,99.1,113,"*","*",12,10.6,39,34.5,39,34.5,"*","*","*","*"
"Ellington School District","=""0480011""","N",494,494,100.0,494,"*","*","*","*",61,12.3,240,48.6,176,35.6,416,84.2
"Elm City College Preparatory School District","=""2890013""","Y",126,126,100.0,125,35,28.0,"*","*",34,27.2,22,17.6,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","N",35,35,100.0,34,6,17.6,"*","*",12,35.3,10,29.4,"*","*","*","*"
"Enfield School District","=""0490011""","Y",469,463,98.7,463,44,9.5,76,16.4,149,32.2,154,33.3,40,8.6,194,41.9
"Enfield School District","=""0490011""","N",646,645,99.8,645,7,1.1,37,5.7,144,22.3,303,47.0,154,23.9,457,70.9
"Essex School District","=""0500011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","N",47,47,100.0,47,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Y",468,459,98.1,459,"*","*",63,13.7,142,30.9,139,30.3,"*","*","*","*"
"Fairfield School District","=""0510011""","N",1862,1843,99.0,1843,"*","*","*","*",213,11.6,848,46.0,756,41.0,1604,87.0
"Farmington School District","=""0520011""","Y",192,187,97.4,187,"*","*","*","*",57,30.5,66,35.3,29,15.5,95,50.8
"Farmington School District","=""0520011""","N",707,702,99.3,702,"*","*","*","*",55,7.8,287,40.9,353,50.3,640,91.2
"Franklin School District","=""0530011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","N",27,27,100.0,27,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Y",249,246,98.8,246,"*","*",40,16.3,66,26.8,81,32.9,"*","*","*","*"
"Glastonbury School District","=""0540011""","N",1196,1192,99.7,1191,"*","*","*","*",106,8.9,444,37.3,624,52.4,1068,89.7
"Granby School District","=""0560011""","Y",88,87,98.9,86,"*","*","*","*",16,18.6,40,46.5,14,16.3,54,62.8
"Granby School District","=""0560011""","N",363,360,99.2,360,"*","*","*","*",26,7.2,142,39.4,184,51.1,326,90.6
"Greenwich School District","=""0570011""","Y",497,486,97.8,485,"*","*",57,11.8,138,28.5,170,35.1,"*","*","*","*"
"Greenwich School District","=""0570011""","N",1438,1433,99.7,1433,"*","*","*","*",128,8.9,599,41.8,675,47.1,1274,88.9
"Griswold School District","=""0580011""","Y",190,186,97.9,185,"*","*",30,16.2,55,29.7,57,30.8,"*","*","*","*"
"Griswold School District","=""0580011""","N",222,222,100.0,222,"*","*","*","*",49,22.1,106,47.7,49,22.1,155,69.8
"Groton School District","=""0590011""","Y",438,411,93.8,411,"*","*",68,16.5,107,26.0,143,34.8,"*","*","*","*"
"Groton School District","=""0590011""","N",420,418,99.5,418,"*","*","*","*",83,19.9,180,43.1,128,30.6,308,73.7
"Guilford School District","=""0600011""","Y",158,156,98.7,156,"*","*",27,17.3,37,23.7,50,32.1,"*","*","*","*"
"Guilford School District","=""0600011""","N",717,716,99.9,716,"*","*","*","*",100,14.0,365,51.0,233,32.5,598,83.5
"Hamden School District","=""0620011""","Y",629,596,94.8,594,172,29.0,113,19.0,168,28.3,122,20.5,19,3.2,141,23.7
"Hamden School District","=""0620011""","N",628,624,99.4,623,24,3.9,41,6.6,144,23.1,272,43.7,142,22.8,414,66.5
"Hampton School District","=""0630011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Y",3698,3522,95.2,3507,1283,36.6,716,20.4,780,22.2,596,17.0,132,3.8,728,20.8
"Hartford School District","=""0640011""","N",673,665,98.8,664,51,7.7,73,11.0,159,23.9,226,34.0,155,23.3,381,57.4
"Hartland School District","=""0650011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""","N",30,30,100.0,30,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""","Y",22,22,100.0,22,"*","*","*","*",7,31.8,"*","*","*","*","*","*"
"Hebron School District","=""0670011""","N",85,85,100.0,85,0,0.0,"*","*",12,14.1,"*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Y",65,65,100.0,65,23,35.4,13,20.0,18,27.7,11,16.9,0,0.0,11,16.9
"Highville Charter School District","=""2860013""","N",32,32,100.0,32,9,28.1,7,21.9,9,28.1,"*","*","*","*",7,21.9
"Integrated Day Charter School District","=""2640013""","Y",27,26,96.3,26,"*","*","*","*","*","*",7,26.9,0,0.0,7,26.9
"Integrated Day Charter School District","=""2640013""","N",41,40,97.6,40,"*","*","*","*","*","*",22,55.0,"*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Y",62,61,98.4,61,"*","*","*","*","*","*",16,26.2,"*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","N",25,25,100.0,25,"*","*","*","*","*","*",15,60.0,"*","*","*","*"
"Jumoke Academy District","=""2610013""","Y",120,115,95.8,115,27,23.5,"*","*",34,29.6,27,23.5,"*","*","*","*"
"Jumoke Academy District","=""2610013""","N",56,56,100.0,56,11,19.6,"*","*",17,30.4,18,32.1,"*","*","*","*"
"Kent School District","=""0680011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Kent School District","=""0680011""","N",40,40,100.0,40,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Y",273,252,92.3,252,44,17.5,48,19.0,67,26.6,79,31.3,14,5.6,93,36.9
"Killingly School District","=""0690011""","N",261,258,98.9,258,7,2.7,19,7.4,70,27.1,130,50.4,32,12.4,162,62.8
"Learn","=""2450014""","Y",193,185,95.9,184,53,28.8,36,19.6,42,22.8,38,20.7,15,8.2,53,28.8
"Learn","=""2450014""","N",119,118,99.2,118,8,6.8,7,5.9,26,22.0,38,32.2,39,33.1,77,65.3
"Lebanon School District","=""0710011""","Y",72,70,97.2,70,"*","*",10,14.3,23,32.9,23,32.9,"*","*","*","*"
"Lebanon School District","=""0710011""","N",167,167,100.0,167,"*","*",6,3.6,32,19.2,87,52.1,"*","*","*","*"
"Ledyard School District","=""0720011""","Y",166,160,96.4,160,"*","*",24,15.0,52,32.5,48,30.0,"*","*","*","*"
"Ledyard School District","=""0720011""","N",354,352,99.4,352,"*","*","*","*",53,15.1,159,45.2,129,36.6,288,81.8
"Lisbon School District","=""0730011""","Y",27,27,100.0,27,"*","*","*","*",9,33.3,"*","*","*","*","*","*"
"Lisbon School District","=""0730011""","N",59,59,100.0,59,"*","*","*","*",10,16.9,"*","*","*","*","*","*"
"Litchfield School District","=""0740011""","Y",48,48,100.0,48,"*","*","*","*",10,20.8,11,22.9,15,31.3,26,54.2
"Litchfield School District","=""0740011""","N",173,173,100.0,173,0,0.0,"*","*","*","*",77,44.5,74,42.8,151,87.3
"Madison School District","=""0760011""","Y",135,120,88.9,120,"*","*",22,18.3,41,34.2,37,30.8,"*","*","*","*"
"Madison School District","=""0760011""","N",642,629,98.0,629,"*","*","*","*",91,14.5,298,47.4,223,35.5,521,82.8
"Manchester School District","=""0770011""","Y",769,749,97.4,749,221,29.5,144,19.2,180,24.0,168,22.4,36,4.8,204,27.2
"Manchester School District","=""0770011""","N",466,459,98.5,459,23,5.0,54,11.8,116,25.3,190,41.4,76,16.6,266,58.0
"Mansfield School District","=""0780011""","Y",87,86,98.9,86,"*","*","*","*",13,15.1,36,41.9,17,19.8,53,61.6
"Mansfield School District","=""0780011""","N",193,191,99.0,191,"*","*",0,0.0,"*","*",84,44.0,87,45.5,171,89.5
"Marlborough School District","=""0790011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Marlborough School District","=""0790011""","N",74,74,100.0,74,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Y",1229,1183,96.3,1176,388,33.0,289,24.6,276,23.5,197,16.8,26,2.2,223,19.0
"Meriden School District","=""0800011""","N",492,484,98.4,484,43,8.9,63,13.0,136,28.1,185,38.2,57,11.8,242,50.0
"Middletown School District","=""0830011""","Y",488,481,98.6,481,126,26.2,109,22.7,132,27.4,88,18.3,26,5.4,114,23.7
"Middletown School District","=""0830011""","N",495,495,100.0,495,19,3.8,45,9.1,119,24.0,218,44.0,94,19.0,312,63.0
"Milford School District","=""0840011""","Y",416,402,96.6,400,54,13.5,86,21.5,103,25.8,136,34.0,21,5.3,157,39.3
"Milford School District","=""0840011""","N",983,978,99.5,977,15,1.5,42,4.3,224,22.9,469,48.0,227,23.2,696,71.2
"Monroe School District","=""0850011""","Y",126,125,99.2,125,12,9.6,16,12.8,27,21.6,49,39.2,21,16.8,70,56.0
"Monroe School District","=""0850011""","N",654,653,99.8,651,6,0.9,8,1.2,61,9.4,274,42.1,302,46.4,576,88.5
"Montville School District","=""0860011""","Y",245,241,98.4,241,"*","*",33,13.7,60,24.9,91,37.8,"*","*","*","*"
"Montville School District","=""0860011""","N",311,308,99.0,308,"*","*","*","*",58,18.8,127,41.2,109,35.4,236,76.6
"Naugatuck School District","=""0880011""","Y",517,504,97.5,504,111,22.0,117,23.2,137,27.2,123,24.4,16,3.2,139,27.6
"Naugatuck School District","=""0880011""","N",416,414,99.5,413,12,2.9,52,12.6,122,29.5,172,41.6,55,13.3,227,55.0
"New Beginnings Inc., Family Academy District","=""2800013""","Y",68,67,98.5,67,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Y",1639,1579,96.3,1572,656,41.7,327,20.8,327,20.8,232,14.8,30,1.9,262,16.7
"New Britain School District","=""0890011""","N",309,306,99.0,306,39,12.7,52,17.0,81,26.5,105,34.3,29,9.5,134,43.8
"New Canaan School District","=""0900011""","Y",121,115,95.0,114,"*","*","*","*",47,41.2,30,26.3,14,12.3,44,38.6
"New Canaan School District","=""0900011""","N",844,841,99.6,841,0,0.0,"*","*","*","*",329,39.1,451,53.6,780,92.7
"New Fairfield School District","=""0910011""","Y",98,95,96.9,95,10,10.5,17,17.9,35,36.8,25,26.3,8,8.4,33,34.7
"New Fairfield School District","=""0910011""","N",466,461,98.9,461,7,1.5,12,2.6,94,20.4,193,41.9,155,33.6,348,75.5
"New Hartford School District","=""0920011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Hartford School District","=""0920011""","N",53,53,100.0,53,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Y",2958,2795,94.5,2769,1050,37.9,675,24.4,628,22.7,346,12.5,70,2.5,416,15.0
"New Haven School District","=""0930011""","N",1426,1387,97.3,1381,175,12.7,239,17.3,364,26.4,394,28.5,209,15.1,603,43.7
"New London School District","=""0950011""","Y",603,574,95.2,572,"*","*",123,21.5,124,21.7,126,22.0,"*","*","*","*"
"New London School District","=""0950011""","N",106,103,97.2,103,"*","*","*","*",29,28.2,26,25.2,36,35.0,62,60.2
"New Milford School District","=""0960011""","Y",340,329,96.8,327,"*","*",50,15.3,93,28.4,112,34.3,"*","*","*","*"
"New Milford School District","=""0960011""","N",711,702,98.7,702,"*","*","*","*",149,21.2,322,45.9,208,29.6,530,75.5
"Newington School District","=""0940011""","Y",314,309,98.4,309,45,14.6,42,13.6,97,31.4,97,31.4,28,9.1,125,40.5
"Newington School District","=""0940011""","N",613,613,100.0,613,8,1.3,30,4.9,141,23.0,276,45.0,158,25.8,434,70.8
"Newtown School District","=""0970011""","Y",168,165,98.2,165,"*","*",29,17.6,49,29.7,54,32.7,"*","*","*","*"
"Newtown School District","=""0970011""","N",1001,996,99.5,996,"*","*","*","*",116,11.6,464,46.6,390,39.2,854,85.7
"Norfolk School District","=""0980011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norfolk School District","=""0980011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","Y",133,130,97.7,130,16,12.3,23,17.7,33,25.4,42,32.3,16,12.3,58,44.6
"North Branford School District","=""0990011""","N",318,314,98.7,314,6,1.9,13,4.1,57,18.2,155,49.4,83,26.4,238,75.8
"North Canaan School District","=""1000011""","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"North Canaan School District","=""1000011""","N",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","Y",175,170,97.1,169,28,16.6,31,18.3,45,26.6,46,27.2,19,11.2,65,38.5
"North Haven School District","=""1010011""","N",580,575,99.1,575,9,1.6,36,6.3,138,24.0,248,43.1,144,25.0,392,68.2
"North Stonington School District","=""1020011""","Y",32,32,100.0,32,"*","*","*","*",11,34.4,6,18.8,12,37.5,18,56.3
"North Stonington School District","=""1020011""","N",122,121,99.2,121,"*","*","*","*",15,12.4,48,39.7,56,46.3,104,86.0
"Norwalk School District","=""1030011""","Y",1459,1428,97.9,1425,324,22.7,268,18.8,396,27.8,360,25.3,77,5.4,437,30.7
"Norwalk School District","=""1030011""","N",1031,1025,99.4,1025,17,1.7,67,6.5,234,22.8,417,40.7,290,28.3,707,69.0
"Norwich Free Academy District","=""9010022""","Y",286,276,96.5,275,75,27.3,66,24.0,87,31.6,29,10.5,18,6.5,47,17.1
"Norwich Free Academy District","=""9010022""","N",272,268,98.5,267,11,4.1,17,6.4,76,28.5,67,25.1,96,36.0,163,61.0
"Norwich School District","=""1040011""","Y",596,585,98.2,584,156,26.7,103,17.6,142,24.3,164,28.1,19,3.3,183,31.3
"Norwich School District","=""1040011""","N",153,152,99.3,152,11,7.2,11,7.2,35,23.0,73,48.0,22,14.5,95,62.5
"Odyssey Community School District","=""2630013""","Y",24,24,100.0,24,"*","*","*","*","*","*",8,33.3,"*","*","*","*"
"Odyssey Community School District","=""2630013""","N",52,51,98.1,51,"*","*","*","*","*","*",26,51.0,"*","*","*","*"
"Old Saybrook School District","=""1060011""","Y",82,80,97.6,80,12,15.0,"*","*",18,22.5,30,37.5,"*","*","*","*"
"Old Saybrook School District","=""1060011""","N",239,239,100.0,239,0,0.0,"*","*","*","*",123,51.5,78,32.6,201,84.1
"Orange School District","=""1070011""","Y",21,21,100.0,21,"*","*","*","*",9,42.9,"*","*","*","*","*","*"
