"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, English Learner Status (EL)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Capitol Region Education Council","=""2410014""","N",1546,1508,97.5,1501,"*","*",234,15.6,367,24.5,"*","*",233,15.5,"*","*"
"Capitol Region Education Council","=""2410014""","Y",55,55,100.0,55,24,43.6,17,30.9,"*","*","*","*",0,0.0,"*","*"
"Chaplin School District","=""0240011""","N",22,22,100.0,22,"*","*","*","*",7,31.8,12,54.5,"*","*","*","*"
"Cheshire School District","=""0250011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N",35,35,100.0,35,0,0.0,0,0.0,8,22.9,15,42.9,12,34.3,27,77.1
"Clinton School District","=""0270011""","N",451,447,99.1,447,"*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","N",609,604,99.2,603,"*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",117,117,100.0,117,"*","*","*","*",20,17.1,61,52.1,23,19.7,84,71.8
"Common Ground High School District","=""2680013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","N",2585,2579,99.8,2576,"*","*",415,16.1,1214,47.1,"*","*",331,12.8,"*","*"
"Connecticut Technical High School System","=""9000016""","Y",101,101,100.0,101,43,42.6,39,38.6,"*","*","*","*",0,0.0,"*","*"
"Cooperative Educational Services","=""2430014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N",30,30,100.0,30,0,0.0,"*","*","*","*",17,56.7,11,36.7,28,93.3
"Coventry School District","=""0320011""","N",369,365,98.9,364,7,1.9,22,6.0,60,16.5,155,42.6,120,33.0,275,75.5
"Cromwell School District","=""0330011""","N",460,458,99.6,458,"*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","N",2002,1982,99.0,1981,204,10.3,281,14.2,580,29.3,720,36.3,196,9.9,916,46.2
"Danbury School District","=""0340011""","Y",399,392,98.2,392,211,53.8,108,27.6,64,16.3,9,2.3,0,0.0,9,2.3
"Darien School District","=""0350011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","N",280,277,98.9,277,"*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",258,253,98.1,253,8,3.2,15,5.9,62,24.5,107,42.3,61,24.1,168,66.4
"East Hampton School District","=""0420011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","N",1339,1290,96.3,1285,262,20.4,224,17.4,371,28.9,"*","*","*","*",428,33.3
"East Hartford School District","=""0430011""","Y",152,147,96.7,147,84,57.1,35,23.8,22,15.0,"*","*","*","*",6,4.1
"East Haven School District","=""0440011""","N",640,629,98.3,629,69,11.0,80,12.7,208,33.1,"*","*","*","*","*","*"
"East Haven School District","=""0440011""","Y",41,40,97.6,40,"*","*",15,37.5,12,30.0,"*","*",0,0.0,"*","*"
"East Lyme School District","=""0450011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","N",34,34,100.0,34,"*","*","*","*","*","*",19,55.9,"*","*","*","*"
"Easton School District","=""0460011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","N",602,601,99.8,601,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","N",1098,1091,99.4,1091,"*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N",20,20,100.0,20,"*","*",8,40.0,6,30.0,"*","*","*","*","*","*"
"Fairfield School District","=""0510011""","N",2293,2266,98.8,2266,"*","*",75,3.3,346,15.3,"*","*",811,35.8,"*","*"
"Fairfield School District","=""0510011""","Y",37,36,97.3,36,13,36.1,10,27.8,"*","*","*","*",0,0.0,"*","*"
"Farmington School District","=""0520011""","N",887,877,98.9,877,"*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","N",37,37,100.0,37,"*","*","*","*",9,24.3,15,40.5,7,18.9,22,59.5
"Glastonbury School District","=""0540011""","N",1435,1428,99.5,1427,"*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","N",1860,1845,99.2,1845,"*","*",69,3.7,246,13.3,755,40.9,"*","*","*","*"
"Greenwich School District","=""0570011""","Y",75,74,98.7,73,19,26.0,15,20.5,20,27.4,"*","*","*","*",19,26.0
"Griswold School District","=""0580011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","N",833,806,96.8,806,53,6.6,84,10.4,"*","*","*","*",162,20.1,"*","*"
"Groton School District","=""0590011""","Y",25,23,92.0,23,10,43.5,7,30.4,"*","*","*","*",0,0.0,"*","*"
"Guilford School District","=""0600011""","N",867,864,99.7,864,"*","*","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","=""0600011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","N",1217,1180,97.0,1177,168,14.3,146,12.4,"*","*","*","*",161,13.7,"*","*"
"Hamden School District","=""0620011""","Y",40,40,100.0,40,28,70.0,8,20.0,"*","*","*","*",0,0.0,"*","*"
"Hampton School District","=""0630011""","N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","N",3605,3463,96.1,3453,839,24.3,"*","*",877,25.4,804,23.3,"*","*","*","*"
"Hartford School District","=""0640011""","Y",766,724,94.5,718,495,68.9,142,19.8,62,8.6,"*","*","*","*",19,2.6
"Hartland School District","=""0650011""","N",38,38,100.0,38,"*","*",0,0.0,"*","*",15,39.5,15,39.5,30,78.9
"Hebron School District","=""0670011""","N",107,107,100.0,107,"*","*","*","*",19,17.8,49,45.8,30,28.0,79,73.8
"Highville Charter School District","=""2860013""","N",97,97,100.0,97,32,33.0,20,20.6,27,27.8,"*","*","*","*",18,18.6
"Integrated Day Charter School District","=""2640013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Integrated Day Charter School District","=""2640013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","N",76,75,98.7,75,"*","*","*","*","*","*","*","*","*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","N",176,171,97.2,171,38,22.2,30,17.5,51,29.8,45,26.3,7,4.1,52,30.4
"Kent School District","=""0680011""","N",47,47,100.0,47,0,0.0,0,0.0,6,12.8,28,59.6,13,27.7,41,87.2
"Killingly School District","=""0690011""","N",525,501,95.4,501,"*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","N",288,282,97.9,281,51,18.1,"*","*","*","*","*","*",54,19.2,"*","*"
"Learn","=""2450014""","Y",24,21,87.5,21,10,47.6,"*","*","*","*","*","*",0,0.0,"*","*"
"Lebanon School District","=""0710011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lisbon School District","=""0730011""","N",86,86,100.0,86,"*","*","*","*",19,22.1,34,39.5,16,18.6,50,58.1
"Litchfield School District","=""0740011""","N",221,221,100.0,221,7,3.2,8,3.6,29,13.1,88,39.8,89,40.3,177,80.1
"Madison School District","=""0760011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","N",1178,1151,97.7,1151,212,18.4,186,16.2,289,25.1,352,30.6,112,9.7,464,40.3
"Manchester School District","=""0770011""","Y",57,57,100.0,57,32,56.1,12,21.1,7,12.3,6,10.5,0,0.0,6,10.5
"Mansfield School District","=""0780011""","N",267,264,98.9,264,"*","*","*","*","*","*","*","*","*","*","*","*"
"Mansfield School District","=""0780011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Marlborough School District","=""0790011""","N",91,91,100.0,91,"*","*","*","*",10,11.0,40,44.0,34,37.4,74,81.3
"Meriden School District","=""0800011""","N",1513,1469,97.1,1462,324,22.2,291,19.9,390,26.7,374,25.6,83,5.7,457,31.3
"Meriden School District","=""0800011""","Y",208,198,95.2,198,107,54.0,61,30.8,22,11.1,8,4.0,0,0.0,8,4.0
"Middletown School District","=""0830011""","N",956,949,99.3,949,130,13.7,"*","*","*","*","*","*",120,12.6,"*","*"
"Middletown School District","=""0830011""","Y",27,27,100.0,27,15,55.6,"*","*","*","*","*","*",0,0.0,"*","*"
"Milford School District","=""0840011""","N",1381,1362,98.6,1359,"*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","N",546,540,98.9,540,"*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","N",899,884,98.3,883,108,12.2,158,17.9,252,28.5,"*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Y",34,34,100.0,34,15,44.1,11,32.4,"*","*","*","*",0,0.0,"*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","N",74,73,98.6,73,23,31.5,"*","*",22,30.1,18,24.7,"*","*","*","*"
"New Britain School District","=""0890011""","N",1591,1546,97.2,1541,465,30.2,306,19.9,379,24.6,"*","*","*","*","*","*"
"New Britain School District","=""0890011""","Y",357,339,95.0,337,230,68.2,73,21.7,"*","*","*","*",0,0.0,"*","*"
"New Canaan School District","=""0900011""","N",958,949,99.1,948,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Canaan School District","=""0900011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","N",556,548,98.6,548,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Hartford School District","=""0920011""","N",68,68,100.0,68,"*","*","*","*",14,20.6,34,50.0,17,25.0,51,75.0
"New Haven School District","=""0930011""","N",3734,3567,95.5,3540,861,24.3,779,22.0,910,25.7,"*","*","*","*",990,28.0
"New Haven School District","=""0930011""","Y",650,615,94.6,610,364,59.7,135,22.1,82,13.4,"*","*","*","*",29,4.8
"New London School District","=""0950011""","N",561,535,95.4,534,84,15.7,96,18.0,139,26.0,"*","*","*","*","*","*"
"New London School District","=""0950011""","Y",148,142,95.9,141,88,62.4,35,24.8,14,9.9,"*","*","*","*","*","*"
"New Milford School District","=""0960011""","N",1020,1001,98.1,999,"*","*",58,5.8,234,23.4,"*","*",234,23.4,"*","*"
"New Milford School District","=""0960011""","Y",31,30,96.8,30,"*","*",11,36.7,8,26.7,"*","*",0,0.0,"*","*"
"Newington School District","=""0940011""","N",914,909,99.5,909,"*","*","*","*","*","*","*","*","*","*","*","*"
"Newington School District","=""0940011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Newtown School District","=""0970011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Newtown School District","=""0970011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norfolk School District","=""0980011""","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Canaan School District","=""1000011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Canaan School District","=""1000011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","N",154,153,99.4,153,"*","*","*","*",26,17.0,54,35.3,68,44.4,122,79.7
"Norwalk School District","=""1030011""","N",2141,2117,98.9,2116,"*","*",249,11.8,576,27.2,756,35.7,"*","*","*","*"
"Norwalk School District","=""1030011""","Y",349,336,96.3,334,172,51.5,86,25.7,54,16.2,"*","*","*","*",22,6.6
"Norwich Free Academy District","=""9010022""","N",533,520,97.6,518,"*","*",75,14.5,"*","*",96,18.5,114,22.0,210,40.5
"Norwich Free Academy District","=""9010022""","Y",25,24,96.0,24,12,50.0,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Norwich School District","=""1040011""","N",678,667,98.4,666,124,18.6,102,15.3,169,25.4,230,34.5,41,6.2,271,40.7
"Norwich School District","=""1040011""","Y",71,70,98.6,70,43,61.4,12,17.1,8,11.4,7,10.0,0,0.0,7,10.0
"Odyssey Community School District","=""2630013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Odyssey Community School District","=""2630013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","N",315,313,99.4,313,"*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Orange School District","=""1070011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Orange School District","=""1070011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Park City Prep Charter School District","=""2830013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Park City Prep Charter School District","=""2830013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","N",34,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Y",11,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","N",514,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainville School District","=""1100011""","N",496,488,98.4,488,"*","*","*","*","*","*","*","*","*","*","*","*"
"Plainville School District","=""1100011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Pomfret School District","=""1120011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Pomfret School District","=""1120011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Preston School District","=""1140011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Preston School District","=""1140011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Redding School District","=""1170011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Redding School District","=""1170011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","N",95,93,97.9,93,"*","*",15,16.1,39,41.9,21,22.6,"*","*","*","*"
"Regional School District 04","=""2040012""","N",317,316,99.7,316,7,2.2,11,3.5,59,18.7,113,35.8,126,39.9,239,75.6
"Regional School District 05","=""2050012""","N",735,730,99.3,729,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05","=""2050012""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","N",322,322,100.0,321,"*","*","*","*",53,16.5,116,36.1,134,41.7,250,77.9
"Regional School District 08","=""2080012""","N",557,552,99.1,552,17,3.1,22,4.0,117,21.2,243,44.0,153,27.7,396,71.7
"Regional School District 09","=""2090012""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Regional School District 09","=""2090012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","N",70,70,100.0,70,"*","*","*","*",11,15.7,32,45.7,13,18.6,45,64.3
"Regional School District 12","=""2120012""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","N",421,416,98.8,416,6,1.4,20,4.8,61,14.7,180,43.3,149,35.8,329,79.1
"Regional School District 14","=""2140012""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 17","=""2170012""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 17","=""2170012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
